Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.365,0.365,0.365,0.365,3000,MYR
2013-03-29,0.37,0.37,0.365,0.365,13000,MYR
2013-04-01,0.37,0.37,0.37,0.37,10000,MYR
2013-04-02,0.37,0.375,0.37,0.37,43000,MYR
2013-04-03,0.365,0.375,0.35,0.375,30100,MYR
2013-04-04,0.37,0.375,0.37,0.375,30900,MYR
2013-04-05,0.38,0.38,0.38,0.38,41500,MYR
2013-04-09,0.385,0.39,0.385,0.39,45000,MYR
2013-04-10,0.39,0.4,0.38,0.4,95000,MYR
2013-04-11,0.39,0.4,0.39,0.39,54100,MYR
2013-04-15,0.38,0.38,0.38,0.38,10200,MYR
2013-04-16,0.375,0.375,0.375,0.375,10000,MYR
2013-04-17,0.38,0.38,0.375,0.38,66000,MYR
2013-04-18,0.375,0.375,0.375,0.375,14900,MYR
2013-04-19,0.38,0.38,0.375,0.375,41500,MYR
2013-04-22,0.375,0.38,0.375,0.38,75000,MYR
2013-04-26,0.38,0.385,0.375,0.375,51500,MYR
2013-04-29,0.38,0.38,0.38,0.38,93500,MYR
2013-04-30,0.38,0.385,0.38,0.385,76500,MYR
2013-05-06,0.345,0.385,0.345,0.385,14000,MYR
2013-05-07,0.365,0.39,0.365,0.39,13000,MYR
2013-05-09,0.355,0.4,0.355,0.4,1500,MYR
2013-05-10,0.375,0.395,0.375,0.395,35000,MYR
2013-05-13,0.4,0.415,0.4,0.41,122500,MYR
2013-05-14,0.39,0.415,0.385,0.415,86500,MYR
2013-05-15,0.41,0.41,0.41,0.41,3000,MYR
2013-05-16,0.385,0.41,0.385,0.41,25500,MYR
2013-05-20,0.39,0.41,0.39,0.41,7000,MYR
2013-05-21,0.41,0.42,0.41,0.42,479900,MYR
2013-05-23,0.39,0.425,0.39,0.425,11000,MYR
2013-05-27,0.42,0.42,0.42,0.42,100,MYR
2013-05-28,0.39,0.4,0.39,0.4,5200,MYR
2013-05-29,0.405,0.405,0.4,0.4,13800,MYR
2013-05-31,0.41,0.42,0.41,0.415,200500,MYR
2013-06-03,0.425,0.425,0.415,0.425,58600,MYR
2013-06-04,0.425,0.425,0.41,0.415,66000,MYR
2013-06-07,0.405,0.405,0.4,0.4,5000,MYR
2013-06-10,0.42,0.465,0.42,0.455,1251000,MYR
2013-06-11,0.45,0.45,0.43,0.43,505400,MYR
2013-06-12,0.425,0.43,0.42,0.42,72300,MYR
2013-06-13,0.42,0.42,0.415,0.415,64000,MYR
2013-06-14,0.42,0.43,0.42,0.425,137000,MYR
2013-06-18,0.43,0.43,0.42,0.42,268000,MYR
2013-06-19,0.44,0.44,0.43,0.43,10000,MYR
2013-06-20,0.42,0.42,0.41,0.41,67800,MYR
2013-06-21,0.405,0.405,0.4,0.4,40000,MYR
2013-06-24,0.435,0.435,0.4,0.4,115000,MYR
2013-06-25,0.415,0.425,0.395,0.415,81100,MYR
2013-06-26,0.41,0.41,0.405,0.41,67800,MYR
2013-06-27,0.4,0.41,0.4,0.41,48000,MYR
2013-06-28,0.405,0.415,0.4,0.415,23000,MYR
2013-07-02,0.41,0.41,0.4,0.41,30000,MYR
2013-07-04,0.41,0.41,0.405,0.405,95500,MYR
2013-07-08,0.4,0.4,0.4,0.4,1500,MYR
2013-07-09,0.4,0.41,0.4,0.41,51500,MYR
2013-07-10,0.405,0.405,0.405,0.405,20000,MYR
2013-07-11,0.405,0.405,0.405,0.405,19000,MYR
2013-07-12,0.415,0.42,0.415,0.415,32800,MYR
2013-07-15,0.42,0.445,0.42,0.44,933200,MYR
2013-07-16,0.45,0.46,0.445,0.455,1075300,MYR
2013-07-17,0.455,0.455,0.435,0.435,266600,MYR
2013-07-18,0.435,0.445,0.435,0.44,39000,MYR
