Date,Open,High,Low,Close,Volume,Currency
2013-04-12,0.33,0.33,0.33,0.33,1000,MYR
2013-04-15,0.33,0.33,0.33,0.33,6000,MYR
2013-04-22,0.315,0.315,0.315,0.315,1000,MYR
2013-04-23,0.315,0.315,0.305,0.305,4000,MYR
2013-04-25,0.31,0.31,0.31,0.31,1000,MYR
2013-04-26,0.3,0.34,0.3,0.34,10000,MYR
2013-04-29,0.31,0.31,0.31,0.31,3000,MYR
2013-05-06,0.32,0.33,0.32,0.33,61800,MYR
2013-05-08,0.33,0.34,0.33,0.34,20400,MYR
2013-05-09,0.34,0.34,0.34,0.34,20000,MYR
2013-05-10,0.31,0.31,0.31,0.31,1000,MYR
2013-05-14,0.34,0.34,0.33,0.33,69000,MYR
2013-05-15,0.35,0.36,0.35,0.36,6600,MYR
2013-05-21,0.34,0.365,0.34,0.365,16800,MYR
2013-05-22,0.36,0.36,0.355,0.36,21300,MYR
2013-05-31,0.345,0.345,0.345,0.345,5000,MYR
2013-06-05,0.35,0.35,0.35,0.35,10000,MYR
2013-06-07,0.35,0.35,0.35,0.35,27200,MYR
2013-06-11,0.38,0.38,0.38,0.38,30000,MYR
2013-06-13,0.335,0.335,0.335,0.335,1000,MYR
2013-06-18,0.36,0.36,0.33,0.36,82000,MYR
2013-06-19,0.34,0.38,0.34,0.38,1100,MYR
2013-07-01,0.365,0.365,0.365,0.365,5000,MYR
2013-07-05,0.36,0.36,0.35,0.35,15000,MYR
2013-07-10,0.36,0.38,0.35,0.38,57000,MYR
2013-07-11,0.38,0.38,0.36,0.36,60100,MYR
2013-07-16,0.375,0.375,0.35,0.35,68400,MYR
2013-07-17,0.365,0.37,0.365,0.37,73000,MYR
2013-07-18,0.37,0.37,0.37,0.37,18000,MYR
2013-07-19,0.375,0.375,0.375,0.375,19000,MYR
2013-07-22,0.375,0.375,0.37,0.375,26000,MYR
2013-07-23,0.375,0.38,0.375,0.38,43000,MYR
2013-07-24,0.385,0.385,0.38,0.38,20000,MYR
2013-07-25,0.38,0.38,0.38,0.38,17000,MYR
2013-08-06,0.35,0.38,0.35,0.355,60000,MYR
2013-08-13,0.35,0.35,0.35,0.35,10000,MYR
2013-08-14,0.35,0.35,0.35,0.35,10000,MYR
2013-08-23,0.35,0.35,0.35,0.35,15000,MYR
2013-08-26,0.36,0.36,0.36,0.36,12000,MYR
2013-08-27,0.3,0.3,0.3,0.3,10000,MYR
2013-08-30,0.305,0.305,0.305,0.305,453000,MYR
2013-09-02,0.295,0.295,0.295,0.295,443000,MYR
2013-09-03,0.3,0.3,0.3,0.3,181000,MYR
2013-09-04,0.31,0.33,0.31,0.33,61900,MYR
2013-09-09,0.32,0.325,0.32,0.32,30000,MYR
2013-09-18,0.33,0.34,0.33,0.34,7000,MYR
2013-09-20,0.34,0.34,0.34,0.34,20000,MYR
2013-09-23,0.34,0.34,0.34,0.34,33000,MYR
2013-09-30,0.32,0.32,0.32,0.32,10000,MYR
2013-10-01,0.32,0.34,0.32,0.34,12900,MYR
2013-10-02,0.34,0.34,0.34,0.34,1000,MYR
2013-10-03,0.34,0.35,0.34,0.35,4200,MYR
2013-10-08,0.35,0.365,0.35,0.365,12000,MYR
2013-10-10,0.35,0.36,0.35,0.36,137000,MYR
2013-10-11,0.36,0.36,0.36,0.36,18000,MYR
2013-10-17,0.365,0.365,0.34,0.34,28000,MYR
2013-10-18,0.34,0.375,0.34,0.375,1800,MYR
2013-10-24,0.33,0.33,0.33,0.33,2200,MYR
2013-10-25,0.325,0.34,0.325,0.34,3000,MYR
2013-10-28,0.35,0.37,0.35,0.37,102000,MYR
2013-10-30,0.365,0.365,0.365,0.365,20000,MYR
2013-10-31,0.36,0.36,0.35,0.35,18000,MYR
2013-11-04,0.355,0.355,0.35,0.35,15000,MYR
2013-11-08,0.33,0.33,0.33,0.33,1000,MYR
