Date,Open,High,Low,Close,Volume,Currency
2011-09-09,3.15,3.16,3.15,3.15,12800,MYR
2011-09-12,3.15,3.15,3.15,3.15,6500,MYR
2011-09-13,3.15,3.17,3.15,3.15,720200,MYR
2011-09-14,3.14,3.15,3.13,3.13,426000,MYR
2011-09-15,3.13,3.13,3.13,3.13,97800,MYR
2011-09-19,3.13,3.13,3.1,3.11,140400,MYR
2011-09-20,3.1,3.11,3.1,3.11,200,MYR
2011-09-21,3.1,3.11,3.1,3.11,2100,MYR
2011-09-22,3.11,3.12,3.0,3.0,1522200,MYR
2011-09-23,3.0,3.0,2.98,3.0,838800,MYR
2011-09-26,2.96,2.96,2.87,2.95,95500,MYR
2011-09-27,2.95,2.96,2.89,2.96,189800,MYR
2011-09-28,3.02,3.02,3.0,3.0,6500,MYR
2011-09-29,2.96,3.0,2.96,3.0,241500,MYR
2011-09-30,2.96,3.19,2.96,3.19,54600,MYR
2011-10-03,3.02,3.14,3.02,3.14,192100,MYR
2011-10-04,3.1,3.17,3.0,3.14,260800,MYR
2011-10-05,3.04,3.19,3.04,3.15,100600,MYR
2011-10-06,3.1,3.15,3.08,3.15,194400,MYR
2011-10-07,3.14,3.15,3.11,3.15,169800,MYR
2011-10-11,3.15,3.15,3.12,3.13,656000,MYR
2011-10-12,3.11,3.13,3.1,3.13,161400,MYR
2011-10-13,3.13,3.13,3.1,3.12,122500,MYR
2011-10-14,3.11,3.11,3.11,3.11,1500,MYR
2011-10-17,3.1,3.11,3.09,3.1,75600,MYR
2011-10-18,3.05,3.1,3.04,3.08,225700,MYR
2011-10-19,3.15,3.17,3.08,3.17,80800,MYR
2011-10-20,3.11,3.11,3.09,3.11,253100,MYR
2011-10-21,3.11,3.19,3.11,3.18,430300,MYR
2011-10-24,3.19,3.19,3.18,3.19,322100,MYR
2011-10-25,3.18,3.18,3.15,3.18,9100,MYR
2011-10-27,3.18,3.18,3.18,3.18,175500,MYR
2011-10-28,3.1,3.13,3.09,3.09,225000,MYR
2011-10-31,3.11,3.13,3.1,3.12,1208300,MYR
2011-11-01,3.12,3.12,3.08,3.1,292400,MYR
2011-11-02,3.08,3.08,3.03,3.05,1654300,MYR
2011-11-03,3.05,3.05,3.03,3.04,24300,MYR
2011-11-04,3.03,3.06,3.02,3.03,1378800,MYR
2011-11-08,3.05,3.05,3.0,3.02,360700,MYR
2011-11-09,3.01,3.05,3.01,3.03,1649400,MYR
2011-11-10,3.03,3.03,3.02,3.03,35800,MYR
2011-11-11,3.07,3.07,3.02,3.07,1045800,MYR
2011-11-14,3.1,3.1,3.03,3.03,462700,MYR
2011-11-15,3.09,3.1,3.04,3.1,73000,MYR
2011-11-16,3.09,3.09,3.03,3.08,8900,MYR
2011-11-17,3.08,3.08,3.08,3.08,13700,MYR
