Date,Open,High,Low,Close,Volume,Currency
2011-08-08,2.98,2.99,2.87,2.97,614300,MYR
2011-08-09,2.75,2.9,2.73,2.86,833500,MYR
2011-08-10,2.91,2.95,2.88,2.9,121900,MYR
2011-08-11,2.85,2.95,2.85,2.89,203000,MYR
2011-08-12,2.95,2.95,2.89,2.91,139500,MYR
2011-08-15,2.91,2.92,2.9,2.92,110300,MYR
2011-08-16,2.94,2.94,2.9,2.93,175900,MYR
2011-08-17,2.98,2.98,2.91,2.92,66300,MYR
2011-08-18,2.92,2.92,2.87,2.88,149900,MYR
2011-08-19,2.9,2.91,2.86,2.87,88200,MYR
2011-08-22,2.81,2.82,2.76,2.8,186800,MYR
2011-08-23,2.81,2.85,2.75,2.78,555000,MYR
2011-08-24,2.89,2.89,2.77,2.78,74200,MYR
2011-08-25,2.77,2.77,2.7,2.71,323300,MYR
2011-08-26,2.73,2.73,2.68,2.68,193100,MYR
2011-08-29,2.7,2.8,2.7,2.8,28000,MYR
2011-09-02,2.9,2.9,2.76,2.81,71500,MYR
2011-09-05,2.81,2.81,2.78,2.78,5000,MYR
2011-09-07,2.76,2.8,2.76,2.78,55900,MYR
2011-09-08,2.78,2.8,2.78,2.8,20600,MYR
2011-09-09,2.8,2.8,2.8,2.8,59100,MYR
2011-09-12,2.8,2.8,2.71,2.75,65300,MYR
2011-09-13,2.75,2.75,2.71,2.71,26400,MYR
2011-09-14,2.7,2.7,2.6,2.6,98600,MYR
2011-09-15,2.6,2.6,2.51,2.57,226700,MYR
2011-09-19,2.6,2.6,2.51,2.51,123200,MYR
2011-09-20,2.5,2.7,2.48,2.63,170600,MYR
2011-09-21,2.63,2.7,2.62,2.64,94500,MYR
2011-09-22,2.55,2.7,2.55,2.65,211500,MYR
2011-09-23,2.55,2.64,2.55,2.6,229000,MYR
2011-09-26,2.6,2.63,2.5,2.56,180300,MYR
2011-09-27,2.58,2.65,2.58,2.65,54500,MYR
2011-09-28,2.58,2.75,2.57,2.7,128700,MYR
2011-09-29,2.55,2.69,2.55,2.69,41000,MYR
2011-09-30,2.69,2.73,2.69,2.72,399300,MYR
2011-10-03,2.71,2.71,2.65,2.69,12000,MYR
2011-10-04,2.69,2.94,2.69,2.86,1028100,MYR
2011-10-05,2.88,2.98,2.87,2.88,121300,MYR
2011-10-06,2.88,2.88,2.78,2.79,26400,MYR
2011-10-07,2.79,2.82,2.78,2.8,166100,MYR
2011-10-10,2.8,2.8,2.68,2.8,49000,MYR
2011-10-11,2.8,2.83,2.76,2.76,122200,MYR
2011-10-12,2.75,2.77,2.74,2.75,73200,MYR
2011-10-13,2.75,2.75,2.74,2.75,159700,MYR
2011-10-14,2.74,2.74,2.7,2.72,59600,MYR
2011-10-17,2.7,2.72,2.7,2.72,318400,MYR
2011-10-18,2.7,2.71,2.7,2.7,94500,MYR
2011-10-19,2.71,2.73,2.71,2.72,19600,MYR
2011-10-20,2.71,2.8,2.71,2.8,52600,MYR
2011-10-21,2.8,2.8,2.75,2.75,40000,MYR
2011-10-24,2.75,2.76,2.73,2.76,65400,MYR
2011-10-25,2.75,2.78,2.75,2.78,11000,MYR
2011-10-27,2.8,2.83,2.8,2.82,656700,MYR
2011-10-28,2.86,2.89,2.82,2.82,214800,MYR
2011-10-31,2.82,2.93,2.79,2.87,359500,MYR
2011-11-01,2.86,2.89,2.84,2.87,221600,MYR
2011-11-02,2.8,2.85,2.8,2.85,18100,MYR
2011-11-03,2.85,2.85,2.8,2.8,96000,MYR
2011-11-04,2.85,2.85,2.8,2.83,19800,MYR
2011-11-08,2.86,2.9,2.85,2.87,272500,MYR
2011-11-09,2.91,2.94,2.9,2.93,344900,MYR
2011-11-10,2.92,3.0,2.86,3.0,303500,MYR
2011-11-11,3.01,3.12,2.99,3.1,700000,MYR
2011-11-14,3.11,3.2,3.1,3.17,957600,MYR
2011-11-15,3.14,3.14,3.08,3.12,116200,MYR
2011-11-16,3.1,3.11,3.02,3.05,226900,MYR
2011-11-17,3.0,3.07,2.98,3.07,80500,MYR
2011-11-18,3.06,3.09,3.04,3.08,181200,MYR
2011-11-21,3.05,3.1,3.03,3.07,162200,MYR
2011-11-22,3.06,3.07,3.02,3.06,219500,MYR
2011-11-23,3.05,3.07,3.04,3.05,185400,MYR
2011-11-24,3.05,3.05,3.02,3.03,197600,MYR
2011-11-25,3.03,3.05,3.03,3.05,96000,MYR
2011-11-29,3.06,3.18,3.06,3.16,535300,MYR
2011-11-30,3.16,3.16,3.12,3.12,218700,MYR
2011-12-01,3.05,3.19,3.05,3.18,232100,MYR
2011-12-02,3.06,3.18,3.06,3.17,155800,MYR
2011-12-05,3.14,3.14,3.11,3.13,33600,MYR
2011-12-06,3.1,3.12,3.08,3.08,255000,MYR
2011-12-07,3.08,3.09,3.06,3.07,514100,MYR
2011-12-08,3.08,3.1,3.08,3.08,619000,MYR
2011-12-09,3.07,3.08,3.02,3.08,194000,MYR
2011-12-12,3.08,3.08,3.07,3.08,527500,MYR
2011-12-13,3.08,3.08,3.08,3.08,28400,MYR
2011-12-14,3.13,3.13,3.1,3.12,41100,MYR
2011-12-15,3.11,3.11,3.08,3.08,60900,MYR
2011-12-16,3.08,3.08,3.03,3.05,153000,MYR
2011-12-19,3.04,3.04,3.01,3.04,953800,MYR
2011-12-20,3.05,3.08,3.05,3.05,162000,MYR
2011-12-21,3.1,3.11,3.06,3.11,97900,MYR
2011-12-22,3.12,3.25,3.12,3.21,582800,MYR
2011-12-23,3.22,3.25,3.2,3.22,587000,MYR
2011-12-27,3.22,3.22,3.19,3.2,186500,MYR
2011-12-28,3.15,3.2,3.15,3.2,165900,MYR
2011-12-29,3.14,3.2,3.14,3.2,113700,MYR
2011-12-30,3.15,3.25,3.15,3.25,356500,MYR
2012-01-03,3.26,3.3,3.25,3.3,617300,MYR
2012-01-04,3.3,3.3,3.22,3.23,37600,MYR
2012-01-05,3.26,3.28,3.24,3.26,258700,MYR
2012-01-06,3.29,3.29,3.21,3.26,62600,MYR
2012-01-09,3.25,3.26,3.25,3.26,101800,MYR
2012-01-10,3.25,3.3,3.25,3.3,197000,MYR
2012-01-11,3.3,3.6,3.3,3.57,3667600,MYR
2012-01-12,3.57,3.6,3.49,3.58,1490900,MYR
2012-01-13,3.58,3.67,3.58,3.65,3768700,MYR
2012-01-16,3.63,3.65,3.58,3.64,1124600,MYR
2012-01-17,3.58,3.63,3.58,3.61,86900,MYR
2012-01-18,3.63,3.63,3.61,3.61,255300,MYR
2012-01-19,3.59,3.59,3.5,3.5,544400,MYR
2012-01-20,3.49,3.51,3.45,3.49,87800,MYR
2012-01-25,3.49,3.49,3.49,3.49,37800,MYR
2012-01-26,3.48,3.48,3.45,3.47,23000,MYR
2012-01-27,3.4,3.48,3.4,3.47,146900,MYR
2012-01-30,3.47,3.54,3.47,3.5,78600,MYR
2012-01-31,3.48,3.5,3.48,3.5,135000,MYR
2012-02-02,3.5,3.55,3.49,3.55,161300,MYR
2012-02-03,3.55,3.58,3.55,3.58,120700,MYR
2012-02-08,3.6,3.61,3.6,3.6,1140900,MYR
2012-02-09,3.55,3.61,3.55,3.6,329600,MYR
2012-02-10,3.6,3.6,3.56,3.57,293300,MYR
2012-02-13,3.55,3.57,3.55,3.57,336800,MYR
2012-02-14,3.57,3.57,3.55,3.55,56600,MYR
2012-02-15,3.55,3.55,3.44,3.44,7000,MYR
2012-02-16,3.44,3.44,3.37,3.38,549300,MYR
2012-02-17,3.38,3.39,3.36,3.39,89200,MYR
2012-02-20,3.42,3.5,3.25,3.36,91400,MYR
2012-02-21,3.36,3.36,3.3,3.34,57500,MYR
2012-02-22,3.33,3.33,3.3,3.3,19200,MYR
2012-02-23,3.3,3.38,3.3,3.3,104700,MYR
2012-02-24,3.29,3.38,3.26,3.28,65900,MYR
2012-02-27,3.3,3.3,3.3,3.3,13000,MYR
2012-02-28,3.28,3.32,3.28,3.32,4000,MYR
2012-02-29,3.35,3.38,3.32,3.38,185300,MYR
2012-03-01,3.4,3.43,3.37,3.38,255400,MYR
2012-03-02,3.36,3.4,3.36,3.4,53900,MYR
2012-03-05,3.4,3.45,3.4,3.42,122000,MYR
2012-03-06,3.45,3.45,3.4,3.4,44300,MYR
2012-03-07,3.36,3.36,3.29,3.35,70500,MYR
2012-03-08,3.35,3.39,3.32,3.38,37200,MYR
2012-03-09,3.38,3.38,3.34,3.36,225300,MYR
2012-03-12,3.31,3.35,3.31,3.33,30500,MYR
2012-03-13,3.36,3.36,3.27,3.28,74300,MYR
2012-03-14,3.31,3.32,3.31,3.32,30000,MYR
2012-03-15,3.31,3.31,3.28,3.31,34000,MYR
2012-03-16,3.32,3.36,3.32,3.36,135600,MYR
2012-03-19,3.32,3.36,3.32,3.35,71900,MYR
2012-03-20,3.33,3.33,3.2,3.31,83500,MYR
2012-03-21,3.33,3.33,3.33,3.33,500,MYR
2012-03-22,3.26,3.32,3.25,3.32,39100,MYR
2012-03-23,3.3,3.33,3.3,3.33,31500,MYR
2012-03-26,3.3,3.3,3.25,3.3,37800,MYR
2012-03-27,3.24,3.29,3.23,3.29,65000,MYR
2012-03-28,3.23,3.29,3.23,3.29,22600,MYR
2012-03-29,3.23,3.25,3.22,3.22,48300,MYR
2012-03-30,3.25,3.35,3.25,3.35,52400,MYR
2012-04-02,3.32,3.32,3.22,3.29,68100,MYR
2012-04-03,3.24,3.24,3.22,3.22,46500,MYR
2012-04-04,3.22,3.25,3.22,3.25,59900,MYR
2012-04-05,3.22,3.24,3.22,3.24,17000,MYR
2012-04-06,3.21,3.21,3.19,3.21,32200,MYR
2012-04-09,3.21,3.21,3.18,3.2,151800,MYR
2012-04-10,3.21,3.21,3.19,3.2,186900,MYR
2012-04-12,3.2,3.21,3.2,3.21,81800,MYR
2012-04-13,3.21,3.21,3.19,3.2,163100,MYR
2012-04-16,3.16,3.2,3.15,3.2,12700,MYR
2012-04-17,3.2,3.2,3.19,3.2,120200,MYR
2012-04-18,3.18,3.2,3.18,3.2,81000,MYR
2012-04-20,3.2,3.2,3.2,3.2,36700,MYR
2012-04-23,3.09,3.2,3.08,3.2,3900,MYR
2012-04-24,3.19,3.2,3.16,3.2,23700,MYR
2012-04-25,3.2,3.21,3.19,3.2,547700,MYR
2012-04-26,3.21,3.25,3.19,3.19,39700,MYR
2012-04-27,3.12,3.23,3.12,3.23,5600,MYR
2012-04-30,3.23,3.25,3.21,3.25,47000,MYR
2012-05-02,3.24,3.25,3.24,3.24,75800,MYR
2012-05-03,3.24,3.24,3.19,3.19,37900,MYR
2012-05-04,3.22,3.23,3.2,3.22,40600,MYR
2012-05-07,3.2,3.25,3.19,3.2,54100,MYR
2012-05-08,3.2,3.25,3.17,3.18,192200,MYR
2012-05-09,3.18,3.19,3.15,3.15,38000,MYR
2012-05-10,3.18,3.18,3.18,3.18,27000,MYR
