Date,Open,High,Low,Close,Volume,Currency
2013-01-30,0.39,0.395,0.39,0.39,315000,MYR
2013-01-31,0.395,0.4,0.385,0.39,441900,MYR
2013-02-04,0.39,0.39,0.385,0.385,107000,MYR
2013-02-05,0.38,0.395,0.38,0.38,587500,MYR
2013-02-06,0.375,0.375,0.375,0.375,15000,MYR
2013-02-07,0.375,0.375,0.37,0.37,82000,MYR
2013-02-14,0.375,0.375,0.37,0.375,40000,MYR
2013-02-18,0.375,0.375,0.375,0.375,6000,MYR
2013-02-19,0.375,0.375,0.37,0.37,15000,MYR
2013-02-20,0.375,0.375,0.37,0.37,73000,MYR
2013-02-21,0.37,0.37,0.37,0.37,65000,MYR
2013-02-22,0.37,0.38,0.37,0.38,18100,MYR
2013-02-25,0.37,0.37,0.37,0.37,2000,MYR
2013-02-26,0.365,0.37,0.365,0.37,66400,MYR
2013-02-27,0.365,0.365,0.365,0.365,55200,MYR
2013-02-28,0.365,0.365,0.365,0.365,182000,MYR
2013-03-01,0.365,0.365,0.36,0.36,82000,MYR
2013-03-04,0.365,0.365,0.36,0.36,91600,MYR
2013-03-05,0.365,0.365,0.36,0.36,173000,MYR
2013-03-06,0.36,0.36,0.36,0.36,145000,MYR
2013-03-07,0.36,0.36,0.355,0.36,181000,MYR
2013-03-08,0.36,0.36,0.355,0.355,97000,MYR
2013-03-11,0.355,0.355,0.35,0.35,144700,MYR
2013-03-12,0.36,0.36,0.355,0.36,94000,MYR
2013-03-13,0.355,0.355,0.355,0.355,45000,MYR
2013-03-14,0.355,0.355,0.355,0.355,44900,MYR
2013-03-15,0.355,0.355,0.355,0.355,55100,MYR
2013-03-18,0.345,0.35,0.345,0.35,57000,MYR
2013-03-19,0.345,0.35,0.345,0.35,50000,MYR
2013-03-20,0.35,0.355,0.35,0.35,54000,MYR
2013-03-21,0.345,0.355,0.345,0.355,71500,MYR
2013-03-22,0.345,0.345,0.345,0.345,2000,MYR
2013-03-25,0.345,0.345,0.345,0.345,5000,MYR
2013-03-26,0.355,0.355,0.35,0.355,46000,MYR
2013-03-28,0.355,0.355,0.35,0.35,81000,MYR
2013-04-01,0.35,0.35,0.35,0.35,21000,MYR
2013-04-02,0.355,0.395,0.355,0.36,247100,MYR
2013-04-03,0.36,0.36,0.34,0.35,652000,MYR
2013-04-04,0.35,0.35,0.345,0.35,96800,MYR
2013-04-05,0.35,0.35,0.345,0.35,50000,MYR
2013-04-08,0.35,0.36,0.345,0.36,189100,MYR
2013-04-09,0.355,0.36,0.355,0.355,148000,MYR
2013-04-10,0.355,0.36,0.355,0.36,189500,MYR
2013-04-11,0.365,0.38,0.365,0.375,464700,MYR
2013-04-12,0.375,0.375,0.37,0.37,130000,MYR
2013-04-15,0.37,0.37,0.37,0.37,50000,MYR
2013-04-16,0.365,0.365,0.36,0.365,177300,MYR
2013-04-17,0.365,0.365,0.365,0.365,40000,MYR
2013-04-18,0.355,0.365,0.355,0.365,138300,MYR
2013-04-19,0.365,0.365,0.365,0.365,19000,MYR
2013-04-22,0.36,0.365,0.36,0.365,25000,MYR
2013-04-25,0.36,0.365,0.36,0.365,20100,MYR
2013-04-26,0.355,0.36,0.355,0.36,86000,MYR
2013-04-29,0.355,0.36,0.355,0.36,121100,MYR
2013-04-30,0.355,0.355,0.355,0.355,195000,MYR
2013-05-02,0.355,0.355,0.355,0.355,30000,MYR
2013-05-03,0.355,0.355,0.35,0.35,156000,MYR
2013-05-06,0.36,0.36,0.36,0.36,2000,MYR
2013-05-07,0.37,0.37,0.36,0.36,69800,MYR
2013-05-08,0.37,0.37,0.365,0.365,179000,MYR
2013-05-09,0.365,0.37,0.36,0.36,303100,MYR
2013-05-10,0.37,0.395,0.37,0.395,343100,MYR
2013-05-13,0.395,0.4,0.39,0.4,181400,MYR
2013-05-14,0.405,0.41,0.38,0.4,1088600,MYR
2013-05-15,0.405,0.43,0.405,0.42,2937600,MYR
2013-05-16,0.425,0.43,0.41,0.41,1555300,MYR
2013-05-17,0.42,0.42,0.405,0.415,351000,MYR
2013-05-20,0.415,0.43,0.415,0.43,1080800,MYR
2013-05-21,0.445,0.46,0.445,0.45,3018400,MYR
2013-05-22,0.455,0.465,0.45,0.46,3058900,MYR
2013-05-23,0.46,0.465,0.44,0.44,1924500,MYR
2013-05-27,0.435,0.455,0.43,0.455,371000,MYR
2013-05-28,0.455,0.47,0.455,0.47,783000,MYR
2013-05-29,0.47,0.475,0.465,0.47,933800,MYR
2013-05-30,0.465,0.47,0.455,0.47,715700,MYR
2013-05-31,0.47,0.47,0.45,0.45,424800,MYR
2013-06-03,0.46,0.46,0.44,0.455,362100,MYR
2013-06-04,0.445,0.45,0.44,0.445,340000,MYR
2013-06-05,0.45,0.45,0.43,0.44,289600,MYR
2013-06-06,0.44,0.44,0.435,0.44,240000,MYR
2013-06-07,0.44,0.45,0.435,0.44,98900,MYR
2013-06-10,0.435,0.45,0.435,0.44,337600,MYR
2013-06-11,0.445,0.45,0.43,0.43,534000,MYR
2013-06-12,0.44,0.445,0.43,0.445,324400,MYR
2013-06-13,0.44,0.44,0.435,0.44,130000,MYR
2013-06-14,0.445,0.445,0.44,0.44,128700,MYR
2013-06-17,0.45,0.465,0.45,0.465,576600,MYR
2013-06-18,0.47,0.475,0.46,0.46,631900,MYR
2013-06-19,0.46,0.46,0.45,0.455,323200,MYR
2013-06-20,0.45,0.45,0.44,0.445,539400,MYR
2013-06-21,0.435,0.44,0.43,0.44,526400,MYR
2013-06-24,0.45,0.45,0.44,0.44,633000,MYR
2013-06-25,0.44,0.44,0.435,0.44,138000,MYR
2013-06-26,0.44,0.445,0.44,0.445,111000,MYR
2013-06-27,0.455,0.455,0.45,0.45,805000,MYR
2013-06-28,0.45,0.46,0.45,0.455,177000,MYR
2013-07-01,0.46,0.46,0.45,0.455,128000,MYR
2013-07-02,0.455,0.455,0.455,0.455,149000,MYR
2013-07-03,0.46,0.46,0.455,0.46,267200,MYR
2013-07-04,0.46,0.495,0.46,0.495,1826400,MYR
2013-07-05,0.51,0.515,0.49,0.505,2720200,MYR
2013-07-08,0.505,0.51,0.505,0.51,2012500,MYR
2013-07-09,0.51,0.51,0.505,0.505,767800,MYR
2013-07-10,0.51,0.51,0.495,0.505,359600,MYR
2013-07-11,0.5,0.5,0.49,0.495,507000,MYR
2013-07-12,0.495,0.495,0.485,0.495,274600,MYR
2013-07-15,0.495,0.5,0.495,0.5,434000,MYR
2013-07-16,0.495,0.495,0.49,0.495,356000,MYR
2013-07-17,0.495,0.495,0.49,0.49,322800,MYR
2013-07-18,0.49,0.495,0.485,0.49,556400,MYR
2013-07-19,0.5,0.5,0.49,0.495,108100,MYR
2013-07-22,0.5,0.5,0.485,0.485,520000,MYR
2013-07-23,0.495,0.495,0.49,0.49,451000,MYR
2013-07-24,0.49,0.49,0.485,0.485,289000,MYR
2013-07-25,0.49,0.49,0.475,0.475,599000,MYR
