Date,Open,High,Low,Close,Volume,Currency
2013-03-12,0.937,0.937,0.91,0.919,362600,MYR
2013-03-13,0.919,0.937,0.91,0.928,652000,MYR
2013-03-14,0.91,0.937,0.91,0.919,1680600,MYR
2013-03-15,0.928,0.928,0.901,0.91,313500,MYR
2013-03-18,0.901,0.901,0.892,0.901,160600,MYR
2013-03-19,0.901,0.919,0.892,0.91,655500,MYR
2013-03-20,0.901,0.919,0.892,0.901,1011900,MYR
2013-03-21,0.91,0.91,0.892,0.91,239600,MYR
2013-03-22,0.901,0.928,0.901,0.91,1197500,MYR
2013-03-25,0.901,0.91,0.892,0.91,312900,MYR
2013-03-26,0.919,0.919,0.901,0.91,382000,MYR
2013-03-27,0.919,0.928,0.901,0.91,974100,MYR
2013-03-28,0.919,0.919,0.892,0.901,512700,MYR
2013-03-29,0.901,0.919,0.901,0.901,374700,MYR
2013-04-01,0.892,0.901,0.884,0.892,401700,MYR
2013-04-02,0.892,0.919,0.888,0.91,776000,MYR
2013-04-03,0.892,0.928,0.879,0.928,2504100,MYR
2013-04-04,0.928,0.928,0.91,0.919,302400,MYR
2013-04-05,0.928,0.937,0.91,0.937,378600,MYR
2013-04-08,0.937,1.026,0.937,1.018,12747000,MYR
2013-04-09,1.018,1.035,0.982,0.991,3268000,MYR
2013-04-10,0.982,1.018,0.982,1.008,1745400,MYR
2013-04-11,1.018,1.026,1.0,1.008,987700,MYR
2013-04-12,1.008,1.008,0.955,0.955,1438900,MYR
2013-04-15,0.955,0.982,0.919,0.955,1178700,MYR
2013-04-16,0.928,0.964,0.928,0.955,369000,MYR
2013-04-17,0.964,1.089,0.955,1.071,8080200,MYR
2013-04-18,1.053,1.16,1.053,1.142,15619200,MYR
2013-04-19,1.125,1.16,1.107,1.125,3819200,MYR
2013-04-22,1.107,1.133,1.089,1.133,2118000,MYR
2013-04-23,1.133,1.16,1.125,1.133,3157700,MYR
2013-04-24,1.116,1.151,1.116,1.133,1801200,MYR
2013-04-25,1.125,1.133,1.107,1.107,860200,MYR
2013-04-26,1.098,1.133,1.071,1.116,1988200,MYR
2013-04-29,1.125,1.187,1.125,1.151,7692100,MYR
2013-04-30,1.178,1.187,1.125,1.125,4756200,MYR
2013-05-02,1.125,1.142,1.098,1.107,1311500,MYR
2013-05-03,1.098,1.133,1.08,1.116,2494100,MYR
2013-05-06,1.133,1.151,1.053,1.053,6926700,MYR
2013-05-07,1.053,1.089,1.053,1.08,3035100,MYR
2013-05-08,1.08,1.08,1.044,1.053,1277100,MYR
2013-05-09,1.062,1.08,1.044,1.044,2232700,MYR
2013-05-10,1.044,1.089,1.044,1.062,5146900,MYR
2013-05-13,1.08,1.098,1.08,1.089,2918500,MYR
2013-05-14,1.098,1.133,1.089,1.116,3690600,MYR
2013-05-15,1.133,1.205,1.125,1.205,9871900,MYR
2013-05-16,1.223,1.223,1.169,1.178,3380000,MYR
2013-05-17,1.187,1.196,1.169,1.187,1967500,MYR
2013-05-20,1.214,1.294,1.205,1.267,7599500,MYR
2013-05-21,1.285,1.294,1.232,1.25,2713200,MYR
2013-05-22,1.258,1.267,1.223,1.232,1867700,MYR
2013-05-23,1.241,1.241,1.196,1.223,1819100,MYR
2013-05-27,1.223,1.223,1.205,1.214,1274600,MYR
2013-05-28,1.223,1.258,1.223,1.258,1920400,MYR
2013-05-29,1.267,1.267,1.232,1.241,2210300,MYR
2013-05-30,1.232,1.232,1.205,1.214,406100,MYR
2013-05-31,1.223,1.241,1.214,1.241,933100,MYR
2013-06-03,1.232,1.232,1.205,1.214,419700,MYR
2013-06-04,1.214,1.232,1.196,1.223,1337600,MYR
2013-06-05,1.223,1.276,1.223,1.232,4563600,MYR
2013-06-06,1.232,1.25,1.232,1.241,1361800,MYR
2013-06-07,1.241,1.258,1.241,1.25,964200,MYR
2013-06-10,1.267,1.321,1.267,1.294,5006800,MYR
2013-06-11,1.294,1.321,1.267,1.294,1665700,MYR
2013-06-12,1.276,1.285,1.241,1.267,2504400,MYR
2013-06-13,1.25,1.258,1.187,1.187,2343400,MYR
2013-06-14,1.223,1.232,1.196,1.205,900300,MYR
2013-06-17,1.214,1.223,1.205,1.214,542000,MYR
2013-06-18,1.223,1.232,1.214,1.223,440100,MYR
2013-06-19,1.223,1.25,1.214,1.223,944300,MYR
2013-06-20,1.205,1.205,1.178,1.178,1391600,MYR
2013-06-21,1.169,1.214,1.133,1.205,1314000,MYR
2013-06-24,1.223,1.223,1.151,1.151,1338400,MYR
2013-06-25,1.16,1.178,1.142,1.169,2113100,MYR
2013-06-26,1.178,1.241,1.16,1.241,2743800,MYR
2013-06-27,1.267,1.285,1.241,1.25,3165500,MYR
2013-06-28,1.267,1.276,1.241,1.267,2765800,MYR
2013-07-01,1.303,1.383,1.267,1.366,14665300,MYR
2013-07-02,1.366,1.383,1.312,1.321,3616900,MYR
2013-07-03,1.33,1.526,1.33,1.473,32395900,MYR
2013-07-04,1.473,1.624,1.464,1.624,23494400,MYR
2013-07-05,1.624,1.776,1.589,1.732,22096200,MYR
2013-07-08,1.74,1.749,1.624,1.66,6164400,MYR
2013-07-09,1.669,1.705,1.642,1.66,2842700,MYR
2013-07-10,1.66,1.678,1.598,1.598,2410700,MYR
2013-07-11,1.607,1.607,1.526,1.535,3181900,MYR
2013-07-12,1.544,1.571,1.482,1.508,4519600,MYR
2013-07-15,1.526,1.696,1.526,1.687,13497900,MYR
2013-07-16,1.705,1.758,1.651,1.705,8491100,MYR
2013-07-17,1.714,1.714,1.633,1.651,1884200,MYR
2013-07-18,1.66,1.66,1.571,1.58,5649000,MYR
2013-07-19,1.598,1.66,1.58,1.589,7680300,MYR
2013-07-22,1.607,1.607,1.499,1.517,7462000,MYR
