Date,Open,High,Low,Close,Volume,Currency
2013-01-22,0.406,0.42,0.398,0.42,681000,MYR
2013-01-23,0.404,0.41,0.402,0.408,149500,MYR
2013-01-25,0.414,0.414,0.402,0.412,89000,MYR
2013-01-29,0.41,0.412,0.41,0.412,110500,MYR
2013-01-30,0.402,0.41,0.398,0.41,109000,MYR
2013-01-31,0.41,0.41,0.398,0.41,1188000,MYR
2013-02-04,0.408,0.41,0.4,0.41,75500,MYR
2013-02-05,0.4,0.408,0.4,0.408,108000,MYR
2013-02-06,0.4,0.404,0.4,0.404,30500,MYR
2013-02-07,0.404,0.404,0.398,0.402,32000,MYR
2013-02-08,0.412,0.412,0.4,0.406,121500,MYR
2013-02-13,0.406,0.406,0.4,0.406,59500,MYR
2013-02-14,0.402,0.406,0.4,0.402,40500,MYR
2013-02-15,0.406,0.406,0.4,0.406,31000,MYR
2013-02-18,0.41,0.41,0.4,0.41,3500,MYR
2013-02-19,0.4,0.406,0.394,0.406,217500,MYR
2013-02-20,0.412,0.412,0.4,0.406,113000,MYR
2013-02-21,0.412,0.412,0.4,0.402,52500,MYR
2013-02-22,0.4,0.406,0.4,0.406,140500,MYR
2013-02-25,0.42,0.42,0.4,0.408,197000,MYR
2013-02-26,0.4,0.404,0.4,0.404,65500,MYR
2013-02-27,0.4,0.4,0.396,0.398,322000,MYR
2013-02-28,0.406,0.406,0.398,0.398,178000,MYR
2013-03-01,0.404,0.404,0.392,0.404,156500,MYR
2013-03-04,0.398,0.402,0.396,0.402,13000,MYR
2013-03-05,0.404,0.404,0.398,0.398,1085500,MYR
2013-03-06,0.4,0.402,0.396,0.402,73500,MYR
2013-03-07,0.402,0.402,0.394,0.4,101000,MYR
2013-03-08,0.402,0.402,0.394,0.402,95500,MYR
2013-03-11,0.394,0.4,0.392,0.392,182000,MYR
2013-03-12,0.392,0.398,0.392,0.394,21000,MYR
2013-03-13,0.396,0.396,0.388,0.39,725500,MYR
2013-03-14,0.4,0.4,0.39,0.4,13500,MYR
2013-03-15,0.396,0.396,0.392,0.396,3167000,MYR
2013-03-18,0.392,0.392,0.392,0.392,373000,MYR
2013-03-19,0.392,0.392,0.392,0.392,509500,MYR
2013-03-20,0.39,0.396,0.39,0.396,352000,MYR
2013-03-21,0.392,0.394,0.392,0.394,245000,MYR
2013-03-22,0.39,0.392,0.39,0.392,2055500,MYR
2013-03-25,0.392,0.392,0.392,0.392,500,MYR
2013-03-26,0.388,0.392,0.388,0.392,10500,MYR
2013-03-27,0.39,0.39,0.388,0.388,100000,MYR
2013-03-28,0.39,0.39,0.386,0.386,122000,MYR
2013-03-29,0.386,0.388,0.384,0.388,215500,MYR
2013-04-01,0.386,0.388,0.386,0.388,190500,MYR
2013-04-02,0.386,0.388,0.386,0.386,125500,MYR
2013-04-03,0.392,0.392,0.384,0.39,43500,MYR
2013-04-04,0.39,0.39,0.39,0.39,500,MYR
2013-04-05,0.392,0.392,0.392,0.392,500,MYR
2013-04-08,0.386,0.388,0.384,0.386,382000,MYR
2013-04-09,0.388,0.388,0.386,0.388,80500,MYR
2013-04-10,0.384,0.388,0.384,0.388,1558500,MYR
2013-04-11,0.386,0.388,0.386,0.388,412500,MYR
2013-04-12,0.388,0.392,0.384,0.392,1964000,MYR
2013-04-15,0.388,0.388,0.384,0.388,10500,MYR
2013-04-16,0.388,0.388,0.384,0.386,248000,MYR
2013-04-17,0.388,0.388,0.384,0.388,8500,MYR
2013-04-18,0.386,0.388,0.386,0.386,1530000,MYR
2013-04-19,0.388,0.388,0.384,0.388,30500,MYR
2013-04-22,0.384,0.388,0.384,0.388,240500,MYR
2013-04-23,0.382,0.384,0.382,0.384,173000,MYR
2013-04-24,0.382,0.384,0.38,0.382,134500,MYR
2013-04-25,0.38,0.382,0.38,0.382,40000,MYR
2013-04-26,0.38,0.384,0.38,0.384,473500,MYR
2013-04-29,0.384,0.384,0.38,0.384,641000,MYR
2013-04-30,0.382,0.392,0.38,0.392,3644000,MYR
2013-05-02,0.382,0.39,0.38,0.39,345500,MYR
2013-05-03,0.38,0.388,0.378,0.378,209500,MYR
2013-05-06,0.384,0.384,0.38,0.384,1920000,MYR
2013-05-07,0.382,0.384,0.382,0.384,1634000,MYR
2013-05-08,0.384,0.384,0.38,0.382,1170500,MYR
2013-05-09,0.382,0.384,0.382,0.384,1030500,MYR
2013-05-10,0.384,0.392,0.384,0.39,412000,MYR
2013-05-13,0.392,0.396,0.39,0.394,456500,MYR
2013-05-14,0.394,0.396,0.39,0.396,696000,MYR
2013-05-15,0.396,0.396,0.392,0.396,1310500,MYR
