Date,Open,High,Low,Close,Volume,Currency
2013-01-22,0.145,0.16,0.145,0.16,58100,MYR
2013-01-25,0.15,0.15,0.15,0.15,50000,MYR
2013-01-29,0.155,0.155,0.15,0.15,105000,MYR
2013-02-04,0.14,0.14,0.14,0.14,100000,MYR
2013-02-05,0.14,0.14,0.14,0.14,65000,MYR
2013-02-06,0.14,0.14,0.14,0.14,92000,MYR
2013-02-07,0.14,0.14,0.135,0.14,75000,MYR
2013-02-14,0.135,0.135,0.135,0.135,5000,MYR
2013-02-18,0.135,0.15,0.135,0.145,50000,MYR
2013-02-20,0.145,0.15,0.145,0.15,30000,MYR
2013-02-21,0.14,0.14,0.12,0.135,122000,MYR
2013-02-22,0.14,0.14,0.135,0.14,58000,MYR
2013-02-25,0.14,0.145,0.135,0.145,72000,MYR
2013-02-26,0.14,0.14,0.135,0.135,35000,MYR
2013-02-27,0.145,0.16,0.13,0.145,23500,MYR
2013-03-01,0.15,0.15,0.14,0.145,40200,MYR
2013-03-04,0.15,0.15,0.15,0.15,200,MYR
2013-03-06,0.155,0.155,0.145,0.145,66700,MYR
2013-03-07,0.14,0.15,0.135,0.15,40200,MYR
2013-03-11,0.155,0.155,0.155,0.155,100,MYR
2013-03-12,0.155,0.155,0.135,0.15,16300,MYR
2013-03-13,0.155,0.155,0.155,0.155,100,MYR
2013-03-14,0.135,0.145,0.13,0.135,20800,MYR
2013-03-15,0.145,0.16,0.14,0.14,249400,MYR
2013-03-18,0.135,0.135,0.135,0.135,20000,MYR
2013-03-19,0.135,0.135,0.135,0.135,61000,MYR
2013-03-20,0.13,0.135,0.13,0.135,40000,MYR
2013-03-21,0.135,0.135,0.135,0.135,40000,MYR
2013-03-22,0.145,0.16,0.135,0.135,16100,MYR
2013-03-26,0.13,0.13,0.13,0.13,66900,MYR
2013-03-27,0.125,0.125,0.125,0.125,28300,MYR
2013-03-28,0.125,0.125,0.125,0.125,10000,MYR
2013-03-29,0.125,0.13,0.125,0.13,22500,MYR
2013-04-01,0.13,0.13,0.125,0.125,15000,MYR
2013-04-02,0.125,0.13,0.125,0.13,119500,MYR
2013-04-03,0.13,0.13,0.13,0.13,23800,MYR
2013-04-04,0.125,0.125,0.125,0.125,37500,MYR
2013-04-05,0.13,0.14,0.125,0.14,60500,MYR
2013-04-08,0.135,0.135,0.135,0.135,32000,MYR
2013-04-09,0.135,0.14,0.135,0.135,33100,MYR
2013-04-10,0.14,0.14,0.14,0.14,90000,MYR
2013-04-11,0.14,0.14,0.14,0.14,100000,MYR
2013-04-12,0.135,0.145,0.135,0.135,31400,MYR
2013-04-15,0.13,0.145,0.13,0.14,112400,MYR
2013-04-16,0.14,0.155,0.14,0.155,344300,MYR
