Date,Open,High,Low,Close,Volume,Currency
2013-01-30,0.41,0.41,0.405,0.405,447000,MYR
2013-01-31,0.4,0.405,0.395,0.405,290000,MYR
2013-02-04,0.4,0.405,0.395,0.395,424700,MYR
2013-02-05,0.39,0.395,0.385,0.385,52000,MYR
2013-02-06,0.38,0.38,0.37,0.375,171600,MYR
2013-02-07,0.375,0.395,0.375,0.395,268300,MYR
2013-02-08,0.39,0.395,0.385,0.395,300000,MYR
2013-02-13,0.39,0.39,0.39,0.39,36000,MYR
2013-02-14,0.38,0.41,0.38,0.41,155300,MYR
2013-02-15,0.395,0.41,0.395,0.395,76000,MYR
2013-02-18,0.4,0.4,0.38,0.38,229000,MYR
2013-02-19,0.385,0.385,0.38,0.38,64300,MYR
2013-02-20,0.38,0.38,0.375,0.375,140700,MYR
2013-02-21,0.375,0.375,0.37,0.37,204600,MYR
2013-02-22,0.37,0.38,0.365,0.375,210400,MYR
2013-02-25,0.37,0.375,0.37,0.37,48000,MYR
2013-02-26,0.36,0.37,0.36,0.37,460800,MYR
2013-02-27,0.365,0.37,0.365,0.365,130000,MYR
2013-02-28,0.365,0.365,0.355,0.365,404100,MYR
2013-03-01,0.365,0.37,0.36,0.37,189500,MYR
2013-03-04,0.365,0.365,0.355,0.355,100500,MYR
2013-03-05,0.365,0.39,0.365,0.39,320800,MYR
2013-03-06,0.39,0.4,0.385,0.395,306600,MYR
2013-03-07,0.39,0.395,0.385,0.385,132400,MYR
2013-03-08,0.385,0.395,0.38,0.39,201000,MYR
2013-03-11,0.375,0.39,0.375,0.385,21100,MYR
2013-03-12,0.39,0.395,0.39,0.39,168800,MYR
2013-03-13,0.39,0.415,0.39,0.405,1265700,MYR
2013-03-14,0.41,0.42,0.4,0.4,2018000,MYR
2013-03-15,0.4,0.41,0.4,0.4,363200,MYR
2013-03-18,0.405,0.405,0.385,0.39,99000,MYR
2013-03-19,0.39,0.395,0.385,0.395,209000,MYR
2013-03-20,0.39,0.41,0.39,0.41,1315600,MYR
2013-03-21,0.405,0.475,0.405,0.455,10953500,MYR
2013-03-22,0.445,0.46,0.415,0.415,1590700,MYR
2013-03-25,0.41,0.42,0.405,0.415,430000,MYR
2013-03-26,0.415,0.43,0.41,0.42,643000,MYR
2013-03-27,0.42,0.425,0.41,0.42,1185200,MYR
2013-03-28,0.41,0.415,0.405,0.405,431000,MYR
2013-03-29,0.405,0.405,0.4,0.405,205600,MYR
2013-04-01,0.4,0.4,0.39,0.39,289700,MYR
2013-04-02,0.405,0.42,0.405,0.41,974500,MYR
2013-04-03,0.42,0.42,0.395,0.41,601600,MYR
2013-04-04,0.41,0.42,0.4,0.42,695700,MYR
2013-04-05,0.42,0.44,0.415,0.43,1440800,MYR
2013-04-08,0.43,0.435,0.42,0.43,418500,MYR
2013-04-09,0.435,0.445,0.42,0.445,1461300,MYR
2013-04-10,0.45,0.45,0.425,0.43,569800,MYR
2013-04-11,0.435,0.44,0.425,0.44,311300,MYR
2013-04-12,0.435,0.435,0.42,0.42,329900,MYR
2013-04-15,0.42,0.42,0.395,0.41,692000,MYR
2013-04-16,0.4,0.41,0.4,0.41,172000,MYR
2013-04-17,0.405,0.415,0.405,0.41,211100,MYR
2013-04-18,0.41,0.41,0.4,0.4,330700,MYR
2013-04-19,0.4,0.405,0.4,0.4,291000,MYR
2013-04-22,0.4,0.4,0.39,0.395,366000,MYR
2013-04-23,0.395,0.395,0.385,0.385,375300,MYR
2013-04-24,0.385,0.385,0.38,0.385,148800,MYR
2013-04-25,0.385,0.39,0.385,0.385,69200,MYR
2013-04-26,0.385,0.41,0.38,0.39,1325500,MYR
2013-04-29,0.39,0.39,0.385,0.385,268700,MYR
2013-04-30,0.38,0.39,0.375,0.375,852700,MYR
2013-05-02,0.37,0.375,0.365,0.365,320600,MYR
2013-05-03,0.36,0.36,0.35,0.36,853700,MYR
2013-05-06,0.395,0.41,0.395,0.4,1707700,MYR
2013-05-07,0.405,0.44,0.4,0.43,2412000,MYR
2013-05-08,0.43,0.43,0.41,0.42,797100,MYR
2013-05-09,0.42,0.425,0.415,0.415,1266900,MYR
2013-05-10,0.415,0.435,0.415,0.435,2380400,MYR
2013-05-13,0.44,0.46,0.44,0.46,4534400,MYR
2013-05-14,0.465,0.465,0.435,0.45,3131100,MYR
2013-05-15,0.45,0.46,0.445,0.45,1599800,MYR
2013-05-16,0.445,0.49,0.445,0.475,11895200,MYR
2013-05-17,0.485,0.485,0.465,0.47,1183800,MYR
2013-05-20,0.475,0.5,0.47,0.49,4829700,MYR
2013-05-21,0.495,0.495,0.48,0.48,2824700,MYR
2013-05-22,0.485,0.515,0.485,0.495,12559300,MYR
2013-05-23,0.495,0.495,0.47,0.475,1579000,MYR
2013-05-27,0.48,0.51,0.48,0.495,6539100,MYR
2013-05-28,0.5,0.51,0.495,0.51,3278600,MYR
2013-05-29,0.51,0.535,0.51,0.51,7114600,MYR
2013-05-30,0.51,0.525,0.51,0.52,3325800,MYR
2013-05-31,0.525,0.555,0.525,0.535,6237700,MYR
2013-06-03,0.535,0.535,0.515,0.52,1941100,MYR
2013-06-04,0.53,0.535,0.51,0.52,2643500,MYR
2013-06-05,0.52,0.525,0.505,0.515,2080000,MYR
2013-06-06,0.51,0.51,0.495,0.505,2124200,MYR
2013-06-07,0.505,0.515,0.5,0.515,2268700,MYR
2013-06-10,0.52,0.525,0.51,0.525,2995700,MYR
2013-06-11,0.525,0.525,0.505,0.51,1269900,MYR
2013-06-12,0.5,0.51,0.5,0.505,1335900,MYR
2013-06-13,0.505,0.505,0.475,0.485,2160200,MYR
2013-06-14,0.485,0.5,0.48,0.485,1586700,MYR
2013-06-17,0.485,0.49,0.48,0.48,392700,MYR
2013-06-18,0.48,0.48,0.475,0.475,562000,MYR
2013-06-19,0.48,0.485,0.465,0.475,1038400,MYR
2013-06-20,0.465,0.465,0.455,0.46,879100,MYR
2013-06-21,0.455,0.465,0.45,0.465,587300,MYR
2013-06-24,0.46,0.46,0.445,0.445,760600,MYR
2013-06-25,0.445,0.45,0.44,0.445,744200,MYR
2013-06-26,0.445,0.45,0.44,0.45,767100,MYR
2013-06-27,0.45,0.455,0.45,0.455,334700,MYR
2013-06-28,0.46,0.48,0.46,0.475,958300,MYR
2013-07-01,0.465,0.475,0.46,0.465,102700,MYR
2013-07-02,0.465,0.465,0.455,0.455,186000,MYR
2013-07-03,0.46,0.46,0.455,0.46,181100,MYR
2013-07-04,0.455,0.48,0.455,0.48,342400,MYR
2013-07-05,0.475,0.5,0.475,0.495,1501200,MYR
2013-07-08,0.5,0.51,0.49,0.49,1643700,MYR
2013-07-09,0.5,0.5,0.49,0.49,634500,MYR
2013-07-10,0.49,0.495,0.485,0.495,180800,MYR
2013-07-11,0.495,0.515,0.495,0.505,4701700,MYR
2013-07-12,0.505,0.505,0.495,0.495,652000,MYR
2013-07-15,0.5,0.505,0.495,0.505,927000,MYR
2013-07-16,0.505,0.52,0.5,0.51,2394000,MYR
2013-07-17,0.51,0.535,0.505,0.53,4408100,MYR
2013-07-18,0.525,0.54,0.52,0.525,1903500,MYR
2013-07-19,0.525,0.53,0.515,0.515,1151900,MYR
2013-07-22,0.51,0.515,0.51,0.51,943800,MYR
2013-07-23,0.51,0.525,0.505,0.505,3148100,MYR
2013-07-24,0.505,0.51,0.505,0.505,1045600,MYR
2013-07-25,0.51,0.51,0.5,0.5,1078700,MYR
2013-07-26,0.495,0.5,0.495,0.5,617000,MYR
2013-07-29,0.495,0.495,0.485,0.485,1273500,MYR
2013-07-30,0.485,0.485,0.475,0.485,839500,MYR
2013-07-31,0.48,0.48,0.465,0.47,542700,MYR
2013-08-01,0.47,0.48,0.47,0.48,577000,MYR
2013-08-02,0.485,0.495,0.485,0.485,793000,MYR
2013-08-05,0.48,0.485,0.475,0.475,299200,MYR
2013-08-06,0.475,0.51,0.475,0.5,1797000,MYR
2013-08-07,0.505,0.505,0.49,0.495,986200,MYR
2013-08-12,0.5,0.51,0.49,0.495,1020300,MYR
2013-08-13,0.495,0.51,0.495,0.505,1304800,MYR
2013-08-14,0.505,0.515,0.505,0.51,1344700,MYR
2013-08-15,0.51,0.51,0.5,0.51,929400,MYR
2013-08-16,0.505,0.51,0.505,0.51,793600,MYR
2013-08-19,0.51,0.52,0.505,0.515,1465900,MYR
2013-08-20,0.51,0.51,0.475,0.48,1301200,MYR
2013-08-21,0.48,0.49,0.48,0.49,497900,MYR
2013-08-22,0.48,0.48,0.465,0.475,474400,MYR
2013-08-23,0.485,0.485,0.475,0.475,396900,MYR
2013-08-26,0.47,0.49,0.46,0.47,766700,MYR
