Date,Open,High,Low,Close,Volume,Currency
2013-01-29,1.76,1.76,1.76,1.76,2000,MYR
2013-01-30,1.8,1.83,1.78,1.81,21900,MYR
2013-01-31,1.82,1.84,1.8,1.84,35500,MYR
2013-02-05,1.86,1.86,1.86,1.86,1000,MYR
2013-02-13,1.85,1.85,1.85,1.85,3000,MYR
2013-02-14,1.86,1.86,1.8,1.8,5100,MYR
2013-02-15,1.84,1.85,1.84,1.85,56600,MYR
2013-02-18,1.81,1.82,1.81,1.82,4000,MYR
2013-02-19,1.85,1.85,1.85,1.85,11200,MYR
2013-02-20,1.85,1.85,1.82,1.82,35000,MYR
2013-02-21,1.82,1.82,1.81,1.81,4000,MYR
2013-02-22,1.82,1.82,1.82,1.82,1000,MYR
2013-02-25,1.8,1.8,1.8,1.8,3100,MYR
2013-02-28,1.8,1.8,1.79,1.79,8000,MYR
2013-03-01,1.78,1.78,1.78,1.78,2000,MYR
2013-03-04,1.78,1.78,1.78,1.78,21000,MYR
2013-03-06,1.78,1.78,1.78,1.78,2000,MYR
2013-03-12,1.74,1.77,1.71,1.73,154500,MYR
2013-03-13,1.75,1.75,1.67,1.67,82000,MYR
2013-03-14,1.71,1.73,1.68,1.73,9100,MYR
2013-03-15,1.7,1.7,1.7,1.7,2000,MYR
2013-03-20,1.7,1.75,1.7,1.7,5500,MYR
2013-03-21,1.7,1.7,1.7,1.7,8000,MYR
2013-03-22,1.76,1.76,1.76,1.76,1200,MYR
2013-03-26,1.73,1.73,1.73,1.73,4000,MYR
2013-03-27,1.74,1.8,1.74,1.79,16400,MYR
2013-03-28,1.79,1.79,1.79,1.79,7600,MYR
2013-03-29,1.81,1.81,1.8,1.8,3000,MYR
2013-04-01,1.83,1.83,1.83,1.83,7500,MYR
2013-04-02,1.83,1.83,1.83,1.83,13500,MYR
2013-04-03,1.83,1.83,1.81,1.83,18700,MYR
2013-04-04,1.84,1.84,1.84,1.84,10500,MYR
2013-04-05,1.85,1.85,1.84,1.84,7000,MYR
2013-04-08,1.85,1.85,1.85,1.85,29000,MYR
2013-04-10,1.86,1.86,1.86,1.86,14000,MYR
2013-04-11,1.87,1.87,1.87,1.87,2000,MYR
2013-04-12,1.88,1.88,1.88,1.88,600,MYR
2013-04-15,1.88,1.88,1.88,1.88,2000,MYR
2013-04-16,1.88,1.93,1.88,1.93,12000,MYR
2013-04-18,1.98,1.98,1.9,1.91,16700,MYR
2013-04-19,1.91,1.91,1.91,1.91,3000,MYR
2013-04-22,1.91,1.91,1.91,1.91,2000,MYR
2013-04-23,1.92,1.92,1.92,1.92,20000,MYR
2013-04-24,1.9,1.9,1.9,1.9,5000,MYR
2013-04-25,1.9,1.9,1.9,1.9,2000,MYR
2013-04-26,1.93,1.93,1.91,1.91,36000,MYR
2013-04-29,1.9,1.92,1.9,1.91,69100,MYR
2013-04-30,1.91,1.91,1.91,1.91,49700,MYR
2013-05-02,1.89,1.9,1.89,1.89,47400,MYR
2013-05-03,1.9,1.9,1.86,1.86,49600,MYR
2013-05-06,1.88,1.88,1.88,1.88,100,MYR
2013-05-07,1.89,1.89,1.89,1.89,5000,MYR
2013-05-08,1.9,1.9,1.9,1.9,7500,MYR
2013-05-09,1.9,1.9,1.9,1.9,1500,MYR
2013-05-10,1.9,1.91,1.9,1.91,21500,MYR
2013-05-13,1.91,1.91,1.91,1.91,4200,MYR
2013-05-14,1.95,1.95,1.95,1.95,10000,MYR
2013-05-16,1.97,2.04,1.96,1.98,15300,MYR
2013-05-17,2.0,2.0,2.0,2.0,16200,MYR
2013-05-20,2.02,2.05,2.01,2.02,68500,MYR
2013-05-21,2.03,2.05,2.03,2.03,25000,MYR
2013-05-22,2.02,2.02,2.02,2.02,12500,MYR
2013-05-23,2.01,2.01,2.01,2.01,5000,MYR
2013-05-27,2.01,2.01,2.0,2.0,11100,MYR
2013-05-28,2.0,2.01,2.0,2.01,28000,MYR
2013-05-29,2.06,2.06,2.05,2.05,7500,MYR
2013-05-30,2.04,2.04,2.0,2.0,17000,MYR
2013-06-03,2.0,2.0,2.0,2.0,3000,MYR
2013-06-04,2.0,2.0,1.96,1.96,11000,MYR
2013-06-05,1.95,1.95,1.95,1.95,1500,MYR
2013-06-06,1.95,1.95,1.95,1.95,15500,MYR
2013-06-07,2.1,2.11,2.02,2.05,101000,MYR
2013-06-10,2.0,2.0,2.0,2.0,5500,MYR
2013-06-12,1.99,2.09,1.99,2.09,25500,MYR
2013-06-13,2.0,2.0,2.0,2.0,15000,MYR
2013-06-14,2.0,2.0,2.0,2.0,25000,MYR
2013-06-19,2.0,2.05,1.93,2.05,291000,MYR
2013-06-24,1.91,1.91,1.91,1.91,4000,MYR
2013-07-01,1.93,2.0,1.93,2.0,59000,MYR
2013-07-02,2.0,2.02,2.0,2.02,18000,MYR
2013-07-03,1.99,2.02,1.98,2.02,33500,MYR
2013-07-04,1.99,2.02,1.99,2.02,18000,MYR
2013-07-05,2.03,2.03,2.03,2.03,10100,MYR
2013-07-08,2.01,2.02,2.0,2.02,19500,MYR
2013-07-11,2.0,2.0,1.99,1.99,5100,MYR
2013-07-12,1.99,1.99,1.98,1.98,5000,MYR
2013-07-17,2.0,2.05,2.0,2.05,9500,MYR
2013-07-18,2.07,2.07,2.07,2.07,2500,MYR
2013-07-23,2.03,2.03,2.03,2.03,1000,MYR
2013-07-24,2.0,2.03,2.0,2.03,12000,MYR
2013-07-25,2.03,2.05,2.03,2.05,10700,MYR
2013-07-26,2.0,2.0,1.99,1.99,7000,MYR
2013-07-30,2.04,2.04,2.04,2.04,1500,MYR
2013-08-01,1.98,1.98,1.98,1.98,43000,MYR
2013-08-12,1.95,2.07,1.95,2.07,12000,MYR
2013-08-13,2.05,2.05,2.05,2.05,3500,MYR
2013-08-14,2.05,2.05,2.05,2.05,6300,MYR
2013-08-15,2.04,2.04,2.04,2.04,1000,MYR
2013-08-16,2.04,2.06,2.03,2.04,55500,MYR
2013-08-19,2.04,2.05,2.04,2.05,27000,MYR
2013-08-20,2.07,2.07,2.05,2.05,58000,MYR
2013-08-21,2.04,2.04,2.0,2.03,32500,MYR
2013-08-22,2.03,2.03,2.01,2.02,48600,MYR
2013-08-23,2.01,2.01,2.0,2.0,15000,MYR
2013-08-26,2.0,2.05,2.0,2.05,29500,MYR
2013-08-27,2.0,2.03,2.0,2.02,63000,MYR
2013-08-28,1.9,1.91,1.9,1.9,41000,MYR
2013-09-03,2.0,2.0,2.0,2.0,4000,MYR
2013-09-09,2.0,2.02,2.0,2.0,10100,MYR
2013-09-10,2.03,2.03,2.03,2.03,6000,MYR
2013-09-12,2.0,2.03,2.0,2.03,7000,MYR
2013-09-17,2.02,2.02,1.9,1.9,1000,MYR
2013-09-19,2.0,2.0,2.0,2.0,800,MYR
2013-09-23,2.0,2.02,2.0,2.02,5700,MYR
2013-09-27,2.01,2.05,2.01,2.05,21000,MYR
2013-09-30,2.02,2.05,2.02,2.03,73500,MYR
2013-10-01,2.03,2.03,2.03,2.03,3000,MYR
2013-10-02,2.03,2.03,2.0,2.0,10000,MYR
2013-10-03,2.0,2.0,2.0,2.0,22000,MYR
2013-10-04,2.0,2.01,2.0,2.0,66000,MYR
2013-10-08,2.0,2.02,2.0,2.0,61600,MYR
2013-10-14,1.86,2.0,1.86,2.0,2000,MYR
2013-10-16,2.0,2.0,2.0,2.0,100,MYR
2013-10-17,1.97,1.99,1.97,1.98,66900,MYR
2013-10-22,2.01,2.01,2.0,2.0,36000,MYR
2013-10-24,2.0,2.0,2.0,2.0,2600,MYR
2013-10-25,2.0,2.02,2.0,2.02,6000,MYR
2013-10-30,2.06,2.06,2.06,2.06,15000,MYR
2013-10-31,2.07,2.08,2.07,2.07,13000,MYR
