Date,Open,High,Low,Close,Volume,Currency
2013-01-30,0.395,0.395,0.385,0.385,484600,MYR
2013-01-31,0.39,0.39,0.38,0.385,622800,MYR
2013-02-04,0.385,0.385,0.38,0.385,560300,MYR
2013-02-05,0.38,0.38,0.37,0.375,1642200,MYR
2013-02-06,0.375,0.375,0.365,0.37,923700,MYR
2013-02-07,0.365,0.37,0.365,0.37,360700,MYR
2013-02-08,0.37,0.38,0.37,0.38,207800,MYR
2013-02-13,0.375,0.38,0.37,0.375,296800,MYR
2013-02-14,0.37,0.38,0.37,0.38,340400,MYR
2013-02-15,0.385,0.415,0.385,0.41,1885800,MYR
2013-02-18,0.41,0.41,0.395,0.395,603700,MYR
2013-02-19,0.4,0.4,0.39,0.4,1090500,MYR
2013-02-20,0.405,0.415,0.4,0.405,2690200,MYR
2013-02-21,0.4,0.4,0.39,0.39,431600,MYR
2013-02-22,0.395,0.405,0.395,0.405,840700,MYR
2013-02-25,0.395,0.4,0.39,0.39,1078100,MYR
2013-02-26,0.39,0.39,0.385,0.385,550500,MYR
2013-02-27,0.39,0.39,0.38,0.38,682200,MYR
2013-02-28,0.385,0.385,0.38,0.38,1293800,MYR
2013-03-01,0.38,0.385,0.38,0.38,498900,MYR
2013-03-04,0.38,0.38,0.375,0.375,356200,MYR
2013-03-05,0.38,0.38,0.375,0.38,440000,MYR
2013-03-06,0.385,0.395,0.385,0.39,931100,MYR
2013-03-07,0.395,0.4,0.39,0.4,912800,MYR
2013-03-08,0.395,0.4,0.395,0.395,1481800,MYR
2013-03-11,0.395,0.395,0.39,0.395,591800,MYR
2013-03-12,0.395,0.415,0.395,0.415,3620000,MYR
2013-03-13,0.41,0.42,0.405,0.41,2039200,MYR
2013-03-14,0.415,0.415,0.395,0.405,1683100,MYR
2013-03-15,0.4,0.405,0.385,0.385,1604400,MYR
2013-03-18,0.385,0.405,0.385,0.4,2747300,MYR
2013-03-19,0.405,0.42,0.395,0.42,3747600,MYR
2013-03-20,0.42,0.43,0.415,0.415,5477300,MYR
2013-03-21,0.415,0.425,0.405,0.425,2543300,MYR
2013-03-22,0.42,0.425,0.405,0.42,2336300,MYR
2013-03-25,0.415,0.415,0.405,0.41,3435200,MYR
2013-03-26,0.405,0.41,0.4,0.405,1302600,MYR
2013-03-27,0.405,0.41,0.405,0.405,644200,MYR
2013-03-28,0.405,0.415,0.4,0.415,1722700,MYR
2013-03-29,0.415,0.415,0.405,0.415,1914500,MYR
2013-04-01,0.41,0.42,0.405,0.42,3405000,MYR
