Date,Open,High,Low,Close,Volume,Currency
2013-03-28,1.11,1.15,1.11,1.15,2300,MYR
2013-03-29,1.14,1.15,1.14,1.15,12400,MYR
2013-04-01,1.15,1.15,1.15,1.15,2100,MYR
2013-04-02,1.15,1.15,1.11,1.13,39900,MYR
2013-04-03,1.1,1.13,1.1,1.13,5500,MYR
2013-04-04,1.13,1.15,1.1,1.1,10000,MYR
2013-04-05,1.1,1.1,1.1,1.1,3000,MYR
2013-04-08,1.15,1.16,1.12,1.15,20300,MYR
2013-04-09,1.13,1.14,1.13,1.14,38700,MYR
2013-04-10,1.14,1.14,1.14,1.14,2000,MYR
2013-04-11,1.12,1.14,1.12,1.13,16800,MYR
2013-04-12,1.14,1.16,1.14,1.16,11800,MYR
2013-04-16,1.12,1.16,1.12,1.15,17000,MYR
2013-04-17,1.15,1.15,1.15,1.15,2000,MYR
2013-04-18,1.13,1.13,1.13,1.13,3000,MYR
2013-04-19,1.15,1.2,1.15,1.2,17700,MYR
2013-04-23,1.19,1.19,1.19,1.19,1000,MYR
2013-04-25,1.16,1.16,1.16,1.16,2000,MYR
2013-04-26,1.16,1.17,1.16,1.17,6000,MYR
2013-04-29,1.17,1.17,1.17,1.17,1000,MYR
2013-05-02,1.16,1.16,1.0,1.05,18600,MYR
2013-05-03,1.14,1.14,1.14,1.14,6900,MYR
2013-05-06,1.15,1.18,1.15,1.18,20000,MYR
2013-05-07,1.1,1.1,1.1,1.1,5000,MYR
2013-05-08,1.14,1.17,1.14,1.17,5000,MYR
2013-05-09,1.17,1.19,1.17,1.19,51600,MYR
2013-05-10,1.2,1.2,1.2,1.2,8000,MYR
2013-05-13,1.2,1.23,1.2,1.23,16700,MYR
2013-05-14,1.2,1.21,1.2,1.21,15000,MYR
2013-05-15,1.22,1.26,1.22,1.26,33000,MYR
2013-05-17,1.25,1.25,1.25,1.25,5000,MYR
2013-05-21,1.27,1.35,1.27,1.35,14000,MYR
2013-05-27,1.17,1.23,1.16,1.21,45100,MYR
2013-05-28,1.22,1.22,1.2,1.2,69300,MYR
2013-05-29,1.21,1.21,1.19,1.19,7100,MYR
2013-05-31,1.22,1.22,1.17,1.17,29000,MYR
2013-06-03,1.16,1.16,1.16,1.16,11900,MYR
2013-06-04,1.16,1.16,1.16,1.16,2600,MYR
2013-06-05,1.17,1.18,1.17,1.18,28700,MYR
2013-06-06,1.18,1.18,1.17,1.17,11500,MYR
2013-06-10,1.19,1.2,1.19,1.2,77600,MYR
2013-06-18,1.2,1.2,1.2,1.2,20000,MYR
2013-06-19,1.18,1.22,1.18,1.22,5000,MYR
2013-06-20,1.15,1.15,1.15,1.15,3000,MYR
2013-06-21,1.16,1.2,1.16,1.2,28600,MYR
2013-06-25,1.19,1.2,1.19,1.2,11400,MYR
2013-06-27,1.2,1.25,1.2,1.25,10200,MYR
2013-07-04,1.25,1.25,1.25,1.25,2000,MYR
2013-07-05,1.3,1.39,1.3,1.38,144400,MYR
2013-07-12,1.38,1.43,1.23,1.38,11400,MYR
2013-07-17,1.38,1.45,1.38,1.45,20200,MYR
2013-07-19,1.32,1.34,1.32,1.34,16800,MYR
2013-07-22,1.34,1.34,1.3,1.3,5000,MYR
2013-07-30,1.25,1.25,1.25,1.25,20000,MYR
2013-08-15,1.2,1.2,1.2,1.2,3000,MYR
2013-08-20,1.25,1.25,1.25,1.25,2000,MYR
2013-08-23,1.2,1.2,1.2,1.2,1800,MYR
2013-08-28,1.12,1.18,1.11,1.18,5000,MYR
2013-08-29,1.2,1.2,1.2,1.2,4000,MYR
2013-09-03,1.1,1.1,1.1,1.1,1000,MYR
2013-09-05,1.1,1.1,1.1,1.1,1800,MYR
2013-09-06,1.15,1.15,1.13,1.13,1100,MYR
2013-09-10,1.15,1.15,1.15,1.15,1800,MYR
2013-09-11,1.2,1.2,1.2,1.2,3000,MYR
2013-09-13,1.17,1.17,1.17,1.17,2400,MYR
2013-09-19,1.17,1.3,1.17,1.3,26100,MYR
2013-09-20,1.1,1.2,1.1,1.2,7700,MYR
2013-09-23,1.25,1.25,1.21,1.21,12000,MYR
2013-09-27,1.2,1.2,1.2,1.2,9800,MYR
2013-09-30,1.2,1.2,1.2,1.2,10000,MYR
2013-10-01,1.18,1.2,1.18,1.2,10100,MYR
2013-10-03,1.2,1.2,1.2,1.2,3200,MYR
2013-10-04,1.2,1.2,1.19,1.19,5000,MYR
2013-10-07,1.19,1.19,1.19,1.19,8900,MYR
2013-10-08,1.19,1.21,1.19,1.2,37000,MYR
2013-10-09,1.2,1.23,1.2,1.23,22000,MYR
2013-10-11,1.2,1.2,1.2,1.2,2000,MYR
2013-10-14,1.21,1.21,1.21,1.21,2000,MYR
2013-10-16,1.2,1.2,1.2,1.2,10000,MYR
2013-10-17,1.22,1.23,1.22,1.23,18000,MYR
2013-10-22,1.23,1.23,1.23,1.23,100,MYR
2013-10-23,1.23,1.28,1.23,1.23,17800,MYR
2013-10-24,1.25,1.35,1.25,1.34,143500,MYR
2013-10-25,1.35,1.35,1.34,1.34,10500,MYR
2013-10-28,1.33,1.33,1.33,1.33,10000,MYR
2013-10-29,1.32,1.33,1.32,1.33,17200,MYR
2013-10-30,1.32,1.33,1.31,1.31,34500,MYR
2013-10-31,1.32,1.32,1.32,1.32,9000,MYR
2013-11-04,1.32,1.32,1.32,1.32,2000,MYR
2013-11-06,1.32,1.33,1.32,1.33,27000,MYR
2013-11-07,1.34,1.4,1.34,1.4,10000,MYR
2013-11-08,1.4,1.4,1.4,1.4,58000,MYR
2013-11-11,1.36,1.4,1.36,1.4,14800,MYR
2013-11-12,1.4,1.4,1.4,1.4,14400,MYR
2013-11-13,1.4,1.46,1.4,1.46,18200,MYR
2013-11-18,1.4,1.45,1.4,1.45,3100,MYR
2013-11-25,1.44,1.46,1.44,1.46,31900,MYR
2013-11-27,1.33,1.43,1.33,1.43,4600,MYR
2013-11-28,1.43,1.43,1.41,1.43,9000,MYR
2013-12-02,1.43,1.45,1.43,1.45,36900,MYR
2013-12-03,1.47,1.48,1.47,1.48,11800,MYR
2013-12-04,1.49,1.5,1.49,1.5,10500,MYR
2013-12-09,1.51,1.52,1.51,1.52,10000,MYR
2013-12-10,1.5,1.52,1.5,1.52,5100,MYR
2013-12-11,1.5,1.5,1.5,1.5,9000,MYR
2013-12-12,1.5,1.5,1.5,1.5,15000,MYR
2013-12-16,1.42,1.44,1.42,1.43,86900,MYR
2013-12-18,1.36,1.36,1.35,1.35,2000,MYR
2013-12-19,1.42,1.43,1.42,1.42,5100,MYR
2013-12-30,1.38,1.38,1.36,1.37,100000,MYR
2013-12-31,1.4,1.4,1.4,1.4,43000,MYR
2014-01-02,1.37,1.37,1.37,1.37,1800,MYR
2014-01-03,1.36,1.44,1.36,1.42,23000,MYR
2014-01-06,1.42,1.47,1.42,1.46,48700,MYR
2014-01-07,1.48,1.5,1.48,1.5,10400,MYR
2014-01-08,1.5,1.5,1.5,1.5,9000,MYR
2014-01-10,1.42,1.42,1.42,1.42,8000,MYR
2014-01-20,1.39,1.4,1.37,1.4,33900,MYR
2014-01-21,1.43,1.44,1.4,1.44,54400,MYR
2014-01-22,1.4,1.42,1.4,1.42,20000,MYR
2014-01-23,1.4,1.4,1.4,1.4,26000,MYR
2014-01-24,1.4,1.41,1.39,1.39,15400,MYR
2014-01-27,1.4,1.4,1.4,1.4,8000,MYR
2014-02-04,1.4,1.4,1.4,1.4,3000,MYR
2014-02-05,1.42,1.45,1.42,1.42,28300,MYR
2014-02-06,1.44,1.51,1.43,1.51,66900,MYR
2014-02-07,1.5,1.5,1.46,1.46,21000,MYR
2014-02-10,1.5,1.52,1.46,1.5,125200,MYR
2014-02-11,1.5,1.52,1.5,1.52,38000,MYR
2014-02-12,1.52,1.52,1.5,1.5,40000,MYR
2014-02-13,1.5,1.5,1.48,1.48,20000,MYR
2014-02-14,1.49,1.49,1.49,1.49,7600,MYR
2014-02-17,1.5,1.51,1.5,1.5,181700,MYR
2014-02-20,1.48,1.48,1.47,1.47,13000,MYR
2014-02-21,1.47,1.47,1.47,1.47,7000,MYR
2014-02-24,1.5,1.53,1.5,1.5,136900,MYR
2014-02-25,1.5,1.5,1.46,1.48,25400,MYR
2014-02-26,1.51,1.52,1.51,1.51,61100,MYR
2014-02-27,1.52,1.54,1.52,1.53,196200,MYR
2014-02-28,1.52,1.6,1.52,1.57,307000,MYR
2014-03-03,1.6,1.62,1.59,1.6,225500,MYR
2014-03-04,1.56,1.56,1.56,1.56,20000,MYR
2014-03-05,1.58,1.6,1.56,1.59,45000,MYR
2014-03-06,1.55,1.56,1.55,1.56,25000,MYR
2014-03-07,1.6,1.6,1.59,1.59,30100,MYR
2014-03-10,1.59,1.59,1.59,1.59,10000,MYR
2014-03-12,1.57,1.58,1.57,1.58,10000,MYR
2014-03-17,1.55,1.55,1.55,1.55,3000,MYR
2014-03-18,1.56,1.62,1.56,1.59,119400,MYR
2014-03-25,1.6,1.72,1.6,1.71,222000,MYR
2014-03-26,1.72,1.77,1.7,1.76,332000,MYR
2014-03-27,1.77,1.82,1.76,1.79,217600,MYR
2014-03-31,1.79,1.84,1.79,1.82,216000,MYR
2014-04-01,1.82,1.86,1.82,1.86,35000,MYR
2014-04-02,1.85,1.86,1.85,1.86,28000,MYR
2014-04-03,1.86,1.86,1.77,1.83,64600,MYR
2014-04-04,1.84,1.84,1.82,1.82,33000,MYR
2014-04-07,1.81,1.81,1.8,1.8,30000,MYR
2014-04-08,1.82,1.82,1.8,1.82,29700,MYR
2014-04-09,1.8,1.81,1.79,1.8,26300,MYR
2014-04-10,1.8,1.82,1.8,1.8,121000,MYR
2014-04-11,1.8,1.8,1.8,1.8,10000,MYR
2014-04-14,1.82,1.82,1.74,1.74,17600,MYR
2014-04-15,1.76,1.76,1.71,1.71,104000,MYR
2014-04-16,1.75,1.76,1.73,1.75,86400,MYR
2014-04-17,1.75,1.75,1.75,1.75,22500,MYR
2014-04-18,1.75,1.75,1.75,1.75,7200,MYR
2014-04-21,1.75,1.75,1.74,1.75,30800,MYR
2014-04-22,1.74,1.74,1.74,1.74,8000,MYR
2014-04-23,1.74,1.74,1.74,1.74,10000,MYR
2014-04-24,1.74,1.75,1.74,1.74,210000,MYR
2014-04-25,1.76,1.76,1.76,1.76,90000,MYR
2014-04-29,1.75,1.75,1.73,1.73,26000,MYR
2014-04-30,1.71,1.71,1.71,1.71,3000,MYR
2014-05-02,1.7,1.7,1.7,1.7,22400,MYR
2014-05-05,1.7,1.7,1.7,1.7,14400,MYR
2014-05-06,1.73,1.73,1.71,1.73,143000,MYR
2014-05-08,1.74,1.76,1.74,1.75,27700,MYR
2014-05-09,1.75,1.75,1.75,1.75,5000,MYR
2014-05-12,1.74,1.77,1.74,1.75,63600,MYR
2014-05-14,1.75,1.75,1.75,1.75,12000,MYR
2014-05-16,1.7,1.7,1.7,1.7,1000,MYR
2014-05-20,1.71,1.71,1.71,1.71,11800,MYR
2014-05-21,1.75,1.77,1.75,1.77,40100,MYR
2014-05-22,1.78,1.8,1.78,1.8,57100,MYR
2014-05-23,1.8,1.8,1.79,1.8,19800,MYR
2014-05-26,1.78,1.78,1.78,1.78,7000,MYR
2014-05-27,1.86,1.86,1.8,1.8,76000,MYR
2014-05-28,1.83,1.83,1.83,1.83,2000,MYR
2014-05-29,1.82,1.82,1.82,1.82,1800,MYR
