Date,Open,High,Low,Close,Volume,Currency
2017-07-12,6.33,6.48,6.33,6.48,5888400,MYR
2017-07-13,6.47,6.48,6.4,6.4,7053600,MYR
2017-07-14,6.4,6.42,6.37,6.41,2427500,MYR
2017-07-17,6.41,6.41,6.38,6.4,3769600,MYR
2017-07-18,6.41,6.43,6.4,6.41,954800,MYR
2017-07-19,6.43,6.43,6.4,6.41,588500,MYR
2017-07-20,6.42,6.43,6.38,6.39,1818200,MYR
2017-07-21,6.38,6.4,6.33,6.33,1736700,MYR
2017-07-24,6.35,6.35,6.21,6.27,3655700,MYR
2017-07-25,6.27,6.27,6.23,6.24,844600,MYR
2017-07-26,6.24,6.24,6.19,6.21,317600,MYR
2017-07-27,6.21,6.24,6.07,6.16,1578800,MYR
2017-07-28,6.13,6.15,6.11,6.13,1109000,MYR
2017-07-31,6.13,6.13,4.65,4.7,32376900,MYR
2017-08-01,4.76,4.78,4.14,4.28,55170200,MYR
2017-08-02,4.35,4.65,4.25,4.42,30758300,MYR
2017-08-03,4.47,4.53,4.39,4.4,16515600,MYR
2017-08-04,4.42,4.47,4.37,4.43,6023800,MYR
2017-08-07,4.44,4.45,4.34,4.34,8415400,MYR
2017-08-08,4.34,4.48,4.27,4.42,6431400,MYR
2017-08-09,4.41,4.47,4.39,4.43,2554700,MYR
2017-08-10,4.43,4.46,4.35,4.37,2814200,MYR
2017-08-11,4.33,4.41,4.31,4.36,1844800,MYR
2017-08-14,4.36,4.7,4.36,4.7,12827200,MYR
2017-08-15,4.78,5.25,4.74,5.12,26935800,MYR
2017-08-16,5.16,5.22,5.04,5.06,7500200,MYR
2017-08-17,5.07,5.49,5.04,5.44,15376800,MYR
2017-08-18,5.35,5.45,5.32,5.35,7492900,MYR
2017-08-21,5.35,5.4,5.27,5.35,4246600,MYR
2017-08-22,5.35,5.47,5.31,5.35,4267900,MYR
2017-08-23,5.37,5.4,5.35,5.36,1768300,MYR
2017-08-24,5.41,5.47,5.4,5.41,5066500,MYR
2017-08-25,5.42,5.44,5.36,5.38,2251000,MYR
2017-08-28,5.4,5.4,5.07,5.09,6289700,MYR
2017-08-29,5.05,5.12,4.95,5.05,4087200,MYR
2017-08-30,5.05,5.11,5.04,5.09,2899800,MYR
2017-09-05,5.14,5.24,5.11,5.22,5006700,MYR
2017-09-06,5.2,5.35,5.18,5.3,7689700,MYR
2017-09-07,5.32,5.35,5.31,5.35,3630600,MYR
2017-09-08,5.36,5.55,5.36,5.51,6220900,MYR
2017-09-11,5.54,5.79,5.54,5.77,6641100,MYR
2017-09-12,5.79,5.94,5.77,5.8,6203600,MYR
2017-09-13,5.84,5.84,5.66,5.7,3133000,MYR
2017-09-14,5.7,5.75,5.57,5.59,2377600,MYR
2017-09-15,5.58,5.66,5.49,5.66,4253500,MYR
2017-09-18,5.61,5.61,5.49,5.49,3715600,MYR
2017-09-19,5.5,5.57,5.46,5.49,3936800,MYR
2017-09-20,5.48,5.52,5.2,5.29,5533800,MYR
2017-09-21,5.16,5.32,5.04,5.25,10997000,MYR
2017-09-25,5.29,5.34,5.25,5.25,2304900,MYR
2017-09-26,5.28,5.3,5.25,5.25,5169600,MYR
2017-09-27,5.26,5.3,5.25,5.26,997300,MYR
2017-09-28,5.26,5.27,5.23,5.26,2639900,MYR
2017-09-29,5.28,5.28,5.24,5.26,1581000,MYR
2017-10-02,5.25,5.28,4.97,4.98,7687400,MYR
2017-10-03,5.02,5.13,5.02,5.08,5597700,MYR
2017-10-04,5.1,5.17,5.07,5.07,1898000,MYR
2017-10-05,5.08,5.12,5.08,5.1,562300,MYR
2017-10-06,5.1,5.24,5.09,5.23,2325400,MYR
2017-10-09,5.25,5.26,5.19,5.22,1179400,MYR
2017-10-10,5.22,5.35,5.22,5.34,1485000,MYR
2017-10-11,5.34,5.47,5.34,5.37,3036700,MYR
2017-10-12,5.37,5.38,5.33,5.33,426400,MYR
2017-10-13,5.34,5.39,5.34,5.36,597400,MYR
2017-10-16,5.33,5.39,5.33,5.36,814600,MYR
2017-10-17,5.35,5.36,5.34,5.35,567800,MYR
2017-10-19,5.35,5.4,5.33,5.39,2101100,MYR
2017-10-20,5.39,5.4,5.34,5.34,411800,MYR
2017-10-23,5.35,5.35,5.18,5.18,1261300,MYR
