Date,Open,High,Low,Close,Volume,Currency
2013-04-01,1.13,1.14,1.13,1.13,49100,MYR
2013-04-02,1.13,1.13,1.13,1.13,27200,MYR
2013-04-03,1.13,1.13,1.1,1.13,176700,MYR
2013-04-04,1.12,1.14,1.11,1.14,67500,MYR
2013-04-05,1.13,1.15,1.12,1.15,25500,MYR
2013-04-08,1.14,1.14,1.13,1.13,61500,MYR
2013-04-09,1.14,1.19,1.14,1.19,127300,MYR
2013-04-10,1.15,1.16,1.14,1.15,61500,MYR
2013-04-11,1.15,1.17,1.15,1.17,47100,MYR
2013-04-12,1.16,1.16,1.13,1.13,53300,MYR
2013-04-15,1.13,1.17,1.13,1.17,90100,MYR
2013-04-16,1.14,1.16,1.14,1.16,25300,MYR
2013-04-17,1.14,1.15,1.13,1.14,118600,MYR
2013-04-18,1.14,1.14,1.13,1.13,114000,MYR
2013-04-19,1.13,1.13,1.12,1.12,49800,MYR
2013-04-22,1.12,1.12,1.11,1.12,289100,MYR
2013-04-23,1.11,1.11,1.1,1.11,125800,MYR
2013-04-25,1.11,1.11,1.11,1.11,5500,MYR
2013-04-26,1.11,1.12,1.11,1.12,93900,MYR
2013-04-29,1.12,1.13,1.12,1.13,28000,MYR
2013-04-30,1.13,1.13,1.12,1.12,22000,MYR
2013-05-02,1.13,1.13,1.12,1.12,9000,MYR
2013-05-03,1.12,1.13,1.11,1.11,110000,MYR
2013-05-06,1.14,1.15,1.14,1.14,20000,MYR
2013-05-07,1.14,1.17,1.13,1.17,303600,MYR
2013-05-08,1.18,1.19,1.17,1.17,72000,MYR
2013-05-09,1.16,1.21,1.16,1.21,168900,MYR
2013-05-10,1.22,1.28,1.22,1.28,416700,MYR
2013-05-13,1.32,1.32,1.3,1.32,466000,MYR
2013-05-14,1.32,1.34,1.28,1.29,243900,MYR
2013-05-15,1.33,1.33,1.29,1.31,88700,MYR
2013-05-16,1.3,1.31,1.23,1.28,79200,MYR
2013-05-17,1.27,1.31,1.27,1.31,120800,MYR
2013-05-20,1.32,1.37,1.32,1.36,450700,MYR
2013-05-21,1.39,1.44,1.37,1.4,813100,MYR
