Date,Open,High,Low,Close,Volume,Currency
2014-09-09,3.9,3.9,3.85,3.85,2200,MYR
2014-09-10,3.87,3.9,3.87,3.9,45700,MYR
2014-09-11,3.9,3.92,3.9,3.91,11900,MYR
2014-09-12,3.93,3.93,3.93,3.93,35800,MYR
2014-09-15,3.91,3.91,3.85,3.85,2600,MYR
2014-09-17,3.9,3.9,3.88,3.88,2500,MYR
2014-09-18,3.88,3.88,3.88,3.88,1000,MYR
2014-09-19,3.8,3.85,3.75,3.85,4300,MYR
2014-09-24,3.85,3.86,3.85,3.86,32700,MYR
2014-09-29,3.87,3.9,3.87,3.9,5600,MYR
2014-09-30,3.9,3.91,3.9,3.9,13000,MYR
2014-10-01,3.91,3.91,3.89,3.89,3100,MYR
2014-10-02,3.89,3.89,3.89,3.89,1000,MYR
2014-10-03,3.9,3.9,3.89,3.9,6900,MYR
2014-10-07,3.9,3.9,3.88,3.9,51000,MYR
2014-10-09,3.89,3.89,3.89,3.89,700,MYR
2014-10-10,3.75,3.75,3.75,3.75,2000,MYR
2014-10-13,3.73,3.73,3.71,3.71,5000,MYR
2014-10-16,3.71,3.83,3.71,3.8,81300,MYR
2014-10-21,3.66,3.66,3.66,3.66,500,MYR
2014-10-27,3.7,3.8,3.7,3.8,7000,MYR
2014-10-29,3.8,3.8,3.8,3.8,6800,MYR
2014-10-30,3.8,3.8,3.8,3.8,3600,MYR
2014-10-31,3.8,3.9,3.8,3.9,2000,MYR
2014-11-03,3.9,3.9,3.9,3.9,501200,MYR
2014-11-04,3.8,3.8,3.8,3.8,1200,MYR
2014-11-06,3.94,3.94,3.81,3.81,7000,MYR
2014-11-07,3.81,3.81,3.81,3.81,1000,MYR
2014-11-10,3.81,3.81,3.81,3.81,11000,MYR
2014-11-11,3.8,3.8,3.8,3.8,2000,MYR
2014-11-13,3.76,3.76,3.76,3.76,3000,MYR
2014-11-26,3.7,3.7,3.7,3.7,2000,MYR
2014-11-27,3.7,3.7,3.7,3.7,1500,MYR
2014-11-28,3.7,3.7,3.7,3.7,2000,MYR
2014-12-01,3.7,3.7,3.7,3.7,500,MYR
2014-12-02,3.7,3.7,3.7,3.7,1000,MYR
2014-12-08,3.7,3.7,3.67,3.67,22100,MYR
2014-12-10,3.68,3.68,3.67,3.67,35200,MYR
2014-12-11,3.67,3.88,3.66,3.88,6500,MYR
2014-12-12,3.72,3.74,3.7,3.74,583300,MYR
2014-12-16,3.69,3.7,3.39,3.39,8200,MYR
2014-12-18,3.56,3.56,3.55,3.56,9100,MYR
2014-12-19,3.6,3.6,3.6,3.6,17000,MYR
2014-12-22,3.57,3.7,3.57,3.7,446800,MYR
2014-12-23,3.7,3.7,3.7,3.7,375500,MYR
2015-01-02,3.7,3.7,3.7,3.7,356600,MYR
2015-01-05,3.68,3.68,3.68,3.68,1000,MYR
2015-01-06,3.68,3.68,3.68,3.68,3000,MYR
2015-01-08,3.64,3.78,3.64,3.78,9000,MYR
2015-01-13,3.76,3.76,3.76,3.76,10100,MYR
2015-01-16,3.76,3.76,3.7,3.7,5500,MYR
2015-01-20,3.78,3.78,3.78,3.78,3900,MYR
2015-01-21,3.83,3.83,3.83,3.83,3000,MYR
2015-01-22,3.82,3.83,3.82,3.83,3700,MYR
2015-01-23,3.86,3.87,3.8,3.8,5300,MYR
2015-01-26,3.78,3.78,3.65,3.65,3500,MYR
2015-01-27,3.8,3.8,3.8,3.8,1000,MYR
2015-02-04,3.8,3.8,3.8,3.8,5000,MYR
2015-02-06,3.84,3.84,3.8,3.8,4100,MYR
2015-02-09,3.84,3.86,3.84,3.86,3000,MYR
2015-02-13,3.76,3.88,3.68,3.88,14600,MYR
2015-02-16,3.84,3.84,3.84,3.84,3000,MYR
2015-02-18,3.84,3.86,3.8,3.86,4500,MYR
2015-02-23,3.87,3.88,3.86,3.86,3700,MYR
2015-02-24,3.85,3.85,3.85,3.85,7000,MYR
2015-02-25,3.92,3.92,3.91,3.91,5000,MYR
2015-02-26,3.9,3.9,3.9,3.9,93000,MYR
2015-03-02,3.92,3.92,3.91,3.91,15000,MYR
2015-03-03,3.91,3.91,3.86,3.86,3000,MYR
2015-03-04,3.91,3.95,3.87,3.87,7000,MYR
