Date,Open,High,Low,Close,Volume,Currency
2016-05-17,0.285,0.3,0.28,0.28,16491200,MYR
2016-05-18,0.28,0.285,0.265,0.265,10396700,MYR
2016-05-19,0.27,0.28,0.26,0.27,11603000,MYR
2016-05-20,0.27,0.28,0.27,0.275,10155600,MYR
2016-05-23,0.28,0.29,0.275,0.28,13723900,MYR
2016-05-24,0.28,0.28,0.27,0.275,4291300,MYR
2016-05-25,0.275,0.28,0.27,0.27,7629600,MYR
2016-05-26,0.27,0.275,0.26,0.26,8811100,MYR
2016-05-27,0.26,0.265,0.26,0.265,4735000,MYR
2016-05-30,0.265,0.265,0.26,0.265,2464600,MYR
2016-05-31,0.26,0.265,0.255,0.26,2777600,MYR
2016-06-01,0.26,0.275,0.26,0.275,13453200,MYR
2016-06-02,0.28,0.295,0.275,0.29,21205500,MYR
2016-06-03,0.29,0.295,0.28,0.29,7537800,MYR
2016-06-06,0.285,0.31,0.285,0.305,27438100,MYR
2016-06-07,0.305,0.305,0.29,0.295,6173200,MYR
2016-06-08,0.295,0.305,0.295,0.295,8306600,MYR
2016-06-09,0.295,0.305,0.29,0.3,5229100,MYR
2016-06-10,0.295,0.3,0.295,0.295,3947300,MYR
2016-06-13,0.295,0.295,0.29,0.29,2456100,MYR
2016-06-14,0.29,0.325,0.29,0.31,34416400,MYR
2016-06-15,0.315,0.335,0.315,0.325,35038700,MYR
2016-06-16,0.33,0.33,0.305,0.305,17489400,MYR
2016-06-17,0.305,0.315,0.305,0.305,5549400,MYR
2016-06-20,0.315,0.32,0.31,0.315,5335600,MYR
2016-06-21,0.315,0.33,0.315,0.32,17654000,MYR
2016-06-23,0.32,0.32,0.305,0.305,6891700,MYR
2016-06-24,0.305,0.31,0.28,0.295,15335200,MYR
2016-06-27,0.27,0.28,0.26,0.28,29080000,MYR
2016-06-28,0.275,0.29,0.275,0.285,7046000,MYR
2016-06-29,0.29,0.295,0.28,0.285,7433300,MYR
2016-06-30,0.285,0.285,0.275,0.275,2608600,MYR
2016-07-01,0.275,0.28,0.275,0.28,2865500,MYR
2016-07-04,0.28,0.29,0.275,0.28,3891900,MYR
2016-07-05,0.28,0.285,0.275,0.275,1345900,MYR
2016-07-08,0.28,0.285,0.28,0.285,2793800,MYR
2016-07-11,0.285,0.285,0.28,0.28,1338400,MYR
2016-07-12,0.28,0.29,0.28,0.29,6282700,MYR
2016-07-13,0.29,0.295,0.285,0.295,3363300,MYR
2016-07-14,0.29,0.295,0.29,0.29,2588800,MYR
2016-07-15,0.29,0.305,0.29,0.295,9180200,MYR
2016-07-18,0.295,0.295,0.285,0.285,1845400,MYR
