Date,Open,High,Low,Close,Volume,Currency
2013-03-21,1.78,1.78,1.78,1.78,8400,MYR
2013-03-29,1.78,1.81,1.78,1.81,5000,MYR
2013-04-01,1.81,1.83,1.81,1.83,11000,MYR
2013-04-03,1.83,1.83,1.8,1.8,24000,MYR
2013-04-05,1.8,1.8,1.8,1.8,10000,MYR
2013-04-08,1.8,1.82,1.8,1.82,4000,MYR
2013-04-12,1.78,1.78,1.78,1.78,2000,MYR
2013-04-15,1.78,1.82,1.78,1.79,8400,MYR
2013-04-16,1.8,1.8,1.8,1.8,15000,MYR
2013-04-17,1.82,1.82,1.81,1.81,17000,MYR
2013-04-18,1.81,1.81,1.81,1.81,2000,MYR
2013-04-23,1.81,1.82,1.81,1.82,25000,MYR
2013-04-24,1.81,1.82,1.81,1.82,3000,MYR
2013-04-25,1.8,1.8,1.79,1.79,2000,MYR
2013-04-29,1.79,1.79,1.79,1.79,3000,MYR
2013-05-02,1.79,1.79,1.79,1.79,7000,MYR
2013-05-15,1.8,1.8,1.79,1.79,11300,MYR
2013-05-16,1.79,1.8,1.79,1.8,16100,MYR
2013-05-17,1.79,1.79,1.79,1.79,3000,MYR
2013-05-20,1.81,1.81,1.81,1.81,15000,MYR
2013-05-21,1.79,1.79,1.79,1.79,7000,MYR
2013-05-27,1.83,1.84,1.81,1.82,10000,MYR
2013-05-28,1.82,1.82,1.82,1.82,4000,MYR
2013-05-29,1.82,1.89,1.82,1.89,11700,MYR
2013-05-30,0.64,0.643,0.63,0.63,171000,MYR
2013-06-03,0.62,0.62,0.617,0.617,45000,MYR
2013-06-04,0.62,0.627,0.62,0.623,129000,MYR
2013-06-10,0.637,0.65,0.633,0.647,177600,MYR
2013-06-11,0.633,0.633,0.633,0.633,12000,MYR
2013-06-12,0.627,0.627,0.627,0.627,51000,MYR
2013-06-13,0.627,0.627,0.627,0.627,56100,MYR
2013-06-14,0.627,0.627,0.623,0.627,99000,MYR
2013-06-17,0.633,0.64,0.633,0.64,21000,MYR
2013-06-19,0.643,0.643,0.643,0.643,12000,MYR
2013-06-20,0.633,0.633,0.633,0.633,9000,MYR
2013-06-21,0.633,0.633,0.633,0.633,51000,MYR
2013-07-01,0.64,0.64,0.64,0.64,27000,MYR
2013-07-03,0.637,0.643,0.637,0.643,44700,MYR
2013-07-04,0.627,0.643,0.627,0.637,38700,MYR
2013-07-09,0.627,0.643,0.627,0.637,42000,MYR
2013-07-10,0.64,0.647,0.64,0.647,24000,MYR
2013-07-11,0.65,0.65,0.65,0.65,24000,MYR
2013-07-12,0.66,0.66,0.653,0.653,45000,MYR
2013-07-15,0.66,0.66,0.66,0.66,15000,MYR
2013-07-16,0.66,0.66,0.66,0.66,9000,MYR
