Date,Open,High,Low,Close,Volume,Currency
2013-04-17,0.095,0.095,0.095,0.095,3980000,MYR
2013-04-18,0.09,0.095,0.09,0.09,2787800,MYR
2013-04-19,0.095,0.1,0.095,0.1,8559500,MYR
2013-04-22,0.095,0.1,0.095,0.095,5397900,MYR
2013-04-23,0.095,0.095,0.09,0.095,1541100,MYR
2013-04-24,0.095,0.095,0.095,0.095,800000,MYR
2013-04-25,0.095,0.095,0.095,0.095,600000,MYR
2013-04-26,0.095,0.095,0.09,0.09,320000,MYR
2013-04-29,0.095,0.095,0.09,0.095,12798100,MYR
2013-04-30,0.095,0.095,0.09,0.09,2000000,MYR
2013-05-02,0.09,0.095,0.085,0.095,6671500,MYR
2013-05-03,0.09,0.095,0.09,0.09,3292000,MYR
2013-05-06,0.095,0.095,0.095,0.095,3176300,MYR
2013-05-07,0.1,0.1,0.095,0.095,1200700,MYR
2013-05-08,0.095,0.095,0.09,0.095,9374800,MYR
2013-05-09,0.095,0.1,0.095,0.1,22488600,MYR
2013-05-10,0.095,0.1,0.095,0.095,1395000,MYR
2013-05-13,0.1,0.11,0.1,0.11,33069300,MYR
2013-05-14,0.105,0.11,0.105,0.105,14875000,MYR
2013-05-15,0.11,0.13,0.105,0.12,88625104,MYR
2013-05-16,0.13,0.17,0.125,0.165,297623808,MYR
2013-05-17,0.155,0.17,0.15,0.155,70826096,MYR
2013-05-20,0.17,0.18,0.165,0.18,177943504,MYR
2013-05-21,0.18,0.185,0.17,0.175,135501792,MYR
2013-05-22,0.175,0.185,0.165,0.185,120318600,MYR
2013-05-23,0.19,0.195,0.175,0.18,138793792,MYR
2013-05-27,0.18,0.185,0.175,0.18,88306200,MYR
2013-05-28,0.185,0.2,0.18,0.2,216013104,MYR
2013-05-29,0.2,0.21,0.195,0.2,137844800,MYR
2013-05-30,0.2,0.215,0.195,0.21,213452400,MYR
2013-05-31,0.21,0.22,0.205,0.215,259844304,MYR
2013-06-03,0.205,0.24,0.205,0.235,313934112,MYR
2013-06-04,0.235,0.235,0.22,0.23,105916400,MYR
2013-06-05,0.225,0.23,0.215,0.22,87923000,MYR
2013-06-06,0.215,0.23,0.21,0.225,132495904,MYR
2013-06-07,0.225,0.23,0.21,0.22,155052096,MYR
2013-06-10,0.225,0.23,0.215,0.225,251736192,MYR
2013-06-11,0.225,0.225,0.215,0.22,56444700,MYR
2013-06-12,0.22,0.22,0.205,0.205,62250300,MYR
2013-06-13,0.2,0.21,0.2,0.21,117141104,MYR
2013-06-14,0.205,0.21,0.19,0.2,211892800,MYR
2013-06-17,0.195,0.255,0.195,0.24,449153888,MYR
2013-06-18,0.24,0.245,0.225,0.23,248200400,MYR
2013-06-19,0.23,0.24,0.23,0.24,56427500,MYR
2013-06-20,0.245,0.25,0.2,0.215,208200096,MYR
2013-06-21,0.205,0.205,0.19,0.195,174282208,MYR
2013-06-24,0.195,0.205,0.17,0.19,208292496,MYR
2013-06-25,0.185,0.19,0.16,0.165,129598496,MYR
2013-06-26,0.16,0.165,0.135,0.145,195054896,MYR
2013-06-27,0.15,0.15,0.13,0.13,118682000,MYR
2013-06-28,0.135,0.14,0.12,0.12,149203504,MYR
2013-07-01,0.125,0.125,0.1,0.11,175783904,MYR
2013-07-02,0.11,0.115,0.1,0.1,128637696,MYR
2013-07-03,0.105,0.115,0.1,0.105,92969600,MYR
2013-07-04,0.11,0.11,0.105,0.105,69169904,MYR
2013-07-05,0.105,0.11,0.105,0.105,70154896,MYR
2013-07-08,0.105,0.11,0.105,0.105,47866800,MYR
2013-07-09,0.105,0.11,0.1,0.105,129569104,MYR
2013-07-10,0.1,0.105,0.1,0.1,13678700,MYR
2013-07-11,0.1,0.105,0.1,0.1,19240300,MYR
2013-07-12,0.105,0.11,0.105,0.105,33527700,MYR
2013-07-15,0.105,0.11,0.1,0.1,58108800,MYR
2013-07-16,0.105,0.11,0.1,0.105,16163900,MYR
2013-07-17,0.11,0.11,0.105,0.105,12615200,MYR
2013-07-18,0.105,0.11,0.1,0.1,31082700,MYR
2013-07-19,0.105,0.11,0.1,0.105,54024500,MYR
2013-07-22,0.105,0.11,0.105,0.105,8729900,MYR
2013-07-23,0.105,0.11,0.1,0.105,13966700,MYR
2013-07-24,0.105,0.105,0.1,0.105,12745900,MYR
2013-07-25,0.105,0.105,0.1,0.1,8779300,MYR
2013-07-26,0.105,0.105,0.1,0.1,26074100,MYR
2013-07-29,0.105,0.105,0.1,0.1,5302600,MYR
2013-07-30,0.1,0.105,0.095,0.1,55546500,MYR
2013-07-31,0.1,0.1,0.09,0.095,41647200,MYR
2013-08-01,0.095,0.1,0.09,0.095,19971900,MYR
2013-08-02,0.1,0.1,0.095,0.095,8739500,MYR
2013-08-05,0.095,0.1,0.095,0.095,5276300,MYR
2013-08-06,0.095,0.1,0.095,0.095,14675300,MYR
2013-08-07,0.095,0.1,0.095,0.095,7064000,MYR
2013-08-12,0.095,0.1,0.095,0.095,2614600,MYR
2013-08-13,0.095,0.11,0.095,0.105,105831000,MYR
2013-08-14,0.105,0.105,0.095,0.105,56573200,MYR
2013-08-15,0.1,0.105,0.1,0.1,11309100,MYR
2013-08-16,0.1,0.105,0.1,0.1,10150100,MYR
2013-08-19,0.1,0.105,0.1,0.1,17724500,MYR
2013-08-20,0.1,0.1,0.095,0.095,31816200,MYR
2013-08-21,0.1,0.1,0.095,0.1,2914500,MYR
2013-08-22,0.1,0.1,0.095,0.095,7016300,MYR
2013-08-23,0.095,0.1,0.095,0.095,3744400,MYR
2013-08-26,0.095,0.1,0.09,0.095,28081000,MYR
2013-08-27,0.095,0.095,0.09,0.09,7665600,MYR
2013-08-28,0.09,0.095,0.085,0.09,27582600,MYR
2013-08-29,0.09,0.095,0.09,0.09,1528400,MYR
2013-08-30,0.095,0.1,0.09,0.095,29900300,MYR
2013-09-02,0.095,0.095,0.09,0.095,2870400,MYR
2013-09-03,0.095,0.095,0.09,0.09,2924000,MYR
2013-09-04,0.095,0.095,0.09,0.09,16612900,MYR
