Date,Open,High,Low,Close,Volume,Currency
2013-04-18,2.074,2.074,2.074,2.074,2100,MYR
2013-04-19,2.074,2.074,2.074,2.074,2000,MYR
2013-04-22,2.074,2.074,2.074,2.074,3500,MYR
2013-04-23,2.074,2.074,2.074,2.074,2100,MYR
2013-04-25,2.074,2.074,2.074,2.074,3100,MYR
2013-04-30,2.083,2.083,2.083,2.083,2000,MYR
2013-05-02,2.03,2.083,2.03,2.083,38700,MYR
2013-05-03,2.074,2.074,2.074,2.074,7000,MYR
2013-05-09,2.118,2.321,2.118,2.26,23300,MYR
2013-05-13,2.295,2.365,2.295,2.365,41300,MYR
2013-05-15,2.312,2.348,2.312,2.348,20200,MYR
2013-05-17,2.348,2.365,2.348,2.365,18000,MYR
2013-05-20,2.365,2.365,2.365,2.365,4100,MYR
2013-05-21,2.18,2.383,2.18,2.383,19900,MYR
2013-05-22,2.321,2.383,2.321,2.383,3100,MYR
2013-05-23,2.33,2.33,2.321,2.33,14900,MYR
2013-05-30,2.365,2.365,2.365,2.365,14000,MYR
2013-06-03,2.374,2.383,2.374,2.383,4100,MYR
2013-06-04,2.365,2.471,2.365,2.365,4100,MYR
2013-06-06,2.383,2.648,2.383,2.648,20000,MYR
2013-06-11,2.392,2.604,2.392,2.604,18500,MYR
2013-06-13,2.392,2.436,2.392,2.436,6200,MYR
2013-06-14,2.383,2.613,2.374,2.613,8800,MYR
2013-06-18,2.63,2.913,2.613,2.63,22900,MYR
2013-06-21,2.648,2.648,2.648,2.648,2600,MYR
2013-06-25,2.542,2.542,2.542,2.542,19000,MYR
2013-06-27,2.551,2.551,2.551,2.551,4400,MYR
2013-06-28,2.551,2.824,2.542,2.824,12200,MYR
2013-07-03,2.648,3.001,2.648,2.93,12400,MYR
2013-07-04,3.071,3.071,2.648,2.983,43500,MYR
2013-07-05,2.86,2.983,2.86,2.983,17100,MYR
2013-07-09,2.86,2.948,2.86,2.948,9300,MYR
2013-07-10,2.719,2.904,2.648,2.648,5000,MYR
2013-07-12,2.648,2.648,2.648,2.648,7000,MYR
2013-07-23,2.524,2.719,2.515,2.719,10200,MYR
2013-07-26,2.542,2.683,2.542,2.639,2400,MYR
2013-08-13,2.56,2.56,2.56,2.56,5000,MYR
2013-08-15,2.515,2.71,2.515,2.71,1700,MYR
2013-08-20,2.48,2.595,2.48,2.515,15500,MYR
2013-08-21,2.471,2.869,2.471,2.869,6300,MYR
2013-09-05,2.427,2.648,2.427,2.648,6100,MYR
2013-09-06,2.471,2.639,2.471,2.639,400,MYR
2013-09-09,2.489,2.692,2.489,2.692,2200,MYR
2013-09-12,2.674,2.674,2.674,2.674,1000,MYR
2013-09-20,2.666,2.674,2.666,2.674,5300,MYR
2013-09-24,2.648,2.648,2.648,2.648,15000,MYR
2013-10-01,2.56,2.56,2.56,2.56,13300,MYR
2013-10-02,2.542,2.639,2.542,2.639,79600,MYR
2013-10-03,2.639,2.639,2.56,2.56,7100,MYR
2013-10-07,2.648,2.648,2.648,2.648,1000,MYR
2013-10-10,2.56,2.56,2.515,2.515,2100,MYR
2013-10-11,2.56,2.56,2.56,2.56,3000,MYR
2013-10-23,2.471,2.471,2.471,2.471,21000,MYR
2013-10-24,2.63,2.648,2.63,2.648,40000,MYR
2013-10-25,2.648,2.648,2.551,2.551,156000,MYR
2013-10-28,2.648,2.674,2.648,2.666,11200,MYR
2013-10-29,2.666,2.736,2.666,2.736,32900,MYR
2013-10-30,2.736,2.78,2.736,2.754,12300,MYR
2013-10-31,2.648,2.957,2.648,2.736,14600,MYR
2013-11-01,2.692,2.692,2.692,2.692,1000,MYR
2013-11-06,2.736,2.745,2.736,2.736,13100,MYR
