Date,Open,High,Low,Close,Volume,Currency
2014-07-14,1.04,1.04,0.995,0.995,1822900,MYR
2014-07-16,1.0,1.03,1.0,1.01,2756500,MYR
2014-07-17,1.01,1.05,1.0,1.05,1889600,MYR
2014-07-18,1.03,1.15,1.02,1.15,12680800,MYR
2014-07-21,1.16,1.16,1.1,1.1,2385300,MYR
2014-07-22,1.12,1.19,1.1,1.15,10643300,MYR
2014-07-23,1.17,1.17,1.13,1.15,4087900,MYR
2014-07-24,1.15,1.15,1.13,1.13,696200,MYR
2014-07-25,1.13,1.14,1.11,1.13,1003300,MYR
2014-07-30,1.17,1.21,1.14,1.19,18233100,MYR
2014-07-31,1.18,1.24,1.17,1.2,5567500,MYR
2014-08-01,1.16,1.2,1.16,1.18,2100300,MYR
2014-08-04,1.18,1.2,1.18,1.18,630200,MYR
2014-08-05,1.18,1.23,1.18,1.19,2862400,MYR
2014-08-06,1.18,1.19,1.16,1.17,1401600,MYR
2014-08-07,1.17,1.19,1.14,1.15,2204100,MYR
2014-08-08,1.15,1.16,1.1,1.13,5390600,MYR
2014-08-11,1.09,1.1,1.03,1.04,6591800,MYR
2014-08-12,1.04,1.07,1.03,1.03,1040100,MYR
2014-08-13,1.03,1.1,1.03,1.09,3140000,MYR
2014-08-14,1.09,1.1,1.04,1.05,868200,MYR
2014-08-15,1.05,1.07,1.04,1.04,1340700,MYR
2014-08-18,1.06,1.07,1.05,1.06,2021800,MYR
2014-08-19,1.06,1.13,1.06,1.11,4250300,MYR
2014-08-20,1.13,1.13,1.09,1.1,3927200,MYR
2014-08-21,1.1,1.1,1.07,1.07,997500,MYR
2014-08-22,1.07,1.08,1.07,1.08,140000,MYR
2014-08-25,1.07,1.07,1.02,1.04,1092900,MYR
2014-08-26,1.04,1.06,1.03,1.04,739400,MYR
2014-08-27,1.05,1.05,1.02,1.03,1069000,MYR
2014-08-28,1.04,1.04,1.02,1.02,577100,MYR
2014-08-29,1.01,1.02,0.96,0.975,1314600,MYR
2014-09-02,0.975,0.975,0.89,0.93,2042800,MYR
2014-09-03,0.93,0.965,0.925,0.945,1175300,MYR
2014-09-04,0.94,0.94,0.92,0.93,198100,MYR
2014-09-05,0.935,0.95,0.92,0.945,589100,MYR
2014-09-08,0.945,0.945,0.92,0.93,242100,MYR
2014-09-09,0.925,0.94,0.925,0.935,167500,MYR
2014-09-10,0.935,0.935,0.92,0.925,785300,MYR
2014-09-11,0.93,0.935,0.905,0.91,537300,MYR
2014-09-12,0.91,0.955,0.91,0.92,3903400,MYR
2014-09-15,0.91,0.91,0.89,0.895,1248700,MYR
2014-09-17,0.895,0.895,0.845,0.875,6247800,MYR
2014-09-18,0.875,0.875,0.85,0.86,8736600,MYR
2014-09-19,0.865,0.91,0.865,0.91,11468300,MYR
2014-09-22,0.92,0.94,0.905,0.905,2601900,MYR
2014-09-23,0.905,0.905,0.895,0.895,960900,MYR
2014-09-24,0.89,0.895,0.88,0.89,290700,MYR
2014-09-25,0.9,0.905,0.87,0.875,927800,MYR
2014-09-26,0.865,0.88,0.865,0.875,582800,MYR
2014-09-29,0.875,0.88,0.865,0.875,578500,MYR
2014-09-30,0.86,0.86,0.855,0.86,408000,MYR
2014-10-01,0.86,0.86,0.83,0.83,641900,MYR
2014-10-02,0.82,0.85,0.815,0.83,1201100,MYR
2014-10-03,0.835,0.835,0.825,0.835,107000,MYR
2014-10-07,0.83,0.83,0.755,0.79,463400,MYR
2014-10-08,0.77,0.77,0.71,0.76,1893000,MYR
2014-10-09,0.77,0.77,0.76,0.765,1157600,MYR
2014-10-10,0.765,0.825,0.755,0.765,6268100,MYR
2014-10-13,0.76,0.76,0.72,0.755,6207100,MYR
2014-10-14,0.74,0.77,0.73,0.76,1372600,MYR
2014-10-15,0.76,0.815,0.76,0.765,2897900,MYR
2014-10-16,0.76,0.765,0.75,0.76,449500,MYR
2014-10-17,0.775,0.785,0.775,0.78,251100,MYR
2014-10-20,0.79,0.81,0.79,0.795,418900,MYR
2014-10-21,0.795,0.795,0.775,0.775,110600,MYR
2014-10-23,0.785,0.795,0.785,0.79,121000,MYR
2014-10-24,0.8,0.8,0.785,0.785,232000,MYR
2014-10-27,0.8,0.8,0.795,0.8,142000,MYR
2014-10-28,0.8,0.8,0.785,0.785,126200,MYR
2014-10-29,0.79,0.795,0.785,0.795,251000,MYR
2014-10-30,0.795,0.81,0.795,0.81,261500,MYR
2014-10-31,0.81,0.87,0.81,0.85,2941800,MYR
2014-11-03,0.855,0.86,0.835,0.84,767200,MYR
2014-11-04,0.84,0.84,0.8,0.815,264600,MYR
2014-11-05,0.805,0.81,0.8,0.8,1072800,MYR
2014-11-06,0.8,0.8,0.78,0.78,388200,MYR
2014-11-07,0.78,0.78,0.765,0.775,676800,MYR
2014-11-10,0.77,0.77,0.755,0.765,1736900,MYR
2014-11-11,0.765,0.775,0.76,0.76,171000,MYR
2014-11-12,0.76,0.82,0.76,0.785,1686100,MYR
2014-11-13,0.8,0.82,0.79,0.795,2603600,MYR
2014-11-14,0.8,0.86,0.795,0.835,10028700,MYR
2014-11-17,0.835,0.85,0.78,0.78,4575100,MYR
2014-11-18,0.775,0.775,0.68,0.705,13397800,MYR
2014-11-19,0.705,0.735,0.69,0.71,6451100,MYR
2014-11-20,0.71,0.71,0.685,0.685,1787700,MYR
2014-11-21,0.685,0.705,0.67,0.68,3098300,MYR
2014-11-24,0.68,0.695,0.645,0.65,5073100,MYR
2014-11-25,0.59,0.59,0.535,0.54,28378900,MYR
2014-11-26,0.54,0.565,0.53,0.555,8875700,MYR
2014-11-27,0.555,0.555,0.54,0.55,1873300,MYR
2014-11-28,0.525,0.54,0.51,0.51,3792500,MYR
2014-12-01,0.5,0.5,0.425,0.45,8016000,MYR
2014-12-02,0.455,0.485,0.42,0.475,6223100,MYR
2014-12-03,0.48,0.48,0.46,0.475,2321500,MYR
2014-12-04,0.48,0.52,0.475,0.51,5503900,MYR
2014-12-05,0.495,0.525,0.495,0.5,3279400,MYR
2014-12-08,0.505,0.53,0.505,0.525,3692000,MYR
2014-12-09,0.525,0.535,0.515,0.53,3385100,MYR
2014-12-10,0.535,0.57,0.535,0.565,3179900,MYR
2014-12-11,0.555,0.565,0.53,0.535,1348500,MYR
2014-12-12,0.52,0.54,0.5,0.505,948700,MYR
2014-12-15,0.49,0.49,0.46,0.475,824900,MYR
2014-12-16,0.455,0.48,0.455,0.48,748700,MYR
2014-12-17,0.49,0.505,0.485,0.505,1884500,MYR
2014-12-18,0.515,0.52,0.51,0.52,1911000,MYR
2014-12-19,0.52,0.53,0.5,0.52,480600,MYR
2014-12-22,0.51,0.535,0.5,0.535,2295700,MYR
2014-12-23,0.535,0.595,0.525,0.59,5704800,MYR
2014-12-24,0.59,0.595,0.57,0.57,2707500,MYR
2014-12-26,0.57,0.58,0.57,0.57,361500,MYR
2014-12-29,0.57,0.57,0.55,0.555,399100,MYR
2014-12-30,0.54,0.545,0.53,0.535,758900,MYR
2014-12-31,0.525,0.565,0.525,0.55,1856100,MYR
2015-01-02,0.535,0.545,0.52,0.545,359000,MYR
2015-01-05,0.53,0.53,0.5,0.505,2618700,MYR
2015-01-06,0.485,0.49,0.47,0.48,798800,MYR
2015-01-07,0.475,0.49,0.47,0.48,1008700,MYR
2015-01-08,0.485,0.505,0.48,0.5,1917900,MYR
2015-01-09,0.495,0.515,0.485,0.485,1896900,MYR
2015-01-12,0.485,0.495,0.48,0.495,1240600,MYR
2015-01-13,0.495,0.495,0.48,0.485,476000,MYR
2015-01-14,0.485,0.5,0.485,0.49,1443600,MYR
2015-01-15,0.5,0.54,0.495,0.52,5365800,MYR
2015-01-16,0.515,0.52,0.505,0.515,1494900,MYR
2015-01-19,0.52,0.525,0.515,0.52,1409000,MYR
2015-01-20,0.515,0.54,0.51,0.53,5318200,MYR
2015-01-21,0.53,0.535,0.52,0.535,1227400,MYR
2015-01-22,0.53,0.55,0.53,0.55,3318100,MYR
2015-01-23,0.555,0.555,0.545,0.555,1994000,MYR
2015-01-26,0.545,0.555,0.54,0.55,1446600,MYR
2015-01-27,0.55,0.55,0.545,0.545,642500,MYR
2015-01-28,0.53,0.54,0.525,0.53,747800,MYR
2015-01-29,0.53,0.53,0.52,0.525,917000,MYR
2015-01-30,0.525,0.535,0.52,0.525,444900,MYR
2015-02-04,0.54,0.54,0.525,0.535,550200,MYR
2015-02-05,0.535,0.535,0.53,0.53,561000,MYR
2015-02-06,0.53,0.545,0.53,0.545,919600,MYR
2015-02-09,0.55,0.58,0.55,0.565,2960300,MYR
2015-02-10,0.565,0.57,0.555,0.565,2378200,MYR
2015-02-11,0.565,0.57,0.54,0.55,1035500,MYR
2015-02-12,0.54,0.54,0.535,0.54,520900,MYR
2015-02-13,0.54,0.565,0.54,0.555,813900,MYR
2015-02-16,0.56,0.615,0.56,0.605,13748600,MYR
2015-02-17,0.605,0.615,0.59,0.595,2401500,MYR
2015-02-18,0.595,0.61,0.595,0.61,437700,MYR
2015-02-23,0.6,0.6,0.58,0.585,992100,MYR
2015-02-24,0.58,0.58,0.55,0.565,2692100,MYR
2015-02-25,0.565,0.58,0.56,0.575,1003900,MYR
2015-02-26,0.57,0.585,0.57,0.57,714700,MYR
2015-02-27,0.565,0.57,0.555,0.565,603900,MYR
2015-03-02,0.56,0.56,0.54,0.545,617700,MYR
2015-03-03,0.545,0.55,0.54,0.55,253200,MYR
2015-03-04,0.54,0.54,0.53,0.535,397800,MYR
2015-03-05,0.53,0.54,0.53,0.54,205300,MYR
2015-03-06,0.535,0.54,0.53,0.54,206100,MYR
2015-03-09,0.525,0.535,0.525,0.53,124800,MYR
2015-03-10,0.53,0.54,0.53,0.53,310900,MYR
2015-03-11,0.525,0.525,0.515,0.525,263300,MYR
2015-03-12,0.52,0.53,0.52,0.53,167200,MYR
2015-03-13,0.525,0.525,0.515,0.52,429900,MYR
2015-03-16,0.51,0.515,0.5,0.5,604500,MYR
2015-03-17,0.485,0.5,0.48,0.5,384500,MYR
2015-03-18,0.495,0.495,0.485,0.495,232200,MYR
2015-03-19,0.5,0.515,0.495,0.5,796900,MYR
2015-03-20,0.5,0.5,0.5,0.5,231600,MYR
2015-03-23,0.495,0.5,0.495,0.495,65800,MYR
2015-03-24,0.49,0.5,0.49,0.495,219300,MYR
2015-03-25,0.5,0.5,0.485,0.495,246300,MYR
2015-03-26,0.495,0.515,0.495,0.515,511000,MYR
