Date,Open,High,Low,Close,Volume,Currency
2014-07-31,0.225,0.23,0.225,0.23,453000,MYR
2014-08-01,0.22,0.22,0.22,0.22,10000,MYR
2014-08-04,0.21,0.21,0.21,0.21,10000,MYR
2014-08-05,0.215,0.22,0.21,0.22,258000,MYR
2014-08-06,0.21,0.22,0.21,0.22,360000,MYR
2014-08-07,0.22,0.225,0.215,0.215,470600,MYR
2014-08-08,0.22,0.235,0.22,0.22,1174000,MYR
2014-08-11,0.23,0.255,0.23,0.24,2979300,MYR
2014-08-12,0.24,0.245,0.235,0.24,973000,MYR
2014-08-13,0.24,0.245,0.235,0.24,55600,MYR
2014-08-14,0.23,0.25,0.23,0.24,789300,MYR
2014-08-15,0.245,0.25,0.24,0.24,731600,MYR
2014-08-18,0.25,0.25,0.235,0.235,663700,MYR
2014-08-19,0.24,0.24,0.225,0.23,763100,MYR
2014-08-20,0.23,0.23,0.225,0.225,149600,MYR
2014-08-21,0.22,0.22,0.22,0.22,20000,MYR
2014-08-22,0.215,0.215,0.215,0.215,174400,MYR
2014-08-25,0.21,0.215,0.21,0.21,73300,MYR
2014-08-26,0.2,0.21,0.2,0.21,45800,MYR
2014-08-27,0.215,0.215,0.21,0.215,388100,MYR
2014-08-28,0.215,0.215,0.215,0.215,121900,MYR
2014-09-02,0.2,0.2,0.18,0.185,2016400,MYR
2014-09-03,0.19,0.195,0.19,0.195,360000,MYR
2014-09-04,0.195,0.195,0.185,0.185,21100,MYR
2014-09-05,0.195,0.195,0.185,0.185,94900,MYR
2014-09-08,0.185,0.195,0.185,0.185,150000,MYR
2014-09-10,0.185,0.185,0.185,0.185,54800,MYR
2014-09-11,0.185,0.185,0.185,0.185,50000,MYR
2014-09-15,0.19,0.2,0.19,0.19,430000,MYR
2014-09-17,0.185,0.185,0.185,0.185,68000,MYR
2014-09-18,0.21,0.21,0.185,0.185,265100,MYR
2014-09-19,0.185,0.185,0.185,0.185,30000,MYR
2014-09-22,0.185,0.195,0.18,0.195,96000,MYR
2014-09-24,0.185,0.195,0.18,0.195,31500,MYR
2014-09-25,0.185,0.195,0.185,0.19,50100,MYR
2014-09-26,0.19,0.19,0.19,0.19,10000,MYR
2014-09-29,0.19,0.19,0.19,0.19,100000,MYR
2014-10-01,0.18,0.18,0.18,0.18,52000,MYR
2014-10-03,0.185,0.185,0.185,0.185,43800,MYR
2014-10-08,0.18,0.18,0.175,0.175,79900,MYR
2014-10-09,0.18,0.18,0.18,0.18,106100,MYR
2014-10-10,0.18,0.18,0.18,0.18,33000,MYR
2014-10-14,0.17,0.17,0.17,0.17,30000,MYR
2014-10-15,0.17,0.17,0.17,0.17,42600,MYR
2014-10-16,0.155,0.155,0.155,0.155,2000,MYR
2014-10-17,0.165,0.175,0.165,0.175,175000,MYR
2014-10-20,0.185,0.195,0.185,0.19,457300,MYR
2014-10-21,0.195,0.2,0.19,0.195,905600,MYR
2014-10-23,0.195,0.21,0.195,0.21,991500,MYR
2014-10-24,0.21,0.23,0.21,0.215,2375300,MYR
2014-10-28,0.2,0.215,0.2,0.215,236000,MYR
2014-10-29,0.215,0.23,0.215,0.23,1077300,MYR
2014-10-30,0.23,0.24,0.21,0.235,1480900,MYR
2014-10-31,0.24,0.25,0.225,0.245,2047900,MYR
2014-11-03,0.245,0.245,0.235,0.24,179600,MYR
2014-11-04,0.24,0.245,0.24,0.245,1783400,MYR
2014-11-05,0.235,0.24,0.235,0.24,100000,MYR
2014-11-06,0.235,0.24,0.235,0.235,277400,MYR
2014-11-07,0.24,0.25,0.24,0.25,4875300,MYR
2014-11-10,0.25,0.25,0.245,0.245,935000,MYR
2014-11-11,0.245,0.26,0.245,0.26,4002700,MYR
2014-11-12,0.265,0.265,0.245,0.255,1437900,MYR
2014-11-13,0.25,0.255,0.25,0.25,365000,MYR
2014-11-14,0.24,0.26,0.24,0.245,683800,MYR
2014-11-17,0.245,0.245,0.24,0.24,1770200,MYR
2014-11-18,0.24,0.24,0.23,0.23,666400,MYR
2014-11-19,0.23,0.24,0.23,0.24,74000,MYR
2014-11-20,0.23,0.235,0.225,0.225,91800,MYR
2014-11-21,0.23,0.235,0.23,0.23,86600,MYR
2014-11-24,0.235,0.235,0.23,0.23,21400,MYR
2014-11-26,0.23,0.23,0.23,0.23,40000,MYR
2014-11-28,0.22,0.24,0.22,0.22,52000,MYR
2014-12-02,0.22,0.24,0.22,0.24,20000,MYR
2014-12-08,0.235,0.235,0.235,0.235,130000,MYR
2014-12-10,0.21,0.21,0.21,0.21,50000,MYR
2014-12-12,0.21,0.21,0.2,0.2,70000,MYR
2014-12-15,0.17,0.17,0.17,0.17,10000,MYR
2014-12-16,0.19,0.2,0.19,0.2,36000,MYR
2014-12-17,0.215,0.215,0.215,0.215,1000,MYR
2014-12-18,0.21,0.21,0.18,0.21,98000,MYR
2014-12-19,0.2,0.21,0.2,0.21,44000,MYR
2014-12-24,0.195,0.215,0.19,0.215,10300,MYR
2014-12-26,0.19,0.21,0.19,0.21,23000,MYR
2015-01-05,0.19,0.21,0.19,0.21,15000,MYR
2015-01-15,0.2,0.2,0.2,0.2,13000,MYR
2015-01-16,0.2,0.21,0.2,0.21,42900,MYR
2015-01-23,0.2,0.21,0.2,0.21,11000,MYR
2015-01-26,0.19,0.21,0.19,0.21,98100,MYR
2015-01-30,0.2,0.21,0.19,0.19,55700,MYR
2015-02-04,0.195,0.21,0.195,0.21,3100,MYR
2015-02-11,0.195,0.195,0.19,0.19,90000,MYR
2015-02-13,0.185,0.19,0.185,0.19,10800,MYR
2015-02-16,0.19,0.19,0.19,0.19,30000,MYR
2015-02-17,0.185,0.19,0.185,0.185,8300,MYR
2015-02-18,0.2,0.2,0.2,0.2,2000,MYR
2015-03-03,0.18,0.19,0.18,0.19,205000,MYR
2015-03-04,0.19,0.19,0.19,0.19,66500,MYR
2015-03-05,0.185,0.185,0.18,0.18,21000,MYR
2015-03-06,0.185,0.19,0.185,0.185,70000,MYR
2015-03-09,0.185,0.2,0.185,0.2,20000,MYR
2015-03-10,0.18,0.19,0.18,0.19,77000,MYR
2015-03-11,0.19,0.2,0.19,0.2,18000,MYR
2015-03-19,0.18,0.195,0.18,0.195,8000,MYR
2015-03-23,0.195,0.195,0.195,0.195,55000,MYR
2015-03-26,0.185,0.185,0.185,0.185,3000,MYR
2015-04-01,0.175,0.19,0.175,0.19,11000,MYR
2015-04-03,0.175,0.19,0.175,0.19,1500,MYR
2015-04-09,0.19,0.215,0.19,0.215,10500,MYR
2015-04-10,0.19,0.19,0.18,0.185,250200,MYR
2015-04-13,0.18,0.185,0.18,0.185,15000,MYR
2015-04-14,0.185,0.185,0.185,0.185,40000,MYR
2015-04-15,0.18,0.185,0.18,0.18,70000,MYR
2015-04-16,0.19,0.19,0.19,0.19,47000,MYR
2015-04-17,0.2,0.21,0.19,0.2,857800,MYR
2015-04-20,0.19,0.195,0.18,0.185,547300,MYR
2015-04-21,0.185,0.185,0.17,0.175,2540100,MYR
2015-04-22,0.175,0.175,0.17,0.17,390300,MYR
2015-04-23,0.175,0.18,0.175,0.175,218000,MYR
2015-04-24,0.175,0.18,0.175,0.18,311700,MYR
2015-04-27,0.18,0.18,0.18,0.18,360700,MYR
2015-04-28,0.18,0.185,0.175,0.185,376700,MYR
2015-04-29,0.175,0.18,0.175,0.175,14200,MYR
2015-04-30,0.18,0.18,0.18,0.18,130000,MYR
2015-05-05,0.175,0.175,0.175,0.175,50000,MYR
2015-05-07,0.175,0.175,0.16,0.16,1690100,MYR
2015-05-08,0.16,0.16,0.16,0.16,227000,MYR
2015-05-11,0.16,0.16,0.16,0.16,128000,MYR
2015-05-12,0.16,0.16,0.16,0.16,300000,MYR
2015-05-13,0.16,0.16,0.16,0.16,15000,MYR
2015-05-14,0.165,0.165,0.16,0.16,53000,MYR
2015-05-15,0.16,0.16,0.155,0.155,54700,MYR
2015-05-19,0.16,0.16,0.15,0.155,509900,MYR
2015-05-20,0.15,0.15,0.15,0.15,285300,MYR
2015-05-21,0.15,0.15,0.145,0.15,185000,MYR
2015-05-25,0.14,0.14,0.14,0.14,54000,MYR
2015-05-27,0.135,0.14,0.135,0.14,140600,MYR
2015-05-29,0.13,0.13,0.13,0.13,100000,MYR
2015-06-01,0.13,0.14,0.13,0.14,80000,MYR
2015-06-02,0.14,0.14,0.14,0.14,34300,MYR
2015-06-04,0.14,0.15,0.135,0.15,104900,MYR
2015-06-05,0.14,0.14,0.14,0.14,30000,MYR
2015-06-11,0.135,0.145,0.135,0.145,115000,MYR
2015-06-19,0.14,0.14,0.135,0.135,54900,MYR
2015-06-22,0.13,0.13,0.13,0.13,10000,MYR
2015-06-23,0.15,0.15,0.15,0.15,2000,MYR
2015-06-24,0.13,0.15,0.13,0.15,8000,MYR
2015-06-25,0.135,0.135,0.135,0.135,50000,MYR
2015-06-26,0.135,0.135,0.135,0.135,68000,MYR
2015-06-30,0.135,0.135,0.135,0.135,15000,MYR
2015-07-03,0.135,0.135,0.13,0.13,50000,MYR
2015-07-08,0.13,0.165,0.13,0.165,70000,MYR
2015-07-15,0.13,0.14,0.13,0.13,60000,MYR
2015-07-16,0.16,0.16,0.16,0.16,100,MYR
2015-07-20,0.13,0.145,0.13,0.13,39000,MYR
2015-07-21,0.15,0.15,0.13,0.145,53400,MYR
2015-07-23,0.14,0.15,0.135,0.135,31400,MYR
2015-07-24,0.16,0.16,0.16,0.16,200,MYR
2015-07-29,0.125,0.145,0.125,0.145,10200,MYR
