Date,Open,High,Low,Close,Volume,Currency
2013-02-07,0.425,0.455,0.42,0.455,447300,MYR
2013-02-08,0.45,0.465,0.45,0.455,1020300,MYR
2013-02-13,0.445,0.445,0.445,0.445,5400,MYR
2013-02-14,0.45,0.46,0.45,0.45,37000,MYR
2013-02-15,0.45,0.45,0.445,0.45,205200,MYR
2013-02-18,0.445,0.465,0.445,0.465,115000,MYR
2013-02-19,0.465,0.47,0.46,0.465,601000,MYR
2013-02-20,0.46,0.475,0.455,0.47,588000,MYR
2013-02-21,0.47,0.525,0.465,0.525,2018200,MYR
2013-02-22,0.515,0.52,0.485,0.485,1175400,MYR
2013-02-25,0.485,0.495,0.48,0.485,379700,MYR
2013-02-26,0.48,0.49,0.475,0.485,502000,MYR
2013-02-27,0.495,0.51,0.485,0.505,939300,MYR
2013-02-28,0.495,0.495,0.475,0.48,834200,MYR
2013-03-01,0.47,0.495,0.47,0.495,449700,MYR
2013-03-04,0.485,0.49,0.48,0.485,336800,MYR
2013-03-05,0.49,0.5,0.485,0.495,702200,MYR
2013-03-06,0.5,0.5,0.49,0.49,271600,MYR
2013-03-07,0.49,0.49,0.485,0.49,540000,MYR
2013-03-08,0.49,0.495,0.49,0.495,829300,MYR
2013-03-11,0.5,0.5,0.49,0.49,894000,MYR
2013-03-12,0.49,0.515,0.485,0.5,1315900,MYR
2013-03-13,0.495,0.495,0.485,0.49,604700,MYR
2013-03-14,0.49,0.505,0.49,0.5,772800,MYR
2013-03-15,0.5,0.5,0.495,0.495,426000,MYR
2013-03-18,0.495,0.495,0.485,0.49,420800,MYR
2013-03-19,0.495,0.55,0.495,0.54,3698500,MYR
2013-03-20,0.535,0.555,0.535,0.555,5637900,MYR
2013-03-21,0.565,0.57,0.535,0.54,2650400,MYR
2013-03-22,0.54,0.545,0.525,0.525,1504900,MYR
2013-03-25,0.525,0.535,0.52,0.52,1140800,MYR
2013-03-26,0.52,0.525,0.51,0.52,752100,MYR
2013-03-27,0.52,0.535,0.515,0.535,824600,MYR
2013-03-28,0.525,0.525,0.52,0.525,446400,MYR
2013-03-29,0.525,0.525,0.52,0.525,299000,MYR
2013-04-01,0.525,0.525,0.515,0.525,218100,MYR
2013-04-02,0.515,0.525,0.515,0.525,135900,MYR
2013-04-03,0.52,0.52,0.495,0.52,921600,MYR
2013-04-04,0.51,0.52,0.51,0.515,118600,MYR
2013-04-05,0.515,0.52,0.515,0.52,105000,MYR
2013-04-08,0.515,0.53,0.515,0.52,371900,MYR
2013-04-09,0.52,0.53,0.52,0.53,353300,MYR
2013-04-10,0.525,0.525,0.515,0.515,266000,MYR
2013-04-11,0.52,0.53,0.52,0.53,569200,MYR
2013-04-12,0.525,0.525,0.52,0.525,176600,MYR
2013-04-15,0.525,0.525,0.52,0.52,157900,MYR
2013-04-16,0.515,0.52,0.51,0.52,190200,MYR
2013-04-17,0.51,0.52,0.51,0.515,153000,MYR
2013-04-18,0.51,0.525,0.51,0.52,305300,MYR
2013-04-19,0.515,0.515,0.51,0.515,294100,MYR
2013-04-22,0.52,0.525,0.515,0.52,809800,MYR
2013-04-23,0.52,0.52,0.52,0.52,323000,MYR
2013-04-24,0.52,0.53,0.52,0.525,720100,MYR
2013-04-25,0.52,0.525,0.52,0.52,300000,MYR
2013-04-26,0.515,0.52,0.51,0.52,365700,MYR
2013-04-29,0.515,0.52,0.515,0.515,656000,MYR
2013-04-30,0.51,0.51,0.505,0.505,244800,MYR
2013-05-02,0.5,0.5,0.48,0.48,859100,MYR
2013-05-03,0.475,0.495,0.47,0.495,427000,MYR
2013-05-06,0.495,0.52,0.49,0.505,269000,MYR
2013-05-07,0.5,0.51,0.5,0.51,317100,MYR
2013-05-08,0.51,0.51,0.5,0.5,884100,MYR
2013-05-09,0.505,0.54,0.5,0.53,3326500,MYR
2013-05-10,0.53,0.535,0.52,0.53,689400,MYR
