Date,Open,High,Low,Close,Volume,Currency
2015-05-18,1.8,1.8,1.77,1.8,77138496,MYR
2015-05-19,1.79,1.8,1.73,1.76,79372896,MYR
2015-05-20,1.75,1.75,1.63,1.72,113469600,MYR
2015-05-21,1.7,1.73,1.68,1.7,19809800,MYR
2015-05-22,1.7,1.75,1.69,1.71,10422900,MYR
2015-05-25,1.71,1.74,1.71,1.73,7803300,MYR
2015-05-26,1.72,1.75,1.71,1.74,12314300,MYR
2015-05-27,1.73,1.75,1.72,1.75,8815500,MYR
2015-05-28,1.76,1.77,1.74,1.76,9881500,MYR
2015-05-29,1.76,1.8,1.75,1.77,17166700,MYR
2015-06-01,1.78,1.82,1.77,1.81,6936400,MYR
2015-06-02,1.81,1.91,1.81,1.86,39483100,MYR
2015-06-03,1.87,1.88,1.85,1.86,11483400,MYR
2015-06-04,1.87,1.89,1.86,1.87,10280000,MYR
2015-06-05,1.87,1.88,1.85,1.87,8559900,MYR
2015-06-08,1.87,1.87,1.85,1.86,10839700,MYR
2015-06-09,1.86,1.88,1.82,1.83,10903600,MYR
2015-06-10,1.8,1.82,1.76,1.81,4121300,MYR
2015-06-11,1.82,1.82,1.78,1.81,3129500,MYR
2015-06-12,1.81,1.82,1.8,1.81,3336100,MYR
2015-06-15,1.81,1.82,1.79,1.8,5355600,MYR
2015-06-16,1.8,1.8,1.77,1.8,4456600,MYR
2015-06-17,1.8,1.8,1.78,1.79,4355800,MYR
2015-06-18,1.79,1.81,1.79,1.81,1568900,MYR
2015-06-19,1.8,1.81,1.73,1.75,4673500,MYR
2015-06-22,1.75,1.8,1.74,1.79,2911500,MYR
2015-06-23,1.79,1.81,1.78,1.8,4687500,MYR
2015-06-24,1.8,1.81,1.78,1.79,5452800,MYR
2015-06-25,1.8,1.8,1.77,1.78,1391800,MYR
2015-06-26,1.79,1.81,1.78,1.8,6978200,MYR
2015-06-29,1.78,1.8,1.75,1.8,6618800,MYR
2015-06-30,1.78,1.8,1.75,1.75,5568200,MYR
2015-07-01,1.76,1.8,1.76,1.8,4117800,MYR
2015-07-02,1.79,1.8,1.76,1.8,4356000,MYR
2015-07-03,1.78,1.79,1.77,1.77,1415400,MYR
2015-07-06,1.77,1.8,1.75,1.79,3959600,MYR
2015-07-07,1.79,1.8,1.77,1.79,7163400,MYR
2015-07-08,1.78,1.79,1.76,1.76,4254600,MYR
2015-07-09,1.76,1.78,1.75,1.77,1060500,MYR
2015-07-10,1.77,1.78,1.76,1.78,1823900,MYR
2015-07-13,1.78,1.8,1.77,1.8,1506200,MYR
2015-07-14,1.79,1.8,1.78,1.8,4423800,MYR
2015-07-15,1.79,1.8,1.78,1.79,737000,MYR
2015-07-16,1.79,1.79,1.77,1.77,1353100,MYR
2015-07-20,1.77,1.79,1.76,1.76,1692400,MYR
2015-07-21,1.77,1.79,1.76,1.79,1510900,MYR
2015-07-22,1.79,1.79,1.75,1.76,2003800,MYR
2015-07-23,1.76,1.77,1.75,1.76,3221900,MYR
2015-07-24,1.76,1.77,1.72,1.73,2281500,MYR
2015-07-27,1.72,1.73,1.65,1.68,8005200,MYR
2015-07-28,1.68,1.71,1.64,1.65,5131700,MYR
2015-07-29,1.66,1.7,1.65,1.66,3519300,MYR
2015-07-30,1.67,1.7,1.67,1.69,2271400,MYR
2015-07-31,1.69,1.74,1.67,1.73,3930600,MYR
2015-08-03,1.73,1.73,1.68,1.68,3064900,MYR
2015-08-04,1.69,1.7,1.68,1.68,2290300,MYR
2015-08-05,1.68,1.68,1.66,1.67,2655100,MYR
2015-08-06,1.68,1.68,1.53,1.53,14719200,MYR
2015-08-07,1.54,1.58,1.53,1.57,2442600,MYR
2015-08-10,1.55,1.56,1.44,1.46,17026400,MYR
2015-08-11,1.48,1.51,1.47,1.5,9439900,MYR
2015-08-12,1.49,1.5,1.46,1.49,5149600,MYR
2015-08-13,1.5,1.57,1.5,1.56,9839000,MYR
2015-08-14,1.56,1.56,1.5,1.52,5105600,MYR
2015-08-17,1.5,1.53,1.48,1.53,5185900,MYR
2015-08-18,1.51,1.53,1.5,1.53,4723300,MYR
2015-08-19,1.51,1.52,1.5,1.52,2549900,MYR
2015-08-20,1.5,1.51,1.46,1.47,2019700,MYR
2015-08-21,1.46,1.48,1.41,1.41,6340400,MYR
2015-08-24,1.39,1.4,1.24,1.25,10019500,MYR
2015-08-25,1.21,1.26,1.18,1.24,11575600,MYR
2015-08-26,1.23,1.3,1.21,1.29,22379400,MYR
2015-08-27,1.32,1.44,1.3,1.43,18832700,MYR
2015-08-28,1.44,1.45,1.4,1.43,11614300,MYR
2015-09-01,1.43,1.49,1.39,1.48,6352900,MYR
2015-09-02,1.44,1.51,1.42,1.48,4413100,MYR
2015-09-03,1.49,1.51,1.46,1.51,1952900,MYR
2015-09-04,1.51,1.52,1.49,1.51,2105200,MYR
2015-09-07,1.51,1.54,1.48,1.53,884200,MYR
2015-09-08,1.52,1.55,1.48,1.54,1234600,MYR
2015-09-09,1.54,1.59,1.54,1.56,1197000,MYR
2015-09-10,1.55,1.59,1.52,1.58,3489400,MYR
2015-09-11,1.57,1.58,1.55,1.55,579900,MYR
2015-09-14,1.56,1.64,1.55,1.6,11009900,MYR
2015-09-15,1.61,1.62,1.57,1.58,3226300,MYR
2015-09-17,1.59,1.6,1.57,1.58,2161800,MYR
2015-09-18,1.58,1.63,1.57,1.63,7025900,MYR
2015-09-21,1.6,1.62,1.58,1.58,659900,MYR
2015-09-22,1.58,1.59,1.55,1.56,2292400,MYR
2015-09-23,1.56,1.62,1.55,1.57,3313900,MYR
2015-09-25,1.58,1.68,1.56,1.67,6808500,MYR
2015-09-28,1.67,1.68,1.62,1.66,2740500,MYR
2015-09-29,1.65,1.68,1.61,1.68,1993500,MYR
2015-09-30,1.67,1.7,1.62,1.62,5299100,MYR
2015-10-01,1.62,1.66,1.6,1.63,10632400,MYR
2015-10-02,1.62,1.66,1.62,1.66,2805100,MYR
2015-10-05,1.66,1.66,1.63,1.66,2411800,MYR
2015-10-06,1.67,1.72,1.66,1.71,6158600,MYR
2015-10-07,1.72,1.73,1.69,1.7,5459300,MYR
2015-10-08,1.69,1.73,1.69,1.71,2481300,MYR
2015-10-09,1.7,1.71,1.68,1.7,4606500,MYR
2015-10-12,1.71,1.71,1.69,1.71,906100,MYR
2015-10-13,1.7,1.7,1.67,1.67,2643800,MYR
2015-10-15,1.68,1.76,1.68,1.7,11592000,MYR
2015-10-16,1.71,1.75,1.68,1.72,5616200,MYR
2015-10-19,1.73,1.75,1.71,1.73,2720200,MYR
2015-10-20,1.73,1.74,1.71,1.72,1132700,MYR
2015-10-21,1.71,1.76,1.7,1.75,1445600,MYR
2015-10-22,1.75,1.76,1.74,1.76,1282500,MYR
2015-10-23,1.75,1.78,1.74,1.76,1764700,MYR
2015-10-26,1.77,1.78,1.74,1.77,2379700,MYR
2015-10-27,1.78,1.78,1.72,1.76,2890300,MYR
2015-10-28,1.74,1.79,1.73,1.77,3962300,MYR
2015-10-29,1.75,1.76,1.73,1.74,4652500,MYR
2015-10-30,1.74,1.75,1.71,1.71,4142600,MYR
2015-11-02,1.71,1.74,1.7,1.73,488900,MYR
2015-11-03,1.72,1.74,1.72,1.73,1945000,MYR
2015-11-04,1.72,1.75,1.72,1.75,2034700,MYR
2015-11-05,1.74,1.74,1.72,1.73,4156700,MYR
2015-11-06,1.74,1.74,1.72,1.72,2430900,MYR
2015-11-09,1.72,1.72,1.68,1.71,3433400,MYR
2015-11-11,1.71,1.72,1.68,1.7,4863700,MYR
2015-11-12,1.69,1.7,1.67,1.7,3778600,MYR
2015-11-13,1.65,1.69,1.55,1.65,49520300,MYR
2015-11-16,1.62,1.66,1.62,1.64,3260600,MYR
2015-11-17,1.65,1.69,1.64,1.66,3699700,MYR
2015-11-18,1.71,1.71,1.64,1.64,5674900,MYR
2015-11-19,1.66,1.68,1.62,1.65,3335200,MYR
2015-11-20,1.64,1.64,1.61,1.64,2970700,MYR
2015-11-23,1.63,1.65,1.62,1.62,1588600,MYR
2015-11-24,1.65,1.67,1.59,1.63,3242600,MYR
2015-11-25,1.63,1.63,1.58,1.58,7719300,MYR
2015-11-26,1.59,1.6,1.58,1.59,1520600,MYR
2015-11-27,1.59,1.6,1.56,1.59,2912200,MYR
2015-11-30,1.62,1.62,1.57,1.57,3836900,MYR
2015-12-01,1.57,1.58,1.55,1.56,5638300,MYR
2015-12-02,1.57,1.61,1.57,1.6,5855100,MYR
2015-12-03,1.6,1.6,1.58,1.6,4495700,MYR
2015-12-04,1.6,1.61,1.58,1.6,4525300,MYR
2015-12-07,1.6,1.6,1.59,1.6,3173700,MYR
2015-12-08,1.6,1.6,1.58,1.6,639000,MYR
2015-12-09,1.6,1.6,1.58,1.58,3469200,MYR
2015-12-10,1.58,1.59,1.55,1.58,2808000,MYR
2015-12-11,1.59,1.59,1.57,1.59,3878300,MYR
2015-12-14,1.57,1.63,1.56,1.61,6049500,MYR
