Date,Open,High,Low,Close,Volume,Currency
2013-02-04,1.31,1.5,1.31,1.35,12100,MYR
2013-02-06,1.31,1.31,1.31,1.31,1000,MYR
2013-02-07,1.31,1.31,1.31,1.31,1000,MYR
2013-02-08,1.31,1.31,1.31,1.31,6000,MYR
2013-02-18,1.3,1.3,1.3,1.3,3000,MYR
2013-02-21,1.3,1.3,1.3,1.3,1000,MYR
2013-02-25,1.31,1.31,1.31,1.31,2000,MYR
2013-03-01,1.31,1.31,1.31,1.31,3000,MYR
2013-03-04,1.4,1.4,1.4,1.4,4000,MYR
2013-03-06,1.4,1.4,1.4,1.4,9000,MYR
2013-03-07,1.35,1.5,1.35,1.5,3200,MYR
2013-03-25,1.5,1.5,1.5,1.5,17700,MYR
2013-03-26,1.5,1.8,1.5,1.8,60000,MYR
2013-04-30,1.31,1.55,1.31,1.55,3900,MYR
2013-05-02,1.4,1.54,1.35,1.5,39400,MYR
2013-05-03,1.52,1.53,1.43,1.45,16500,MYR
2013-05-07,1.45,1.45,1.4,1.4,2000,MYR
2013-05-09,1.49,1.5,1.49,1.5,4000,MYR
2013-05-10,1.5,1.5,1.5,1.5,2000,MYR
2013-05-13,1.52,1.6,1.52,1.6,1600,MYR
2013-05-20,1.5,1.6,1.5,1.58,12100,MYR
2013-05-21,1.58,1.7,1.58,1.7,8900,MYR
2013-05-22,1.51,1.51,1.51,1.51,1000,MYR
2013-05-23,1.4,1.51,1.4,1.51,3000,MYR
2013-05-29,1.5,1.52,1.5,1.52,5500,MYR
2013-05-31,1.45,1.45,1.45,1.45,5000,MYR
2013-06-04,1.45,1.58,1.45,1.58,10000,MYR
2013-06-10,1.58,1.65,1.57,1.65,34200,MYR
2013-06-19,1.53,1.53,1.53,1.53,3000,MYR
2013-06-24,1.43,1.43,1.43,1.43,1000,MYR
2013-06-25,1.42,1.42,1.42,1.42,1000,MYR
2013-06-27,1.43,1.43,1.43,1.43,3000,MYR
2013-07-01,1.43,1.62,1.43,1.62,7300,MYR
2013-07-02,1.6,1.6,1.6,1.6,1600,MYR
2013-07-12,1.46,1.58,1.46,1.58,11700,MYR
2013-07-16,1.56,1.56,1.56,1.56,2300,MYR
2013-07-22,1.56,1.56,1.56,1.56,3000,MYR
2013-07-23,1.47,1.47,1.47,1.47,1000,MYR
2013-07-24,1.55,1.75,1.55,1.6,41000,MYR
2013-07-26,1.63,1.69,1.58,1.65,94500,MYR
2013-08-15,1.53,1.53,1.53,1.53,1000,MYR
2013-08-21,1.46,1.46,1.46,1.46,1000,MYR
2013-09-11,1.38,1.38,1.38,1.38,1800,MYR
2013-09-13,1.4,1.5,1.4,1.5,5000,MYR
2013-09-17,1.5,1.9,1.5,1.53,24500,MYR
2013-09-18,1.53,1.8,1.53,1.8,4100,MYR
2013-09-23,1.6,1.68,1.6,1.67,28000,MYR
2013-09-24,1.67,1.67,1.66,1.66,17000,MYR
2013-09-25,1.65,1.67,1.65,1.66,4000,MYR
2013-09-26,1.65,1.65,1.64,1.64,12000,MYR
2013-09-27,1.62,1.64,1.62,1.64,18800,MYR
2013-10-02,1.58,1.64,1.58,1.64,9000,MYR
2013-10-08,1.55,1.64,1.55,1.62,6100,MYR
2013-10-09,1.6,1.62,1.6,1.62,11000,MYR
2013-10-10,1.6,1.6,1.6,1.6,8000,MYR
2013-10-11,1.56,1.6,1.56,1.6,12000,MYR
2013-10-18,1.52,1.52,1.52,1.52,1000,MYR
2013-10-24,1.53,1.53,1.53,1.53,1000,MYR
2013-11-04,1.5,1.5,1.5,1.5,2000,MYR
