Date,Open,High,Low,Close,Volume,Currency
2013-02-04,0.5,0.51,0.5,0.51,322900,MYR
2013-02-05,0.505,0.51,0.505,0.505,813500,MYR
2013-02-06,0.5,0.5,0.485,0.49,1067000,MYR
2013-02-07,0.485,0.49,0.485,0.49,526000,MYR
2013-02-08,0.49,0.49,0.485,0.485,1037100,MYR
2013-02-13,0.49,0.49,0.485,0.49,442400,MYR
2013-02-14,0.49,0.49,0.49,0.49,504800,MYR
2013-02-15,0.49,0.495,0.485,0.485,251700,MYR
2013-02-18,0.49,0.49,0.485,0.485,257900,MYR
2013-02-19,0.485,0.49,0.48,0.48,528000,MYR
2013-02-20,0.48,0.485,0.475,0.48,301000,MYR
2013-02-21,0.475,0.48,0.47,0.475,538800,MYR
2013-02-22,0.475,0.475,0.475,0.475,401600,MYR
2013-02-25,0.475,0.48,0.475,0.475,367000,MYR
2013-02-26,0.475,0.48,0.47,0.475,723400,MYR
2013-02-27,0.47,0.48,0.47,0.475,669600,MYR
2013-02-28,0.485,0.485,0.475,0.485,558100,MYR
2013-03-01,0.485,0.485,0.475,0.48,1096000,MYR
2013-03-04,0.475,0.48,0.475,0.48,223000,MYR
2013-03-05,0.48,0.485,0.48,0.48,385800,MYR
2013-03-06,0.485,0.5,0.485,0.49,561700,MYR
2013-03-07,0.495,0.51,0.49,0.5,726800,MYR
2013-03-08,0.505,0.51,0.505,0.505,1192100,MYR
2013-03-11,0.505,0.515,0.505,0.515,1054500,MYR
2013-03-12,0.52,0.545,0.52,0.52,8055900,MYR
2013-03-13,0.52,0.53,0.51,0.515,598100,MYR
2013-03-14,0.515,0.515,0.51,0.51,259600,MYR
2013-03-15,0.51,0.515,0.5,0.505,1115600,MYR
2013-03-18,0.5,0.5,0.49,0.495,1700600,MYR
2013-03-19,0.5,0.505,0.5,0.505,379900,MYR
2013-03-20,0.505,0.52,0.5,0.505,2844300,MYR
2013-03-21,0.505,0.525,0.505,0.515,3052900,MYR
2013-03-22,0.515,0.52,0.5,0.5,1213000,MYR
2013-03-25,0.495,0.5,0.495,0.5,246500,MYR
2013-03-26,0.5,0.505,0.5,0.505,374000,MYR
2013-03-27,0.505,0.505,0.5,0.5,480500,MYR
2013-03-28,0.505,0.51,0.5,0.5,2003900,MYR
2013-03-29,0.51,0.525,0.51,0.51,5320500,MYR
2013-04-01,0.51,0.515,0.505,0.505,501000,MYR
2013-04-02,0.51,0.515,0.505,0.51,859600,MYR
2013-04-03,0.51,0.515,0.495,0.5,1208400,MYR
2013-04-04,0.495,0.525,0.495,0.52,2535600,MYR
2013-04-05,0.52,0.535,0.52,0.53,4799900,MYR
2013-04-08,0.535,0.54,0.53,0.535,1766100,MYR
2013-04-09,0.535,0.535,0.53,0.53,2080600,MYR
2013-04-10,0.53,0.53,0.52,0.525,691800,MYR
2013-04-11,0.53,0.53,0.52,0.52,1060900,MYR
2013-04-12,0.52,0.52,0.51,0.51,855100,MYR
2013-04-15,0.51,0.51,0.505,0.51,587100,MYR
2013-04-16,0.505,0.52,0.505,0.52,543800,MYR
2013-04-17,0.52,0.525,0.515,0.52,864200,MYR
2013-04-18,0.515,0.515,0.51,0.515,176700,MYR
2013-04-19,0.515,0.515,0.51,0.515,230000,MYR
2013-04-22,0.51,0.515,0.505,0.51,446700,MYR
2013-04-23,0.51,0.515,0.5,0.5,641800,MYR
2013-04-24,0.5,0.51,0.5,0.51,96900,MYR
2013-04-25,0.505,0.525,0.505,0.51,726500,MYR
2013-04-26,0.505,0.515,0.505,0.515,125600,MYR
2013-04-29,0.51,0.51,0.5,0.505,286000,MYR
2013-04-30,0.5,0.5,0.5,0.5,305500,MYR
2013-05-02,0.5,0.51,0.49,0.49,1301700,MYR
2013-05-03,0.49,0.495,0.485,0.495,718500,MYR
2013-05-06,0.515,0.52,0.51,0.515,2283000,MYR
2013-05-07,0.52,0.535,0.515,0.535,3207100,MYR
2013-05-08,0.54,0.54,0.525,0.535,2546000,MYR
2013-05-09,0.53,0.56,0.53,0.56,4954000,MYR
2013-05-10,0.56,0.6,0.555,0.585,10295600,MYR
2013-05-13,0.595,0.625,0.59,0.605,9749000,MYR
2013-05-14,0.62,0.63,0.595,0.61,7419100,MYR
2013-05-15,0.61,0.615,0.605,0.61,3117900,MYR
2013-05-16,0.61,0.61,0.59,0.595,2838700,MYR
2013-05-17,0.595,0.65,0.59,0.65,12810800,MYR
2013-05-20,0.66,0.69,0.66,0.68,18197100,MYR
2013-05-21,0.69,0.74,0.69,0.725,20767500,MYR
2013-05-22,0.74,0.745,0.685,0.7,14328800,MYR
2013-05-23,0.7,0.7,0.655,0.665,9955200,MYR
2013-05-27,0.675,0.705,0.665,0.705,9739500,MYR
2013-05-28,0.71,0.73,0.7,0.725,9323400,MYR
2013-05-29,0.73,0.77,0.73,0.745,28066300,MYR
2013-05-30,0.745,0.75,0.73,0.74,5767600,MYR
2013-05-31,0.74,0.75,0.725,0.73,3246700,MYR
2013-06-03,0.72,0.725,0.705,0.71,4897400,MYR
2013-06-04,0.715,0.715,0.68,0.705,13931600,MYR
2013-06-05,0.71,0.725,0.695,0.705,10231300,MYR
2013-06-06,0.7,0.71,0.69,0.695,3202600,MYR
2013-06-07,0.7,0.71,0.69,0.705,4201100,MYR
2013-06-10,0.72,0.835,0.72,0.835,65526900,MYR
2013-06-11,0.855,0.91,0.84,0.86,81653400,MYR
