Date,Open,High,Low,Close,Volume,Currency
2013-09-09,0.91,0.95,0.905,0.94,161800,MYR
2013-09-10,0.935,0.945,0.935,0.945,33700,MYR
2013-09-11,0.95,0.955,0.915,0.94,487400,MYR
2013-09-12,0.94,1.0,0.94,0.98,577800,MYR
2013-09-13,0.975,0.98,0.965,0.98,158600,MYR
2013-09-17,0.97,1.0,0.97,0.985,286100,MYR
2013-09-18,0.97,0.97,0.94,0.96,48000,MYR
2013-09-19,0.97,0.975,0.96,0.975,158300,MYR
2013-09-20,0.97,0.985,0.95,0.985,221000,MYR
2013-09-23,0.96,0.99,0.96,0.99,274000,MYR
2013-09-24,0.97,0.99,0.97,0.99,57400,MYR
2013-09-25,0.96,0.965,0.96,0.965,19000,MYR
2013-09-26,0.95,0.985,0.95,0.96,107100,MYR
2013-09-27,0.96,0.98,0.945,0.98,119300,MYR
2013-09-30,0.96,0.98,0.96,0.98,100100,MYR
2013-10-01,0.97,0.975,0.96,0.97,15000,MYR
2013-10-02,0.96,1.03,0.96,1.01,1517200,MYR
2013-10-03,1.02,1.06,1.0,1.02,6813600,MYR
2013-10-04,1.0,1.0,0.995,1.0,496500,MYR
2013-10-07,1.0,1.0,0.98,0.99,208100,MYR
2013-10-08,0.99,1.0,0.96,0.98,1409700,MYR
2013-10-09,0.985,0.985,0.965,0.975,537100,MYR
2013-10-10,0.975,0.99,0.975,0.99,518400,MYR
2013-10-11,0.98,0.99,0.975,0.99,367800,MYR
2013-10-14,0.98,0.99,0.98,0.98,108000,MYR
2013-10-16,0.985,1.02,0.98,0.995,453700,MYR
2013-10-17,1.0,1.03,0.99,1.0,1829200,MYR
2013-10-18,1.02,1.05,0.99,1.05,1259300,MYR
2013-10-21,1.06,1.1,1.04,1.06,5381700,MYR
2013-10-22,1.06,1.07,1.04,1.07,1278200,MYR
2013-10-23,1.08,1.09,1.07,1.08,1889300,MYR
2013-10-24,1.09,1.15,1.07,1.13,5110800,MYR
2013-10-25,1.12,1.14,1.1,1.13,1468000,MYR
2013-10-28,1.13,1.15,1.1,1.13,1561000,MYR
2013-10-29,1.14,1.15,1.11,1.15,1876300,MYR
2013-10-30,1.14,1.15,1.11,1.14,1656000,MYR
2013-10-31,1.12,1.14,1.12,1.14,1084100,MYR
2013-11-01,1.11,1.16,1.11,1.15,1551400,MYR
