Date,Open,High,Low,Close,Volume,Currency
2013-02-20,0.26,0.275,0.26,0.275,33000,MYR
2013-02-21,0.27,0.28,0.26,0.28,65400,MYR
2013-02-22,0.27,0.295,0.27,0.295,121400,MYR
2013-02-25,0.295,0.295,0.285,0.295,267400,MYR
2013-02-27,0.27,0.285,0.27,0.285,40100,MYR
2013-02-28,0.265,0.28,0.265,0.28,21500,MYR
2013-03-01,0.27,0.27,0.27,0.27,15000,MYR
2013-03-04,0.26,0.27,0.26,0.27,6000,MYR
2013-03-05,0.26,0.28,0.26,0.28,10000,MYR
2013-03-06,0.26,0.28,0.26,0.28,13000,MYR
2013-03-07,0.265,0.275,0.265,0.275,227100,MYR
2013-03-08,0.265,0.27,0.26,0.27,113200,MYR
2013-03-11,0.26,0.27,0.26,0.27,92500,MYR
2013-03-12,0.26,0.265,0.26,0.26,106000,MYR
2013-03-13,0.26,0.265,0.255,0.265,27700,MYR
2013-03-14,0.26,0.265,0.26,0.265,104000,MYR
2013-03-15,0.26,0.265,0.26,0.265,172000,MYR
2013-03-18,0.26,0.26,0.255,0.26,110000,MYR
2013-03-19,0.25,0.265,0.25,0.26,62000,MYR
2013-03-20,0.265,0.265,0.26,0.265,125000,MYR
2013-03-21,0.26,0.265,0.26,0.26,146000,MYR
2013-03-22,0.26,0.26,0.255,0.26,120000,MYR
2013-03-25,0.25,0.255,0.25,0.25,223000,MYR
2013-03-26,0.245,0.25,0.24,0.245,201000,MYR
2013-03-27,0.24,0.245,0.24,0.245,211000,MYR
2013-03-28,0.24,0.245,0.235,0.245,153000,MYR
2013-03-29,0.24,0.24,0.24,0.24,9000,MYR
2013-04-01,0.23,0.235,0.23,0.235,65000,MYR
2013-04-02,0.235,0.235,0.225,0.23,87000,MYR
2013-04-03,0.22,0.23,0.2,0.23,609900,MYR
2013-04-04,0.23,0.23,0.23,0.23,30000,MYR
2013-04-09,0.22,0.225,0.205,0.225,218700,MYR
2013-04-10,0.225,0.255,0.225,0.255,701800,MYR
2013-04-11,0.25,0.255,0.245,0.25,598800,MYR
2013-04-12,0.25,0.25,0.245,0.245,286000,MYR
2013-04-15,0.23,0.23,0.23,0.23,29000,MYR
2013-04-16,0.23,0.235,0.23,0.23,39500,MYR
2013-04-17,0.23,0.23,0.225,0.225,77000,MYR
2013-04-18,0.22,0.225,0.215,0.225,38000,MYR
2013-04-19,0.225,0.24,0.22,0.24,84700,MYR
2013-04-23,0.22,0.23,0.22,0.23,18700,MYR
2013-04-24,0.22,0.225,0.22,0.22,44800,MYR
2013-04-25,0.215,0.22,0.215,0.215,26000,MYR
2013-04-26,0.21,0.215,0.21,0.21,44200,MYR
2013-04-29,0.21,0.21,0.21,0.21,9600,MYR
