Date,Open,High,Low,Close,Volume,Currency
2011-07-04,5.46,5.49,5.46,5.48,1355500,MYR
2011-07-05,5.46,5.48,5.46,5.48,2279000,MYR
2011-07-06,5.48,5.5,5.47,5.5,3776600,MYR
2011-07-07,5.51,5.52,5.47,5.5,2157700,MYR
2011-07-08,5.5,5.51,5.49,5.5,5059900,MYR
2011-07-11,5.49,5.51,5.49,5.51,2845700,MYR
2011-07-12,5.5,5.5,5.48,5.48,3160400,MYR
2011-07-13,5.48,5.49,5.47,5.49,2549600,MYR
2011-07-14,5.5,5.5,5.48,5.49,1623100,MYR
2011-07-15,5.48,5.49,5.48,5.49,1663500,MYR
2011-07-18,5.49,5.49,5.47,5.48,3324800,MYR
2011-07-19,5.5,5.5,5.48,5.49,2668300,MYR
2011-07-20,5.5,5.51,5.48,5.49,2350600,MYR
2011-07-21,5.5,5.5,5.48,5.5,2801800,MYR
2011-07-22,5.5,5.5,5.49,5.49,3167400,MYR
2011-07-25,5.49,5.49,5.48,5.49,1551200,MYR
2011-07-26,5.5,5.5,5.48,5.49,2596500,MYR
2011-07-27,5.5,5.5,5.48,5.5,4005600,MYR
2011-07-28,5.5,5.5,5.48,5.5,3219500,MYR
2011-07-29,5.52,5.52,5.49,5.5,3522000,MYR
2011-08-01,5.5,5.51,5.48,5.48,1486600,MYR
2011-08-02,5.5,5.5,5.47,5.47,1572900,MYR
2011-08-03,5.45,5.47,5.43,5.45,3539800,MYR
2011-08-04,5.45,5.46,5.43,5.45,1922400,MYR
2011-08-05,5.38,5.41,5.34,5.39,6459400,MYR
2011-08-08,5.35,5.4,5.22,5.37,6651600,MYR
2011-08-09,5.18,5.37,5.16,5.34,7880200,MYR
2011-08-10,5.35,5.37,5.31,5.31,4094900,MYR
2011-08-11,5.27,5.34,5.26,5.27,2330100,MYR
2011-08-12,5.29,5.33,5.29,5.31,1863700,MYR
2011-08-15,5.32,5.34,5.32,5.33,1636900,MYR
2011-08-16,5.33,5.36,5.33,5.35,4514800,MYR
2011-08-17,5.36,5.37,5.35,5.36,4968200,MYR
2011-08-18,5.35,5.35,5.3,5.35,1971400,MYR
2011-08-19,5.33,5.35,5.33,5.35,2131700,MYR
