Date,Open,High,Low,Close,Volume,Currency
2000-01-03,6.47,6.71,6.47,6.66,4297514,MYR
2000-01-04,6.66,6.8,6.61,6.71,3972653,MYR
2000-01-05,6.61,6.71,6.37,6.66,6786163,MYR
2000-01-06,6.66,6.75,6.51,6.61,4974794,MYR
2000-01-11,6.71,6.85,6.71,6.8,11254040,MYR
2000-01-12,6.8,7.09,6.75,7.09,11411460,MYR
2000-01-13,7.09,7.71,7.09,7.57,15342774,MYR
2000-01-14,7.57,8.14,7.57,8.09,28702562,MYR
2000-01-17,8.14,8.38,8.0,8.09,10771760,MYR
2000-01-18,8.09,8.24,8.0,8.09,10135818,MYR
2000-01-19,8.05,8.29,8.0,8.0,4726346,MYR
2000-01-20,8.0,8.19,8.0,8.05,7154450,MYR
2000-01-21,8.09,8.19,8.0,8.09,7405402,MYR
2000-01-24,8.09,8.24,8.09,8.19,6737726,MYR
2000-01-25,8.14,8.19,8.0,8.14,6227887,MYR
2000-01-26,8.14,8.24,8.09,8.09,3324602,MYR
2000-01-27,8.09,8.14,7.95,8.05,2719559,MYR
2000-01-28,8.09,8.14,8.0,8.14,2114517,MYR
2000-01-31,8.0,8.09,7.95,8.0,2810587,MYR
2000-02-02,8.0,8.09,7.95,8.0,6286345,MYR
2000-02-03,8.05,8.09,8.0,8.09,4269120,MYR
2000-02-08,8.24,8.43,8.19,8.24,10649833,MYR
2000-02-09,8.29,8.43,8.24,8.29,5475029,MYR
2000-02-10,8.19,8.43,8.14,8.38,7405402,MYR
2000-02-11,8.38,8.53,8.38,8.43,2883660,MYR
2000-02-14,8.48,8.62,8.38,8.53,2946294,MYR
2000-02-15,8.62,8.62,8.33,8.33,4740543,MYR
2000-02-16,8.33,8.53,8.33,8.43,3704580,MYR
2000-02-17,8.43,8.53,8.33,8.48,2496583,MYR
2000-02-18,8.62,8.67,8.38,8.48,7969942,MYR
2000-02-21,8.48,8.53,8.33,8.33,5565222,MYR
2000-02-22,8.38,8.38,8.14,8.24,8568720,MYR
2000-02-23,8.24,8.38,8.24,8.29,4012321,MYR
2000-02-24,8.29,8.33,8.14,8.33,1415106,MYR
2000-02-25,8.38,8.38,8.24,8.24,2375074,MYR
2000-02-28,8.14,8.33,8.14,8.19,4726346,MYR
2000-02-29,8.19,8.24,8.09,8.19,7930691,MYR
2000-03-01,8.24,8.29,8.05,8.05,10885336,MYR
2000-03-02,8.05,8.05,7.76,7.76,11030229,MYR
