Date,Open,High,Low,Close,Volume,Currency
2011-09-26,1.76,1.76,1.69,1.7,247300,MYR
2011-09-27,1.7,1.74,1.69,1.74,90700,MYR
2011-09-28,1.75,1.76,1.73,1.73,68700,MYR
2011-09-29,1.72,1.75,1.72,1.75,54700,MYR
2011-09-30,1.77,1.79,1.75,1.79,129200,MYR
2011-10-03,1.72,1.77,1.72,1.75,35800,MYR
2011-10-04,1.75,1.75,1.73,1.73,35500,MYR
2011-10-05,1.73,1.74,1.73,1.73,73600,MYR
2011-10-06,1.74,1.74,1.72,1.73,135600,MYR
2011-10-07,1.73,1.73,1.7,1.7,320600,MYR
2011-10-10,1.71,1.71,1.69,1.7,250700,MYR
2011-10-11,1.72,1.73,1.69,1.7,452800,MYR
2011-10-12,1.72,1.72,1.69,1.7,338700,MYR
2011-10-13,1.72,1.79,1.72,1.75,597000,MYR
2011-10-14,1.78,1.85,1.75,1.84,647100,MYR
2011-10-17,1.86,1.9,1.86,1.86,632600,MYR
2011-10-18,1.84,1.85,1.76,1.78,326400,MYR
2011-10-19,1.8,1.81,1.77,1.79,142800,MYR
2011-10-20,1.76,1.79,1.75,1.78,76000,MYR
2011-10-21,1.78,1.79,1.78,1.79,29200,MYR
2011-10-24,1.81,1.83,1.8,1.82,129700,MYR
2011-10-25,1.82,1.83,1.81,1.81,67800,MYR
2011-10-27,1.82,1.91,1.82,1.9,339800,MYR
2011-10-28,1.95,1.96,1.86,1.9,251900,MYR
2011-10-31,1.9,1.9,1.87,1.87,136100,MYR
2011-11-01,1.89,1.89,1.83,1.83,69100,MYR
2011-11-02,1.81,1.83,1.78,1.83,339200,MYR
2011-11-03,1.83,1.83,1.78,1.8,85700,MYR
2011-11-04,1.8,1.82,1.8,1.82,72600,MYR
2011-11-08,1.83,1.84,1.83,1.83,52400,MYR
2011-11-09,1.84,1.84,1.82,1.83,313900,MYR
2011-11-10,1.81,1.81,1.77,1.77,172900,MYR
2011-11-11,1.8,1.8,1.76,1.77,422700,MYR
2011-11-14,1.78,1.78,1.75,1.77,409500,MYR
2011-11-15,1.75,1.77,1.75,1.76,229100,MYR
2011-11-16,1.77,1.77,1.74,1.75,260800,MYR
2011-11-17,1.75,1.76,1.73,1.74,189000,MYR
2011-11-18,1.74,1.75,1.74,1.74,62300,MYR
2011-11-21,1.74,1.74,1.7,1.7,254900,MYR
2011-11-22,1.71,1.71,1.65,1.68,379800,MYR
2011-11-23,1.67,1.68,1.66,1.66,303100,MYR
2011-11-24,1.65,1.65,1.58,1.59,1184600,MYR
2011-11-25,1.59,1.59,1.55,1.57,358000,MYR
2011-11-29,1.58,1.58,1.54,1.56,195500,MYR
2011-11-30,1.57,1.57,1.51,1.54,389900,MYR
2011-12-01,1.54,1.55,1.52,1.53,535000,MYR
2011-12-02,1.54,1.55,1.53,1.55,187300,MYR
2011-12-05,1.58,1.6,1.56,1.57,362900,MYR
2011-12-06,1.57,1.57,1.56,1.56,204600,MYR
2011-12-07,1.56,1.56,1.54,1.55,346500,MYR
2011-12-08,1.57,1.58,1.52,1.52,585200,MYR
2011-12-09,1.52,1.52,1.49,1.5,728800,MYR
2011-12-12,1.51,1.51,1.48,1.5,247000,MYR
2011-12-13,1.49,1.5,1.49,1.5,106700,MYR
2011-12-14,1.5,1.5,1.45,1.45,667900,MYR
2011-12-15,1.45,1.48,1.44,1.44,343800,MYR
2011-12-16,1.45,1.45,1.43,1.43,400100,MYR
2011-12-19,1.43,1.43,1.39,1.4,527400,MYR
2011-12-20,1.4,1.4,1.39,1.39,224800,MYR
2011-12-21,1.41,1.44,1.4,1.4,287900,MYR
2011-12-22,1.41,1.41,1.39,1.4,554700,MYR
2011-12-23,1.4,1.43,1.39,1.39,733700,MYR
