Date,Open,High,Low,Close,Volume,Currency
2013-03-13,1.937,1.937,1.937,1.937,1550,MYR
2013-03-14,1.937,1.937,1.937,1.937,100,MYR
2013-03-15,1.937,1.937,1.937,1.937,50,MYR
2013-03-18,1.937,1.968,1.937,1.952,455,MYR
2013-03-19,1.952,1.952,1.952,1.952,100,MYR
2013-03-20,1.952,1.968,1.952,1.968,676,MYR
2013-03-21,1.968,1.968,1.968,1.968,10,MYR
2013-03-22,1.968,1.968,1.968,1.968,1580,MYR
2013-03-25,1.968,1.968,1.968,1.968,70,MYR
2013-03-27,1.968,1.968,1.968,1.968,570,MYR
2013-03-28,1.968,1.968,1.937,1.937,4149,MYR
2013-03-29,1.937,1.937,1.937,1.937,20,MYR
2013-04-01,1.952,1.952,1.952,1.952,150,MYR
2013-04-02,1.952,1.952,1.952,1.952,120,MYR
2013-04-03,1.952,1.952,1.937,1.952,1750,MYR
2013-04-04,1.952,1.952,1.937,1.937,1600,MYR
2013-04-05,1.937,1.937,1.937,1.937,413,MYR
2013-04-08,1.952,1.952,1.952,1.952,565,MYR
2013-04-09,1.952,1.952,1.952,1.952,90,MYR
2013-04-10,1.952,1.968,1.952,1.968,942,MYR
2013-04-15,1.968,1.968,1.968,1.968,450,MYR
2013-04-16,1.952,1.952,1.952,1.952,452,MYR
2013-04-17,1.952,1.952,1.952,1.952,1294,MYR
2013-04-18,1.952,1.952,1.952,1.952,2000,MYR
2013-04-19,1.952,1.952,1.952,1.952,48,MYR
2013-04-22,1.952,1.952,1.952,1.952,300,MYR
2013-04-23,1.952,2.063,1.952,1.984,3385,MYR
2013-04-24,1.952,1.952,1.952,1.952,296,MYR
2013-04-25,1.952,1.952,1.952,1.952,100,MYR
2013-04-26,1.952,1.952,1.952,1.952,260,MYR
2013-04-29,1.952,1.952,1.952,1.952,1172,MYR
2013-04-30,1.952,1.952,1.952,1.952,500,MYR
2013-05-02,1.952,1.952,1.952,1.952,240,MYR
2013-05-06,1.952,1.968,1.952,1.968,200,MYR
2013-05-08,1.968,1.968,1.952,1.952,1060,MYR
2013-05-09,1.968,1.968,1.968,1.968,2180,MYR
2013-05-10,1.968,1.968,1.968,1.968,1020,MYR
2013-05-13,2.0,2.0,1.968,1.984,2470,MYR
2013-05-14,1.968,1.968,1.968,1.968,100,MYR
2013-05-15,1.968,2.0,1.968,1.984,510,MYR
2013-05-16,1.984,1.984,1.968,1.968,1200,MYR
2013-05-17,1.984,1.984,1.968,1.984,1804,MYR
2013-05-20,1.984,1.984,1.984,1.984,910,MYR
2013-05-21,1.984,2.0,1.984,1.984,1295,MYR
2013-05-22,1.984,1.984,1.968,1.968,1641,MYR
2013-05-23,1.984,1.984,1.984,1.984,1350,MYR
2013-05-27,1.984,1.984,1.984,1.984,100,MYR
2013-05-28,1.984,2.0,1.984,1.984,718,MYR
2013-05-29,1.984,2.0,1.984,2.0,307,MYR
2013-05-30,2.0,2.0,1.984,1.984,520,MYR
