Date,Open,High,Low,Close,Volume,Currency
2011-09-27,2.15,2.2,2.08,2.2,1369300,MYR
2011-09-28,2.22,2.24,2.16,2.22,1307700,MYR
2011-09-29,2.22,2.23,2.2,2.2,1787300,MYR
2011-09-30,2.22,2.23,2.2,2.2,3963600,MYR
2011-10-03,2.0,2.18,2.0,2.13,799400,MYR
2011-10-04,2.1,2.11,2.08,2.1,1978500,MYR
2011-10-05,2.1,2.12,2.08,2.09,1216500,MYR
2011-10-06,2.09,2.21,2.09,2.2,1982200,MYR
2011-10-07,2.2,2.21,2.2,2.21,935600,MYR
2011-10-10,2.21,2.21,2.18,2.21,313600,MYR
2011-10-11,2.22,2.33,2.22,2.32,467900,MYR
2011-10-12,2.31,2.42,2.29,2.4,820200,MYR
2011-10-13,2.43,2.51,2.4,2.4,4689900,MYR
2011-10-14,2.42,2.42,2.35,2.35,671400,MYR
2011-10-17,2.35,2.49,2.35,2.49,421400,MYR
2011-10-18,2.44,2.44,2.31,2.31,663800,MYR
2011-10-19,2.33,2.42,2.33,2.42,1488600,MYR
2011-10-20,2.36,2.37,2.36,2.37,2362600,MYR
2011-10-21,2.4,2.41,2.36,2.41,2563800,MYR
2011-10-24,2.41,2.47,2.41,2.46,924400,MYR
2011-10-25,2.45,2.46,2.4,2.46,3621800,MYR
2011-10-27,2.43,2.51,2.38,2.49,1634500,MYR
2011-10-28,2.53,2.62,2.53,2.55,2333700,MYR
2011-10-31,2.55,2.55,2.5,2.55,522900,MYR
2011-11-01,2.46,2.48,2.45,2.47,419200,MYR
2011-11-02,2.43,2.5,2.43,2.49,2169500,MYR
2011-11-03,2.5,2.52,2.5,2.51,3114500,MYR
2011-11-04,2.52,2.54,2.5,2.5,510000,MYR
2011-11-08,2.51,2.52,2.51,2.51,36100,MYR
2011-11-09,2.5,2.52,2.5,2.52,693500,MYR
2011-11-10,2.5,2.52,2.5,2.51,1529500,MYR
2011-11-11,2.51,2.54,2.5,2.54,987200,MYR
2011-11-14,2.54,2.64,2.54,2.63,691100,MYR
2011-11-15,2.61,2.64,2.61,2.63,613200,MYR
2011-11-16,2.6,2.63,2.6,2.62,3257800,MYR
2011-11-17,2.6,2.65,2.59,2.6,4108300,MYR
2011-11-18,2.55,2.6,2.55,2.6,1745800,MYR
2011-11-21,2.58,2.59,2.55,2.55,389500,MYR
2011-11-22,2.55,2.56,2.53,2.55,3579800,MYR
2011-11-23,2.5,2.54,2.49,2.51,633700,MYR
2011-11-24,2.51,2.55,2.51,2.55,750300,MYR
2011-11-25,2.55,2.56,2.52,2.52,563600,MYR
2011-11-29,2.54,2.56,2.52,2.54,1163400,MYR
2011-11-30,2.54,2.58,2.54,2.57,1075300,MYR
2011-12-01,2.6,2.65,2.41,2.54,1006000,MYR
2011-12-02,2.55,2.55,2.52,2.54,70000,MYR
2011-12-05,2.59,2.59,2.54,2.55,197800,MYR
2011-12-06,2.55,2.55,2.54,2.54,185700,MYR
2011-12-07,2.54,2.56,2.53,2.55,281500,MYR
2011-12-08,2.5,2.54,2.48,2.53,573000,MYR
2011-12-09,2.51,2.51,2.5,2.5,244100,MYR
2011-12-12,2.5,2.51,2.5,2.5,211700,MYR
2011-12-13,2.5,2.51,2.49,2.49,2216800,MYR
2011-12-14,2.49,2.51,2.49,2.51,320000,MYR
2011-12-15,2.5,2.51,2.5,2.5,1681600,MYR
2011-12-16,2.49,2.57,2.49,2.52,1359000,MYR
2011-12-19,2.55,2.56,2.51,2.52,1763800,MYR
2011-12-20,2.52,2.53,2.49,2.5,1553800,MYR
2011-12-21,2.5,2.5,2.47,2.47,2421200,MYR
2011-12-22,2.47,2.47,2.46,2.47,1053800,MYR
2011-12-23,2.47,2.53,2.46,2.48,1234500,MYR
2011-12-27,2.5,2.51,2.48,2.51,51300,MYR
2011-12-28,2.52,2.57,2.51,2.57,450300,MYR
2011-12-29,2.55,2.61,2.55,2.6,470900,MYR
2011-12-30,2.6,2.6,2.55,2.6,1419500,MYR
2012-01-03,2.53,2.6,2.53,2.55,538500,MYR
2012-01-04,2.55,2.55,2.54,2.54,668400,MYR
2012-01-05,2.54,2.55,2.53,2.54,1001300,MYR
2012-01-06,2.5,2.53,2.5,2.51,30800,MYR
2012-01-09,2.51,2.53,2.51,2.53,108800,MYR
2012-01-10,2.5,2.52,2.5,2.52,423900,MYR
2012-01-11,2.5,2.54,2.49,2.54,603300,MYR
2012-01-12,2.51,2.54,2.51,2.54,949700,MYR
2012-01-13,2.54,2.54,2.52,2.53,1376300,MYR
