Date,Open,High,Low,Close,Volume,Currency
2013-02-21,0.59,0.59,0.59,0.59,5000,MYR
2013-02-28,0.59,0.59,0.59,0.59,4000,MYR
2013-03-21,0.56,0.56,0.56,0.56,1000,MYR
2013-03-22,0.6,0.6,0.6,0.6,2000,MYR
2013-03-29,0.57,0.57,0.57,0.57,4000,MYR
2013-04-01,0.57,0.57,0.57,0.57,1000,MYR
2013-04-04,0.59,0.59,0.59,0.59,3000,MYR
2013-04-11,0.57,0.575,0.57,0.57,22000,MYR
2013-04-12,0.57,0.59,0.57,0.59,10000,MYR
2013-04-24,0.56,0.59,0.56,0.59,12000,MYR
2013-04-29,0.59,0.6,0.58,0.59,35500,MYR
2013-04-30,0.56,0.6,0.56,0.6,15500,MYR
2013-05-03,0.63,0.63,0.55,0.55,9200,MYR
2013-05-06,0.59,0.59,0.59,0.59,10000,MYR
2013-05-08,0.595,0.595,0.595,0.595,2000,MYR
2013-05-09,0.595,0.6,0.595,0.6,9400,MYR
2013-05-10,0.605,0.63,0.6,0.63,105000,MYR
2013-05-14,0.64,0.64,0.635,0.635,15000,MYR
2013-05-15,0.635,0.635,0.635,0.635,3000,MYR
2013-05-16,0.635,0.635,0.635,0.635,3300,MYR
2013-05-17,0.655,0.655,0.655,0.655,300,MYR
2013-05-20,0.66,0.66,0.65,0.65,45000,MYR
2013-05-21,0.67,0.71,0.67,0.71,70000,MYR
2013-05-22,0.7,0.72,0.7,0.705,36100,MYR
2013-05-23,0.71,0.71,0.7,0.705,45800,MYR
2013-05-27,0.7,0.7,0.7,0.7,10000,MYR
2013-05-28,0.7,0.71,0.7,0.71,61000,MYR
2013-05-29,0.72,0.72,0.71,0.71,25000,MYR
2013-05-30,0.71,0.71,0.71,0.71,13000,MYR
2013-05-31,0.7,0.72,0.7,0.71,28000,MYR
2013-06-03,0.74,0.75,0.74,0.75,4300,MYR
2013-06-05,0.74,0.75,0.74,0.75,50700,MYR
2013-06-06,0.75,0.75,0.73,0.73,15300,MYR
2013-06-07,0.75,0.76,0.75,0.76,30000,MYR
2013-06-10,0.72,0.755,0.72,0.755,16000,MYR
2013-06-12,0.7,0.73,0.7,0.73,10000,MYR
2013-06-13,0.69,0.69,0.69,0.69,3000,MYR
2013-06-17,0.73,0.73,0.73,0.73,14000,MYR
2013-06-18,0.7,0.7,0.7,0.7,10000,MYR
2013-06-19,0.72,0.72,0.72,0.72,10000,MYR
2013-06-20,0.72,0.72,0.72,0.72,23000,MYR
2013-06-24,0.7,0.705,0.7,0.705,80700,MYR
2013-06-25,0.7,0.7,0.69,0.7,28400,MYR
