Date,Open,High,Low,Close,Volume,Currency
2013-04-22,0.27,0.27,0.23,0.23,55200,MYR
2013-04-23,0.245,0.265,0.23,0.23,26200,MYR
2013-04-24,0.23,0.24,0.23,0.24,175300,MYR
2013-04-26,0.225,0.25,0.225,0.25,166600,MYR
2013-04-30,0.23,0.23,0.225,0.225,42600,MYR
2013-05-02,0.225,0.24,0.225,0.23,31000,MYR
2013-05-03,0.225,0.23,0.225,0.23,53200,MYR
2013-05-06,0.23,0.24,0.23,0.235,46400,MYR
2013-05-07,0.23,0.245,0.23,0.24,48500,MYR
2013-05-08,0.23,0.245,0.23,0.23,46600,MYR
2013-05-09,0.24,0.245,0.235,0.245,86000,MYR
2013-05-10,0.24,0.265,0.24,0.26,217700,MYR
2013-05-13,0.265,0.27,0.26,0.265,336700,MYR
2013-05-14,0.265,0.28,0.265,0.27,464100,MYR
2013-05-15,0.28,0.29,0.28,0.29,267000,MYR
2013-05-16,0.285,0.285,0.265,0.27,196500,MYR
2013-05-17,0.27,0.27,0.265,0.265,78700,MYR
2013-05-20,0.265,0.285,0.265,0.28,209900,MYR
2013-05-21,0.29,0.305,0.29,0.305,631500,MYR
2013-05-22,0.3,0.32,0.29,0.29,529400,MYR
2013-05-23,0.315,0.315,0.27,0.29,204400,MYR
2013-05-28,0.29,0.295,0.28,0.295,183100,MYR
2013-05-29,0.295,0.305,0.295,0.3,245600,MYR
2013-05-30,0.3,0.3,0.285,0.3,60400,MYR
2013-05-31,0.28,0.29,0.27,0.27,446800,MYR
2013-06-03,0.265,0.275,0.265,0.265,64600,MYR
2013-06-04,0.27,0.28,0.27,0.28,70000,MYR
2013-06-05,0.26,0.275,0.26,0.27,102000,MYR
2013-06-06,0.265,0.275,0.25,0.27,155800,MYR
2013-06-07,0.255,0.255,0.23,0.245,436900,MYR
2013-06-10,0.25,0.255,0.235,0.235,258400,MYR
2013-06-11,0.24,0.24,0.225,0.225,105100,MYR
2013-06-12,0.225,0.235,0.225,0.225,153000,MYR
2013-06-13,0.225,0.235,0.22,0.23,298800,MYR
2013-06-14,0.225,0.235,0.225,0.235,29900,MYR
2013-06-17,0.23,0.235,0.225,0.235,52000,MYR
2013-06-18,0.23,0.235,0.23,0.23,64100,MYR
2013-06-19,0.235,0.24,0.23,0.24,69500,MYR
2013-06-20,0.23,0.23,0.225,0.225,112500,MYR
2013-06-21,0.225,0.225,0.225,0.225,5000,MYR
2013-06-24,0.225,0.23,0.225,0.23,126600,MYR
2013-06-25,0.225,0.23,0.22,0.22,44300,MYR
2013-06-26,0.225,0.24,0.225,0.24,40600,MYR
2013-06-27,0.225,0.24,0.225,0.24,11400,MYR
2013-06-28,0.25,0.25,0.25,0.25,100,MYR
2013-07-01,0.225,0.23,0.225,0.23,33200,MYR
2013-07-02,0.225,0.225,0.225,0.225,18300,MYR
2013-07-03,0.225,0.23,0.225,0.225,38000,MYR
2013-07-04,0.225,0.255,0.225,0.255,15100,MYR
2013-07-05,0.225,0.23,0.225,0.23,46200,MYR
2013-07-08,0.23,0.23,0.225,0.225,56000,MYR
2013-07-09,0.23,0.24,0.23,0.23,27300,MYR
2013-07-10,0.23,0.23,0.23,0.23,21600,MYR
2013-07-11,0.24,0.24,0.23,0.23,70800,MYR
2013-07-15,0.23,0.235,0.225,0.225,65600,MYR
2013-07-16,0.225,0.235,0.225,0.225,30800,MYR
2013-07-17,0.23,0.255,0.225,0.25,46900,MYR
2013-07-18,0.225,0.245,0.225,0.235,32400,MYR
2013-07-19,0.23,0.25,0.225,0.23,174000,MYR
2013-07-22,0.23,0.24,0.23,0.24,54900,MYR
2013-07-23,0.25,0.25,0.25,0.25,1500,MYR
2013-07-24,0.24,0.25,0.225,0.25,30100,MYR
2013-07-25,0.225,0.25,0.225,0.25,2100,MYR
2013-07-26,0.25,0.255,0.225,0.225,101500,MYR
2013-07-29,0.225,0.225,0.225,0.225,129500,MYR
2013-07-30,0.225,0.23,0.225,0.225,56200,MYR
2013-07-31,0.22,0.225,0.22,0.225,32800,MYR
2013-08-01,0.225,0.24,0.225,0.24,4900,MYR
2013-08-02,0.225,0.225,0.225,0.225,17000,MYR
2013-08-06,0.22,0.22,0.22,0.22,5000,MYR
2013-08-07,0.23,0.23,0.205,0.205,121100,MYR
2013-08-12,0.205,0.215,0.2,0.21,378300,MYR
2013-08-13,0.2,0.205,0.195,0.205,212200,MYR
2013-08-14,0.205,0.215,0.205,0.215,14200,MYR
2013-08-15,0.205,0.21,0.205,0.205,78400,MYR
2013-08-16,0.21,0.215,0.205,0.21,67600,MYR
