Date,Open,High,Low,Close,Volume,Currency
2014-06-27,1.95,1.95,1.95,1.95,700,MYR
2014-06-30,2.09,2.1,2.0,2.0,9500,MYR
2014-07-01,2.0,2.0,2.0,2.0,17000,MYR
2014-07-04,2.0,2.0,2.0,2.0,14000,MYR
2014-07-11,2.0,2.05,2.0,2.05,51400,MYR
2014-07-17,2.09,2.09,2.09,2.09,1900,MYR
2014-07-24,2.02,2.02,1.99,1.99,11000,MYR
2014-07-25,2.02,2.02,2.02,2.02,1000,MYR
2014-07-30,2.05,2.08,2.05,2.08,14800,MYR
2014-08-21,2.0,2.0,2.0,2.0,6000,MYR
2014-08-22,2.05,2.12,2.05,2.1,30000,MYR
2014-09-05,2.05,2.05,2.05,2.05,8000,MYR
2014-09-19,2.01,2.01,2.0,2.0,190000,MYR
2014-09-24,2.0,2.0,2.0,2.0,5000,MYR
2014-09-25,2.0,2.0,2.0,2.0,1000,MYR
2014-10-31,1.95,1.95,1.95,1.95,200000,MYR
2014-11-28,1.92,1.92,1.92,1.92,200000,MYR
2015-01-15,1.88,1.88,1.88,1.88,160000,MYR
2015-01-20,1.79,1.79,1.79,1.79,400,MYR
2015-02-17,1.81,1.81,1.81,1.81,180000,MYR
2015-03-04,1.81,1.81,1.81,1.81,1000,MYR
2015-03-05,1.8,1.8,1.8,1.8,3000,MYR
2015-03-06,1.8,1.8,1.8,1.8,2000,MYR
2015-03-09,1.8,1.8,1.8,1.8,3000,MYR
2015-03-13,1.8,1.8,1.8,1.8,4000,MYR
2015-03-16,1.8,1.8,1.8,1.8,2000,MYR
2015-03-19,1.8,1.8,1.8,1.8,200000,MYR
2015-04-01,1.8,1.8,1.8,1.8,4000,MYR
2015-04-03,1.8,1.8,1.8,1.8,3000,MYR
2015-04-21,1.8,1.8,1.8,1.8,500,MYR
2015-04-22,1.81,1.81,1.81,1.81,4000,MYR
2015-05-11,1.93,1.93,1.93,1.93,100,MYR
2015-05-21,1.9,1.9,1.9,1.9,2000,MYR
2015-05-22,1.93,2.0,1.8,1.8,11000,MYR
2015-06-04,1.94,1.95,1.8,1.95,7700,MYR
2015-06-10,1.88,1.88,1.8,1.8,11000,MYR
2015-06-11,1.85,1.85,1.85,1.85,5000,MYR
2015-06-12,1.85,1.86,1.85,1.85,19300,MYR
2015-06-18,1.75,1.75,1.75,1.75,300,MYR
2015-06-23,1.85,1.85,1.85,1.85,6000,MYR
2015-06-24,1.8,1.83,1.8,1.81,9900,MYR
2015-06-30,1.9,1.95,1.9,1.95,3000,MYR
2015-07-15,1.8,1.8,1.71,1.71,1000,MYR
2015-07-20,1.64,1.64,1.64,1.64,1000,MYR
2015-07-29,1.7,1.7,1.7,1.7,6000,MYR
2015-07-30,1.7,1.82,1.7,1.82,4200,MYR
2015-08-03,1.88,1.88,1.88,1.88,100,MYR
2015-08-12,1.82,1.82,1.82,1.82,1000,MYR
2015-08-18,1.8,1.82,1.8,1.82,2700,MYR
2015-08-19,1.75,1.75,1.75,1.75,2000,MYR
2015-08-25,1.85,1.85,1.85,1.85,1000,MYR
2015-08-27,1.7,1.77,1.7,1.77,3500,MYR
2015-08-28,1.78,1.78,1.78,1.78,2000,MYR
2015-09-01,1.91,1.95,1.91,1.95,7500,MYR
2015-09-02,1.95,1.98,1.94,1.98,8500,MYR
2015-09-03,1.95,2.0,1.95,2.0,6000,MYR
2015-09-04,1.96,2.05,1.96,2.05,15400,MYR
2015-09-07,2.01,2.05,2.01,2.05,6300,MYR
2015-09-09,2.0,2.0,2.0,2.0,2000,MYR
2015-09-11,2.04,2.04,2.04,2.04,1000,MYR
2015-09-14,2.1,2.1,2.1,2.1,1000,MYR
2015-09-25,1.83,1.97,1.83,1.97,5500,MYR
2015-09-28,1.85,1.85,1.85,1.85,2000,MYR
2015-09-29,1.8,1.8,1.8,1.8,3500,MYR
2015-10-01,1.89,2.05,1.89,2.05,6000,MYR
2015-10-02,1.9,1.9,1.89,1.89,4000,MYR
2015-10-09,1.9,1.9,1.9,1.9,1500,MYR
2015-10-28,1.8,1.8,1.8,1.8,2000,MYR
2015-10-29,1.85,1.85,1.85,1.85,2000,MYR
2015-11-06,1.85,1.88,1.85,1.88,6000,MYR
2015-11-09,1.93,1.95,1.93,1.95,3000,MYR
2015-11-12,1.85,1.85,1.85,1.85,5000,MYR
2015-11-18,1.85,1.85,1.85,1.85,9000,MYR
2015-11-27,1.86,1.86,1.86,1.86,4000,MYR
2015-12-01,1.86,1.92,1.86,1.92,40000,MYR
2015-12-03,1.9,1.9,1.9,1.9,1000,MYR
2015-12-07,1.89,1.89,1.89,1.89,7500,MYR
2015-12-09,1.89,1.89,1.89,1.89,1000,MYR
2015-12-18,1.85,1.85,1.85,1.85,2000,MYR
2015-12-22,1.89,1.89,1.85,1.89,8700,MYR
2016-01-19,1.8,1.8,1.8,1.8,1000,MYR
2016-01-20,1.8,1.8,1.78,1.78,7000,MYR
2016-01-26,1.71,1.71,1.7,1.7,4300,MYR
2016-01-27,1.79,1.79,1.79,1.79,2000,MYR
2016-02-03,1.76,1.76,1.76,1.76,2000,MYR
2016-02-17,1.76,1.76,1.76,1.76,4000,MYR
2016-02-22,1.75,1.75,1.74,1.74,5000,MYR
2016-02-24,1.73,1.73,1.73,1.73,2000,MYR
2016-02-25,1.72,1.72,1.7,1.7,4000,MYR
2016-02-29,1.7,1.7,1.68,1.68,4000,MYR
2016-03-07,1.68,1.68,1.68,1.68,4000,MYR
2016-03-10,1.66,1.66,1.65,1.65,200,MYR
2016-03-18,1.67,1.67,1.67,1.67,4000,MYR
2016-04-08,1.72,1.72,1.72,1.72,2000,MYR
2016-04-14,1.88,1.88,1.88,1.88,5000,MYR
2016-04-15,1.88,1.88,1.88,1.88,5000,MYR
2016-04-20,1.87,1.87,1.87,1.87,2000,MYR
2016-04-26,1.87,1.87,1.75,1.75,6900,MYR
2016-05-11,1.85,1.88,1.85,1.88,10000,MYR
2016-05-13,1.85,1.85,1.85,1.85,4000,MYR
2016-05-31,1.85,1.85,1.85,1.85,1500,MYR
2016-06-01,1.85,1.85,1.85,1.85,3000,MYR
2016-06-14,1.85,1.85,1.85,1.85,1000,MYR
2016-06-16,1.8,1.8,1.8,1.8,1000,MYR
2016-06-28,1.8,1.8,1.8,1.8,3000,MYR
2016-07-04,1.8,1.8,1.8,1.8,3000,MYR
2016-07-13,1.8,1.8,1.8,1.8,2000,MYR
2016-07-28,1.8,1.8,1.8,1.8,1000,MYR
2016-08-12,1.73,1.73,1.73,1.73,3000,MYR
2016-08-25,1.8,1.8,1.78,1.8,11500,MYR
2016-09-05,1.8,1.8,1.8,1.8,75200,MYR
2016-09-14,1.74,1.74,1.72,1.72,7000,MYR
2016-09-15,1.85,1.85,1.85,1.85,1000,MYR
2016-09-19,1.79,1.79,1.79,1.79,500,MYR
2016-10-05,1.7,1.71,1.7,1.7,8000,MYR
2016-10-10,1.7,1.7,1.7,1.7,1600,MYR
2016-10-13,1.75,1.75,1.75,1.75,3000,MYR
2016-10-14,1.8,1.8,1.8,1.8,13000,MYR
2016-10-21,1.8,1.8,1.8,1.8,23000,MYR
2016-10-31,1.8,1.8,1.8,1.8,11000,MYR
2016-11-17,1.78,1.78,1.78,1.78,1000,MYR
2016-12-19,1.68,1.68,1.68,1.68,3000,MYR
2017-01-03,1.65,1.65,1.65,1.65,3000,MYR
2017-01-11,1.7,1.8,1.7,1.8,12100,MYR
2017-01-17,1.75,1.75,1.75,1.75,10000,MYR
2017-01-20,1.7,1.7,1.7,1.7,3000,MYR
2017-02-02,1.7,1.7,1.7,1.7,5000,MYR
2017-02-17,1.75,1.75,1.75,1.75,2000,MYR
2017-02-20,1.78,1.78,1.78,1.78,1000,MYR
2017-02-21,1.7,1.72,1.7,1.72,6000,MYR
2017-02-22,1.75,1.75,1.72,1.73,17000,MYR
2017-02-23,1.75,1.75,1.68,1.68,17700,MYR
2017-02-27,1.74,1.74,1.73,1.73,82000,MYR
2017-03-01,1.73,1.73,1.69,1.69,23000,MYR
2017-03-06,1.75,1.75,1.75,1.75,3000,MYR
2017-03-08,1.75,1.75,1.74,1.74,20000,MYR
2017-03-10,1.7,1.72,1.7,1.7,26000,MYR
2017-03-13,1.7,1.7,1.7,1.7,3000,MYR
2017-03-16,1.7,1.7,1.7,1.7,5000,MYR
2017-03-21,1.69,1.69,1.69,1.69,2000,MYR
2017-03-23,1.7,1.7,1.7,1.7,6000,MYR
2017-03-28,1.7,1.7,1.7,1.7,5000,MYR
2017-03-29,1.7,1.74,1.7,1.74,5000,MYR
2017-03-31,1.75,1.75,1.75,1.75,8000,MYR
2017-04-04,1.8,1.8,1.8,1.8,100,MYR
2017-04-05,1.75,1.75,1.75,1.75,5000,MYR
2017-04-06,1.76,1.77,1.76,1.76,14000,MYR
2017-04-07,1.77,1.77,1.77,1.77,2000,MYR
2017-04-26,1.77,1.77,1.77,1.77,6000,MYR
2017-05-04,1.8,1.8,1.8,1.8,5000,MYR
2017-05-11,1.8,1.8,1.78,1.78,10400,MYR
2017-05-15,1.85,1.85,1.85,1.85,10000,MYR
2017-05-16,1.87,1.9,1.86,1.86,7900,MYR
2017-05-18,1.8,1.8,1.8,1.8,1200,MYR
2017-05-22,1.85,1.85,1.77,1.8,175500,MYR
2017-05-25,1.77,1.8,1.77,1.77,100000,MYR
2017-05-31,1.77,1.77,1.77,1.77,38000,MYR
2017-06-01,1.77,1.77,1.77,1.77,5000,MYR
2017-06-06,1.82,1.82,1.78,1.78,34200,MYR
2017-06-07,1.78,1.78,1.78,1.78,1000,MYR
2017-06-13,1.82,1.82,1.82,1.82,2500,MYR
2017-06-14,1.82,1.82,1.82,1.82,2000,MYR
2017-07-05,1.77,1.77,1.76,1.76,3000,MYR
2017-07-11,1.71,1.71,1.71,1.71,1500,MYR
