Date,Open,High,Low,Close,Volume,Currency
2014-09-04,0.64,0.64,0.64,0.64,5000,MYR
2014-09-05,0.63,0.63,0.63,0.63,1000,MYR
2014-09-08,0.64,0.69,0.63,0.69,76000,MYR
2014-09-12,0.7,0.725,0.7,0.725,36700,MYR
2014-09-18,0.7,0.7,0.7,0.7,34000,MYR
2014-09-22,0.7,0.7,0.7,0.7,10100,MYR
2014-09-23,0.64,0.64,0.64,0.64,300,MYR
2014-10-02,0.61,0.61,0.61,0.61,25000,MYR
2014-10-03,0.6,0.6,0.6,0.6,4000,MYR
2014-10-08,0.6,0.6,0.6,0.6,26000,MYR
2014-10-14,0.65,0.65,0.62,0.62,9000,MYR
2014-10-15,0.62,0.66,0.62,0.64,31000,MYR
2014-10-20,0.64,0.64,0.64,0.64,10000,MYR
2014-10-21,0.64,0.64,0.62,0.62,35000,MYR
2014-10-24,0.66,0.66,0.66,0.66,7000,MYR
2014-10-27,0.68,0.68,0.62,0.62,14000,MYR
2014-10-28,0.65,0.65,0.62,0.62,17700,MYR
2014-10-30,0.65,0.65,0.65,0.65,36000,MYR
2014-10-31,0.63,0.66,0.63,0.66,10000,MYR
2014-11-03,0.66,0.66,0.66,0.66,13600,MYR
2014-11-07,0.66,0.66,0.66,0.66,5000,MYR
2014-11-10,0.66,0.66,0.66,0.66,10000,MYR
2014-11-11,0.62,0.65,0.62,0.65,60000,MYR
2014-11-12,0.66,0.66,0.66,0.66,15000,MYR
2014-11-13,0.65,0.65,0.65,0.65,3000,MYR
2014-11-18,0.6,0.6,0.6,0.6,1000,MYR
2014-11-20,0.65,0.65,0.61,0.62,37000,MYR
2014-11-21,0.62,0.62,0.62,0.62,900,MYR
2014-11-26,0.62,0.62,0.62,0.62,1000,MYR
2014-11-28,0.56,0.56,0.56,0.56,10000,MYR
2014-12-05,0.6,0.6,0.6,0.6,300,MYR
2014-12-10,0.6,0.6,0.6,0.6,900,MYR
2015-01-07,0.55,0.55,0.55,0.55,1800,MYR
2015-02-05,0.5,0.5,0.5,0.5,5000,MYR
2015-02-06,0.55,0.55,0.55,0.55,500,MYR
2015-02-11,0.545,0.545,0.545,0.545,3600,MYR
2015-02-13,0.53,0.53,0.53,0.53,10000,MYR
2015-02-25,0.53,0.53,0.52,0.52,2800,MYR
2015-02-27,0.52,0.52,0.52,0.52,12000,MYR
2015-03-13,0.53,0.575,0.53,0.575,12000,MYR
2015-03-16,0.56,0.56,0.56,0.56,100,MYR
2015-03-23,0.56,0.56,0.56,0.56,3000,MYR
2015-03-25,0.55,0.585,0.55,0.585,20000,MYR
2015-04-06,0.52,0.525,0.52,0.52,20000,MYR
2015-04-13,0.51,0.515,0.51,0.51,45000,MYR
2015-04-14,0.52,0.52,0.52,0.52,140000,MYR
2015-04-15,0.52,0.52,0.52,0.52,127000,MYR
2015-04-17,0.515,0.55,0.515,0.55,117300,MYR
2015-04-20,0.555,0.555,0.54,0.555,455700,MYR
2015-04-21,0.56,0.72,0.56,0.72,737100,MYR
2015-04-22,0.72,0.72,0.64,0.64,373600,MYR
2015-04-23,0.64,0.7,0.64,0.7,22300,MYR
2015-04-24,0.7,0.7,0.68,0.7,151200,MYR
2015-04-27,0.72,0.72,0.68,0.68,104100,MYR
2015-04-28,0.635,0.68,0.635,0.68,40100,MYR
2015-04-29,0.685,0.685,0.62,0.62,69900,MYR
2015-05-05,0.62,0.62,0.62,0.62,34200,MYR
2015-05-06,0.62,0.62,0.62,0.62,500,MYR
2015-05-07,0.62,0.62,0.62,0.62,10000,MYR
2015-05-12,0.62,0.62,0.61,0.61,80000,MYR
2015-05-13,0.63,0.63,0.63,0.63,40000,MYR
2015-05-18,0.61,0.61,0.61,0.61,9500,MYR
2015-05-19,0.62,0.62,0.62,0.62,12500,MYR
2015-05-21,0.8,0.92,0.8,0.92,1047300,MYR
2015-05-22,1.03,1.22,0.94,1.17,5938400,MYR
2015-05-25,1.22,1.22,1.1,1.11,930000,MYR
2015-05-26,1.11,1.24,1.11,1.22,1047500,MYR
2015-05-27,1.27,1.37,1.2,1.3,2077300,MYR
2015-05-28,1.33,1.45,1.33,1.44,2375800,MYR
2015-05-29,1.47,1.75,1.47,1.7,2032100,MYR
2015-06-01,1.77,1.95,1.75,1.85,2084400,MYR
2015-06-02,1.85,1.85,1.73,1.82,729700,MYR
2015-06-03,1.82,1.82,1.75,1.75,826100,MYR
2015-06-04,1.71,1.86,1.7,1.79,865900,MYR
2015-06-05,1.79,1.83,1.75,1.83,711800,MYR
2015-06-08,1.83,1.85,1.79,1.79,455900,MYR
2015-06-09,1.79,1.79,1.73,1.74,277700,MYR
2015-06-10,1.76,1.78,1.74,1.74,338200,MYR
2015-06-11,1.74,1.74,1.67,1.69,363900,MYR
2015-06-12,1.65,1.66,1.59,1.62,206100,MYR
2015-06-15,1.62,1.7,1.6,1.6,399100,MYR
2015-06-16,1.6,1.65,1.54,1.6,207300,MYR
2015-06-17,1.6,1.6,1.54,1.6,361200,MYR
2015-06-18,1.58,1.63,1.52,1.54,140800,MYR
2015-06-19,1.58,1.66,1.58,1.65,1346300,MYR
2015-06-22,1.65,1.87,1.65,1.84,2184200,MYR
2015-06-23,1.85,1.86,1.78,1.84,210400,MYR
2015-06-24,1.8,1.85,1.78,1.85,273700,MYR
2015-06-25,1.85,1.95,1.83,1.83,1233200,MYR
2015-06-26,1.8,1.84,1.66,1.7,669400,MYR
2015-06-29,1.69,1.69,1.61,1.63,322900,MYR
2015-06-30,1.6,1.75,1.58,1.75,288800,MYR
2015-07-01,1.76,1.81,1.75,1.76,304400,MYR
2015-07-02,1.7,1.78,1.69,1.78,153600,MYR
2015-07-03,1.75,1.75,1.74,1.75,56000,MYR
2015-07-06,1.7,1.75,1.7,1.72,18600,MYR
2015-07-07,1.7,1.72,1.69,1.71,78900,MYR
2015-07-08,1.66,1.7,1.64,1.64,119000,MYR
2015-07-09,1.63,1.74,1.63,1.72,293400,MYR
2015-07-10,1.7,1.75,1.7,1.74,27900,MYR
2015-07-13,1.72,1.83,1.72,1.79,484500,MYR
2015-07-14,1.75,1.87,1.74,1.81,575100,MYR
2015-07-15,1.8,1.8,1.77,1.77,57300,MYR
2015-07-16,1.75,1.79,1.75,1.76,32100,MYR
2015-07-20,1.76,1.79,1.75,1.76,63800,MYR
2015-07-21,1.75,1.79,1.75,1.75,42400,MYR
2015-07-22,1.76,1.83,1.76,1.8,72300,MYR
2015-07-23,1.79,1.85,1.79,1.82,418800,MYR
2015-07-24,1.85,1.9,1.8,1.81,1626600,MYR
2015-07-27,1.78,1.8,1.77,1.79,178500,MYR
2015-07-28,1.76,1.79,1.72,1.74,477900,MYR
2015-07-29,1.75,1.75,1.72,1.74,106500,MYR
2015-07-30,1.73,1.78,1.73,1.78,346500,MYR
2015-07-31,1.77,1.78,1.75,1.75,97100,MYR
2015-08-03,1.77,1.77,1.76,1.76,32000,MYR
2015-08-04,1.77,1.78,1.72,1.72,307300,MYR
2015-08-05,1.77,1.77,1.72,1.75,141700,MYR
2015-08-06,1.77,1.77,1.75,1.75,15300,MYR
2015-08-07,1.7,1.74,1.64,1.69,108000,MYR
2015-08-10,1.64,1.66,1.53,1.55,133200,MYR
2015-08-11,1.5,1.65,1.42,1.43,391500,MYR
2015-08-12,1.42,1.42,1.14,1.19,666300,MYR
2015-08-13,1.22,1.4,1.2,1.39,747100,MYR
2015-08-14,1.4,1.4,1.2,1.32,447100,MYR
2015-08-17,1.23,1.24,1.2,1.24,85000,MYR
2015-08-18,1.24,1.35,1.23,1.3,183300,MYR
2015-08-19,1.3,1.32,1.27,1.3,109600,MYR
2015-08-20,1.19,1.19,1.07,1.09,1277800,MYR
2015-08-21,1.05,1.09,0.97,1.04,630700,MYR
2015-08-24,0.995,1.0,0.88,0.88,565100,MYR
2015-08-25,0.82,0.89,0.81,0.845,171900,MYR
2015-08-26,0.87,0.87,0.805,0.865,308800,MYR
2015-08-27,0.87,0.945,0.86,0.945,159600,MYR
2015-08-28,0.95,0.985,0.95,0.95,487300,MYR
2015-09-01,0.92,0.95,0.89,0.91,109100,MYR
2015-09-02,0.86,0.95,0.84,0.95,115300,MYR
2015-09-03,0.955,0.955,0.925,0.925,17000,MYR
2015-09-04,0.95,0.96,0.905,0.95,82700,MYR
