Date,Open,High,Low,Close,Volume,Currency
2013-04-19,0.385,0.39,0.38,0.39,239100,MYR
2013-04-22,0.385,0.385,0.38,0.38,36000,MYR
2013-04-23,0.38,0.38,0.375,0.38,79800,MYR
2013-04-24,0.375,0.38,0.375,0.38,43100,MYR
2013-04-25,0.37,0.38,0.37,0.375,102400,MYR
2013-04-26,0.375,0.375,0.365,0.37,71900,MYR
2013-04-29,0.37,0.37,0.365,0.365,29000,MYR
2013-04-30,0.365,0.365,0.355,0.355,180000,MYR
2013-05-02,0.36,0.36,0.35,0.35,400000,MYR
2013-05-03,0.35,0.355,0.345,0.355,171900,MYR
2013-05-06,0.36,0.375,0.36,0.37,371100,MYR
2013-05-07,0.37,0.385,0.37,0.385,190100,MYR
2013-05-08,0.38,0.38,0.375,0.375,266000,MYR
2013-05-09,0.375,0.38,0.375,0.38,45800,MYR
2013-05-10,0.39,0.405,0.385,0.4,530400,MYR
2013-05-13,0.4,0.415,0.395,0.405,613300,MYR
2013-05-14,0.405,0.41,0.4,0.41,241200,MYR
2013-05-15,0.41,0.415,0.4,0.41,216700,MYR
2013-05-16,0.4,0.405,0.4,0.4,241500,MYR
2013-05-17,0.405,0.42,0.4,0.42,327400,MYR
2013-05-20,0.42,0.425,0.41,0.42,388900,MYR
2013-05-21,0.42,0.43,0.415,0.43,348000,MYR
2013-05-22,0.435,0.435,0.41,0.415,511100,MYR
2013-05-23,0.41,0.41,0.395,0.4,154800,MYR
2013-05-27,0.4,0.43,0.4,0.43,7100,MYR
2013-05-28,0.43,0.43,0.395,0.4,235200,MYR
2013-05-29,0.395,0.42,0.395,0.41,293400,MYR
2013-05-30,0.4,0.4,0.395,0.395,61000,MYR
2013-05-31,0.395,0.4,0.395,0.395,15300,MYR
2013-06-03,0.41,0.41,0.385,0.385,234200,MYR
2013-06-04,0.4,0.405,0.39,0.39,72900,MYR
2013-06-05,0.39,0.4,0.385,0.385,46200,MYR
2013-06-06,0.4,0.4,0.38,0.385,78900,MYR
2013-06-07,0.38,0.385,0.38,0.385,189100,MYR
2013-06-10,0.385,0.39,0.385,0.385,137100,MYR
2013-06-11,0.39,0.39,0.38,0.38,89000,MYR
2013-06-12,0.38,0.38,0.375,0.38,224600,MYR
2013-06-13,0.375,0.38,0.375,0.375,37300,MYR
2013-06-14,0.375,0.375,0.37,0.37,40000,MYR
2013-06-17,0.37,0.385,0.37,0.385,90900,MYR
2013-06-18,0.38,0.38,0.375,0.375,101100,MYR
2013-06-19,0.38,0.38,0.375,0.38,103000,MYR
2013-06-20,0.375,0.375,0.365,0.37,126000,MYR
2013-06-21,0.36,0.365,0.36,0.365,67700,MYR
2013-06-24,0.365,0.365,0.35,0.35,90000,MYR
2013-06-25,0.355,0.355,0.35,0.35,150000,MYR
2013-06-26,0.35,0.36,0.35,0.36,30700,MYR
2013-06-27,0.36,0.36,0.36,0.36,33100,MYR
2013-06-28,0.36,0.365,0.355,0.365,44100,MYR
2013-07-01,0.355,0.355,0.355,0.355,20000,MYR
2013-07-03,0.36,0.36,0.36,0.36,10000,MYR
2013-07-04,0.35,0.36,0.35,0.36,87000,MYR
2013-07-05,0.365,0.365,0.365,0.365,59000,MYR
2013-07-08,0.365,0.365,0.365,0.365,10000,MYR
2013-07-09,0.36,0.36,0.36,0.36,40000,MYR
2013-07-10,0.36,0.375,0.36,0.375,25000,MYR
2013-07-11,0.365,0.365,0.365,0.365,13000,MYR
2013-07-12,0.365,0.415,0.365,0.395,1655300,MYR
2013-07-15,0.4,0.4,0.375,0.375,115100,MYR
2013-07-16,0.375,0.38,0.375,0.375,75100,MYR
2013-07-17,0.375,0.38,0.375,0.375,67000,MYR
2013-07-18,0.375,0.39,0.375,0.385,469700,MYR
2013-07-19,0.385,0.385,0.375,0.385,241100,MYR
2013-07-22,0.38,0.385,0.38,0.385,393800,MYR
2013-07-23,0.39,0.4,0.39,0.39,546400,MYR
2013-07-24,0.4,0.4,0.39,0.395,52300,MYR
2013-07-25,0.4,0.415,0.395,0.395,1415000,MYR
2013-07-26,0.39,0.395,0.385,0.395,65000,MYR
