Date,Open,High,Low,Close,Volume,Currency
2013-02-18,1.0,1.03,1.0,1.03,1135800,MYR
2013-02-19,1.02,1.02,1.0,1.02,68000,MYR
2013-02-22,1.01,1.02,1.01,1.01,85400,MYR
2013-02-25,1.02,1.02,1.02,1.02,8000,MYR
2013-03-04,1.0,1.0,1.0,1.0,14000,MYR
2013-03-07,1.02,1.02,1.02,1.02,10000,MYR
2013-03-08,0.98,1.02,0.96,1.02,42000,MYR
2013-03-13,1.0,1.0,1.0,1.0,100,MYR
2013-03-14,1.0,1.0,1.0,1.0,100,MYR
2013-03-15,1.01,1.02,1.01,1.02,12000,MYR
2013-03-18,1.02,1.02,0.97,1.01,69000,MYR
2013-03-19,0.97,1.02,0.97,1.02,67800,MYR
2013-03-21,0.985,1.01,0.985,1.01,34600,MYR
2013-03-22,0.98,1.01,0.98,1.01,26500,MYR
2013-03-26,0.98,1.0,0.98,1.0,10500,MYR
2013-03-27,1.02,1.02,0.99,0.99,38300,MYR
2013-03-28,1.0,1.0,1.0,1.0,6000,MYR
2013-04-04,0.99,1.04,0.99,1.03,76000,MYR
2013-04-05,1.03,1.04,1.02,1.04,14400,MYR
2013-04-09,1.01,1.03,1.01,1.03,39100,MYR
2013-04-10,1.0,1.04,1.0,1.02,4000,MYR
2013-04-22,1.0,1.02,1.0,1.02,28000,MYR
2013-04-23,1.04,1.04,1.04,1.04,5000,MYR
2013-04-26,1.04,1.05,1.02,1.05,139100,MYR
2013-04-29,1.0,1.05,1.0,1.05,174000,MYR
2013-04-30,1.01,1.05,1.01,1.05,133500,MYR
2013-05-02,1.01,1.01,1.01,1.01,28000,MYR
2013-05-03,1.03,1.03,1.01,1.01,6000,MYR
2013-05-06,1.05,1.05,1.02,1.02,24000,MYR
2013-05-07,1.2,1.2,1.05,1.05,4000,MYR
2013-05-08,1.05,1.05,1.04,1.04,7000,MYR
2013-05-10,1.03,1.03,1.03,1.03,3600,MYR
2013-05-14,1.03,1.06,1.03,1.05,28400,MYR
2013-05-15,1.06,1.06,1.06,1.06,11800,MYR
2013-05-16,1.06,1.06,1.05,1.05,17000,MYR
2013-05-17,1.04,1.04,1.03,1.03,40000,MYR
2013-05-20,1.03,1.03,1.03,1.03,1800,MYR
2013-05-22,1.03,1.03,1.03,1.03,18000,MYR
2013-05-23,1.03,1.03,1.03,1.03,5000,MYR
2013-05-27,1.02,1.03,1.02,1.03,13000,MYR
2013-05-29,1.04,1.04,1.04,1.04,50000,MYR
2013-05-30,1.04,1.05,1.04,1.05,32000,MYR
2013-05-31,1.05,1.05,1.05,1.05,8000,MYR
2013-06-05,1.05,1.05,1.04,1.04,20000,MYR
2013-06-06,1.04,1.04,1.04,1.04,8800,MYR
2013-06-10,1.03,1.07,1.03,1.04,12000,MYR
2013-06-17,1.05,1.05,1.04,1.04,5400,MYR
2013-06-19,1.04,1.04,1.03,1.03,6000,MYR
2013-06-20,1.06,1.06,1.05,1.05,6000,MYR
2013-06-21,1.04,1.06,1.03,1.06,7000,MYR
2013-06-27,1.05,1.05,1.03,1.03,13500,MYR
2013-06-28,1.04,1.04,1.03,1.03,5400,MYR
2013-07-03,1.06,1.06,1.06,1.06,3000,MYR
2013-07-19,1.03,1.06,1.0,1.06,6600,MYR
2013-07-24,1.08,1.1,1.08,1.08,11000,MYR
2013-07-25,1.08,1.09,1.08,1.09,10000,MYR
2013-07-26,1.08,1.08,1.08,1.08,8000,MYR
2013-08-02,1.03,1.03,1.03,1.03,3000,MYR
2013-08-05,1.05,1.05,1.04,1.04,5000,MYR
2013-08-06,1.03,1.03,1.03,1.03,10000,MYR
2013-08-12,1.05,1.05,1.05,1.05,2000,MYR
2013-08-13,1.06,1.09,1.06,1.09,23000,MYR
2013-08-15,1.05,1.06,1.05,1.06,19500,MYR
2013-08-19,1.05,1.06,1.05,1.05,16000,MYR
2013-08-22,1.05,1.08,1.04,1.08,45500,MYR
2013-08-23,1.06,1.06,1.04,1.04,15000,MYR
2013-08-27,1.04,1.04,1.04,1.04,5000,MYR
2013-08-28,1.04,1.08,1.04,1.05,17000,MYR
2013-08-30,1.06,1.07,1.05,1.07,9800,MYR
2013-09-02,1.06,1.06,1.06,1.06,5000,MYR
2013-09-03,1.06,1.08,1.06,1.08,7000,MYR
2013-09-04,1.06,1.06,1.06,1.06,12000,MYR
2013-09-06,1.07,1.07,1.07,1.07,2000,MYR
2013-09-13,1.07,1.08,1.07,1.08,18000,MYR
2013-09-17,1.07,1.09,1.07,1.09,6000,MYR
2013-09-18,1.09,1.09,1.07,1.07,10000,MYR
2013-09-19,1.07,1.08,1.07,1.07,25000,MYR
2013-09-20,1.08,1.1,1.08,1.1,13000,MYR
2013-09-23,1.11,1.11,1.08,1.08,6000,MYR
2013-09-24,1.1,1.1,1.08,1.08,35400,MYR
2013-09-25,1.09,1.09,1.09,1.09,12400,MYR
2013-09-26,1.09,1.09,1.08,1.08,14000,MYR
2013-09-27,1.09,1.09,1.09,1.09,1000,MYR
2013-10-01,1.11,1.16,1.09,1.09,42000,MYR
2013-10-02,1.11,1.11,1.1,1.1,60200,MYR
2013-10-03,1.1,1.11,1.09,1.1,184000,MYR
2013-10-04,1.15,1.16,1.1,1.1,42000,MYR
2013-10-07,1.11,1.12,1.11,1.11,13000,MYR
2013-10-08,1.12,1.12,1.12,1.12,2000,MYR
2013-10-11,1.11,1.11,1.11,1.11,3600,MYR
2013-10-14,1.18,1.18,1.18,1.18,3000,MYR
2013-10-17,1.18,1.23,1.18,1.23,50200,MYR
2013-10-18,1.21,1.21,1.19,1.21,17000,MYR
2013-10-21,1.16,1.18,1.16,1.18,4000,MYR
2013-10-22,1.18,1.18,1.16,1.18,50400,MYR
2013-10-23,1.16,1.18,1.16,1.17,998600,MYR
2013-10-24,1.18,1.18,1.17,1.18,91700,MYR
2013-10-25,1.18,1.19,1.18,1.19,15000,MYR
2013-10-28,1.18,1.19,1.18,1.19,9000,MYR
2013-10-29,1.19,1.2,1.17,1.17,785000,MYR
2013-10-30,1.2,1.2,1.18,1.18,17800,MYR
2013-10-31,1.18,1.2,1.18,1.2,25000,MYR
2013-11-01,1.2,1.2,1.2,1.2,45000,MYR
2013-11-04,1.18,1.18,1.18,1.18,7600,MYR
2013-11-06,1.22,1.23,1.2,1.2,54000,MYR
2013-11-07,1.2,1.21,1.2,1.2,23000,MYR
2013-11-08,1.2,1.2,1.2,1.2,32000,MYR
2013-11-11,1.2,1.2,1.2,1.2,11000,MYR
2013-11-12,1.2,1.2,1.2,1.2,41000,MYR
2013-11-13,1.2,1.2,1.19,1.19,22000,MYR
2013-11-14,1.19,1.19,1.19,1.19,30000,MYR
2013-11-15,1.19,1.21,1.19,1.2,35000,MYR
2013-11-18,1.19,1.19,1.18,1.18,6000,MYR
2013-11-19,1.18,1.18,1.18,1.18,3000,MYR
2013-11-22,1.18,1.18,1.17,1.17,9400,MYR
2013-11-25,1.18,1.18,1.18,1.18,10000,MYR
2013-11-27,1.18,1.18,1.18,1.18,18000,MYR
2013-12-03,1.18,1.18,1.18,1.18,7800,MYR
2013-12-09,1.15,1.18,1.15,1.17,17000,MYR
2013-12-11,1.18,1.18,1.17,1.17,12200,MYR
2013-12-12,1.16,1.16,1.16,1.16,1000,MYR
2013-12-13,1.16,1.16,1.15,1.15,3600,MYR
2013-12-16,1.17,1.17,1.17,1.17,7000,MYR
2013-12-20,1.17,1.17,1.17,1.17,2000,MYR
2013-12-23,1.16,1.16,1.15,1.15,13500,MYR
2013-12-24,1.15,1.15,1.13,1.15,20500,MYR
