Date,Open,High,Low,Close,Volume,Currency
2013-04-19,0.52,0.53,0.52,0.53,76100,MYR
2013-04-22,0.53,0.53,0.52,0.52,28000,MYR
2013-04-23,0.52,0.52,0.52,0.52,11200,MYR
2013-04-24,0.52,0.52,0.52,0.52,7000,MYR
2013-04-25,0.52,0.545,0.52,0.53,15900,MYR
2013-04-26,0.525,0.535,0.51,0.535,139100,MYR
2013-04-29,0.545,0.57,0.52,0.52,25000,MYR
2013-04-30,0.525,0.53,0.525,0.53,32000,MYR
2013-05-02,0.52,0.53,0.505,0.53,32800,MYR
2013-05-03,0.505,0.51,0.505,0.51,27000,MYR
2013-05-06,0.52,0.52,0.515,0.515,193200,MYR
2013-05-07,0.525,0.53,0.52,0.53,33800,MYR
2013-05-08,0.53,0.545,0.53,0.545,23000,MYR
2013-05-09,0.54,0.54,0.52,0.54,52000,MYR
2013-05-10,0.525,0.545,0.525,0.545,69000,MYR
2013-05-13,0.545,0.585,0.545,0.585,216100,MYR
2013-05-14,0.57,0.58,0.545,0.55,143800,MYR
2013-05-15,0.57,0.58,0.57,0.58,179000,MYR
2013-05-16,0.595,0.595,0.56,0.57,76000,MYR
2013-05-17,0.585,0.585,0.58,0.585,14000,MYR
2013-05-20,0.585,0.585,0.575,0.575,37000,MYR
2013-05-21,0.57,0.59,0.57,0.59,104600,MYR
2013-05-22,0.575,0.575,0.55,0.565,66000,MYR
2013-05-23,0.575,0.575,0.555,0.56,88100,MYR
2013-05-28,0.565,0.58,0.565,0.57,87600,MYR
2013-05-29,0.56,0.56,0.56,0.56,9000,MYR
2013-05-30,0.57,0.57,0.56,0.56,121100,MYR
2013-05-31,0.55,0.56,0.55,0.555,67000,MYR
2013-06-03,0.54,0.55,0.515,0.515,84900,MYR
2013-06-04,0.555,0.555,0.535,0.55,70700,MYR
2013-06-06,0.52,0.52,0.52,0.52,15000,MYR
2013-06-07,0.525,0.525,0.525,0.525,2000,MYR
2013-06-10,0.53,0.53,0.53,0.53,9000,MYR
2013-06-11,0.54,0.55,0.54,0.54,17400,MYR
2013-06-12,0.54,0.54,0.54,0.54,24900,MYR
2013-06-14,0.54,0.54,0.54,0.54,5000,MYR
2013-06-17,0.65,0.7,0.53,0.53,34000,MYR
2013-06-18,0.54,0.59,0.535,0.54,89300,MYR
2013-06-19,0.54,0.545,0.54,0.545,14000,MYR
2013-06-20,0.56,0.57,0.56,0.57,283500,MYR
2013-06-21,0.56,0.56,0.56,0.56,15200,MYR
2013-06-24,0.56,0.56,0.56,0.56,71000,MYR
2013-06-25,0.55,0.55,0.55,0.55,10000,MYR
2013-06-26,0.55,0.55,0.55,0.55,29500,MYR
2013-06-27,0.57,0.57,0.56,0.56,20000,MYR
2013-06-28,0.57,0.58,0.56,0.56,238200,MYR
2013-07-01,0.55,0.55,0.55,0.55,1000,MYR
2013-07-02,0.545,0.555,0.545,0.545,53900,MYR
2013-07-03,0.555,0.555,0.555,0.555,3300,MYR
2013-07-04,0.575,0.575,0.545,0.545,23100,MYR
2013-07-05,0.54,0.54,0.54,0.54,10000,MYR
2013-07-08,0.57,0.63,0.55,0.56,339800,MYR
2013-07-09,0.56,0.58,0.56,0.56,134400,MYR
2013-07-10,0.57,0.65,0.57,0.64,1635000,MYR
2013-07-11,0.62,0.775,0.62,0.74,3480800,MYR
2013-07-12,0.735,0.765,0.68,0.69,753300,MYR
2013-07-15,0.695,0.71,0.66,0.7,653000,MYR
2013-07-16,0.7,0.71,0.685,0.69,431000,MYR
2013-07-17,0.695,0.705,0.675,0.7,491400,MYR
2013-07-18,0.705,0.83,0.705,0.8,2482700,MYR
2013-07-19,0.81,0.835,0.78,0.81,465300,MYR
2013-07-22,0.81,0.965,0.81,0.92,1990500,MYR
2013-07-23,0.92,0.99,0.905,0.94,1101500,MYR
2013-07-24,0.95,0.95,0.89,0.915,570400,MYR
2013-07-25,0.89,0.9,0.87,0.9,445200,MYR
2013-07-26,0.9,0.92,0.88,0.89,279000,MYR
2013-07-29,0.865,0.87,0.82,0.83,317500,MYR
