Date,Open,High,Low,Close,Volume,Currency
2013-02-06,0.295,0.295,0.29,0.29,1447500,MYR
2013-02-07,0.29,0.295,0.29,0.29,902100,MYR
2013-02-08,0.29,0.295,0.285,0.29,1618600,MYR
2013-02-13,0.295,0.295,0.29,0.295,1293300,MYR
2013-02-14,0.295,0.3,0.295,0.3,917900,MYR
2013-02-15,0.3,0.305,0.295,0.3,772200,MYR
2013-02-18,0.295,0.295,0.29,0.295,1392800,MYR
2013-02-19,0.295,0.295,0.29,0.29,809700,MYR
2013-02-20,0.29,0.295,0.29,0.295,76700,MYR
2013-02-21,0.29,0.295,0.285,0.295,761900,MYR
2013-02-22,0.29,0.3,0.29,0.3,735400,MYR
2013-02-25,0.295,0.3,0.29,0.29,393100,MYR
2013-02-26,0.29,0.295,0.29,0.295,415500,MYR
2013-02-27,0.295,0.295,0.29,0.295,380000,MYR
2013-02-28,0.295,0.295,0.29,0.295,600100,MYR
2013-03-01,0.295,0.3,0.295,0.295,684000,MYR
2013-03-04,0.3,0.3,0.29,0.29,318000,MYR
2013-03-05,0.295,0.3,0.295,0.295,763400,MYR
2013-03-06,0.3,0.31,0.3,0.305,2004800,MYR
2013-03-07,0.305,0.32,0.305,0.315,3800600,MYR
2013-03-08,0.32,0.32,0.31,0.315,1728200,MYR
2013-03-11,0.31,0.31,0.305,0.305,879300,MYR
2013-03-12,0.31,0.32,0.31,0.32,3687800,MYR
2013-03-13,0.32,0.32,0.31,0.315,1458000,MYR
2013-03-14,0.31,0.315,0.31,0.31,818500,MYR
2013-03-15,0.31,0.31,0.305,0.305,401200,MYR
2013-03-18,0.305,0.315,0.305,0.31,1036600,MYR
2013-03-19,0.305,0.315,0.305,0.31,1228400,MYR
2013-03-20,0.31,0.32,0.31,0.32,2828900,MYR
2013-03-21,0.32,0.335,0.315,0.335,6226300,MYR
2013-03-22,0.33,0.335,0.32,0.32,2500000,MYR
2013-03-25,0.32,0.325,0.31,0.31,1989000,MYR
2013-03-26,0.31,0.32,0.31,0.31,1696000,MYR
2013-03-27,0.315,0.315,0.315,0.315,961100,MYR
2013-03-28,0.315,0.32,0.315,0.315,1385700,MYR
2013-03-29,0.325,0.33,0.315,0.315,11662000,MYR
2013-04-01,0.32,0.325,0.31,0.315,11404400,MYR
2013-04-02,0.315,0.325,0.315,0.32,4045800,MYR
2013-04-03,0.32,0.325,0.31,0.31,4049500,MYR
2013-04-04,0.315,0.325,0.31,0.32,5076100,MYR
2013-04-05,0.32,0.34,0.32,0.335,15478800,MYR
2013-04-08,0.34,0.34,0.33,0.335,4536300,MYR
2013-04-09,0.34,0.34,0.335,0.335,6703100,MYR
2013-04-10,0.335,0.335,0.325,0.325,4391200,MYR
2013-04-11,0.33,0.33,0.32,0.33,1069000,MYR
2013-04-12,0.325,0.325,0.32,0.325,819400,MYR
2013-04-15,0.32,0.32,0.31,0.31,3687200,MYR
2013-04-16,0.31,0.32,0.31,0.315,1468800,MYR
2013-04-17,0.315,0.32,0.315,0.32,1138200,MYR
2013-04-18,0.315,0.32,0.315,0.32,378600,MYR
2013-04-19,0.32,0.32,0.31,0.315,600000,MYR
2013-04-22,0.315,0.315,0.305,0.305,1379900,MYR
2013-04-23,0.305,0.31,0.305,0.31,1375200,MYR
2013-04-24,0.305,0.31,0.305,0.31,848300,MYR
2013-04-25,0.305,0.305,0.305,0.305,281000,MYR
2013-04-26,0.31,0.32,0.305,0.32,2370800,MYR
2013-04-29,0.315,0.315,0.31,0.31,365000,MYR
2013-04-30,0.31,0.31,0.305,0.305,502000,MYR
2013-05-02,0.305,0.31,0.3,0.305,719800,MYR
2013-05-03,0.305,0.305,0.295,0.305,1507900,MYR
2013-05-06,0.315,0.325,0.315,0.32,2772500,MYR
2013-05-07,0.32,0.345,0.32,0.34,6586600,MYR
2013-05-08,0.34,0.345,0.33,0.33,3330200,MYR
2013-05-09,0.335,0.345,0.335,0.345,2699300,MYR
2013-05-10,0.345,0.36,0.345,0.36,9046400,MYR
2013-05-13,0.36,0.38,0.36,0.375,9590800,MYR
2013-05-14,0.38,0.385,0.36,0.37,5596400,MYR
2013-05-15,0.375,0.38,0.37,0.375,3722500,MYR
2013-05-16,0.375,0.375,0.365,0.365,3147600,MYR
2013-05-17,0.37,0.38,0.365,0.38,3495700,MYR
2013-05-20,0.38,0.39,0.38,0.39,11182900,MYR
2013-05-21,0.39,0.41,0.39,0.4,29611900,MYR
2013-05-22,0.41,0.415,0.39,0.395,16916200,MYR
2013-05-23,0.395,0.4,0.365,0.365,14921700,MYR
2013-05-27,0.365,0.38,0.365,0.37,25429200,MYR
2013-05-28,0.37,0.38,0.37,0.375,11426500,MYR
2013-05-29,0.38,0.385,0.375,0.375,7477800,MYR
2013-05-30,0.375,0.38,0.365,0.375,6477100,MYR
2013-05-31,0.375,0.375,0.365,0.37,4272700,MYR
2013-06-03,0.37,0.37,0.36,0.365,4601900,MYR
2013-06-04,0.37,0.375,0.365,0.37,3573200,MYR
2013-06-05,0.375,0.375,0.365,0.37,2490500,MYR
2013-06-06,0.365,0.365,0.355,0.36,2229300,MYR
2013-06-07,0.36,0.365,0.36,0.36,1664800,MYR
2013-06-10,0.37,0.375,0.365,0.375,5660600,MYR
2013-06-11,0.38,0.395,0.38,0.38,15344300,MYR
2013-06-12,0.38,0.385,0.37,0.38,6391500,MYR
2013-06-13,0.38,0.38,0.365,0.365,5030800,MYR
2013-06-14,0.37,0.375,0.365,0.375,3046600,MYR
2013-06-17,0.37,0.375,0.365,0.37,3843800,MYR
