Date,Open,High,Low,Close,Volume,Currency
2014-09-17,0.229,0.229,0.206,0.217,2408667,MYR
2014-09-18,0.221,0.221,0.199,0.214,3184267,MYR
2014-09-19,0.221,0.221,0.195,0.206,1543600,MYR
2014-09-22,0.214,0.214,0.199,0.203,733600,MYR
2014-09-23,0.195,0.214,0.195,0.21,2100000,MYR
2014-09-24,0.203,0.203,0.199,0.203,451733,MYR
2014-09-25,0.199,0.199,0.195,0.195,822800,MYR
2014-09-26,0.195,0.199,0.195,0.195,212133,MYR
2014-09-29,0.195,0.195,0.188,0.191,646533,MYR
2014-09-30,0.191,0.203,0.191,0.199,545200,MYR
2014-10-01,0.195,0.195,0.191,0.195,627867,MYR
2014-10-02,0.195,0.195,0.191,0.195,333333,MYR
2014-10-03,0.195,0.195,0.195,0.195,133333,MYR
2014-10-07,0.195,0.195,0.195,0.195,120000,MYR
2014-10-08,0.195,0.195,0.191,0.191,593333,MYR
2014-10-09,0.195,0.195,0.195,0.195,53867,MYR
2014-10-10,0.191,0.191,0.191,0.191,504000,MYR
2014-10-13,0.188,0.199,0.188,0.199,33600,MYR
2014-10-14,0.184,0.184,0.176,0.176,62000,MYR
2014-10-15,0.18,0.18,0.18,0.18,1333,MYR
2014-10-16,0.169,0.169,0.169,0.169,165333,MYR
2014-10-17,0.176,0.18,0.176,0.18,100533,MYR
2014-10-21,0.172,0.172,0.172,0.172,104133,MYR
2014-10-24,0.188,0.188,0.188,0.188,82000,MYR
2014-10-27,0.184,0.199,0.184,0.199,40133,MYR
2014-10-28,0.188,0.188,0.188,0.188,39867,MYR
2014-10-29,0.191,0.195,0.191,0.195,133333,MYR
2014-10-31,0.199,0.199,0.188,0.199,28133,MYR
2014-11-03,0.195,0.195,0.195,0.195,133333,MYR
2014-11-05,0.199,0.203,0.199,0.203,34000,MYR
2014-11-06,0.199,0.214,0.199,0.203,610933,MYR
2014-11-07,0.203,0.21,0.203,0.203,376133,MYR
2014-11-10,0.199,0.203,0.199,0.199,125600,MYR
2014-11-11,0.195,0.195,0.188,0.191,866667,MYR
2014-11-12,0.188,0.188,0.188,0.188,206667,MYR
2014-11-13,0.188,0.188,0.188,0.188,14667,MYR
2014-11-14,0.184,0.184,0.184,0.184,562267,MYR
2014-11-17,0.184,0.184,0.184,0.184,94667,MYR
2014-11-18,0.184,0.191,0.184,0.191,58400,MYR
2014-11-20,0.184,0.191,0.184,0.191,146667,MYR
2014-11-21,0.191,0.191,0.191,0.191,13333,MYR
2014-11-24,0.184,0.184,0.184,0.184,133,MYR
2014-11-25,0.184,0.188,0.184,0.184,120133,MYR
2014-11-27,0.184,0.191,0.165,0.191,5449467,MYR
2014-11-28,0.18,0.191,0.18,0.18,41333,MYR
2014-12-01,0.172,0.172,0.172,0.172,80000,MYR
2014-12-02,0.176,0.176,0.172,0.172,160000,MYR
2014-12-03,0.172,0.188,0.169,0.184,1233600,MYR
2014-12-09,0.184,0.188,0.18,0.188,978667,MYR
2014-12-10,0.18,0.203,0.18,0.195,4677867,MYR
2014-12-11,0.184,0.203,0.172,0.191,13662400,MYR
2014-12-12,0.188,0.195,0.188,0.195,340000,MYR
2014-12-15,0.18,0.18,0.18,0.18,653333,MYR
2014-12-16,0.18,0.203,0.18,0.199,6422667,MYR
2014-12-17,0.203,0.203,0.188,0.188,920000,MYR
2014-12-18,0.191,0.199,0.188,0.195,226000,MYR
2014-12-19,0.199,0.199,0.199,0.199,903333,MYR
2014-12-22,0.199,0.221,0.199,0.21,25238932,MYR
2014-12-23,0.206,0.21,0.188,0.188,824000,MYR
2014-12-24,0.191,0.203,0.191,0.199,5992267,MYR
2014-12-26,0.195,0.206,0.195,0.199,1608000,MYR
2014-12-29,0.195,0.195,0.18,0.184,2928933,MYR
2014-12-30,0.18,0.184,0.18,0.184,613467,MYR
2014-12-31,0.184,0.188,0.184,0.184,1357333,MYR
2015-01-02,0.184,0.188,0.184,0.184,1137467,MYR
2015-01-05,0.188,0.188,0.184,0.188,2119200,MYR
2015-01-06,0.184,0.184,0.184,0.184,82667,MYR
2015-01-07,0.184,0.184,0.184,0.184,346667,MYR
2015-01-08,0.184,0.203,0.184,0.203,7891067,MYR
2015-01-09,0.199,0.225,0.199,0.214,29115732,MYR
2015-01-12,0.217,0.217,0.214,0.214,3131200,MYR
2015-01-13,0.214,0.217,0.214,0.217,1898933,MYR
2015-01-14,0.217,0.225,0.206,0.21,22116132,MYR
2015-01-15,0.21,0.21,0.165,0.199,28488932,MYR
2015-01-16,0.199,0.217,0.199,0.217,3806933,MYR
2015-01-19,0.221,0.229,0.217,0.229,9195600,MYR
2015-01-20,0.225,0.233,0.217,0.221,34254800,MYR
2015-01-21,0.217,0.225,0.217,0.225,427333,MYR
2015-01-22,0.221,0.221,0.217,0.217,1040000,MYR
2015-01-23,0.214,0.221,0.214,0.214,4855733,MYR
2015-01-26,0.214,0.217,0.203,0.206,12384533,MYR
2015-01-27,0.217,0.217,0.203,0.214,121867,MYR
2015-01-28,0.203,0.214,0.203,0.214,779067,MYR
2015-01-29,0.217,0.221,0.195,0.195,6710000,MYR
2015-01-30,0.195,0.199,0.184,0.191,11470400,MYR
2015-02-04,0.199,0.199,0.188,0.191,1067867,MYR
2015-02-05,0.191,0.191,0.18,0.191,1502933,MYR
2015-02-06,0.188,0.191,0.18,0.188,2774000,MYR
2015-02-09,0.191,0.195,0.184,0.184,6605600,MYR
2015-02-10,0.191,0.191,0.184,0.191,378533,MYR
2015-02-11,0.191,0.191,0.18,0.188,1623733,MYR
2015-02-12,0.188,0.191,0.184,0.188,2733333,MYR
2015-02-13,0.184,0.191,0.18,0.188,5415200,MYR
2015-02-16,0.184,0.184,0.18,0.184,280667,MYR
2015-02-17,0.184,0.199,0.184,0.199,9382667,MYR
2015-02-18,0.199,0.199,0.191,0.191,40000,MYR
2015-02-23,0.191,0.195,0.191,0.195,41200,MYR
2015-02-24,0.191,0.191,0.188,0.188,293333,MYR
2015-02-25,0.188,0.188,0.184,0.184,125200,MYR
2015-02-26,0.184,0.184,0.184,0.184,133333,MYR
2015-02-27,0.184,0.184,0.184,0.184,66667,MYR
2015-03-02,0.188,0.188,0.184,0.184,338533,MYR
2015-03-04,0.188,0.188,0.184,0.184,121200,MYR
2015-03-05,0.184,0.191,0.184,0.188,40267,MYR
2015-03-09,0.188,0.195,0.188,0.195,1988667,MYR
2015-03-10,0.195,0.195,0.195,0.195,463867,MYR
2015-03-11,0.195,0.195,0.195,0.195,472000,MYR
2015-03-12,0.195,0.199,0.195,0.195,169333,MYR
2015-03-13,0.195,0.214,0.195,0.206,1661200,MYR
2015-03-16,0.206,0.206,0.206,0.206,3165867,MYR
2015-03-17,0.203,0.203,0.203,0.203,26667,MYR
2015-03-18,0.203,0.206,0.199,0.206,791067,MYR
2015-03-19,0.206,0.206,0.206,0.206,293067,MYR
2015-03-20,0.21,0.21,0.21,0.21,210133,MYR
2015-03-24,0.21,0.21,0.206,0.206,453333,MYR
2015-03-25,0.21,0.21,0.206,0.206,226667,MYR
2015-03-26,0.214,0.221,0.206,0.206,622667,MYR
2015-03-27,0.214,0.233,0.214,0.221,6347600,MYR
2015-03-30,0.217,0.217,0.214,0.214,292000,MYR
2015-03-31,0.217,0.221,0.214,0.217,348000,MYR
2015-04-01,0.217,0.236,0.217,0.229,7948933,MYR
2015-04-02,0.233,0.236,0.221,0.225,3643867,MYR
2015-04-03,0.225,0.225,0.225,0.225,342533,MYR
2015-04-06,0.229,0.229,0.225,0.229,1279067,MYR
2015-04-07,0.233,0.244,0.233,0.24,4229733,MYR
2015-04-08,0.244,0.285,0.236,0.255,12614000,MYR
2015-04-09,0.255,0.255,0.247,0.247,797200,MYR
2015-04-10,0.247,0.255,0.247,0.247,1257067,MYR
2015-04-13,0.251,0.251,0.244,0.244,866667,MYR
2015-04-14,0.24,0.247,0.24,0.247,5929467,MYR
2015-04-15,0.251,0.255,0.247,0.251,1503467,MYR
2015-04-16,0.251,0.251,0.244,0.247,9522667,MYR
2015-04-17,0.244,0.247,0.24,0.247,1004267,MYR
2015-04-20,0.247,0.247,0.236,0.24,3048267,MYR
2015-04-21,0.24,0.24,0.236,0.236,1040800,MYR
2015-04-22,0.24,0.24,0.236,0.24,9464000,MYR
2015-04-23,0.24,0.24,0.229,0.229,1281067,MYR
2015-04-24,0.233,0.236,0.233,0.236,527733,MYR
2015-04-27,0.233,0.236,0.233,0.236,820000,MYR
2015-04-28,0.233,0.233,0.229,0.229,930667,MYR
2015-04-29,0.229,0.233,0.229,0.229,7135333,MYR
2015-04-30,0.233,0.233,0.233,0.233,200000,MYR
2015-05-05,0.229,0.229,0.225,0.225,286400,MYR
2015-05-06,0.203,0.217,0.191,0.21,560000,MYR
2015-05-07,0.217,0.225,0.21,0.21,5379733,MYR
2015-05-08,0.225,0.225,0.225,0.225,133,MYR
2015-05-11,0.225,0.225,0.206,0.221,41333,MYR
2015-05-12,0.214,0.217,0.214,0.217,222800,MYR
2015-05-13,0.217,0.217,0.21,0.214,8171333,MYR
2015-05-14,0.203,0.214,0.203,0.214,351200,MYR
2015-05-15,0.214,0.214,0.206,0.206,189333,MYR
2015-05-18,0.206,0.217,0.206,0.217,146667,MYR
2015-05-19,0.217,0.225,0.21,0.217,3935333,MYR
2015-05-20,0.217,0.217,0.217,0.217,33333,MYR
2015-05-21,0.214,0.214,0.206,0.206,106667,MYR
2015-05-22,0.206,0.214,0.203,0.214,248000,MYR
2015-05-25,0.203,0.214,0.199,0.214,541867,MYR
2015-05-26,0.203,0.203,0.203,0.203,1333,MYR
2015-05-27,0.203,0.21,0.203,0.21,94933,MYR
2015-05-28,0.203,0.21,0.199,0.21,245733,MYR
2015-05-29,0.199,0.21,0.199,0.21,266667,MYR
2015-06-01,0.199,0.199,0.199,0.199,1333,MYR
2015-06-02,0.21,0.21,0.21,0.21,13333,MYR
2015-06-03,0.206,0.21,0.206,0.21,188933,MYR
2015-06-05,0.21,0.21,0.21,0.21,33333,MYR
2015-06-09,0.206,0.206,0.206,0.206,20133,MYR
2015-06-10,0.206,0.206,0.203,0.203,139867,MYR
2015-06-11,0.203,0.21,0.203,0.21,56267,MYR
2015-06-12,0.203,0.203,0.199,0.203,217200,MYR
2015-06-15,0.203,0.203,0.195,0.203,320000,MYR
2015-06-16,0.195,0.195,0.195,0.195,5867,MYR
2015-06-18,0.195,0.199,0.191,0.195,200000,MYR
2015-06-19,0.195,0.195,0.195,0.195,26667,MYR
2015-06-22,0.195,0.199,0.191,0.199,346800,MYR
2015-06-25,0.184,0.184,0.184,0.184,1333,MYR
2015-06-26,0.184,0.203,0.184,0.203,56267,MYR
2015-06-29,0.184,0.191,0.18,0.18,213333,MYR
2015-06-30,0.191,0.214,0.191,0.214,337333,MYR
2015-07-03,0.188,0.188,0.18,0.18,520000,MYR
2015-07-06,0.188,0.188,0.188,0.188,163467,MYR
2015-07-07,0.188,0.188,0.188,0.188,12000,MYR
2015-07-13,0.172,0.184,0.172,0.184,56267,MYR
2015-07-14,0.176,0.188,0.176,0.188,503733,MYR
2015-07-15,0.184,0.184,0.172,0.184,266667,MYR
2015-07-20,0.176,0.176,0.176,0.176,26667,MYR
2015-07-21,0.172,0.188,0.172,0.188,128533,MYR
2015-07-24,0.176,0.191,0.176,0.191,6667,MYR
2015-07-27,0.176,0.184,0.172,0.184,135200,MYR
2015-07-28,0.18,0.18,0.18,0.18,28000,MYR
2015-07-29,0.176,0.184,0.176,0.184,56267,MYR
2015-07-30,0.184,0.21,0.184,0.199,344667,MYR
2015-07-31,0.206,0.206,0.188,0.191,273333,MYR
2015-08-03,0.188,0.21,0.188,0.21,26800,MYR
2015-08-07,0.18,0.184,0.176,0.184,234400,MYR
2015-08-10,0.203,0.203,0.199,0.199,3106667,MYR
2015-08-11,0.195,0.195,0.191,0.191,3153733,MYR
2015-08-12,0.176,0.176,0.169,0.169,191867,MYR
2015-08-13,0.172,0.176,0.169,0.176,70000,MYR
2015-08-14,0.176,0.191,0.172,0.18,3463867,MYR
2015-08-17,0.184,0.188,0.165,0.176,3569200,MYR
2015-08-18,0.169,0.176,0.169,0.176,80000,MYR
2015-08-19,0.184,0.184,0.18,0.184,3286667,MYR
2015-08-20,0.176,0.176,0.176,0.176,1067,MYR
2015-08-25,0.165,0.165,0.165,0.165,120000,MYR
2015-08-26,0.165,0.165,0.161,0.161,486667,MYR
2015-08-28,0.161,0.161,0.158,0.158,296133,MYR
2015-09-01,0.15,0.172,0.15,0.172,230533,MYR
2015-09-02,0.169,0.176,0.154,0.165,1312933,MYR
2015-09-07,0.158,0.169,0.158,0.169,1075333,MYR
2015-09-08,0.158,0.165,0.146,0.15,5087200,MYR
2015-09-09,0.15,0.154,0.15,0.154,406800,MYR
2015-09-10,0.15,0.154,0.15,0.154,26800,MYR
2015-09-11,0.15,0.154,0.135,0.15,1796133,MYR
2015-09-14,0.146,0.146,0.135,0.146,2802533,MYR
2015-09-15,0.139,0.142,0.139,0.142,362933,MYR
2015-09-17,0.139,0.142,0.135,0.135,238533,MYR
2015-09-18,0.135,0.142,0.135,0.142,2028667,MYR
2015-09-21,0.139,0.142,0.135,0.142,500533,MYR
2015-09-25,0.135,0.139,0.135,0.135,840133,MYR
2015-09-28,0.142,0.142,0.135,0.142,456133,MYR
2015-09-29,0.135,0.135,0.135,0.135,53333,MYR
2015-09-30,0.135,0.135,0.135,0.135,80000,MYR
2015-10-01,0.135,0.142,0.135,0.142,1110667,MYR
2015-10-02,0.139,0.142,0.139,0.139,509600,MYR
2015-10-05,0.135,0.142,0.131,0.142,404400,MYR
2015-10-06,0.135,0.139,0.135,0.135,306667,MYR
2015-10-07,0.135,0.154,0.135,0.146,1234800,MYR
2015-10-09,0.142,0.142,0.135,0.142,88000,MYR
2015-10-12,0.142,0.15,0.142,0.142,40133,MYR
2015-10-13,0.146,0.15,0.142,0.142,1222400,MYR
2015-10-15,0.15,0.165,0.15,0.161,1168267,MYR
2015-10-16,0.165,0.199,0.165,0.195,3118000,MYR
2015-10-19,0.195,0.199,0.18,0.18,3169467,MYR
2015-10-20,0.18,0.188,0.176,0.184,692667,MYR
2015-10-21,0.184,0.195,0.184,0.195,1473467,MYR
2015-10-22,0.195,0.203,0.188,0.203,1308000,MYR
2015-10-23,0.195,0.21,0.188,0.21,4389867,MYR
2015-10-26,0.21,0.21,0.199,0.206,1079067,MYR
2015-10-27,0.199,0.199,0.195,0.195,858800,MYR
2015-10-28,0.195,0.203,0.195,0.203,750533,MYR
2015-10-29,0.199,0.221,0.199,0.217,4736933,MYR
2015-10-30,0.21,0.214,0.199,0.214,1865333,MYR
2015-11-02,0.203,0.206,0.203,0.203,1107600,MYR
2015-11-03,0.199,0.199,0.191,0.191,616933,MYR
2015-11-04,0.199,0.206,0.191,0.195,1148667,MYR
2015-11-05,0.199,0.199,0.191,0.195,1706800,MYR
2015-11-06,0.191,0.195,0.188,0.191,637733,MYR
2015-11-09,0.195,0.21,0.195,0.203,1586400,MYR
2015-11-11,0.203,0.206,0.199,0.206,78267,MYR
2015-11-12,0.203,0.203,0.195,0.203,1234000,MYR
2015-11-13,0.195,0.195,0.191,0.191,274667,MYR
2015-11-16,0.188,0.191,0.184,0.184,350400,MYR
2015-11-17,0.184,0.188,0.184,0.188,45333,MYR
2015-11-18,0.191,0.199,0.191,0.195,2419733,MYR
2015-11-19,0.195,0.195,0.195,0.195,148667,MYR
2015-11-20,0.191,0.191,0.188,0.191,360000,MYR
2015-11-23,0.188,0.191,0.184,0.191,746133,MYR
2015-11-24,0.184,0.184,0.18,0.18,464800,MYR
2015-11-25,0.184,0.188,0.184,0.184,298133,MYR
2015-11-26,0.184,0.184,0.18,0.18,106667,MYR
2015-11-27,0.184,0.184,0.184,0.184,250000,MYR
2015-11-30,0.184,0.184,0.176,0.176,846667,MYR
2015-12-01,0.184,0.184,0.18,0.18,259867,MYR
2015-12-02,0.184,0.188,0.184,0.188,100667,MYR
2015-12-03,0.188,0.188,0.188,0.188,383333,MYR
2015-12-04,0.18,0.184,0.18,0.184,62133,MYR
2015-12-07,0.184,0.195,0.184,0.188,380000,MYR
2015-12-08,0.188,0.195,0.184,0.195,266800,MYR
2015-12-09,0.195,0.195,0.191,0.191,2261200,MYR
2015-12-10,0.188,0.191,0.184,0.191,160133,MYR
2015-12-11,0.184,0.184,0.184,0.184,31067,MYR
2015-12-14,0.184,0.184,0.18,0.18,40000,MYR
2015-12-16,0.176,0.191,0.176,0.191,200133,MYR
2015-12-17,0.184,0.184,0.18,0.18,26533,MYR
2015-12-18,0.18,0.18,0.176,0.176,80000,MYR
2015-12-23,0.176,0.188,0.176,0.188,269333,MYR
2015-12-28,0.18,0.195,0.176,0.195,280267,MYR
2015-12-29,0.184,0.191,0.184,0.188,151200,MYR
2015-12-31,0.191,0.206,0.188,0.195,579600,MYR
2016-01-04,0.195,0.195,0.18,0.18,784000,MYR
