Date,Open,High,Low,Close,Volume,Currency
2013-01-30,0.085,0.09,0.085,0.09,30200,MYR
2013-01-31,0.085,0.085,0.08,0.085,649900,MYR
2013-02-04,0.085,0.085,0.08,0.085,1039400,MYR
2013-02-05,0.08,0.08,0.075,0.075,573000,MYR
2013-02-06,0.075,0.08,0.075,0.08,972000,MYR
2013-02-07,0.08,0.08,0.08,0.08,80000,MYR
2013-02-08,0.075,0.075,0.075,0.075,22000,MYR
2013-02-13,0.075,0.08,0.075,0.08,97000,MYR
2013-02-14,0.08,0.08,0.075,0.075,140000,MYR
2013-02-15,0.08,0.08,0.08,0.08,70500,MYR
2013-02-18,0.08,0.08,0.08,0.08,180000,MYR
2013-02-20,0.075,0.08,0.075,0.08,70000,MYR
2013-02-21,0.075,0.075,0.075,0.075,186900,MYR
2013-02-22,0.075,0.075,0.075,0.075,95500,MYR
2013-02-25,0.075,0.075,0.075,0.075,120000,MYR
2013-02-26,0.075,0.075,0.075,0.075,210000,MYR
2013-02-27,0.075,0.075,0.075,0.075,40000,MYR
2013-02-28,0.075,0.075,0.075,0.075,924000,MYR
2013-03-01,0.075,0.075,0.075,0.075,99100,MYR
2013-03-05,0.08,0.08,0.08,0.08,100000,MYR
2013-03-06,0.075,0.075,0.075,0.075,6400,MYR
2013-03-08,0.075,0.08,0.075,0.08,3600,MYR
2013-03-11,0.08,0.08,0.08,0.08,8000,MYR
2013-03-12,0.08,0.08,0.08,0.08,60000,MYR
2013-03-13,0.075,0.08,0.075,0.08,137000,MYR
2013-03-14,0.075,0.085,0.075,0.075,380000,MYR
2013-03-15,0.075,0.075,0.075,0.075,30000,MYR
2013-03-21,0.075,0.075,0.075,0.075,30000,MYR
2013-03-22,0.075,0.075,0.075,0.075,70000,MYR
2013-03-27,0.08,0.08,0.075,0.08,110100,MYR
2013-04-02,0.075,0.08,0.075,0.08,60000,MYR
2013-04-03,0.075,0.075,0.075,0.075,300000,MYR
2013-04-05,0.075,0.08,0.075,0.08,225100,MYR
2013-04-09,0.08,0.085,0.08,0.085,451700,MYR
2013-04-10,0.08,0.08,0.08,0.08,100000,MYR
2013-04-11,0.08,0.08,0.08,0.08,60000,MYR
2013-04-12,0.08,0.08,0.08,0.08,267000,MYR
2013-04-15,0.08,0.08,0.08,0.08,60000,MYR
2013-04-17,0.075,0.08,0.075,0.08,80100,MYR
2013-04-19,0.08,0.08,0.075,0.075,380100,MYR
2013-04-22,0.075,0.075,0.075,0.075,25000,MYR
2013-04-25,0.075,0.075,0.07,0.07,146600,MYR
2013-04-26,0.075,0.075,0.075,0.075,20000,MYR
2013-04-30,0.075,0.075,0.075,0.075,30000,MYR
2013-05-02,0.075,0.075,0.075,0.075,50000,MYR
2013-05-03,0.07,0.07,0.07,0.07,180000,MYR
2013-05-06,0.075,0.08,0.075,0.08,165300,MYR
2013-05-07,0.07,0.075,0.07,0.075,99800,MYR
2013-05-08,0.075,0.075,0.075,0.075,90000,MYR
2013-05-09,0.075,0.075,0.075,0.075,55000,MYR
2013-05-10,0.08,0.085,0.08,0.085,672300,MYR
2013-05-13,0.085,0.09,0.085,0.09,1338900,MYR
2013-05-14,0.09,0.09,0.09,0.09,94500,MYR
2013-05-15,0.095,0.095,0.085,0.095,2050900,MYR
2013-05-16,0.095,0.1,0.09,0.095,591800,MYR
2013-05-17,0.095,0.095,0.09,0.095,1313000,MYR
2013-05-20,0.095,0.1,0.095,0.1,1101000,MYR
2013-05-21,0.095,0.095,0.09,0.09,806800,MYR
2013-05-22,0.095,0.1,0.09,0.095,1190400,MYR
2013-05-23,0.09,0.09,0.09,0.09,590000,MYR
2013-05-27,0.09,0.095,0.09,0.09,393600,MYR
2013-05-28,0.09,0.095,0.09,0.09,90100,MYR
2013-05-29,0.085,0.09,0.085,0.09,842100,MYR
2013-05-30,0.085,0.085,0.085,0.085,583700,MYR
2013-05-31,0.09,0.09,0.09,0.09,74000,MYR
2013-06-03,0.085,0.085,0.085,0.085,381600,MYR
2013-06-04,0.085,0.09,0.085,0.09,200100,MYR
2013-06-05,0.085,0.085,0.085,0.085,50000,MYR
2013-06-06,0.09,0.09,0.085,0.085,92000,MYR
2013-06-07,0.085,0.085,0.085,0.085,200000,MYR
2013-06-11,0.085,0.085,0.08,0.08,467200,MYR
2013-06-12,0.08,0.085,0.08,0.085,472500,MYR
2013-06-13,0.08,0.08,0.08,0.08,40000,MYR
2013-06-14,0.085,0.085,0.08,0.08,110100,MYR
2013-06-17,0.08,0.085,0.08,0.08,305000,MYR
2013-06-18,0.085,0.085,0.08,0.085,110200,MYR
2013-06-19,0.085,0.09,0.085,0.09,584800,MYR
2013-06-20,0.08,0.085,0.08,0.085,200100,MYR
2013-06-21,0.08,0.085,0.08,0.085,353000,MYR
2013-06-24,0.08,0.085,0.08,0.085,281000,MYR
2013-06-25,0.08,0.08,0.075,0.08,310100,MYR
2013-06-27,0.08,0.08,0.08,0.08,150000,MYR
2013-06-28,0.08,0.08,0.08,0.08,198000,MYR
2013-07-01,0.08,0.08,0.08,0.08,269700,MYR
2013-07-02,0.08,0.08,0.075,0.08,265100,MYR
2013-07-03,0.08,0.08,0.075,0.075,429900,MYR
2013-07-04,0.08,0.08,0.08,0.08,256900,MYR
2013-07-05,0.08,0.08,0.08,0.08,35000,MYR
2013-07-08,0.08,0.08,0.08,0.08,100,MYR
2013-07-09,0.085,0.085,0.085,0.085,100,MYR
2013-07-12,0.075,0.085,0.075,0.085,46500,MYR
2013-07-15,0.075,0.08,0.075,0.08,280000,MYR
2013-07-16,0.075,0.085,0.075,0.085,46400,MYR
2013-07-17,0.085,0.085,0.08,0.085,356400,MYR
2013-07-18,0.08,0.085,0.08,0.085,86100,MYR
2013-07-19,0.085,0.085,0.08,0.085,480000,MYR
2013-07-22,0.085,0.085,0.08,0.085,867800,MYR
2013-07-23,0.085,0.085,0.085,0.085,150000,MYR
2013-07-24,0.085,0.085,0.08,0.085,395000,MYR
2013-07-25,0.085,0.085,0.085,0.085,221800,MYR
2013-07-26,0.085,0.09,0.085,0.085,60000,MYR
2013-07-29,0.085,0.085,0.08,0.08,510100,MYR
2013-07-30,0.08,0.08,0.08,0.08,269900,MYR
2013-07-31,0.08,0.085,0.08,0.08,522100,MYR
2013-08-01,0.08,0.08,0.08,0.08,76000,MYR
2013-08-05,0.085,0.095,0.085,0.095,2173400,MYR
2013-08-06,0.09,0.095,0.09,0.09,1613200,MYR
2013-08-12,0.09,0.09,0.09,0.09,120000,MYR
2013-08-13,0.09,0.11,0.09,0.11,5560600,MYR
2013-08-14,0.11,0.12,0.1,0.1,9156800,MYR
2013-08-15,0.1,0.105,0.1,0.1,5019000,MYR
2013-08-16,0.095,0.1,0.095,0.095,590000,MYR
2013-08-19,0.095,0.1,0.095,0.095,858400,MYR
2013-08-20,0.095,0.095,0.085,0.095,1716500,MYR
2013-08-21,0.09,0.1,0.09,0.095,1812700,MYR
2013-08-22,0.09,0.095,0.09,0.095,730500,MYR
2013-08-23,0.095,0.095,0.09,0.09,26000,MYR
2013-08-26,0.095,0.095,0.09,0.09,891000,MYR
2013-08-27,0.09,0.09,0.085,0.085,3478000,MYR
2013-08-28,0.085,0.09,0.08,0.085,1970000,MYR
2013-08-29,0.085,0.1,0.085,0.095,5604700,MYR
2013-08-30,0.095,0.095,0.09,0.09,200000,MYR
2013-09-02,0.09,0.09,0.09,0.09,133000,MYR
2013-09-03,0.09,0.095,0.09,0.095,450000,MYR
2013-09-04,0.09,0.09,0.085,0.09,382200,MYR
2013-09-05,0.09,0.09,0.09,0.09,130000,MYR
2013-09-09,0.09,0.095,0.09,0.09,600200,MYR
2013-09-10,0.09,0.095,0.09,0.095,420000,MYR
2013-09-11,0.095,0.095,0.09,0.09,199800,MYR
2013-09-12,0.09,0.095,0.09,0.09,40000,MYR
2013-09-13,0.095,0.095,0.095,0.095,609000,MYR
2013-09-17,0.09,0.09,0.09,0.09,454200,MYR
2013-09-18,0.095,0.095,0.095,0.095,76100,MYR
2013-09-19,0.09,0.09,0.09,0.09,19900,MYR
2013-09-20,0.09,0.09,0.09,0.09,60000,MYR
2013-09-23,0.095,0.095,0.09,0.095,702100,MYR
2013-09-24,0.095,0.095,0.095,0.095,282000,MYR
2013-09-26,0.09,0.09,0.09,0.09,5000,MYR
2013-09-27,0.09,0.09,0.09,0.09,321600,MYR
2013-09-30,0.09,0.09,0.09,0.09,107000,MYR
2013-10-01,0.09,0.09,0.09,0.09,30000,MYR
2013-10-02,0.09,0.09,0.09,0.09,60000,MYR
2013-10-03,0.09,0.095,0.09,0.095,743100,MYR
2013-10-07,0.09,0.09,0.09,0.09,137000,MYR
2013-10-08,0.09,0.095,0.09,0.095,232000,MYR
2013-10-09,0.095,0.1,0.095,0.1,538000,MYR
2013-10-10,0.095,0.095,0.095,0.095,100000,MYR
2013-10-11,0.095,0.11,0.095,0.1,4672800,MYR
2013-10-14,0.095,0.1,0.095,0.095,634800,MYR
2013-10-16,0.1,0.1,0.095,0.095,412400,MYR
2013-10-17,0.095,0.1,0.095,0.1,533100,MYR
2013-10-18,0.095,0.095,0.095,0.095,94000,MYR
2013-10-21,0.095,0.095,0.095,0.095,220100,MYR
2013-10-22,0.095,0.095,0.09,0.095,552000,MYR
2013-10-23,0.095,0.095,0.095,0.095,175000,MYR
2013-10-24,0.095,0.095,0.095,0.095,123000,MYR
2013-10-25,0.095,0.095,0.095,0.095,320000,MYR
2013-10-28,0.09,0.095,0.09,0.095,360000,MYR
2013-10-29,0.095,0.1,0.095,0.095,206300,MYR
2013-10-30,0.095,0.095,0.095,0.095,37000,MYR
2013-10-31,0.1,0.1,0.09,0.09,327200,MYR
2013-11-01,0.095,0.1,0.095,0.095,869000,MYR
2013-11-04,0.105,0.11,0.1,0.11,11432000,MYR
2013-11-06,0.11,0.11,0.105,0.105,2721000,MYR
2013-11-07,0.11,0.11,0.105,0.105,2155000,MYR
2013-11-08,0.105,0.11,0.105,0.105,1528800,MYR
