Date,Open,High,Low,Close,Volume,Currency
2013-07-01,1.39,1.42,1.35,1.37,7168600,MYR
2013-07-02,1.39,1.44,1.37,1.41,12383600,MYR
2013-07-03,1.42,1.44,1.39,1.41,5675100,MYR
2013-07-04,1.4,1.43,1.4,1.41,6236800,MYR
2013-07-05,1.41,1.46,1.41,1.45,9621900,MYR
2013-07-08,1.46,1.46,1.4,1.41,4853500,MYR
2013-07-09,1.42,1.42,1.39,1.39,4391700,MYR
2013-07-10,1.39,1.41,1.39,1.4,1694000,MYR
2013-07-11,1.4,1.41,1.39,1.4,1692800,MYR
2013-07-12,1.4,1.42,1.39,1.41,2283300,MYR
2013-07-15,1.41,1.41,1.39,1.39,1928000,MYR
2013-07-16,1.39,1.4,1.39,1.39,614600,MYR
2013-07-17,1.39,1.41,1.39,1.4,1468500,MYR
2013-07-18,1.42,1.42,1.4,1.4,1846100,MYR
2013-07-19,1.4,1.42,1.4,1.42,1836100,MYR
2013-07-22,1.42,1.46,1.42,1.44,4576000,MYR
2013-07-23,1.44,1.45,1.43,1.44,1607700,MYR
2013-07-24,1.43,1.51,1.43,1.5,13159800,MYR
2013-07-25,1.52,1.57,1.52,1.54,11880400,MYR
2013-07-26,1.55,1.57,1.53,1.54,3702100,MYR
2013-07-29,1.54,1.54,1.5,1.51,2404100,MYR
2013-07-30,1.5,1.51,1.48,1.5,4112700,MYR
2013-07-31,1.49,1.49,1.46,1.48,2456800,MYR
2013-08-01,1.49,1.51,1.47,1.5,2586900,MYR
2013-08-02,1.5,1.53,1.5,1.52,3841900,MYR
2013-08-05,1.52,1.52,1.48,1.5,2635900,MYR
2013-08-06,1.5,1.5,1.47,1.48,2999900,MYR
2013-08-07,1.48,1.49,1.47,1.49,864300,MYR
2013-08-12,1.49,1.49,1.47,1.48,5915200,MYR
2013-08-13,1.48,1.49,1.47,1.49,2870900,MYR
2013-08-14,1.49,1.52,1.49,1.52,3053600,MYR
2013-08-15,1.51,1.52,1.5,1.51,3283900,MYR
2013-08-16,1.5,1.51,1.49,1.5,3987600,MYR
2013-08-19,1.5,1.51,1.49,1.5,2151000,MYR
2013-08-20,1.5,1.5,1.44,1.46,3002400,MYR
2013-08-21,1.46,1.46,1.44,1.46,2578000,MYR
2013-08-22,1.45,1.48,1.41,1.45,12305200,MYR
2013-08-23,1.45,1.45,1.41,1.44,2996400,MYR
2013-08-26,1.43,1.44,1.41,1.43,3054400,MYR
2013-08-27,1.43,1.43,1.35,1.37,4260400,MYR
2013-08-28,1.34,1.36,1.3,1.35,8049600,MYR
2013-08-29,1.34,1.36,1.34,1.35,4026400,MYR
2013-08-30,1.35,1.39,1.35,1.38,4719900,MYR
2013-09-02,1.37,1.37,1.35,1.35,1640700,MYR
2013-09-03,1.36,1.37,1.36,1.36,1262800,MYR
2013-09-04,1.36,1.37,1.34,1.37,3212500,MYR
2013-09-05,1.37,1.38,1.36,1.37,459800,MYR
2013-09-06,1.37,1.37,1.36,1.36,932700,MYR
2013-09-09,1.36,1.37,1.36,1.37,916400,MYR
2013-09-10,1.38,1.4,1.38,1.4,874500,MYR
2013-09-11,1.41,1.43,1.4,1.4,958700,MYR
2013-09-12,1.4,1.4,1.39,1.4,391400,MYR
2013-09-13,1.39,1.4,1.39,1.4,199700,MYR
2013-09-17,1.41,1.41,1.39,1.4,398000,MYR
2013-09-18,1.4,1.44,1.4,1.43,794400,MYR
2013-09-19,1.45,1.46,1.43,1.45,1302300,MYR
2013-09-20,1.44,1.45,1.43,1.43,387200,MYR
2013-09-23,1.42,1.45,1.42,1.44,301900,MYR
2013-09-24,1.43,1.46,1.43,1.46,365600,MYR
2013-09-25,1.45,1.46,1.44,1.46,184700,MYR
2013-09-26,1.44,1.47,1.44,1.46,837300,MYR
2013-09-27,1.46,1.5,1.44,1.46,4912900,MYR
2013-09-30,1.47,1.52,1.45,1.51,3166300,MYR
2013-10-01,1.5,1.52,1.49,1.52,1378700,MYR
2013-10-02,1.54,1.62,1.54,1.6,9133700,MYR
2013-10-03,1.61,1.61,1.57,1.59,2659700,MYR
2013-10-04,1.57,1.58,1.56,1.57,1357900,MYR
2013-10-07,1.59,1.62,1.59,1.6,3469000,MYR
2013-10-08,1.6,1.66,1.59,1.64,3152300,MYR
2013-10-09,1.64,1.65,1.61,1.62,1451600,MYR
2013-10-10,1.61,1.63,1.61,1.62,613900,MYR
2013-10-11,1.62,1.65,1.61,1.64,1481500,MYR
2013-10-14,1.62,1.64,1.62,1.63,1253700,MYR
2013-10-16,1.63,1.63,1.62,1.62,955300,MYR
2013-10-17,1.63,1.66,1.62,1.65,1277600,MYR
2013-10-18,1.66,1.74,1.65,1.71,4280000,MYR
2013-10-21,1.71,1.76,1.71,1.74,2371500,MYR
2013-10-22,1.74,1.78,1.74,1.77,1880700,MYR
2013-10-23,1.77,1.77,1.72,1.72,1739500,MYR
2013-10-24,1.73,1.73,1.68,1.69,1716500,MYR
2013-10-25,1.68,1.7,1.68,1.69,1065400,MYR
2013-10-28,1.68,1.73,1.67,1.72,1056500,MYR
2013-10-29,1.71,1.73,1.68,1.7,1357500,MYR
2013-10-30,1.72,1.72,1.69,1.69,407500,MYR
2013-10-31,1.69,1.71,1.68,1.7,687400,MYR
2013-11-01,1.7,1.71,1.69,1.7,661100,MYR
2013-11-04,1.7,1.7,1.69,1.69,418700,MYR
2013-11-06,1.7,1.7,1.68,1.69,503900,MYR
2013-11-07,1.69,1.69,1.67,1.67,784000,MYR
2013-11-08,1.68,1.68,1.66,1.68,671600,MYR
2013-11-11,1.67,1.68,1.66,1.67,488300,MYR
2013-11-12,1.69,1.7,1.66,1.69,763700,MYR
2013-11-13,1.69,1.75,1.68,1.69,1858400,MYR
2013-11-14,1.69,1.7,1.69,1.69,288800,MYR
2013-11-15,1.69,1.7,1.68,1.69,587000,MYR
2013-11-18,1.69,1.72,1.69,1.71,717900,MYR
2013-11-19,1.7,1.71,1.7,1.71,861500,MYR
2013-11-20,1.71,1.72,1.68,1.69,888300,MYR
2013-11-21,1.69,1.69,1.68,1.68,285100,MYR
2013-11-22,1.69,1.7,1.68,1.68,306400,MYR
2013-11-25,1.68,1.69,1.68,1.69,560500,MYR
2013-11-26,1.68,1.78,1.68,1.78,2347200,MYR
2013-11-27,1.78,1.78,1.73,1.75,1658100,MYR
2013-11-28,1.73,1.78,1.73,1.78,1972100,MYR
2013-11-29,1.78,1.78,1.75,1.77,552700,MYR
2013-12-02,1.76,1.77,1.74,1.74,380200,MYR
2013-12-03,1.76,1.76,1.72,1.72,295400,MYR
2013-12-04,1.73,1.73,1.71,1.71,474000,MYR
2013-12-05,1.71,1.72,1.7,1.7,471000,MYR
2013-12-06,1.7,1.73,1.7,1.72,572800,MYR
2013-12-09,1.71,1.73,1.71,1.73,240100,MYR
2013-12-10,1.72,1.73,1.71,1.72,541100,MYR
2013-12-11,1.72,1.74,1.72,1.72,360200,MYR
2013-12-12,1.72,1.72,1.71,1.71,498000,MYR
2013-12-13,1.71,1.72,1.7,1.7,692600,MYR
2013-12-16,1.7,1.71,1.7,1.71,398200,MYR
2013-12-17,1.7,1.72,1.7,1.71,230900,MYR
2013-12-18,1.7,1.71,1.7,1.71,267700,MYR
2013-12-19,1.7,1.71,1.7,1.7,250300,MYR
2013-12-20,1.7,1.73,1.7,1.71,420900,MYR
2013-12-23,1.71,1.71,1.69,1.69,153400,MYR
2013-12-24,1.69,1.7,1.69,1.69,109100,MYR
2013-12-26,1.69,1.7,1.69,1.7,97800,MYR
2013-12-27,1.7,1.7,1.69,1.7,192200,MYR
2013-12-30,1.7,1.7,1.69,1.69,224400,MYR
2013-12-31,1.7,1.7,1.68,1.68,542900,MYR
2014-01-02,1.69,1.7,1.68,1.69,370400,MYR
2014-01-03,1.7,1.7,1.68,1.68,66800,MYR
2014-01-06,1.69,1.69,1.68,1.68,306000,MYR
2014-01-07,1.69,1.73,1.68,1.72,1088700,MYR
2014-01-08,1.72,1.72,1.69,1.69,450300,MYR
2014-01-09,1.7,1.71,1.7,1.7,414600,MYR
2014-01-10,1.7,1.71,1.69,1.69,423800,MYR
2014-01-13,1.69,1.7,1.68,1.7,355700,MYR
2014-01-15,1.69,1.7,1.68,1.68,339900,MYR
2014-01-16,1.69,1.69,1.66,1.67,683400,MYR
2014-01-20,1.66,1.67,1.64,1.67,635300,MYR
2014-01-21,1.67,1.67,1.66,1.67,84900,MYR
2014-01-22,1.67,1.68,1.66,1.66,267800,MYR
2014-01-23,1.68,1.74,1.68,1.73,1745100,MYR
2014-01-24,1.73,1.79,1.72,1.73,2438100,MYR
2014-01-27,1.73,1.73,1.69,1.7,461500,MYR
2014-01-28,1.67,1.68,1.66,1.67,989700,MYR
2014-01-29,1.68,1.69,1.68,1.68,188200,MYR
2014-01-30,1.68,1.68,1.67,1.67,269500,MYR
2014-02-04,1.65,1.67,1.65,1.67,610900,MYR
2014-02-05,1.67,1.68,1.66,1.67,728400,MYR
2014-02-06,1.66,1.72,1.65,1.72,616600,MYR
2014-02-07,1.72,1.72,1.69,1.71,638700,MYR
2014-02-10,1.72,1.73,1.71,1.72,429700,MYR
2014-02-11,1.73,1.76,1.72,1.74,2318900,MYR
2014-02-12,1.74,1.74,1.72,1.72,485700,MYR
2014-02-13,1.74,1.74,1.71,1.73,681900,MYR
2014-02-14,1.72,1.74,1.72,1.74,647200,MYR
2014-02-17,1.73,1.73,1.72,1.73,641200,MYR
2014-02-18,1.74,1.78,1.74,1.78,2113500,MYR
2014-02-19,1.79,1.88,1.78,1.88,4181600,MYR
2014-02-20,1.89,1.94,1.85,1.87,2969600,MYR
2014-02-21,1.89,1.92,1.87,1.91,1996700,MYR
2014-02-24,1.92,1.93,1.88,1.9,1257900,MYR
2014-02-25,1.91,1.91,1.88,1.88,536900,MYR
