Date,Open,High,Low,Close,Volume,Currency
2013-01-30,2.57,2.57,2.51,2.52,113000,MYR
2013-01-31,2.5,2.51,2.5,2.51,8000,MYR
2013-02-04,2.54,2.54,2.51,2.54,18100,MYR
2013-02-05,2.57,2.57,2.5,2.51,23400,MYR
2013-02-06,2.54,2.54,2.54,2.54,200,MYR
2013-02-08,2.55,2.56,2.52,2.52,9500,MYR
2013-02-13,2.52,2.55,2.5,2.55,31200,MYR
2013-02-14,2.55,2.55,2.51,2.51,7500,MYR
2013-02-15,2.51,2.52,2.51,2.52,1300,MYR
2013-02-18,2.5,2.54,2.5,2.54,9100,MYR
2013-02-19,2.5,2.53,2.5,2.51,30800,MYR
2013-02-20,2.51,2.52,2.5,2.5,35100,MYR
2013-02-21,2.5,2.52,2.5,2.51,26100,MYR
2013-02-22,2.5,2.52,2.5,2.5,9000,MYR
2013-02-25,2.47,2.49,2.47,2.48,21100,MYR
2013-02-26,2.49,2.49,2.48,2.49,11600,MYR
2013-02-27,2.48,2.48,2.48,2.48,2400,MYR
2013-02-28,2.48,2.48,2.48,2.48,22900,MYR
2013-03-01,2.49,2.55,2.49,2.55,5600,MYR
2013-03-04,2.5,2.54,2.48,2.54,1100,MYR
2013-03-05,2.5,2.54,2.48,2.5,2400,MYR
2013-03-06,2.5,2.56,2.49,2.54,14500,MYR
2013-03-07,2.51,2.53,2.51,2.51,33200,MYR
2013-03-08,2.51,2.51,2.5,2.51,22000,MYR
2013-03-11,2.5,2.52,2.5,2.51,15200,MYR
2013-03-12,2.52,2.52,2.51,2.51,9300,MYR
2013-03-13,2.5,2.5,2.5,2.5,3000,MYR
2013-03-14,2.52,2.53,2.52,2.52,9100,MYR
2013-03-15,2.53,2.53,2.52,2.52,15500,MYR
2013-03-18,2.5,2.5,2.5,2.5,2000,MYR
2013-03-19,2.51,2.51,2.51,2.51,1000,MYR
2013-03-20,2.52,2.52,2.51,2.52,7100,MYR
2013-03-21,2.51,2.52,2.51,2.51,26200,MYR
2013-03-22,2.53,2.53,2.5,2.52,17400,MYR
2013-03-25,2.52,2.52,2.47,2.47,57500,MYR
2013-03-26,2.48,2.52,2.48,2.52,5000,MYR
2013-03-27,2.52,2.52,2.49,2.51,30900,MYR
2013-03-28,2.5,2.52,2.5,2.51,62300,MYR
2013-03-29,2.52,2.52,2.51,2.52,63000,MYR
2013-04-01,2.5,2.51,2.48,2.48,29700,MYR
2013-04-02,2.52,2.52,2.49,2.49,2100,MYR
2013-04-03,2.49,2.53,2.47,2.48,122800,MYR
2013-04-04,2.48,2.51,2.47,2.5,103600,MYR
2013-04-05,2.51,2.51,2.49,2.49,67400,MYR
2013-04-08,2.49,2.52,2.49,2.52,30500,MYR
