Date,Open,High,Low,Close,Volume,Currency
2014-10-01,0.175,0.175,0.175,0.175,343430,MYR
2014-10-02,0.175,0.175,0.166,0.166,961710,MYR
2014-10-03,0.175,0.175,0.175,0.175,277140,MYR
2014-10-07,0.166,0.175,0.166,0.175,285770,MYR
2014-10-08,0.166,0.166,0.158,0.166,684000,MYR
2014-10-09,0.158,0.158,0.158,0.158,660000,MYR
2014-10-10,0.158,0.158,0.149,0.158,446290,MYR
2014-10-13,0.149,0.149,0.149,0.149,118740,MYR
2014-10-14,0.14,0.149,0.14,0.149,130860,MYR
2014-10-15,0.149,0.149,0.14,0.14,723540,MYR
2014-10-16,0.14,0.14,0.131,0.131,1059030,MYR
2014-10-17,0.131,0.149,0.131,0.149,324570,MYR
2014-10-20,0.149,0.149,0.149,0.149,1260,MYR
2014-10-21,0.14,0.14,0.131,0.14,78740,MYR
2014-10-23,0.14,0.149,0.14,0.149,297710,MYR
2014-10-24,0.14,0.14,0.14,0.14,905710,MYR
2014-10-27,0.14,0.149,0.14,0.149,197260,MYR
2014-10-28,0.14,0.149,0.14,0.149,357310,MYR
2014-10-29,0.149,0.149,0.14,0.14,664510,MYR
2014-10-30,0.149,0.158,0.149,0.149,2583710,MYR
2014-10-31,0.149,0.149,0.149,0.149,198970,MYR
2014-11-03,0.149,0.149,0.14,0.14,170740,MYR
2014-11-04,0.14,0.149,0.14,0.14,162860,MYR
2014-11-05,0.14,0.149,0.14,0.14,273710,MYR
2014-11-06,0.149,0.149,0.149,0.149,489940,MYR
2014-11-07,0.149,0.158,0.149,0.158,260110,MYR
2014-11-10,0.158,0.175,0.149,0.166,3019940,MYR
2014-11-11,0.166,0.166,0.158,0.166,1323430,MYR
2014-11-12,0.158,0.158,0.158,0.158,422860,MYR
2014-11-13,0.149,0.158,0.149,0.158,346230,MYR
2014-11-14,0.158,0.158,0.149,0.149,1005310,MYR
2014-11-17,0.149,0.149,0.14,0.14,165710,MYR
2014-11-18,0.149,0.149,0.14,0.14,357140,MYR
2014-11-19,0.149,0.158,0.149,0.158,435430,MYR
2014-11-20,0.149,0.158,0.149,0.158,271430,MYR
2014-11-21,0.149,0.158,0.149,0.158,371490,MYR
2014-11-24,0.149,0.158,0.149,0.158,834290,MYR
2014-11-25,0.149,0.158,0.149,0.149,314860,MYR
2014-11-26,0.149,0.158,0.149,0.158,1161830,MYR
2014-11-27,0.158,0.158,0.158,0.158,57140,MYR
2014-11-28,0.149,0.149,0.149,0.149,292630,MYR
2014-12-01,0.149,0.158,0.149,0.158,1326340,MYR
2014-12-02,0.149,0.149,0.149,0.149,498970,MYR
2014-12-03,0.149,0.158,0.149,0.158,3961490,MYR
2014-12-04,0.158,0.166,0.149,0.166,2060910,MYR
2014-12-05,0.166,0.193,0.166,0.193,7212460,MYR
2014-12-08,0.201,0.219,0.193,0.219,7064000,MYR
2014-12-09,0.21,0.21,0.201,0.201,5389890,MYR
2014-12-10,0.201,0.201,0.193,0.193,1945140,MYR
2014-12-11,0.193,0.201,0.193,0.193,1773660,MYR
2014-12-12,0.193,0.193,0.175,0.175,2324290,MYR
2014-12-15,0.175,0.175,0.158,0.166,2201430,MYR
2014-12-16,0.166,0.166,0.166,0.166,801140,MYR
2014-12-17,0.175,0.184,0.175,0.175,656290,MYR
2014-12-18,0.184,0.193,0.175,0.184,800340,MYR
2014-12-19,0.193,0.21,0.193,0.201,3713830,MYR
2014-12-22,0.201,0.21,0.193,0.21,2516740,MYR
2014-12-23,0.219,0.219,0.193,0.201,2219710,MYR
2014-12-24,0.193,0.201,0.193,0.193,2296230,MYR
2014-12-26,0.193,0.193,0.184,0.193,458570,MYR
2014-12-29,0.184,0.201,0.184,0.201,1528170,MYR
2014-12-30,0.193,0.201,0.184,0.193,1178400,MYR
2014-12-31,0.193,0.193,0.175,0.184,1175090,MYR
2015-01-02,0.184,0.184,0.175,0.184,273600,MYR
2015-01-05,0.184,0.184,0.175,0.175,1101490,MYR
2015-01-06,0.175,0.175,0.175,0.175,1011890,MYR
2015-01-07,0.184,0.193,0.184,0.193,1345430,MYR
2015-01-08,0.193,0.21,0.193,0.201,2373090,MYR
2015-01-09,0.201,0.201,0.184,0.193,743890,MYR
2015-01-12,0.193,0.193,0.184,0.193,1820910,MYR
2015-01-13,0.184,0.193,0.184,0.193,286860,MYR
2015-01-14,0.193,0.193,0.184,0.193,1486060,MYR
2015-01-15,0.184,0.184,0.184,0.184,297430,MYR
2015-01-16,0.184,0.193,0.184,0.184,677370,MYR
2015-01-19,0.184,0.184,0.184,0.184,19310,MYR
2015-01-20,0.193,0.193,0.184,0.184,586690,MYR
2015-01-21,0.184,0.193,0.184,0.184,151660,MYR
2015-01-22,0.184,0.193,0.184,0.184,215660,MYR
2015-01-23,0.193,0.201,0.193,0.201,3886060,MYR
2015-01-26,0.193,0.193,0.184,0.193,433710,MYR
2015-01-27,0.193,0.193,0.184,0.193,428740,MYR
2015-01-28,0.184,0.184,0.184,0.184,100000,MYR
2015-01-29,0.184,0.21,0.184,0.201,5879540,MYR
2015-01-30,0.201,0.21,0.201,0.21,501030,MYR
2015-02-04,0.21,0.21,0.201,0.21,2272110,MYR
2015-02-05,0.201,0.21,0.201,0.21,245370,MYR
2015-02-06,0.201,0.219,0.201,0.21,3496630,MYR
2015-02-09,0.219,0.219,0.21,0.21,2687660,MYR
2015-02-10,0.21,0.219,0.21,0.21,804060,MYR
2015-02-11,0.21,0.21,0.201,0.21,960970,MYR
2015-02-12,0.21,0.21,0.193,0.193,1123490,MYR
2015-02-13,0.201,0.21,0.193,0.201,549770,MYR
2015-02-16,0.21,0.219,0.201,0.21,1369140,MYR
2015-02-17,0.21,0.219,0.201,0.201,265710,MYR
2015-02-18,0.21,0.21,0.201,0.21,461540,MYR
2015-02-23,0.21,0.21,0.166,0.201,12456340,MYR
2015-02-24,0.201,0.21,0.193,0.21,2498340,MYR
2015-02-25,0.21,0.21,0.201,0.21,523710,MYR
2015-02-26,0.201,0.219,0.201,0.219,7988340,MYR
2015-02-27,0.219,0.219,0.201,0.21,2653140,MYR
2015-03-02,0.201,0.201,0.193,0.193,3002860,MYR
2015-03-03,0.193,0.193,0.193,0.193,770110,MYR
2015-03-04,0.193,0.21,0.193,0.201,2824060,MYR
2015-03-05,0.201,0.201,0.201,0.201,814340,MYR
2015-03-06,0.201,0.201,0.193,0.201,1178060,MYR
2015-03-09,0.193,0.21,0.193,0.21,2342690,MYR
2015-03-10,0.21,0.21,0.193,0.201,1451140,MYR
2015-03-11,0.201,0.201,0.193,0.201,794800,MYR
2015-03-12,0.201,0.201,0.193,0.201,464570,MYR
2015-03-13,0.201,0.28,0.201,0.271,60959140,MYR
2015-03-16,0.271,0.28,0.254,0.263,14714690,MYR
2015-03-17,0.263,0.263,0.228,0.236,6509200,MYR
2015-03-18,0.228,0.236,0.219,0.228,3937660,MYR
2015-03-19,0.228,0.289,0.228,0.271,26929830,MYR
2015-03-20,0.271,0.315,0.271,0.297,48181940,MYR
2015-03-23,0.297,0.315,0.289,0.289,19697430,MYR
2015-03-24,0.289,0.306,0.28,0.297,22628460,MYR
2015-03-25,0.297,0.315,0.297,0.297,20299710,MYR
2015-03-26,0.297,0.306,0.289,0.297,10988910,MYR
2015-03-27,0.297,0.297,0.28,0.28,6908170,MYR
2015-03-30,0.28,0.297,0.271,0.289,5562570,MYR
2015-03-31,0.289,0.297,0.28,0.289,8610460,MYR
2015-04-01,0.289,0.315,0.289,0.297,25556060,MYR
2015-04-02,0.297,0.297,0.289,0.297,3413370,MYR
2015-04-03,0.297,0.315,0.289,0.297,18193540,MYR
2015-04-06,0.297,0.297,0.289,0.289,7426290,MYR
2015-04-07,0.289,0.297,0.28,0.28,7313540,MYR
2015-04-08,0.289,0.289,0.28,0.28,3716860,MYR
2015-04-09,0.28,0.289,0.271,0.271,10943600,MYR
2015-04-10,0.28,0.297,0.28,0.289,10869200,MYR
2015-04-13,0.28,0.289,0.28,0.289,5984000,MYR
2015-04-14,0.289,0.289,0.271,0.28,3420740,MYR
2015-04-15,0.28,0.28,0.271,0.28,1376630,MYR
2015-04-16,0.271,0.28,0.263,0.28,6494630,MYR
2015-04-17,0.28,0.28,0.263,0.263,3908170,MYR
2015-04-20,0.263,0.28,0.263,0.28,5980510,MYR
2015-04-21,0.289,0.297,0.271,0.271,6099260,MYR
2015-04-22,0.28,0.289,0.271,0.28,2605830,MYR
2015-04-23,0.28,0.28,0.271,0.271,1791430,MYR
2015-04-24,0.28,0.289,0.271,0.28,8063140,MYR
2015-04-27,0.28,0.28,0.245,0.254,9917660,MYR
2015-04-28,0.254,0.254,0.236,0.245,4056340,MYR
2015-04-29,0.245,0.263,0.245,0.254,2525200,MYR
2015-04-30,0.245,0.245,0.236,0.236,1663370,MYR
2015-05-05,0.236,0.236,0.219,0.228,5237490,MYR
2015-05-06,0.228,0.236,0.219,0.219,1433140,MYR
2015-05-07,0.219,0.228,0.219,0.228,1245030,MYR
2015-05-08,0.228,0.236,0.228,0.228,1492460,MYR
2015-05-11,0.236,0.236,0.228,0.228,2277090,MYR
2015-05-12,0.228,0.228,0.219,0.228,1498910,MYR
2015-05-13,0.219,0.228,0.219,0.219,900570,MYR
2015-05-14,0.219,0.236,0.219,0.228,1127090,MYR
2015-05-15,0.228,0.228,0.219,0.228,1774060,MYR
2015-05-18,0.228,0.245,0.219,0.245,3384910,MYR
2015-05-19,0.245,0.245,0.228,0.228,1880740,MYR
2015-05-20,0.236,0.245,0.236,0.236,619430,MYR
2015-05-21,0.236,0.236,0.228,0.228,1130740,MYR
2015-05-22,0.228,0.228,0.219,0.219,159140,MYR
2015-05-25,0.219,0.219,0.201,0.201,2294510,MYR
2015-05-26,0.201,0.228,0.201,0.219,2296570,MYR
2015-05-27,0.21,0.219,0.201,0.219,645770,MYR
2015-05-28,0.21,0.219,0.201,0.21,384340,MYR
2015-05-29,0.201,0.21,0.201,0.21,1368290,MYR
2015-06-01,0.21,0.21,0.201,0.21,722970,MYR
2015-06-02,0.21,0.228,0.21,0.219,2687940,MYR
2015-06-03,0.21,0.21,0.201,0.21,347940,MYR
2015-06-04,0.21,0.21,0.201,0.201,202170,MYR
2015-06-05,0.201,0.21,0.201,0.21,97890,MYR
2015-06-08,0.201,0.201,0.201,0.201,178460,MYR
2015-06-09,0.21,0.219,0.21,0.21,2225490,MYR
2015-06-10,0.21,0.219,0.201,0.219,1555940,MYR
2015-06-11,0.21,0.219,0.21,0.21,656290,MYR
2015-06-12,0.21,0.21,0.201,0.21,642460,MYR
2015-06-15,0.201,0.201,0.193,0.201,1407600,MYR
2015-06-16,0.193,0.21,0.193,0.201,1344400,MYR
2015-06-17,0.201,0.201,0.193,0.201,388290,MYR
2015-06-18,0.193,0.193,0.193,0.193,204340,MYR
2015-06-19,0.193,0.201,0.193,0.193,1851260,MYR
2015-06-22,0.201,0.21,0.201,0.201,1919140,MYR
2015-06-23,0.201,0.201,0.193,0.193,468460,MYR
2015-06-24,0.193,0.201,0.193,0.193,549140,MYR
2015-06-25,0.193,0.193,0.184,0.193,976340,MYR
2015-06-26,0.193,0.193,0.184,0.193,148170,MYR
2015-06-29,0.184,0.184,0.175,0.175,876800,MYR
2015-06-30,0.175,0.184,0.175,0.175,909710,MYR
2015-07-01,0.175,0.184,0.175,0.184,174400,MYR
2015-07-02,0.184,0.184,0.175,0.175,62800,MYR
2015-07-03,0.184,0.184,0.175,0.175,752740,MYR
2015-07-06,0.175,0.175,0.166,0.175,373710,MYR
2015-07-07,0.166,0.184,0.166,0.175,910290,MYR
2015-07-08,0.175,0.175,0.166,0.175,1335940,MYR
2015-07-09,0.175,0.175,0.166,0.175,91540,MYR
2015-07-10,0.175,0.184,0.175,0.184,848230,MYR
2015-07-13,0.184,0.184,0.175,0.184,174860,MYR
2015-07-14,0.184,0.193,0.184,0.184,1003540,MYR
2015-07-15,0.184,0.184,0.175,0.184,149710,MYR
2015-07-16,0.175,0.175,0.175,0.175,8570,MYR
2015-07-20,0.184,0.184,0.184,0.184,173090,MYR
2015-07-21,0.184,0.184,0.184,0.184,263200,MYR
2015-07-22,0.184,0.201,0.184,0.201,1324690,MYR
2015-07-23,0.201,0.201,0.193,0.193,1253830,MYR
2015-07-24,0.193,0.193,0.193,0.193,476630,MYR
2015-07-27,0.201,0.201,0.193,0.201,254910,MYR
2015-07-28,0.193,0.193,0.184,0.184,997490,MYR
2015-07-29,0.184,0.184,0.184,0.184,151370,MYR
2015-07-30,0.184,0.184,0.175,0.184,314290,MYR
2015-07-31,0.184,0.184,0.184,0.184,89830,MYR
2015-08-03,0.184,0.193,0.184,0.193,200510,MYR
2015-08-04,0.184,0.184,0.184,0.184,88570,MYR
2015-08-05,0.193,0.193,0.193,0.193,2340,MYR
2015-08-06,0.175,0.184,0.175,0.184,114910,MYR
2015-08-07,0.175,0.175,0.166,0.166,595490,MYR
2015-08-10,0.175,0.175,0.158,0.166,1244910,MYR
2015-08-11,0.175,0.175,0.158,0.158,2388570,MYR
2015-08-12,0.158,0.158,0.149,0.158,1234290,MYR
2015-08-13,0.149,0.158,0.149,0.158,522290,MYR
2015-08-14,0.158,0.158,0.149,0.149,857940,MYR
2015-08-17,0.149,0.149,0.131,0.14,747370,MYR
2015-08-18,0.14,0.149,0.14,0.14,719890,MYR
2015-08-19,0.149,0.149,0.14,0.149,410860,MYR
2015-08-20,0.14,0.149,0.14,0.149,192570,MYR
2015-08-21,0.14,0.14,0.14,0.14,309490,MYR
2015-08-24,0.131,0.14,0.122,0.14,922110,MYR
2015-08-25,0.131,0.14,0.131,0.14,980000,MYR
2015-08-26,0.131,0.131,0.131,0.131,368000,MYR
2015-08-27,0.131,0.131,0.122,0.131,710230,MYR
2015-08-28,0.122,0.131,0.122,0.122,717770,MYR
2015-09-01,0.122,0.131,0.122,0.122,532230,MYR
2015-09-02,0.122,0.131,0.122,0.131,156860,MYR
2015-09-03,0.131,0.14,0.131,0.14,240060,MYR
2015-09-04,0.14,0.166,0.131,0.166,4727260,MYR
2015-09-07,0.158,0.175,0.149,0.175,798110,MYR
2015-09-08,0.175,0.175,0.166,0.175,228570,MYR
2015-09-09,0.166,0.166,0.158,0.166,375430,MYR
2015-09-10,0.166,0.193,0.166,0.193,6972110,MYR
2015-09-11,0.193,0.201,0.184,0.184,1208570,MYR
2015-09-14,0.184,0.193,0.175,0.193,1715030,MYR
2015-09-15,0.184,0.184,0.184,0.184,398340,MYR
2015-09-17,0.184,0.201,0.184,0.193,2506630,MYR
2015-09-18,0.193,0.21,0.193,0.201,1570570,MYR
2015-09-21,0.201,0.219,0.193,0.201,2092400,MYR
2015-09-22,0.21,0.21,0.201,0.201,1915310,MYR
2015-09-23,0.201,0.201,0.201,0.201,1064800,MYR
2015-09-25,0.201,0.21,0.201,0.21,1888000,MYR
2015-09-28,0.201,0.21,0.201,0.201,1134460,MYR
2015-09-29,0.201,0.201,0.193,0.201,1069140,MYR
2015-09-30,0.201,0.219,0.201,0.21,2532340,MYR
2015-10-01,0.21,0.219,0.21,0.21,857540,MYR
2015-10-02,0.21,0.219,0.201,0.201,2771540,MYR
2015-10-05,0.201,0.228,0.201,0.228,8708000,MYR
2015-10-06,0.228,0.245,0.228,0.245,9944910,MYR
2015-10-07,0.228,0.245,0.228,0.245,2620690,MYR
2015-10-08,0.236,0.245,0.236,0.245,4349140,MYR
2015-10-09,0.236,0.263,0.236,0.263,10095940,MYR
2015-10-12,0.254,0.254,0.236,0.245,3210630,MYR
2015-10-13,0.236,0.254,0.236,0.245,18714400,MYR
2015-10-15,0.245,0.254,0.245,0.245,9921260,MYR
2015-10-16,0.245,0.254,0.219,0.236,59200512,MYR
2015-10-19,0.236,0.245,0.201,0.21,60521712,MYR
2015-10-20,0.201,0.21,0.201,0.21,2807200,MYR
2015-10-21,0.201,0.219,0.184,0.184,38859712,MYR
2015-10-22,0.184,0.193,0.184,0.184,7644860,MYR
2015-10-23,0.184,0.193,0.175,0.184,7385710,MYR
2015-10-26,0.184,0.184,0.175,0.184,7690290,MYR
