Date,Open,High,Low,Close,Volume,Currency
2019-09-26,0.445,0.485,0.44,0.475,54325000,MYR
2019-09-27,0.475,0.485,0.45,0.46,20725700,MYR
2019-09-30,0.455,0.46,0.42,0.44,28113900,MYR
2019-10-01,0.44,0.46,0.435,0.45,15083300,MYR
2019-10-02,0.445,0.455,0.44,0.445,12548300,MYR
2019-10-03,0.435,0.445,0.43,0.435,15589100,MYR
2019-10-04,0.44,0.445,0.42,0.425,21216100,MYR
2019-10-07,0.425,0.43,0.405,0.415,13047100,MYR
2019-10-08,0.415,0.43,0.41,0.425,17639000,MYR
2019-10-09,0.42,0.43,0.415,0.42,7141100,MYR
2019-10-10,0.42,0.44,0.42,0.435,24816900,MYR
2019-10-11,0.44,0.455,0.44,0.455,27551300,MYR
2019-10-14,0.46,0.465,0.445,0.45,25722900,MYR
2019-10-15,0.45,0.45,0.435,0.44,14413300,MYR
2019-10-16,0.44,0.5,0.44,0.475,88331600,MYR
2019-10-17,0.485,0.5,0.48,0.485,30804300,MYR
2019-10-18,0.49,0.52,0.485,0.51,94291600,MYR
2019-10-21,0.52,0.54,0.52,0.54,66519500,MYR
2019-10-22,0.55,0.565,0.485,0.51,66912200,MYR
2019-10-23,0.515,0.53,0.505,0.52,17891700,MYR
2019-10-24,0.525,0.525,0.505,0.505,10156300,MYR
2019-10-25,0.505,0.52,0.495,0.51,15040500,MYR
2019-10-29,0.515,0.525,0.505,0.515,14457000,MYR
2019-10-30,0.515,0.52,0.51,0.51,6625900,MYR
2019-10-31,0.51,0.52,0.505,0.52,6980000,MYR
2019-11-01,0.515,0.525,0.505,0.505,8189100,MYR
2019-11-04,0.51,0.515,0.495,0.51,10547500,MYR
2019-11-05,0.515,0.56,0.505,0.555,56135000,MYR
2019-11-06,0.55,0.6,0.545,0.59,76911000,MYR
2019-11-07,0.59,0.6,0.58,0.585,21875500,MYR
2019-11-08,0.59,0.615,0.58,0.6,45207300,MYR
2019-11-11,0.605,0.61,0.58,0.585,17443900,MYR
2019-11-12,0.585,0.63,0.585,0.62,48481400,MYR
2019-11-13,0.63,0.635,0.61,0.625,35925900,MYR
2019-11-14,0.625,0.63,0.605,0.61,31999400,MYR
2019-11-15,0.61,0.615,0.59,0.595,12230300,MYR
2019-11-18,0.6,0.605,0.58,0.59,21923800,MYR
2019-11-19,0.585,0.59,0.56,0.57,23531000,MYR
2019-11-20,0.565,0.6,0.555,0.585,51259400,MYR
2019-11-21,0.585,0.59,0.565,0.57,16442100,MYR
2019-11-22,0.57,0.585,0.565,0.575,13173400,MYR
2019-11-25,0.58,0.58,0.54,0.54,19477400,MYR
2019-11-26,0.54,0.56,0.525,0.525,14542200,MYR
2019-11-27,0.525,0.54,0.52,0.525,8898800,MYR
2019-11-28,0.525,0.53,0.505,0.515,12177600,MYR
2019-11-29,0.51,0.51,0.495,0.505,8539700,MYR
2019-12-02,0.505,0.555,0.5,0.55,26051100,MYR
2019-12-03,0.54,0.56,0.54,0.55,14567400,MYR
2019-12-04,0.555,0.585,0.545,0.575,39292000,MYR
2019-12-05,0.58,0.585,0.56,0.56,18102900,MYR
2019-12-06,0.565,0.57,0.55,0.56,6693700,MYR
2019-12-09,0.565,0.585,0.56,0.56,18491200,MYR
2019-12-10,0.565,0.57,0.54,0.545,11402900,MYR
2019-12-11,0.545,0.555,0.535,0.545,5902400,MYR
2019-12-12,0.545,0.56,0.54,0.545,5459100,MYR
2019-12-13,0.55,0.55,0.535,0.535,4387700,MYR
2019-12-16,0.535,0.55,0.52,0.545,10553900,MYR
2019-12-17,0.55,0.56,0.54,0.545,9027900,MYR
2019-12-18,0.55,0.56,0.54,0.545,5530800,MYR
2019-12-19,0.545,0.545,0.53,0.53,3041700,MYR
2019-12-20,0.53,0.54,0.525,0.53,5195000,MYR
2019-12-23,0.53,0.54,0.525,0.525,4432900,MYR
2019-12-24,0.525,0.545,0.525,0.535,4982500,MYR
2019-12-26,0.54,0.545,0.53,0.545,9389400,MYR
2019-12-27,0.545,0.56,0.54,0.545,18039200,MYR
2019-12-30,0.55,0.55,0.535,0.535,6488300,MYR
2019-12-31,0.535,0.535,0.525,0.53,4894700,MYR
2020-01-02,0.535,0.545,0.53,0.54,18952600,MYR
2020-01-03,0.54,0.545,0.525,0.53,10903600,MYR
2020-01-06,0.525,0.53,0.52,0.52,7803200,MYR
2020-01-07,0.52,0.53,0.515,0.515,4944100,MYR
2020-01-08,0.51,0.51,0.495,0.5,11111900,MYR
2020-01-09,0.51,0.54,0.505,0.535,14867200,MYR
2020-01-10,0.535,0.54,0.515,0.53,8175400,MYR
2020-01-13,0.53,0.53,0.52,0.525,1919900,MYR
2020-01-14,0.525,0.535,0.515,0.52,5599900,MYR
2020-01-15,0.52,0.53,0.51,0.515,5623000,MYR
2020-01-16,0.515,0.525,0.51,0.515,9903600,MYR
2020-01-17,0.52,0.525,0.505,0.515,4865400,MYR
2020-01-20,0.515,0.525,0.51,0.515,7461600,MYR
2020-01-21,0.51,0.515,0.505,0.51,3968600,MYR
2020-01-22,0.505,0.51,0.5,0.505,3569200,MYR
2020-01-23,0.505,0.51,0.5,0.5,2596200,MYR
2020-01-24,0.5,0.515,0.495,0.505,4969400,MYR
2020-01-28,0.495,0.565,0.49,0.56,53970400,MYR
2020-01-29,0.57,0.575,0.53,0.535,20376900,MYR
2020-01-30,0.54,0.545,0.52,0.52,13295100,MYR
2020-01-31,0.53,0.53,0.495,0.505,15030700,MYR
2020-02-03,0.495,0.495,0.475,0.49,8698300,MYR
2020-02-04,0.495,0.51,0.495,0.505,5632100,MYR
2020-02-05,0.51,0.52,0.5,0.51,8325600,MYR
2020-02-06,0.515,0.52,0.505,0.515,4143100,MYR
2020-02-07,0.515,0.52,0.5,0.505,6518600,MYR
2020-02-10,0.5,0.51,0.49,0.495,10318600,MYR
2020-02-11,0.5,0.505,0.495,0.495,3465100,MYR
2020-02-12,0.495,0.5,0.495,0.5,4709700,MYR
2020-02-13,0.5,0.505,0.495,0.5,4920500,MYR
2020-02-14,0.495,0.5,0.495,0.495,2175700,MYR
2020-02-17,0.5,0.515,0.495,0.505,10506200,MYR
2020-02-18,0.505,0.505,0.49,0.5,3659200,MYR
2020-02-19,0.495,0.5,0.49,0.495,2210200,MYR
2020-02-20,0.5,0.53,0.49,0.505,29240400,MYR
2020-02-21,0.5,0.51,0.495,0.5,6607200,MYR
2020-02-24,0.495,0.52,0.49,0.5,19046200,MYR
2020-02-25,0.495,0.505,0.49,0.5,7406300,MYR
2020-02-26,0.495,0.515,0.495,0.5,11738400,MYR
2020-02-27,0.505,0.505,0.485,0.485,10414000,MYR
2020-02-28,0.47,0.475,0.44,0.45,10664700,MYR
2020-03-02,0.45,0.46,0.44,0.46,5664500,MYR
2020-03-03,0.47,0.475,0.45,0.455,4845000,MYR
2020-03-04,0.45,0.465,0.445,0.455,4963900,MYR
2020-03-05,0.46,0.465,0.445,0.445,3902900,MYR
2020-03-06,0.44,0.45,0.435,0.435,4045000,MYR
2020-03-09,0.425,0.425,0.355,0.355,12909300,MYR
2020-03-10,0.34,0.38,0.34,0.375,7705500,MYR
2020-03-11,0.375,0.385,0.355,0.355,8209600,MYR
2020-03-12,0.355,0.355,0.33,0.33,4450200,MYR
2020-03-13,0.3,0.31,0.275,0.295,10708900,MYR
2020-03-16,0.29,0.29,0.24,0.24,7639200,MYR
2020-03-17,0.2,0.255,0.2,0.245,6155700,MYR
2020-03-18,0.25,0.27,0.225,0.23,4592900,MYR
2020-03-19,0.22,0.23,0.205,0.21,7769900,MYR
2020-03-20,0.21,0.24,0.21,0.24,7351300,MYR
2020-03-23,0.22,0.225,0.21,0.215,3851900,MYR
2020-03-24,0.225,0.24,0.22,0.23,4524400,MYR
2020-03-25,0.25,0.275,0.225,0.27,17056700,MYR
2020-03-26,0.29,0.295,0.255,0.26,13331900,MYR
2020-03-27,0.275,0.28,0.26,0.26,8712500,MYR
2020-03-30,0.25,0.28,0.245,0.27,7465800,MYR
2020-03-31,0.28,0.285,0.27,0.275,9771800,MYR
2020-04-01,0.27,0.3,0.265,0.27,18462300,MYR
2020-04-02,0.265,0.285,0.265,0.28,6320200,MYR
2020-04-03,0.285,0.285,0.27,0.275,3035300,MYR
2020-04-06,0.275,0.32,0.27,0.31,19874400,MYR
2020-04-07,0.325,0.345,0.32,0.34,17910700,MYR
2020-04-08,0.33,0.34,0.315,0.315,12232200,MYR
2020-04-09,0.33,0.335,0.32,0.325,3419300,MYR
2020-04-10,0.33,0.33,0.305,0.315,4405300,MYR
2020-04-13,0.32,0.325,0.3,0.305,5264900,MYR
2020-04-14,0.31,0.325,0.305,0.32,6569000,MYR
2020-04-15,0.32,0.355,0.32,0.33,23070800,MYR
2020-04-16,0.33,0.365,0.325,0.365,19229600,MYR
2020-04-17,0.375,0.395,0.365,0.375,20357500,MYR
2020-04-20,0.38,0.39,0.36,0.36,14369400,MYR
2020-04-21,0.355,0.365,0.335,0.345,8680200,MYR
2020-04-22,0.33,0.375,0.325,0.375,12899400,MYR
2020-04-23,0.375,0.38,0.355,0.365,8533700,MYR
2020-04-24,0.36,0.375,0.355,0.36,5031000,MYR
2020-04-27,0.37,0.435,0.36,0.43,59855600,MYR
