Date,Open,High,Low,Close,Volume,Currency
2013-01-23,0.28,0.285,0.28,0.285,6300,MYR
2013-01-31,0.265,0.285,0.26,0.275,32200,MYR
2013-02-04,0.265,0.265,0.265,0.265,8000,MYR
2013-02-05,0.26,0.265,0.26,0.265,1900,MYR
2013-02-08,0.29,0.29,0.29,0.29,10000,MYR
2013-02-13,0.27,0.27,0.27,0.27,900,MYR
2013-02-14,0.27,0.27,0.27,0.27,58300,MYR
2013-02-19,0.27,0.27,0.27,0.27,36400,MYR
2013-02-20,0.31,0.31,0.31,0.31,20000,MYR
2013-02-22,0.27,0.27,0.27,0.27,100,MYR
2013-02-25,0.27,0.27,0.27,0.27,10000,MYR
2013-02-26,0.27,0.27,0.265,0.265,10300,MYR
2013-02-27,0.28,0.28,0.13,0.13,4400,MYR
2013-02-28,0.25,0.25,0.25,0.25,1100,MYR
2013-03-01,0.23,0.23,0.23,0.23,1500,MYR
2013-03-05,0.22,0.225,0.22,0.225,30300,MYR
2013-03-06,0.25,0.25,0.225,0.225,12700,MYR
2013-03-07,0.23,0.23,0.23,0.23,3000,MYR
2013-03-08,0.235,0.235,0.235,0.235,500,MYR
2013-03-11,0.235,0.235,0.235,0.235,6300,MYR
2013-03-12,0.235,0.235,0.235,0.235,8100,MYR
2013-03-13,0.24,0.24,0.24,0.24,6300,MYR
2013-03-14,0.24,0.24,0.24,0.24,16000,MYR
2013-03-15,0.245,0.245,0.245,0.245,1000,MYR
2013-03-18,0.24,0.28,0.24,0.25,27400,MYR
2013-03-19,0.24,0.24,0.24,0.24,2000,MYR
2013-03-20,0.24,0.24,0.24,0.24,900,MYR
2013-03-21,0.28,0.3,0.27,0.275,32900,MYR
2013-03-22,0.27,0.27,0.27,0.27,2500,MYR
2013-03-25,0.265,0.265,0.265,0.265,400,MYR
2013-03-27,0.27,0.27,0.27,0.27,1500,MYR
2013-03-29,0.27,0.3,0.27,0.3,5000,MYR
2013-04-02,0.26,0.26,0.26,0.26,1500,MYR
2013-04-03,0.26,0.26,0.24,0.24,12900,MYR
2013-04-04,0.29,0.29,0.29,0.29,5000,MYR
2013-04-08,0.29,0.3,0.29,0.3,15300,MYR
2013-04-09,0.3,0.3,0.3,0.3,15000,MYR
2013-04-11,0.3,0.3,0.3,0.3,10000,MYR
2013-04-12,0.28,0.29,0.28,0.29,25300,MYR
2013-04-15,0.3,0.3,0.295,0.295,10300,MYR
2013-04-16,0.3,0.3,0.29,0.3,153700,MYR
2013-04-17,0.29,0.29,0.29,0.29,1600,MYR
2013-04-18,0.26,0.27,0.26,0.27,1300,MYR
2013-04-22,0.27,0.3,0.27,0.3,38900,MYR
2013-04-23,0.28,0.28,0.28,0.28,1500,MYR
2013-04-26,0.27,0.3,0.27,0.28,3500,MYR
2013-04-29,0.27,0.275,0.27,0.275,5300,MYR
2013-04-30,0.275,0.29,0.27,0.29,14000,MYR
2013-05-02,0.285,0.285,0.285,0.285,14000,MYR
2013-05-03,0.27,0.27,0.27,0.27,6200,MYR
2013-05-06,0.27,0.27,0.27,0.27,300,MYR
2013-05-07,0.28,0.28,0.28,0.28,13000,MYR
