Date,Open,High,Low,Close,Volume,Currency
2014-09-18,0.23,0.235,0.225,0.225,285000,MYR
2014-09-22,0.225,0.235,0.225,0.23,187000,MYR
2014-09-23,0.225,0.23,0.225,0.225,97300,MYR
2014-09-24,0.225,0.225,0.225,0.225,100,MYR
2014-09-25,0.23,0.245,0.23,0.235,181400,MYR
2014-09-26,0.235,0.235,0.225,0.225,52000,MYR
2014-09-29,0.23,0.23,0.23,0.23,50000,MYR
2014-09-30,0.245,0.26,0.245,0.255,469400,MYR
2014-10-01,0.25,0.25,0.245,0.245,69000,MYR
2014-10-02,0.24,0.24,0.24,0.24,40000,MYR
2014-10-07,0.235,0.235,0.225,0.225,342000,MYR
2014-10-08,0.215,0.215,0.215,0.215,35000,MYR
2014-10-09,0.225,0.225,0.22,0.22,55100,MYR
2014-10-10,0.21,0.215,0.21,0.21,60300,MYR
2014-10-13,0.22,0.22,0.22,0.22,24900,MYR
2014-10-14,0.205,0.21,0.2,0.21,70000,MYR
2014-10-15,0.21,0.21,0.21,0.21,30000,MYR
2014-10-16,0.21,0.21,0.205,0.205,241100,MYR
2014-10-17,0.205,0.225,0.2,0.225,65900,MYR
2014-10-23,0.225,0.225,0.225,0.225,53000,MYR
2014-10-24,0.215,0.22,0.215,0.22,31000,MYR
2014-11-05,0.215,0.215,0.215,0.215,10000,MYR
2014-11-06,0.215,0.215,0.21,0.21,85000,MYR
2014-11-11,0.21,0.23,0.21,0.22,135000,MYR
2014-11-12,0.225,0.225,0.225,0.225,11100,MYR
2014-11-14,0.21,0.21,0.21,0.21,20000,MYR
2014-11-18,0.21,0.21,0.21,0.21,50000,MYR
2014-11-21,0.21,0.21,0.21,0.21,5000,MYR
2014-11-25,0.21,0.21,0.21,0.21,34000,MYR
2014-11-26,0.22,0.25,0.205,0.205,215000,MYR
2014-11-27,0.21,0.21,0.2,0.2,20000,MYR
2014-11-28,0.215,0.215,0.215,0.215,1000,MYR
2014-12-02,0.215,0.22,0.215,0.215,69500,MYR
2014-12-03,0.225,0.225,0.215,0.22,90000,MYR
2014-12-04,0.225,0.225,0.225,0.225,50000,MYR
2014-12-05,0.205,0.225,0.205,0.225,110000,MYR
2014-12-08,0.205,0.225,0.205,0.225,101000,MYR
2014-12-09,0.225,0.225,0.22,0.22,40000,MYR
2014-12-10,0.22,0.225,0.22,0.225,29900,MYR
2014-12-11,0.22,0.22,0.22,0.22,10000,MYR
2014-12-15,0.2,0.22,0.185,0.2,70100,MYR
2014-12-16,0.215,0.215,0.205,0.21,39000,MYR
2014-12-19,0.225,0.225,0.225,0.225,1000,MYR
2014-12-22,0.2,0.23,0.2,0.225,70000,MYR
2014-12-23,0.24,0.24,0.24,0.24,1000,MYR
2014-12-24,0.22,0.22,0.21,0.21,30000,MYR
2014-12-26,0.225,0.225,0.225,0.225,1000,MYR
2015-01-05,0.21,0.215,0.2,0.215,141100,MYR
2015-01-13,0.21,0.215,0.21,0.215,21000,MYR
2015-01-16,0.215,0.215,0.215,0.215,10000,MYR
2015-01-19,0.19,0.215,0.19,0.215,2200,MYR
2015-01-21,0.21,0.21,0.21,0.21,60000,MYR
2015-01-22,0.21,0.215,0.21,0.215,153000,MYR
2015-01-23,0.21,0.215,0.205,0.215,100100,MYR
2015-01-26,0.215,0.22,0.215,0.22,68000,MYR
2015-01-27,0.21,0.21,0.21,0.21,50000,MYR
2015-01-29,0.215,0.215,0.215,0.215,100,MYR
2015-02-06,0.21,0.225,0.21,0.225,130300,MYR
2015-02-09,0.205,0.23,0.205,0.23,90200,MYR
2015-02-10,0.22,0.22,0.215,0.215,31000,MYR
2015-02-11,0.215,0.215,0.215,0.215,10000,MYR
2015-02-23,0.21,0.21,0.21,0.21,10000,MYR
2015-02-24,0.22,0.22,0.22,0.22,30000,MYR
2015-02-26,0.44,0.44,0.44,0.44,5000,MYR
2015-03-02,0.41,0.41,0.41,0.41,9950,MYR
2015-03-03,0.42,0.44,0.4,0.41,27500,MYR
2015-03-04,0.4,0.41,0.38,0.41,96900,MYR
2015-03-06,0.36,0.36,0.36,0.36,14950,MYR
2015-03-09,0.4,0.4,0.36,0.38,70100,MYR
2015-03-10,0.36,0.4,0.36,0.4,99950,MYR
2015-03-11,0.38,0.38,0.37,0.37,15000,MYR
2015-03-12,0.38,0.44,0.37,0.42,92100,MYR
2015-03-13,0.42,0.47,0.42,0.42,103300,MYR
2015-03-18,0.44,0.46,0.43,0.43,166100,MYR
2015-03-19,0.4,0.4,0.4,0.4,33800,MYR
2015-03-20,0.4,0.43,0.4,0.43,20000,MYR
2015-03-24,0.42,0.42,0.42,0.42,28300,MYR
2015-03-25,0.4,0.4,0.39,0.39,25500,MYR
2015-03-26,0.4,0.4,0.4,0.4,12500,MYR
2015-03-30,0.42,0.53,0.42,0.44,1725400,MYR
2015-03-31,0.44,0.44,0.44,0.44,2000,MYR
2015-04-03,0.42,0.49,0.41,0.44,563750,MYR
2015-04-07,0.47,0.47,0.47,0.47,50,MYR
2015-04-09,0.42,0.42,0.41,0.41,162100,MYR
2015-04-10,0.4,0.4,0.4,0.4,1150,MYR
2015-04-13,0.4,0.41,0.4,0.41,61150,MYR
2015-04-15,0.4,0.41,0.4,0.41,90000,MYR
2015-04-16,0.41,0.41,0.41,0.41,20000,MYR
2015-04-17,0.43,0.43,0.42,0.42,27500,MYR
2015-04-22,0.41,0.41,0.39,0.41,140200,MYR
2015-04-23,0.41,0.41,0.41,0.41,12500,MYR
2015-04-24,0.41,0.42,0.39,0.39,147800,MYR
2015-04-28,0.39,0.41,0.39,0.39,40100,MYR
2015-04-30,0.39,0.39,0.38,0.38,45000,MYR
2015-05-07,0.37,0.39,0.36,0.38,8250,MYR
2015-05-11,0.38,0.38,0.38,0.38,3950,MYR
2015-05-13,0.37,0.37,0.37,0.37,750,MYR
2015-05-14,0.36,0.37,0.36,0.37,55000,MYR
2015-05-15,0.37,0.4,0.37,0.4,21150,MYR
2015-05-26,0.36,0.36,0.36,0.36,25000,MYR
2015-05-27,0.36,0.36,0.34,0.35,138650,MYR
2015-05-28,0.35,0.35,0.34,0.34,27000,MYR
2015-05-29,0.34,0.34,0.34,0.34,25000,MYR
2015-06-01,0.32,0.32,0.32,0.32,16500,MYR
2015-06-02,0.34,0.34,0.34,0.34,16500,MYR
2015-06-04,0.34,0.36,0.34,0.34,27050,MYR
2015-06-05,0.34,0.34,0.34,0.34,5100,MYR
2015-06-10,0.34,0.34,0.34,0.34,50,MYR
2015-06-11,0.32,0.32,0.3,0.3,532500,MYR
2015-06-12,0.31,0.31,0.3,0.3,82500,MYR
2015-06-16,0.27,0.3,0.27,0.3,45650,MYR
2015-06-17,0.3,0.3,0.3,0.3,7500,MYR
2015-06-22,0.28,0.3,0.28,0.3,30000,MYR
2015-06-23,0.3,0.32,0.3,0.32,5000,MYR
2015-06-24,0.28,0.29,0.28,0.29,140550,MYR
2015-06-25,0.28,0.29,0.26,0.28,173050,MYR
2015-06-26,0.28,0.29,0.28,0.29,25000,MYR
2015-06-29,0.29,0.29,0.29,0.29,50000,MYR
2015-06-30,0.29,0.29,0.28,0.28,18700,MYR
2015-07-01,0.29,0.3,0.28,0.3,2950,MYR
2015-07-02,0.3,0.3,0.3,0.3,5000,MYR
2015-07-03,0.28,0.3,0.28,0.3,21500,MYR
2015-07-06,0.28,0.28,0.27,0.27,345000,MYR
2015-07-07,0.28,0.28,0.27,0.27,269550,MYR
2015-07-08,0.27,0.29,0.27,0.29,5500,MYR
2015-07-09,0.28,0.28,0.27,0.27,304950,MYR
2015-07-10,0.27,0.27,0.26,0.26,293500,MYR
2015-07-13,0.26,0.27,0.26,0.27,265500,MYR
2015-07-15,0.26,0.28,0.26,0.28,15500,MYR
2015-07-16,0.28,0.29,0.28,0.29,15000,MYR
2015-07-21,0.26,0.26,0.25,0.26,284000,MYR
2015-07-22,0.27,0.27,0.27,0.27,10000,MYR
2015-07-23,0.26,0.26,0.25,0.25,80000,MYR
2015-07-24,0.26,0.27,0.26,0.27,25500,MYR
2015-07-27,0.26,0.26,0.26,0.26,17500,MYR
2015-07-28,0.25,0.25,0.24,0.25,140000,MYR
2015-07-30,0.27,0.27,0.25,0.27,2700,MYR
2015-07-31,0.27,0.27,0.25,0.25,14800,MYR
2015-08-03,0.27,0.27,0.27,0.27,500,MYR
2015-08-07,0.24,0.26,0.23,0.26,49000,MYR
2015-08-11,0.25,0.26,0.25,0.26,165300,MYR
2015-08-14,0.24,0.24,0.23,0.24,185000,MYR
2015-08-17,0.27,0.27,0.27,0.27,50,MYR
2015-08-18,0.23,0.24,0.21,0.24,8000,MYR
2015-08-24,0.23,0.25,0.2,0.25,70000,MYR
2015-08-25,0.23,0.23,0.2,0.21,30000,MYR
2015-08-26,0.21,0.22,0.2,0.2,30150,MYR
2015-08-27,0.22,0.22,0.2,0.2,60300,MYR
2015-08-28,0.2,0.22,0.2,0.2,15050,MYR
2015-09-01,0.2,0.21,0.2,0.21,112300,MYR
2015-09-02,0.2,0.21,0.2,0.21,60000,MYR
2015-09-03,0.19,0.19,0.18,0.19,237423,MYR
2015-09-04,0.18,0.19,0.161,0.18,404147,MYR
2015-09-07,0.161,0.18,0.161,0.18,79193,MYR
2015-09-08,0.18,0.18,0.161,0.161,195214,MYR
2015-09-09,0.161,0.18,0.161,0.18,185137,MYR
2015-09-11,0.161,0.161,0.161,0.161,3535,MYR
2015-09-14,0.152,0.171,0.152,0.171,142032,MYR
2015-09-15,0.161,0.161,0.161,0.161,60147,MYR
2015-09-17,0.161,0.161,0.161,0.161,388319,MYR
2015-09-18,0.161,0.161,0.161,0.161,31128,MYR
2015-09-22,0.161,0.161,0.161,0.161,237423,MYR
2015-09-23,0.152,0.152,0.152,0.152,163558,MYR
2015-09-29,0.152,0.152,0.152,0.152,222017,MYR
2015-09-30,0.142,0.142,0.142,0.142,158282,MYR
2015-10-01,0.152,0.152,0.152,0.152,31656,MYR
2015-10-05,0.152,0.152,0.152,0.152,10552,MYR
2015-10-06,0.152,0.152,0.142,0.152,522331,MYR
2015-10-07,0.152,0.19,0.152,0.19,876514,MYR
2015-10-08,0.199,0.218,0.19,0.19,470626,MYR
2015-10-09,0.19,0.199,0.19,0.199,204184,MYR
2015-10-12,0.199,0.208,0.199,0.199,420661,MYR
2015-10-13,0.218,0.284,0.218,0.265,2365475,MYR
2015-10-15,0.265,0.303,0.265,0.265,1388874,MYR
2015-10-16,0.275,0.284,0.256,0.256,397921,MYR
2015-10-19,0.246,0.246,0.246,0.246,10077,MYR
2015-10-20,0.237,0.237,0.218,0.227,110850,MYR
2015-10-21,0.208,0.227,0.199,0.227,267075,MYR
2015-10-22,0.237,0.237,0.199,0.208,66003,MYR
2015-10-26,0.208,0.227,0.208,0.218,195056,MYR
2015-10-27,0.227,0.275,0.227,0.256,764872,MYR
2015-10-28,0.256,0.256,0.256,0.256,168570,MYR
2015-10-29,0.256,0.265,0.256,0.256,217374,MYR
2015-10-30,0.256,0.265,0.256,0.265,45163,MYR
2015-11-02,0.256,0.265,0.246,0.265,58564,MYR
2015-11-03,0.237,0.246,0.237,0.246,31709,MYR
2015-11-04,0.237,0.246,0.227,0.227,210515,MYR
2015-11-05,0.227,0.237,0.227,0.237,241275,MYR
2015-11-06,0.246,0.265,0.237,0.256,195003,MYR
2015-11-09,0.256,0.256,0.237,0.237,90062,MYR
