Date,Open,High,Low,Close,Volume,Currency
2013-01-25,0.88,0.885,0.87,0.87,146700,MYR
2013-01-29,0.875,0.875,0.84,0.84,333800,MYR
2013-01-30,0.86,0.865,0.845,0.855,317800,MYR
2013-01-31,0.845,0.85,0.84,0.85,314100,MYR
2013-02-04,0.85,0.85,0.845,0.85,94400,MYR
2013-02-05,0.845,0.85,0.835,0.835,352600,MYR
2013-02-06,0.835,0.835,0.83,0.83,223200,MYR
2013-02-07,0.825,0.83,0.815,0.83,339600,MYR
2013-02-08,0.83,0.85,0.825,0.83,145700,MYR
2013-02-13,0.845,0.845,0.825,0.835,57100,MYR
2013-02-14,0.835,0.84,0.83,0.835,297900,MYR
2013-02-15,0.835,0.84,0.83,0.835,176300,MYR
2013-02-18,0.835,0.835,0.825,0.835,270400,MYR
2013-02-19,0.835,0.835,0.805,0.815,911100,MYR
2013-02-20,0.815,0.815,0.81,0.81,345900,MYR
2013-02-21,0.815,0.815,0.805,0.81,520500,MYR
2013-02-22,0.81,0.82,0.81,0.81,104400,MYR
2013-02-25,0.81,0.815,0.81,0.81,337400,MYR
2013-02-26,0.81,0.815,0.81,0.815,85700,MYR
2013-02-27,0.815,0.815,0.81,0.81,387500,MYR
2013-02-28,0.81,0.815,0.81,0.815,576500,MYR
2013-03-01,0.805,0.83,0.8,0.825,898300,MYR
2013-03-04,0.83,0.84,0.82,0.825,246900,MYR
2013-03-05,0.825,0.825,0.825,0.825,300700,MYR
2013-03-06,0.82,0.84,0.82,0.83,476300,MYR
2013-03-07,0.83,0.85,0.83,0.845,1004000,MYR
2013-03-08,0.845,0.87,0.845,0.86,565200,MYR
2013-03-11,0.87,0.91,0.87,0.905,3413800,MYR
2013-03-12,0.91,0.925,0.895,0.895,1968600,MYR
2013-03-13,0.885,0.885,0.87,0.875,878100,MYR
2013-03-14,0.875,0.885,0.865,0.875,800100,MYR
2013-03-15,0.88,0.895,0.875,0.895,848800,MYR
2013-03-18,0.895,0.895,0.865,0.88,646200,MYR
2013-03-19,0.87,0.985,0.87,0.945,15162200,MYR
2013-03-20,0.955,1.01,0.95,1.01,15094600,MYR
2013-03-21,1.02,1.26,1.01,1.17,59314000,MYR
2013-03-22,1.19,1.2,1.12,1.12,8613500,MYR
2013-03-25,1.14,1.15,1.08,1.11,2259000,MYR
2013-03-26,1.11,1.19,1.11,1.17,6954100,MYR
2013-03-27,1.18,1.23,1.17,1.19,10958100,MYR
2013-03-28,1.2,1.24,1.17,1.22,13568500,MYR
2013-03-29,1.22,1.24,1.2,1.22,6809700,MYR
2013-04-01,1.22,1.23,1.19,1.2,2814100,MYR
2013-04-02,1.2,1.28,1.2,1.25,11498300,MYR
2013-04-03,1.26,1.28,1.15,1.22,14712500,MYR
2013-04-04,1.23,1.33,1.22,1.29,15206800,MYR
2013-04-05,1.3,1.3,1.25,1.27,7847300,MYR
2013-04-08,1.25,1.29,1.24,1.24,5718100,MYR
2013-04-09,1.24,1.26,1.23,1.23,5288300,MYR
2013-04-10,1.23,1.24,1.18,1.2,6506800,MYR
2013-04-11,1.2,1.21,1.16,1.17,3892500,MYR
2013-04-12,1.17,1.2,1.14,1.17,5119400,MYR
2013-04-15,1.17,1.17,1.13,1.13,2071200,MYR
2013-04-16,1.12,1.18,1.11,1.17,3461600,MYR
2013-04-17,1.18,1.21,1.16,1.2,6862100,MYR
2013-04-18,1.19,1.2,1.16,1.17,1627500,MYR
2013-04-19,1.17,1.17,1.16,1.16,662300,MYR
2013-04-22,1.18,1.18,1.13,1.15,1576600,MYR
2013-04-23,1.14,1.15,1.12,1.12,1469400,MYR
2013-04-24,1.12,1.14,1.12,1.12,733800,MYR
2013-04-25,1.12,1.15,1.11,1.12,816400,MYR
2013-04-26,1.13,1.15,1.12,1.12,1964000,MYR
2013-04-29,1.13,1.15,1.12,1.14,855500,MYR
2013-04-30,1.13,1.13,1.12,1.12,756900,MYR
2013-05-02,1.13,1.14,1.09,1.11,1560700,MYR
2013-05-03,1.11,1.13,1.06,1.1,2747700,MYR
2013-05-06,1.17,1.22,1.16,1.22,7098900,MYR
2013-05-07,1.23,1.28,1.2,1.25,5484100,MYR
2013-05-08,1.26,1.26,1.22,1.25,4332100,MYR
2013-05-09,1.24,1.36,1.24,1.33,10592200,MYR
2013-05-10,1.33,1.38,1.31,1.36,3556800,MYR
2013-05-13,1.37,1.45,1.37,1.42,5528600,MYR
2013-05-14,1.43,1.45,1.38,1.38,2269700,MYR
2013-05-15,1.4,1.43,1.39,1.39,1611400,MYR
2013-05-16,1.41,1.41,1.36,1.39,1796000,MYR
2013-05-17,1.39,1.41,1.37,1.4,1419500,MYR
2013-05-20,1.38,1.46,1.38,1.45,3799100,MYR
2013-05-21,1.47,1.48,1.42,1.42,2336400,MYR
2013-05-22,1.44,1.44,1.37,1.38,1509200,MYR
2013-05-23,1.38,1.39,1.3,1.33,2067200,MYR
2013-05-27,1.35,1.38,1.31,1.37,1095300,MYR
2013-05-28,1.35,1.46,1.35,1.45,3775400,MYR
2013-05-29,1.45,1.47,1.45,1.46,3380400,MYR
2013-05-30,1.45,1.45,1.42,1.43,889600,MYR
2013-05-31,1.44,1.45,1.4,1.43,625000,MYR
2013-06-03,1.45,1.46,1.41,1.41,2301500,MYR
2013-06-04,1.43,1.44,1.39,1.43,1724100,MYR
2013-06-05,1.43,1.44,1.41,1.42,1389700,MYR
2013-06-06,1.43,1.43,1.38,1.38,963500,MYR
2013-06-07,1.39,1.43,1.39,1.43,1856100,MYR
2013-06-10,1.45,1.48,1.43,1.45,2169000,MYR
2013-06-11,1.45,1.46,1.42,1.42,677000,MYR
2013-06-12,1.42,1.43,1.4,1.42,992800,MYR
2013-06-13,1.41,1.41,1.33,1.35,1780100,MYR
2013-06-14,1.38,1.4,1.36,1.37,2811100,MYR
