Date,Open,High,Low,Close,Volume,Currency
2013-02-15,0.14,0.14,0.14,0.14,171000,MYR
2013-02-18,0.14,0.14,0.14,0.14,180000,MYR
2013-02-19,0.14,0.14,0.14,0.14,30000,MYR
2013-02-21,0.14,0.14,0.14,0.14,10000,MYR
2013-02-22,0.135,0.14,0.135,0.14,144000,MYR
2013-02-25,0.14,0.14,0.14,0.14,391900,MYR
2013-02-26,0.135,0.135,0.135,0.135,35000,MYR
2013-02-27,0.135,0.14,0.135,0.135,444500,MYR
2013-02-28,0.135,0.135,0.13,0.135,857100,MYR
2013-03-01,0.14,0.14,0.135,0.135,87200,MYR
2013-03-04,0.135,0.135,0.135,0.135,26000,MYR
2013-03-05,0.135,0.135,0.135,0.135,79000,MYR
2013-03-06,0.135,0.135,0.135,0.135,73100,MYR
2013-03-07,0.135,0.145,0.135,0.14,888400,MYR
2013-03-08,0.145,0.145,0.135,0.14,137000,MYR
2013-03-12,0.14,0.14,0.14,0.14,30000,MYR
2013-03-13,0.14,0.145,0.14,0.145,384600,MYR
2013-03-14,0.14,0.14,0.135,0.135,81000,MYR
2013-03-15,0.135,0.145,0.135,0.145,33200,MYR
2013-03-18,0.145,0.145,0.135,0.14,84800,MYR
2013-03-19,0.14,0.14,0.135,0.135,55700,MYR
2013-03-20,0.135,0.14,0.135,0.135,64900,MYR
2013-03-21,0.14,0.15,0.14,0.145,492500,MYR
2013-03-22,0.145,0.145,0.14,0.145,419000,MYR
2013-03-25,0.145,0.145,0.145,0.145,181900,MYR
2013-03-26,0.14,0.14,0.14,0.14,107100,MYR
2013-03-27,0.14,0.145,0.14,0.145,271700,MYR
2013-03-28,0.145,0.15,0.145,0.145,118800,MYR
2013-03-29,0.145,0.145,0.14,0.14,176800,MYR
2013-04-01,0.14,0.145,0.14,0.145,243200,MYR
2013-04-02,0.14,0.145,0.14,0.145,413100,MYR
2013-04-03,0.145,0.145,0.14,0.145,191100,MYR
2013-04-04,0.145,0.145,0.145,0.145,35000,MYR
2013-04-05,0.14,0.155,0.14,0.155,3293100,MYR
2013-04-08,0.15,0.15,0.145,0.15,371800,MYR
2013-04-09,0.15,0.15,0.145,0.145,356000,MYR
2013-04-10,0.145,0.145,0.145,0.145,626000,MYR
2013-04-11,0.145,0.145,0.14,0.14,430000,MYR
2013-04-12,0.145,0.15,0.145,0.15,20000,MYR
2013-04-15,0.15,0.15,0.14,0.145,35500,MYR
2013-04-16,0.14,0.145,0.14,0.145,427500,MYR
2013-04-17,0.145,0.145,0.145,0.145,90300,MYR
2013-04-18,0.15,0.15,0.145,0.15,145300,MYR
2013-04-19,0.15,0.155,0.145,0.15,1112000,MYR
2013-04-22,0.15,0.15,0.15,0.15,36600,MYR
2013-04-23,0.145,0.145,0.14,0.14,385500,MYR
2013-04-24,0.145,0.145,0.14,0.145,389000,MYR
2013-04-25,0.145,0.145,0.14,0.145,286200,MYR
2013-04-26,0.145,0.145,0.145,0.145,60000,MYR
2013-04-29,0.14,0.14,0.14,0.14,434700,MYR
2013-04-30,0.14,0.14,0.14,0.14,423700,MYR
2013-05-02,0.14,0.14,0.135,0.14,428000,MYR
2013-05-03,0.14,0.14,0.14,0.14,197000,MYR
2013-05-06,0.145,0.145,0.14,0.145,135800,MYR
2013-05-07,0.145,0.15,0.14,0.15,217000,MYR
2013-05-08,0.145,0.145,0.145,0.145,187200,MYR
2013-05-09,0.145,0.15,0.145,0.15,120000,MYR
2013-05-10,0.15,0.165,0.15,0.16,1188500,MYR
2013-05-13,0.16,0.17,0.16,0.165,4120700,MYR
2013-05-14,0.17,0.18,0.16,0.165,7054600,MYR
2013-05-15,0.165,0.17,0.16,0.165,1091600,MYR
2013-05-16,0.165,0.165,0.16,0.16,844000,MYR
2013-05-17,0.165,0.175,0.165,0.175,1895100,MYR
2013-05-20,0.175,0.18,0.17,0.175,4159700,MYR
2013-05-21,0.18,0.185,0.175,0.185,2428500,MYR
2013-05-22,0.185,0.185,0.17,0.17,2596400,MYR
2013-05-23,0.175,0.175,0.165,0.17,1643000,MYR
2013-05-27,0.17,0.17,0.165,0.165,305000,MYR
2013-05-28,0.17,0.175,0.17,0.175,1256500,MYR
2013-05-29,0.175,0.175,0.17,0.17,1004000,MYR
2013-05-30,0.17,0.175,0.17,0.17,308000,MYR
