Date,Open,High,Low,Close,Volume,Currency
2013-03-12,0.395,0.405,0.395,0.403,3181200,MYR
2013-03-13,0.398,0.4,0.393,0.393,727600,MYR
2013-03-14,0.398,0.415,0.395,0.407,3910400,MYR
2013-03-15,0.407,0.412,0.4,0.403,1285400,MYR
2013-03-18,0.4,0.4,0.395,0.4,217200,MYR
2013-03-19,0.395,0.4,0.395,0.4,344000,MYR
2013-03-20,0.4,0.405,0.398,0.4,375200,MYR
2013-03-21,0.39,0.4,0.39,0.398,373000,MYR
2013-03-22,0.395,0.4,0.393,0.393,714000,MYR
2013-03-25,0.395,0.4,0.395,0.398,445800,MYR
2013-03-26,0.4,0.4,0.395,0.398,733000,MYR
2013-03-27,0.398,0.403,0.395,0.4,658400,MYR
2013-03-28,0.4,0.403,0.4,0.4,146000,MYR
2013-03-29,0.4,0.407,0.4,0.407,1097000,MYR
2013-04-01,0.405,0.41,0.403,0.41,436600,MYR
2013-04-02,0.412,0.425,0.41,0.415,3314000,MYR
2013-04-03,0.42,0.42,0.398,0.41,2964200,MYR
2013-04-04,0.412,0.412,0.407,0.412,795200,MYR
2013-04-05,0.412,0.425,0.412,0.425,3987200,MYR
2013-04-08,0.427,0.44,0.422,0.435,6706000,MYR
2013-04-09,0.44,0.445,0.432,0.435,2142200,MYR
2013-04-10,0.43,0.432,0.425,0.43,949800,MYR
2013-04-11,0.427,0.432,0.427,0.43,1112000,MYR
2013-04-12,0.425,0.427,0.42,0.42,1928800,MYR
2013-04-15,0.42,0.422,0.415,0.417,438000,MYR
2013-04-16,0.415,0.417,0.412,0.417,360600,MYR
2013-04-17,0.417,0.422,0.417,0.42,702800,MYR
2013-04-18,0.42,0.432,0.42,0.43,1219000,MYR
2013-04-19,0.438,0.453,0.432,0.45,10466600,MYR
2013-04-22,0.453,0.46,0.443,0.445,7496600,MYR
2013-04-23,0.445,0.448,0.43,0.432,2787600,MYR
2013-04-24,0.435,0.443,0.432,0.435,705400,MYR
2013-04-25,0.432,0.435,0.427,0.435,1194000,MYR
2013-04-26,0.435,0.438,0.43,0.438,2232600,MYR
2013-04-29,0.435,0.435,0.425,0.425,4867600,MYR
2013-04-30,0.425,0.425,0.417,0.417,2579200,MYR
2013-05-02,0.417,0.417,0.405,0.412,2087800,MYR
2013-05-03,0.403,0.427,0.403,0.42,4597200,MYR
2013-05-06,0.445,0.48,0.443,0.477,15738600,MYR
2013-05-07,0.48,0.555,0.472,0.54,19730800,MYR
2013-05-08,0.54,0.54,0.51,0.52,7249400,MYR
2013-05-09,0.535,0.64,0.535,0.63,15365200,MYR
2013-05-10,0.625,0.64,0.585,0.59,11291600,MYR
2013-05-13,0.6,0.62,0.6,0.62,4038800,MYR
2013-05-14,0.615,0.62,0.6,0.615,3548200,MYR
2013-05-15,0.615,0.675,0.615,0.665,8249000,MYR
2013-05-16,0.675,0.685,0.645,0.665,5786000,MYR
2013-05-17,0.67,0.67,0.655,0.665,1638400,MYR
2013-05-20,0.67,0.695,0.655,0.69,5076800,MYR
2013-05-21,0.695,0.7,0.68,0.69,3093400,MYR
2013-05-22,0.69,0.69,0.655,0.66,3226800,MYR
2013-05-23,0.66,0.675,0.64,0.65,2184800,MYR
2013-05-27,0.655,0.655,0.645,0.645,1653800,MYR
2013-05-28,0.645,0.685,0.645,0.675,2811200,MYR
2013-05-29,0.675,0.7,0.67,0.675,1109600,MYR
2013-05-30,0.675,0.675,0.66,0.67,1594600,MYR
2013-05-31,0.665,0.68,0.66,0.675,2800600,MYR
2013-06-03,0.67,0.68,0.655,0.675,3431200,MYR
2013-06-04,0.66,0.665,0.655,0.66,1176400,MYR
2013-06-05,0.655,0.66,0.655,0.655,1307200,MYR
2013-06-06,0.655,0.675,0.65,0.655,3958800,MYR
2013-06-07,0.66,0.795,0.66,0.795,18070400,MYR
2013-06-10,0.785,0.805,0.76,0.77,5697800,MYR
2013-06-11,0.77,0.84,0.77,0.84,8424000,MYR
2013-06-12,0.83,0.85,0.785,0.79,7452800,MYR
2013-06-13,0.785,0.785,0.71,0.735,9014400,MYR
2013-06-14,0.77,0.775,0.74,0.755,5377600,MYR
2013-06-17,0.75,0.76,0.75,0.76,1499000,MYR
2013-06-18,0.76,0.765,0.75,0.765,2141000,MYR
2013-06-19,0.77,0.775,0.755,0.77,2821600,MYR
2013-06-20,0.765,0.765,0.755,0.76,3473400,MYR
2013-06-21,0.755,0.835,0.74,0.82,8010400,MYR
2013-06-24,0.82,0.82,0.76,0.765,4641600,MYR
2013-06-25,0.76,0.78,0.745,0.765,5344800,MYR
2013-06-26,0.77,0.78,0.765,0.77,1835600,MYR
2013-06-27,0.78,0.79,0.765,0.77,2603000,MYR
2013-06-28,0.775,0.785,0.765,0.775,2218800,MYR
2013-07-01,0.775,0.775,0.755,0.76,3183000,MYR
2013-07-02,0.755,0.77,0.755,0.765,1193000,MYR
2013-07-03,0.76,0.825,0.76,0.79,6906000,MYR
2013-07-04,0.8,0.88,0.8,0.86,9924400,MYR
2013-07-05,0.865,0.9,0.86,0.88,5975000,MYR
2013-07-08,0.885,0.91,0.88,0.885,5526800,MYR
2013-07-09,0.88,0.935,0.88,0.915,7410000,MYR
