Date,Open,High,Low,Close,Volume,Currency
2014-06-30,1.06,1.07,1.05,1.05,320400,MYR
2014-07-01,1.07,1.07,1.0,1.02,219200,MYR
2014-07-02,1.03,1.03,1.02,1.02,53000,MYR
2014-07-03,1.02,1.03,1.02,1.02,171600,MYR
2014-07-04,1.01,1.03,1.0,1.03,263100,MYR
2014-07-07,1.05,1.06,1.02,1.03,709400,MYR
2014-07-08,1.03,1.03,1.02,1.03,93000,MYR
2014-07-09,1.02,1.02,1.01,1.02,133500,MYR
2014-07-10,1.02,1.02,1.01,1.01,167800,MYR
2014-07-11,1.01,1.02,1.0,1.02,219400,MYR
2014-07-14,1.02,1.02,1.0,1.02,102000,MYR
2014-07-16,1.01,1.02,1.0,1.02,81000,MYR
2014-07-17,1.01,1.02,1.0,1.02,139500,MYR
2014-07-18,1.0,1.02,0.99,1.02,185800,MYR
2014-07-21,1.01,1.01,1.0,1.01,287300,MYR
2014-07-22,1.0,1.0,1.0,1.0,30000,MYR
2014-07-23,1.0,1.0,1.0,1.0,151000,MYR
2014-07-24,0.995,0.995,0.995,0.995,89600,MYR
2014-07-25,1.0,1.01,0.99,0.995,365400,MYR
2014-07-30,0.995,0.995,0.99,0.99,103000,MYR
2014-07-31,0.985,0.985,0.965,0.975,429000,MYR
2014-08-01,0.965,0.97,0.955,0.955,314000,MYR
2014-08-04,0.95,0.955,0.94,0.94,412200,MYR
2014-08-05,0.94,0.99,0.94,0.985,154900,MYR
2014-08-06,0.985,0.995,0.94,0.94,429200,MYR
2014-08-07,0.945,0.955,0.94,0.955,263800,MYR
2014-08-08,0.95,0.95,0.925,0.93,538300,MYR
2014-08-11,0.93,0.93,0.925,0.93,201600,MYR
2014-08-12,0.93,0.93,0.92,0.92,179000,MYR
2014-08-13,0.93,0.96,0.92,0.94,615000,MYR
2014-08-14,0.95,0.95,0.92,0.925,289500,MYR
2014-08-15,0.93,0.93,0.92,0.92,187800,MYR
2014-08-18,0.92,0.925,0.92,0.92,133000,MYR
2014-08-19,0.92,0.93,0.91,0.93,185500,MYR
2014-08-20,0.93,0.94,0.92,0.92,184500,MYR
2014-08-21,0.91,0.92,0.91,0.92,76000,MYR
2014-08-22,0.935,0.94,0.93,0.935,177000,MYR
2014-08-25,0.92,0.92,0.92,0.92,1000,MYR
2014-08-26,0.915,0.93,0.915,0.92,59000,MYR
2014-08-27,0.92,0.93,0.91,0.925,155100,MYR
2014-08-28,0.925,0.925,0.91,0.915,119000,MYR
2014-08-29,0.91,0.91,0.91,0.91,10000,MYR
2014-09-02,0.91,0.91,0.905,0.91,25000,MYR
2014-09-03,0.91,0.91,0.91,0.91,52000,MYR
2014-09-04,0.91,0.92,0.89,0.92,151000,MYR
2014-09-05,0.92,0.92,0.92,0.92,1000,MYR
2014-09-08,0.91,0.92,0.9,0.9,18000,MYR
2014-09-09,0.905,0.905,0.905,0.905,10000,MYR
2014-09-10,0.91,0.92,0.91,0.915,90000,MYR
2014-09-11,0.905,0.905,0.9,0.9,73000,MYR
2014-09-12,0.9,0.9,0.9,0.9,2000,MYR
2014-09-15,0.89,0.9,0.88,0.895,32000,MYR
2014-09-18,0.88,0.88,0.86,0.86,36000,MYR
2014-09-19,0.865,0.87,0.865,0.87,26000,MYR
2014-09-22,0.87,0.885,0.82,0.865,41000,MYR
2014-09-23,0.86,0.86,0.86,0.86,78000,MYR
2014-09-24,0.855,0.89,0.85,0.87,211000,MYR
2014-09-25,0.885,0.945,0.87,0.915,477100,MYR
2014-09-26,0.9,0.9,0.9,0.9,182000,MYR
2014-09-29,0.9,0.9,0.88,0.88,236000,MYR
2014-09-30,0.89,0.89,0.88,0.88,94600,MYR
2014-10-01,0.87,0.87,0.87,0.87,68000,MYR
2014-10-02,0.845,0.88,0.84,0.88,30000,MYR
2014-10-03,0.84,0.89,0.84,0.85,11900,MYR
2014-10-07,0.85,0.87,0.84,0.84,48000,MYR
2014-10-08,0.82,0.82,0.8,0.8,253600,MYR
2014-10-09,0.8,0.815,0.8,0.8,242000,MYR
2014-10-10,0.79,0.8,0.78,0.8,35100,MYR
2014-10-13,0.78,0.78,0.77,0.77,34300,MYR
2014-10-14,0.78,0.785,0.77,0.775,461800,MYR
2014-10-15,0.77,0.8,0.77,0.78,166000,MYR
2014-10-16,0.775,0.78,0.75,0.75,549900,MYR
2014-10-17,0.74,0.76,0.74,0.76,226000,MYR
2014-10-20,0.77,0.78,0.77,0.775,134000,MYR
2014-10-21,0.8,0.805,0.78,0.805,80800,MYR
2014-10-23,0.8,0.82,0.8,0.8,204000,MYR
2014-10-24,0.81,0.81,0.8,0.8,130000,MYR
2014-10-27,0.8,0.81,0.8,0.8,123000,MYR
2014-10-28,0.8,0.82,0.8,0.81,111200,MYR
2014-10-29,0.82,0.835,0.82,0.835,72100,MYR
2014-10-30,0.815,0.88,0.815,0.88,82900,MYR
2014-10-31,0.84,0.86,0.835,0.84,19100,MYR
2014-11-03,0.885,0.89,0.855,0.855,77500,MYR
2014-11-04,0.85,0.855,0.85,0.855,95000,MYR
2014-11-05,0.875,0.875,0.865,0.865,12000,MYR
2014-11-06,0.86,0.86,0.86,0.86,60000,MYR
2014-11-07,0.87,0.87,0.86,0.865,46000,MYR
2014-11-10,0.86,0.88,0.86,0.88,25000,MYR
2014-11-11,0.87,0.88,0.86,0.86,55000,MYR
2014-11-12,0.86,0.86,0.86,0.86,22000,MYR
2014-11-13,0.86,0.86,0.85,0.85,25000,MYR
2014-11-14,0.85,0.87,0.85,0.87,26500,MYR
2014-11-17,0.86,0.865,0.85,0.85,110500,MYR
2014-11-18,0.85,0.85,0.845,0.845,103000,MYR
2014-11-19,0.85,0.85,0.85,0.85,35200,MYR
2014-11-20,0.84,0.85,0.84,0.85,145000,MYR
2014-11-21,0.84,0.84,0.835,0.835,70000,MYR
2014-11-24,0.84,0.84,0.84,0.84,85500,MYR
2014-11-25,0.87,0.87,0.85,0.87,59500,MYR
2014-11-26,0.87,0.875,0.85,0.86,79600,MYR
2014-11-27,0.85,0.85,0.845,0.845,45000,MYR
2014-11-28,0.86,0.86,0.84,0.85,124000,MYR
2014-12-01,0.815,0.815,0.8,0.8,67000,MYR
2014-12-02,0.8,0.83,0.78,0.83,117700,MYR
2014-12-03,0.83,0.83,0.81,0.81,132500,MYR
2014-12-04,0.82,0.82,0.8,0.81,114000,MYR
2014-12-05,0.81,0.81,0.805,0.81,95400,MYR
2014-12-08,0.805,0.805,0.805,0.805,32000,MYR
2014-12-09,0.8,0.8,0.8,0.8,8000,MYR
2014-12-10,0.8,0.815,0.8,0.815,155000,MYR
2014-12-11,0.8,0.81,0.8,0.81,60000,MYR
2014-12-12,0.81,0.815,0.8,0.8,78000,MYR
2014-12-15,0.79,0.79,0.78,0.78,67000,MYR
2014-12-16,0.75,0.75,0.73,0.73,54000,MYR
2014-12-17,0.735,0.76,0.73,0.76,64000,MYR
2014-12-19,0.76,0.82,0.76,0.82,50000,MYR
2014-12-22,0.81,0.82,0.81,0.82,75000,MYR
2014-12-23,0.82,0.855,0.82,0.855,110800,MYR
2014-12-24,0.83,0.85,0.83,0.85,190000,MYR
2014-12-26,0.84,0.9,0.84,0.9,323000,MYR
2014-12-29,0.88,0.92,0.86,0.86,130000,MYR
2014-12-30,0.86,0.86,0.86,0.86,105400,MYR
2014-12-31,0.86,0.895,0.85,0.895,86600,MYR
2015-01-02,0.86,0.86,0.83,0.83,80000,MYR
2015-01-05,0.84,0.88,0.84,0.88,30000,MYR
2015-01-06,0.85,0.86,0.85,0.86,93100,MYR
2015-01-07,0.85,0.86,0.85,0.86,40000,MYR
2015-01-08,0.86,0.87,0.86,0.87,40000,MYR
2015-01-09,0.88,0.88,0.88,0.88,15000,MYR
2015-01-12,0.88,0.88,0.86,0.88,29000,MYR
2015-01-13,0.87,0.895,0.86,0.895,23000,MYR
2015-01-14,0.895,0.895,0.895,0.895,4600,MYR
2015-01-16,0.855,0.89,0.855,0.89,77500,MYR
2015-01-20,0.84,0.89,0.84,0.89,19000,MYR
2015-01-21,0.89,0.89,0.89,0.89,2000,MYR
2015-01-22,0.885,0.89,0.86,0.89,52600,MYR
2015-01-23,0.86,0.86,0.86,0.86,108000,MYR
2015-01-26,0.85,0.87,0.85,0.87,51000,MYR
2015-01-28,0.86,0.86,0.85,0.85,36000,MYR
2015-01-29,0.85,0.86,0.84,0.85,98000,MYR
2015-01-30,0.84,0.86,0.84,0.86,22000,MYR
2015-02-04,0.84,0.84,0.84,0.84,26000,MYR
2015-02-11,0.84,0.85,0.81,0.85,103000,MYR
2015-02-12,0.84,0.84,0.84,0.84,20000,MYR
2015-02-13,0.89,0.89,0.84,0.86,292000,MYR
2015-02-17,0.86,0.86,0.86,0.86,50000,MYR
2015-02-23,0.86,0.86,0.82,0.82,130000,MYR
2015-02-24,0.82,0.82,0.82,0.82,50000,MYR
2015-02-25,0.84,0.85,0.84,0.85,173000,MYR
2015-02-27,0.845,0.85,0.845,0.85,63400,MYR
2015-03-02,0.85,0.85,0.85,0.85,39000,MYR
2015-03-03,0.86,0.87,0.86,0.87,37000,MYR
2015-03-05,0.86,0.87,0.86,0.87,63000,MYR
2015-03-06,0.87,0.87,0.87,0.87,92800,MYR
2015-03-09,0.845,0.845,0.845,0.845,2000,MYR
2015-03-10,0.845,0.845,0.845,0.845,20000,MYR
2015-03-11,0.845,0.845,0.845,0.845,13000,MYR
2015-03-13,0.85,0.85,0.85,0.85,20000,MYR
2015-03-16,0.85,0.85,0.845,0.845,36000,MYR
2015-03-17,0.85,0.85,0.85,0.85,50000,MYR
2015-03-19,0.845,0.85,0.845,0.85,19000,MYR
2015-03-20,0.845,0.845,0.845,0.845,28000,MYR
2015-03-23,0.845,0.845,0.845,0.845,34000,MYR
2015-03-24,0.845,0.845,0.845,0.845,4000,MYR
2015-03-25,0.845,0.845,0.84,0.84,22000,MYR
