Date,Open,High,Low,Close,Volume,Currency
2013-01-30,59.8,59.8,59.38,59.38,28100,MYR
2013-01-31,59.3,59.3,58.38,58.4,36000,MYR
2013-02-04,59.18,59.36,59.0,59.0,24600,MYR
2013-02-05,59.1,59.26,58.98,59.26,8600,MYR
2013-02-06,59.4,59.4,58.92,58.96,17900,MYR
2013-02-07,59.4,59.4,58.82,59.38,17600,MYR
2013-02-08,59.56,59.56,59.38,59.56,5900,MYR
2013-02-13,59.38,59.9,59.38,59.76,2900,MYR
2013-02-14,60.0,60.0,59.32,59.56,5000,MYR
2013-02-15,59.56,59.9,59.56,59.9,5900,MYR
2013-02-18,59.9,60.0,58.5,59.0,11500,MYR
2013-02-19,59.0,59.4,58.7,58.98,8600,MYR
2013-02-20,59.1,59.1,58.7,58.7,6800,MYR
2013-02-21,58.7,58.7,58.28,58.7,5800,MYR
2013-02-22,59.06,59.88,59.06,59.22,36700,MYR
2013-02-25,59.7,59.78,59.38,59.42,51300,MYR
2013-02-26,59.7,59.9,59.46,59.8,15900,MYR
2013-02-27,60.0,60.0,59.7,59.8,857100,MYR
2013-02-28,59.9,59.9,59.8,59.88,121400,MYR
2013-03-01,59.96,59.96,59.88,59.9,124500,MYR
2013-03-04,59.9,59.9,59.7,59.86,504200,MYR
2013-03-05,59.86,59.9,59.8,59.82,4500,MYR
2013-03-06,59.88,60.0,59.88,59.88,17200,MYR
2013-03-07,59.9,59.9,59.88,59.88,3200,MYR
2013-03-08,59.9,60.3,59.9,60.2,150200,MYR
2013-03-11,60.4,60.42,60.36,60.42,63900,MYR
2013-03-12,60.5,61.2,60.5,61.1,30500,MYR
2013-03-13,61.08,61.08,60.4,60.5,19500,MYR
2013-03-14,60.5,60.5,60.4,60.48,5800,MYR
2013-03-15,60.48,61.0,60.48,60.96,14300,MYR
2013-03-18,60.42,60.5,60.1,60.5,21900,MYR
2013-03-19,60.26,60.7,60.04,60.7,36900,MYR
2013-03-20,60.5,60.8,60.48,60.62,36000,MYR
2013-03-21,60.6,61.4,60.6,60.7,49800,MYR
2013-03-22,60.6,60.72,60.6,60.7,28900,MYR
2013-03-25,60.7,60.7,60.52,60.7,7600,MYR
2013-03-26,60.56,60.7,60.52,60.62,30500,MYR
2013-03-27,60.7,60.7,60.64,60.68,5800,MYR
2013-03-28,60.68,60.7,60.5,60.66,54400,MYR
2013-03-29,60.42,60.68,60.42,60.68,2300,MYR
2013-04-01,60.7,60.7,60.42,60.48,23400,MYR
2013-04-02,60.68,61.0,60.6,61.0,49300,MYR
2013-04-03,61.0,61.0,60.2,61.0,33800,MYR
2013-04-04,60.5,61.0,60.44,60.98,49100,MYR
2013-04-05,60.7,60.78,60.7,60.78,2200,MYR
2013-04-08,60.78,61.0,60.54,60.96,9600,MYR
2013-04-09,61.1,61.1,60.7,60.7,32400,MYR
2013-04-10,61.3,61.3,60.72,61.0,72400,MYR
2013-04-11,61.0,61.06,61.0,61.0,33800,MYR
2013-04-12,61.0,61.0,60.9,60.98,23300,MYR
2013-04-15,61.0,61.0,60.98,61.0,78400,MYR
2013-04-16,61.0,61.48,60.96,61.48,54600,MYR
2013-04-17,61.48,61.56,61.48,61.54,37700,MYR
2013-04-18,61.46,61.7,61.46,61.7,39500,MYR
2013-04-19,61.5,63.5,61.5,63.42,37100,MYR
2013-04-22,63.4,63.4,61.84,61.84,35800,MYR
2013-04-23,62.2,62.2,61.74,61.8,25200,MYR
2013-04-24,62.0,62.12,61.8,62.06,69500,MYR
2013-04-25,62.04,62.04,61.4,61.5,47600,MYR
2013-04-26,61.6,61.6,61.5,61.6,31500,MYR
2013-04-29,61.4,61.5,61.4,61.4,31500,MYR
2013-04-30,61.5,62.0,61.5,61.8,104300,MYR
2013-05-02,62.0,62.6,62.0,62.5,93800,MYR
2013-05-03,62.5,62.5,62.44,62.44,93800,MYR
2013-05-06,62.9,63.48,62.44,63.0,82200,MYR
2013-05-07,63.0,63.0,62.9,63.0,16500,MYR
2013-05-08,63.4,64.48,63.3,64.4,13500,MYR
2013-05-09,63.82,64.6,63.82,64.2,15300,MYR
2013-05-10,64.2,65.0,64.2,65.0,67400,MYR
2013-05-13,65.48,65.84,65.0,65.0,64800,MYR
2013-05-14,65.5,65.66,65.02,65.38,60300,MYR
2013-05-15,65.38,65.38,65.18,65.2,7300,MYR
2013-05-16,65.1,65.4,64.9,65.1,15300,MYR
2013-05-17,64.9,65.18,64.9,65.1,29000,MYR
2013-05-20,65.6,65.6,65.1,65.1,26000,MYR
2013-05-21,64.22,64.22,63.4,63.5,35000,MYR
2013-05-22,63.5,63.52,63.46,63.48,45100,MYR
2013-05-23,63.52,63.98,63.48,63.58,82300,MYR
2013-05-27,63.58,64.08,63.26,64.08,67900,MYR
2013-05-28,64.08,64.14,64.06,64.1,40700,MYR
2013-05-29,64.5,64.5,64.5,64.5,3500,MYR
2013-05-30,64.5,65.0,64.16,65.0,11900,MYR
2013-05-31,65.3,65.9,65.3,65.5,37800,MYR
2013-06-03,66.7,66.7,65.0,66.0,29000,MYR
2013-06-04,66.0,66.38,65.98,66.0,9100,MYR
2013-06-05,65.9,66.3,65.0,65.02,16300,MYR
2013-06-06,65.02,65.7,65.0,65.7,74800,MYR
2013-06-07,65.7,65.7,65.4,65.5,13100,MYR
2013-06-10,66.0,66.0,65.1,65.54,13800,MYR
2013-06-11,65.54,65.6,65.4,65.5,6300,MYR
2013-06-12,65.22,65.9,65.06,65.9,9800,MYR
2013-06-13,65.9,66.0,65.06,65.06,17000,MYR
2013-06-14,65.86,65.86,65.5,65.86,37700,MYR
2013-06-17,65.5,65.86,65.5,65.86,600,MYR
2013-06-18,65.88,65.88,65.86,65.86,1700,MYR
2013-06-19,65.86,65.86,65.52,65.82,11100,MYR
2013-06-20,65.52,65.82,65.5,65.8,5000,MYR
2013-06-21,65.6,66.7,65.44,66.7,24300,MYR
2013-06-24,66.6,66.7,65.5,65.7,27700,MYR
2013-06-25,65.7,65.7,65.52,65.68,52500,MYR
2013-06-26,66.0,66.3,66.0,66.3,10500,MYR
2013-06-27,66.32,67.0,66.32,66.8,16700,MYR
2013-06-28,66.82,67.0,66.82,67.0,12700,MYR
2013-07-01,67.2,68.38,67.2,68.38,6700,MYR
2013-07-02,68.5,69.2,68.5,69.1,13600,MYR
2013-07-03,69.1,69.2,68.0,68.98,24000,MYR
2013-07-04,68.98,69.06,67.6,69.0,5600,MYR
2013-07-05,69.0,69.0,68.98,68.98,200,MYR
2013-07-08,68.98,68.98,67.5,68.1,7000,MYR
2013-07-09,68.1,69.0,67.7,69.0,7000,MYR
2013-07-10,67.5,68.6,67.5,68.32,11900,MYR
2013-07-11,68.12,68.98,68.12,68.98,900,MYR
2013-07-12,68.98,69.2,68.6,69.0,3900,MYR
2013-07-15,68.6,68.88,68.6,68.6,7500,MYR
2013-07-16,68.6,68.9,68.3,68.44,7300,MYR
2013-07-17,68.84,68.84,68.36,68.36,42000,MYR
2013-07-18,68.5,68.5,68.06,68.36,16000,MYR
2013-07-19,68.76,68.9,68.36,68.88,3500,MYR
2013-07-22,68.88,68.88,68.0,68.8,5600,MYR
2013-07-23,68.7,68.8,68.7,68.76,61200,MYR
2013-07-24,68.6,68.78,68.52,68.78,1800,MYR
2013-07-25,68.8,68.8,68.74,68.8,69800,MYR
2013-07-26,68.9,68.9,68.5,68.6,6500,MYR
2013-07-29,68.28,68.4,68.2,68.3,49000,MYR
2013-07-30,68.2,68.2,68.0,68.0,9300,MYR
2013-07-31,67.72,68.0,67.54,67.66,4500,MYR
2013-08-01,67.66,67.7,67.66,67.7,8700,MYR
2013-08-02,67.76,67.9,67.6,67.76,8800,MYR
2013-08-05,67.8,67.8,67.2,67.3,3300,MYR
2013-08-06,67.5,67.5,67.3,67.34,20700,MYR
2013-08-07,67.5,67.5,67.34,67.34,1700,MYR
2013-08-12,69.0,69.0,67.9,68.4,6700,MYR
2013-08-13,68.3,68.4,68.0,68.0,7400,MYR
2013-08-14,68.0,68.0,67.5,67.68,5900,MYR
2013-08-15,67.68,68.2,67.66,67.66,1200,MYR
2013-08-16,67.68,67.68,67.5,67.56,5300,MYR
2013-08-19,67.56,68.0,67.42,67.82,5800,MYR
2013-08-20,67.8,67.8,67.5,67.78,32600,MYR
2013-08-21,67.78,68.0,67.64,67.78,4400,MYR
2013-08-22,67.6,67.7,67.5,67.54,9100,MYR
2013-08-23,67.8,68.2,67.6,68.18,7800,MYR
2013-08-26,68.22,68.3,68.22,68.26,28300,MYR
2013-08-27,68.34,68.5,68.12,68.22,86100,MYR
