Date,Open,High,Low,Close,Volume,Currency
2014-06-27,0.115,0.12,0.115,0.115,310500,MYR
2014-06-30,0.115,0.115,0.11,0.11,507600,MYR
2014-07-01,0.12,0.125,0.115,0.12,17776400,MYR
2014-07-02,0.12,0.12,0.115,0.12,2330500,MYR
2014-07-03,0.12,0.12,0.115,0.12,3360600,MYR
2014-07-04,0.12,0.12,0.115,0.115,1895600,MYR
2014-07-07,0.115,0.12,0.115,0.115,5973600,MYR
2014-07-08,0.12,0.12,0.11,0.115,7367800,MYR
2014-07-09,0.115,0.12,0.11,0.12,8868900,MYR
2014-07-10,0.12,0.125,0.115,0.12,16235400,MYR
2014-07-11,0.12,0.12,0.115,0.115,5076900,MYR
2014-07-14,0.12,0.12,0.115,0.115,1421200,MYR
2014-07-16,0.12,0.12,0.115,0.115,1051200,MYR
2014-07-17,0.115,0.115,0.11,0.11,5999800,MYR
2014-07-18,0.11,0.115,0.11,0.115,1098900,MYR
2014-07-21,0.115,0.115,0.11,0.11,838700,MYR
2014-07-22,0.115,0.115,0.11,0.115,2380200,MYR
2014-07-23,0.115,0.12,0.11,0.115,35581200,MYR
2014-07-24,0.115,0.12,0.11,0.115,6891600,MYR
2014-07-25,0.11,0.115,0.11,0.11,1546700,MYR
2014-07-30,0.115,0.115,0.11,0.115,763700,MYR
2014-07-31,0.11,0.12,0.11,0.12,47543100,MYR
2014-08-01,0.115,0.125,0.115,0.12,36687300,MYR
2014-08-04,0.125,0.13,0.125,0.13,40983500,MYR
2014-08-05,0.13,0.135,0.125,0.13,31338900,MYR
2014-08-06,0.13,0.135,0.125,0.13,9740500,MYR
2014-08-07,0.13,0.135,0.125,0.135,41096000,MYR
2014-08-08,0.135,0.135,0.125,0.125,26191700,MYR
2014-08-11,0.13,0.135,0.125,0.13,69265504,MYR
2014-08-12,0.135,0.135,0.125,0.13,14249800,MYR
2014-08-13,0.13,0.135,0.13,0.135,27297300,MYR
2014-08-14,0.135,0.14,0.13,0.13,55591800,MYR
2014-08-15,0.135,0.14,0.125,0.135,63430300,MYR
2014-08-18,0.135,0.135,0.13,0.13,5133500,MYR
2014-08-19,0.135,0.14,0.13,0.135,38080200,MYR
2014-08-20,0.14,0.155,0.135,0.14,189531296,MYR
2014-08-21,0.14,0.145,0.135,0.145,67028500,MYR
2014-08-22,0.145,0.15,0.14,0.14,117967800,MYR
2014-08-25,0.14,0.145,0.13,0.135,82461000,MYR
2014-08-26,0.135,0.14,0.125,0.13,92925600,MYR
2014-08-27,0.135,0.135,0.125,0.13,28084400,MYR
2014-08-28,0.13,0.13,0.125,0.13,27658600,MYR
2014-08-29,0.13,0.13,0.12,0.125,22804600,MYR
2014-09-02,0.125,0.125,0.12,0.12,36829600,MYR
2014-09-03,0.125,0.135,0.12,0.13,47750600,MYR
2014-09-04,0.135,0.14,0.13,0.135,27907300,MYR
2014-09-05,0.13,0.135,0.13,0.135,9747700,MYR
2014-09-08,0.14,0.145,0.135,0.135,54139500,MYR
2014-09-09,0.14,0.14,0.135,0.135,9260800,MYR
2014-09-10,0.135,0.14,0.135,0.14,15193100,MYR
2014-09-11,0.14,0.14,0.135,0.135,8012800,MYR
2014-09-12,0.135,0.15,0.135,0.145,112656800,MYR
2014-09-15,0.145,0.15,0.14,0.14,25263400,MYR
2014-09-17,0.14,0.145,0.14,0.145,15152700,MYR
2014-09-18,0.14,0.15,0.14,0.14,55252000,MYR
2014-09-19,0.14,0.145,0.135,0.145,62010500,MYR
2014-09-22,0.145,0.145,0.14,0.14,10239500,MYR
2014-09-23,0.14,0.145,0.135,0.14,46573700,MYR
2014-09-24,0.135,0.14,0.13,0.14,45313300,MYR
2014-09-25,0.13,0.135,0.125,0.13,61518500,MYR
2014-09-26,0.125,0.13,0.12,0.125,20153700,MYR
2014-09-29,0.125,0.13,0.12,0.12,14647600,MYR
2014-09-30,0.125,0.13,0.125,0.125,11493200,MYR
2014-10-01,0.13,0.13,0.12,0.13,21152200,MYR
2014-10-02,0.125,0.125,0.12,0.12,3014400,MYR
2014-10-03,0.125,0.13,0.12,0.125,33905300,MYR
2014-10-07,0.125,0.125,0.12,0.12,8276900,MYR
2014-10-08,0.12,0.125,0.11,0.115,31959400,MYR
2014-10-09,0.12,0.12,0.115,0.12,2711600,MYR
2014-10-10,0.115,0.115,0.11,0.115,9471200,MYR
2014-10-13,0.11,0.11,0.105,0.11,20625800,MYR
2014-10-14,0.105,0.105,0.1,0.1,15625700,MYR
2014-10-15,0.105,0.11,0.1,0.1,17578900,MYR
2014-10-16,0.095,0.1,0.09,0.095,16467700,MYR
2014-10-17,0.095,0.105,0.095,0.1,12272900,MYR
2014-10-20,0.1,0.105,0.095,0.095,12838900,MYR
2014-10-21,0.1,0.1,0.095,0.1,1924000,MYR
2014-10-23,0.095,0.105,0.095,0.1,9872600,MYR
2014-10-24,0.105,0.105,0.1,0.105,3687700,MYR
2014-10-27,0.105,0.11,0.1,0.105,11384300,MYR
2014-10-28,0.105,0.11,0.105,0.11,4344500,MYR
2014-10-29,0.11,0.115,0.105,0.11,40354600,MYR
2014-10-30,0.11,0.115,0.105,0.11,19528700,MYR
2014-10-31,0.11,0.115,0.105,0.115,16575900,MYR
2014-11-03,0.115,0.115,0.1,0.105,47673500,MYR
2014-11-04,0.11,0.11,0.1,0.11,13103500,MYR
2014-11-05,0.105,0.105,0.095,0.1,84452304,MYR
2014-11-06,0.1,0.105,0.095,0.1,17616000,MYR
2014-11-07,0.1,0.105,0.095,0.1,29726800,MYR
2014-11-10,0.1,0.1,0.095,0.1,15056100,MYR
2014-11-11,0.1,0.105,0.095,0.095,28313400,MYR
2014-11-12,0.1,0.1,0.095,0.095,9806000,MYR
2014-11-13,0.095,0.1,0.09,0.09,16389200,MYR
2014-11-14,0.095,0.095,0.09,0.09,9293100,MYR
2014-11-17,0.09,0.095,0.085,0.09,15167900,MYR
2014-11-18,0.09,0.1,0.085,0.095,31061600,MYR
2014-11-19,0.095,0.1,0.09,0.09,38541400,MYR
2014-11-20,0.095,0.095,0.085,0.095,35246500,MYR
2014-11-21,0.09,0.09,0.085,0.09,9497700,MYR
2014-11-24,0.09,0.09,0.085,0.085,6343100,MYR
2014-11-25,0.085,0.09,0.08,0.085,38498400,MYR
2014-11-26,0.085,0.09,0.08,0.085,23440200,MYR
2014-11-27,0.085,0.085,0.08,0.085,3563500,MYR
2014-11-28,0.08,0.08,0.075,0.08,15276200,MYR
2014-12-01,0.08,0.08,0.07,0.07,14062500,MYR
2014-12-02,0.075,0.085,0.07,0.08,66463600,MYR
2014-12-03,0.08,0.08,0.07,0.075,14836300,MYR
2014-12-04,0.075,0.08,0.07,0.075,12004900,MYR
2014-12-05,0.075,0.08,0.07,0.07,8002500,MYR
2014-12-08,0.075,0.075,0.065,0.065,29921200,MYR
2014-12-09,0.07,0.07,0.065,0.065,4084500,MYR
2014-12-10,0.065,0.07,0.065,0.065,19133500,MYR
2014-12-11,0.065,0.07,0.065,0.065,11639200,MYR
2014-12-12,0.065,0.065,0.06,0.06,5993400,MYR
2014-12-15,0.06,0.06,0.055,0.055,8817200,MYR
2014-12-16,0.055,0.06,0.055,0.06,9873500,MYR
2014-12-17,0.06,0.065,0.06,0.06,9284600,MYR
2014-12-18,0.065,0.07,0.06,0.07,10573400,MYR
2014-12-19,0.07,0.07,0.06,0.065,11627300,MYR
2014-12-22,0.065,0.07,0.065,0.07,5168000,MYR
2014-12-23,0.07,0.075,0.07,0.07,23625300,MYR
2014-12-24,0.07,0.075,0.07,0.07,9593100,MYR
2014-12-26,0.07,0.075,0.07,0.075,4515300,MYR
2014-12-29,0.075,0.075,0.07,0.07,2818300,MYR
2014-12-30,0.07,0.075,0.07,0.07,9328300,MYR
2014-12-31,0.07,0.07,0.07,0.07,2198600,MYR
2015-01-02,0.07,0.07,0.065,0.065,2617100,MYR
2015-01-05,0.065,0.07,0.065,0.07,576200,MYR
2015-01-06,0.065,0.07,0.065,0.07,1029500,MYR
2015-01-07,0.07,0.07,0.065,0.07,595000,MYR
2015-01-08,0.07,0.07,0.065,0.07,3418500,MYR
2015-01-09,0.07,0.075,0.07,0.075,16523000,MYR
2015-01-12,0.075,0.075,0.07,0.075,1396800,MYR
2015-01-13,0.07,0.075,0.07,0.075,2851000,MYR
