Date,Open,High,Low,Close,Volume,Currency
2013-03-28,0.105,0.11,0.095,0.11,1413000,MYR
2013-03-29,0.11,0.12,0.105,0.12,1027100,MYR
2013-04-01,0.115,0.115,0.11,0.11,213000,MYR
2013-04-02,0.12,0.12,0.115,0.115,957400,MYR
2013-04-03,0.11,0.11,0.105,0.11,1275300,MYR
2013-04-05,0.11,0.11,0.11,0.11,69000,MYR
2013-04-08,0.105,0.11,0.105,0.105,153000,MYR
2013-04-09,0.105,0.115,0.1,0.115,321000,MYR
2013-04-10,0.105,0.105,0.105,0.105,142000,MYR
2013-04-11,0.11,0.115,0.1,0.1,495000,MYR
2013-04-12,0.1,0.1,0.095,0.095,399000,MYR
2013-04-15,0.1,0.1,0.095,0.095,277700,MYR
2013-04-18,0.1,0.11,0.1,0.105,200000,MYR
2013-04-19,0.105,0.105,0.105,0.105,313800,MYR
2013-04-23,0.1,0.1,0.1,0.1,60000,MYR
2013-04-25,0.1,0.105,0.1,0.105,120000,MYR
2013-04-26,0.1,0.105,0.1,0.105,254300,MYR
2013-04-29,0.1,0.115,0.1,0.115,967000,MYR
2013-04-30,0.115,0.115,0.11,0.115,394000,MYR
2013-05-02,0.115,0.115,0.115,0.115,260000,MYR
2013-05-06,0.105,0.105,0.105,0.105,50000,MYR
2013-05-07,0.105,0.11,0.105,0.11,95000,MYR
2013-05-08,0.11,0.11,0.11,0.11,10000,MYR
2013-05-10,0.11,0.11,0.11,0.11,135000,MYR
2013-05-13,0.11,0.12,0.11,0.12,1506000,MYR
2013-05-14,0.12,0.125,0.115,0.125,549800,MYR
2013-05-15,0.13,0.135,0.125,0.13,1685800,MYR
2013-05-16,0.13,0.13,0.12,0.13,1077700,MYR
2013-05-17,0.135,0.135,0.12,0.12,653000,MYR
2013-05-20,0.125,0.125,0.12,0.125,1235000,MYR
2013-05-21,0.125,0.125,0.12,0.125,908100,MYR
2013-05-22,0.125,0.13,0.12,0.125,1314500,MYR
2013-05-23,0.125,0.125,0.12,0.125,240300,MYR
2013-05-27,0.125,0.125,0.12,0.12,766100,MYR
2013-05-28,0.125,0.125,0.12,0.12,493000,MYR
2013-05-29,0.125,0.13,0.12,0.12,1135600,MYR
2013-05-30,0.125,0.125,0.12,0.125,1019000,MYR
2013-05-31,0.13,0.13,0.125,0.125,673000,MYR
2013-06-03,0.125,0.125,0.115,0.115,1079000,MYR
2013-06-04,0.115,0.12,0.115,0.115,450000,MYR
2013-06-05,0.12,0.12,0.115,0.115,1272300,MYR
2013-06-06,0.115,0.115,0.115,0.115,234500,MYR
2013-06-07,0.115,0.12,0.11,0.11,215000,MYR
2013-06-10,0.115,0.115,0.115,0.115,153900,MYR
2013-06-11,0.12,0.12,0.11,0.115,606100,MYR
2013-06-12,0.115,0.12,0.115,0.12,231600,MYR
2013-06-13,0.115,0.115,0.11,0.115,899700,MYR
2013-06-14,0.115,0.115,0.115,0.115,285000,MYR
2013-06-17,0.115,0.115,0.115,0.115,45000,MYR
2013-06-18,0.11,0.115,0.11,0.115,60000,MYR
2013-06-19,0.11,0.11,0.11,0.11,150000,MYR
2013-06-20,0.11,0.11,0.105,0.11,361000,MYR
2013-06-24,0.105,0.11,0.105,0.11,301000,MYR
2013-06-26,0.1,0.105,0.1,0.105,130000,MYR
2013-06-28,0.105,0.105,0.105,0.105,50000,MYR
2013-07-01,0.105,0.105,0.105,0.105,20000,MYR
2013-07-02,0.105,0.11,0.105,0.105,276000,MYR
2013-07-03,0.105,0.11,0.105,0.11,293000,MYR
2013-07-04,0.11,0.11,0.11,0.11,5000,MYR
2013-07-05,0.11,0.11,0.11,0.11,295000,MYR
2013-07-08,0.115,0.115,0.115,0.115,215000,MYR
2013-07-09,0.115,0.115,0.115,0.115,76000,MYR
2013-07-10,0.115,0.12,0.115,0.12,209000,MYR
2013-07-11,0.12,0.12,0.12,0.12,149000,MYR
2013-07-12,0.12,0.125,0.12,0.12,377500,MYR
2013-07-15,0.12,0.12,0.12,0.12,126000,MYR
2013-07-16,0.12,0.12,0.12,0.12,405000,MYR
2013-07-17,0.12,0.12,0.12,0.12,740000,MYR
2013-07-18,0.125,0.135,0.125,0.135,2736500,MYR
2013-07-19,0.14,0.175,0.14,0.175,8786100,MYR
2013-07-22,0.185,0.205,0.185,0.185,11947900,MYR
2013-07-23,0.18,0.18,0.16,0.165,2290500,MYR
2013-07-24,0.155,0.16,0.135,0.16,2415900,MYR
2013-07-25,0.16,0.16,0.14,0.155,3603800,MYR
2013-07-26,0.15,0.15,0.14,0.145,2927900,MYR
2013-07-29,0.14,0.14,0.14,0.14,993000,MYR
2013-07-30,0.14,0.16,0.14,0.16,1619800,MYR
2013-07-31,0.155,0.16,0.15,0.16,3325000,MYR
2013-08-01,0.16,0.18,0.16,0.18,1986600,MYR
2013-08-02,0.175,0.18,0.17,0.18,1088000,MYR
2013-08-05,0.175,0.185,0.175,0.18,1801000,MYR
2013-08-06,0.17,0.17,0.16,0.165,1335400,MYR
2013-08-07,0.16,0.16,0.155,0.16,1425000,MYR
2013-08-12,0.16,0.175,0.155,0.175,2509100,MYR
2013-08-13,0.175,0.185,0.17,0.18,1791300,MYR
2013-08-14,0.175,0.175,0.16,0.175,894000,MYR
2013-08-15,0.175,0.175,0.17,0.175,1336000,MYR
2013-08-16,0.17,0.175,0.17,0.175,701600,MYR
2013-08-19,0.17,0.175,0.17,0.175,1553600,MYR
2013-08-20,0.175,0.175,0.165,0.175,1836300,MYR
2013-08-21,0.175,0.18,0.175,0.18,1166500,MYR
2013-08-22,0.175,0.185,0.17,0.185,1362800,MYR
2013-08-23,0.185,0.225,0.185,0.21,5637800,MYR
2013-08-26,0.21,0.215,0.175,0.19,3530500,MYR
2013-08-27,0.18,0.18,0.155,0.175,1318300,MYR
2013-08-28,0.17,0.175,0.165,0.175,1520200,MYR
2013-08-29,0.17,0.185,0.17,0.185,1694300,MYR
2013-08-30,0.18,0.18,0.165,0.18,1679000,MYR
2013-09-02,0.17,0.175,0.165,0.175,900400,MYR
2013-09-03,0.165,0.175,0.155,0.175,889700,MYR
2013-09-04,0.175,0.19,0.16,0.17,2286200,MYR
2013-09-05,0.165,0.175,0.165,0.175,944700,MYR
2013-09-06,0.165,0.165,0.165,0.165,430000,MYR
2013-09-09,0.165,0.165,0.16,0.165,694000,MYR
2013-09-10,0.16,0.16,0.155,0.16,812000,MYR
2013-09-11,0.16,0.16,0.16,0.16,548900,MYR
2013-09-12,0.16,0.16,0.155,0.155,120000,MYR
2013-09-13,0.16,0.16,0.16,0.16,97600,MYR
2013-09-17,0.16,0.165,0.16,0.16,636300,MYR
2013-09-18,0.165,0.185,0.165,0.175,3365300,MYR
2013-09-19,0.185,0.185,0.17,0.175,511000,MYR
2013-09-20,0.175,0.175,0.17,0.17,632100,MYR
2013-09-23,0.17,0.17,0.165,0.17,220000,MYR
2013-09-24,0.165,0.165,0.16,0.165,938400,MYR
2013-09-25,0.165,0.175,0.165,0.17,458000,MYR
2013-09-26,0.165,0.165,0.16,0.16,60100,MYR
2013-09-27,0.165,0.165,0.16,0.16,557300,MYR
2013-09-30,0.16,0.16,0.15,0.15,488300,MYR
2013-10-01,0.155,0.155,0.155,0.155,32100,MYR
2013-10-02,0.155,0.155,0.155,0.155,180000,MYR
2013-10-03,0.155,0.16,0.155,0.16,386900,MYR
2013-10-04,0.16,0.16,0.16,0.16,140200,MYR
2013-10-07,0.16,0.16,0.155,0.16,100100,MYR
2013-10-09,0.15,0.15,0.14,0.145,1924800,MYR
2013-10-10,0.145,0.145,0.135,0.135,830200,MYR
2013-10-11,0.135,0.14,0.135,0.135,2854000,MYR
2013-10-14,0.14,0.14,0.14,0.14,130000,MYR
2013-10-16,0.14,0.14,0.135,0.135,311900,MYR
2013-10-17,0.14,0.14,0.135,0.135,170000,MYR
2013-10-18,0.135,0.135,0.135,0.135,20000,MYR
2013-10-21,0.145,0.15,0.145,0.145,425600,MYR
2013-10-22,0.145,0.145,0.135,0.135,269900,MYR
2013-10-23,0.14,0.15,0.14,0.145,213800,MYR
2013-10-24,0.145,0.15,0.14,0.15,340600,MYR
2013-10-25,0.15,0.165,0.15,0.155,2790600,MYR
2013-10-28,0.16,0.16,0.15,0.15,770000,MYR
2013-10-29,0.15,0.15,0.15,0.15,29000,MYR
2013-10-30,0.15,0.15,0.145,0.15,739800,MYR
2013-10-31,0.15,0.15,0.14,0.145,300000,MYR
2013-11-01,0.14,0.145,0.14,0.145,197700,MYR
2013-11-04,0.145,0.145,0.14,0.14,295000,MYR
2013-11-06,0.14,0.14,0.135,0.14,164200,MYR
2013-11-07,0.145,0.145,0.14,0.14,100000,MYR
2013-11-08,0.14,0.14,0.14,0.14,41200,MYR
2013-11-11,0.14,0.14,0.14,0.14,124000,MYR
2013-11-12,0.14,0.145,0.14,0.14,190000,MYR
2013-11-13,0.14,0.14,0.14,0.14,40000,MYR
2013-11-14,0.14,0.14,0.14,0.14,40000,MYR
2013-11-15,0.15,0.15,0.15,0.15,100,MYR
2013-11-18,0.145,0.145,0.145,0.145,128000,MYR
2013-11-19,0.14,0.14,0.14,0.14,41000,MYR
2013-11-20,0.14,0.14,0.14,0.14,373000,MYR
2013-11-21,0.14,0.145,0.14,0.145,46100,MYR
2013-11-25,0.135,0.14,0.135,0.135,227000,MYR
2013-11-26,0.135,0.135,0.135,0.135,65000,MYR
2013-11-27,0.135,0.135,0.135,0.135,50000,MYR
2013-11-28,0.135,0.135,0.135,0.135,458100,MYR
2013-11-29,0.135,0.135,0.135,0.135,68900,MYR
2013-12-03,0.13,0.13,0.13,0.13,123000,MYR
2013-12-04,0.13,0.13,0.13,0.13,120000,MYR
2013-12-05,0.13,0.13,0.13,0.13,137500,MYR
2013-12-10,0.125,0.13,0.125,0.13,70000,MYR
2013-12-12,0.13,0.13,0.13,0.13,15000,MYR
2013-12-17,0.12,0.12,0.12,0.12,30000,MYR
2013-12-20,0.12,0.125,0.12,0.125,22100,MYR
2013-12-24,0.115,0.125,0.115,0.12,239100,MYR
2013-12-31,0.12,0.125,0.12,0.125,49000,MYR
2014-01-03,0.115,0.12,0.11,0.12,536800,MYR
2014-01-06,0.12,0.12,0.12,0.12,233200,MYR
2014-01-07,0.12,0.13,0.12,0.13,62000,MYR
2014-01-09,0.12,0.125,0.12,0.12,178400,MYR
2014-01-10,0.12,0.12,0.12,0.12,50000,MYR
2014-01-15,0.115,0.115,0.115,0.115,15000,MYR
2014-01-16,0.115,0.115,0.115,0.115,38400,MYR
2014-01-21,0.115,0.12,0.115,0.12,90100,MYR
2014-01-22,0.115,0.115,0.115,0.115,2400,MYR
2014-01-27,0.115,0.115,0.115,0.115,5000,MYR
2014-02-10,0.105,0.13,0.105,0.11,121100,MYR
2014-02-11,0.105,0.105,0.105,0.105,3000,MYR
2014-02-12,0.11,0.12,0.11,0.12,125100,MYR
2014-02-13,0.115,0.115,0.115,0.115,55000,MYR
2014-02-14,0.115,0.115,0.115,0.115,17900,MYR
2014-02-17,0.115,0.115,0.115,0.115,25000,MYR
2014-02-18,0.12,0.12,0.115,0.115,123000,MYR
2014-02-20,0.12,0.12,0.12,0.12,41700,MYR
2014-02-21,0.12,0.12,0.12,0.12,7700,MYR
2014-02-24,0.135,0.135,0.135,0.135,100,MYR
2014-02-25,0.12,0.12,0.12,0.12,6100,MYR
2014-02-26,0.115,0.12,0.115,0.12,80100,MYR
2014-02-27,0.115,0.115,0.115,0.115,64400,MYR
