Date,Open,High,Low,Close,Volume,Currency
2013-03-06,0.098,0.098,0.098,0.098,35000,MYR
2013-03-08,0.102,0.102,0.102,0.102,31000,MYR
2013-03-12,0.111,0.115,0.098,0.115,11600,MYR
2013-03-14,0.102,0.102,0.102,0.102,1000,MYR
2013-03-19,0.098,0.098,0.098,0.098,8000,MYR
2013-03-21,0.107,0.107,0.107,0.107,88000,MYR
2013-03-22,0.102,0.102,0.102,0.102,10000,MYR
2013-03-25,0.102,0.102,0.102,0.102,30000,MYR
2013-03-29,0.098,0.098,0.098,0.098,5000,MYR
2013-04-03,0.102,0.102,0.102,0.102,5000,MYR
2013-04-08,0.098,0.102,0.098,0.102,130000,MYR
2013-04-09,0.102,0.102,0.102,0.102,50000,MYR
2013-04-11,0.102,0.102,0.102,0.102,30000,MYR
2013-04-12,0.107,0.107,0.107,0.107,1900,MYR
2013-04-15,0.102,0.107,0.098,0.107,150100,MYR
2013-04-16,0.102,0.102,0.102,0.102,100000,MYR
2013-04-19,0.102,0.111,0.102,0.111,6100,MYR
2013-04-22,0.107,0.111,0.107,0.107,73200,MYR
2013-04-24,0.102,0.102,0.102,0.102,1000,MYR
2013-04-29,0.102,0.102,0.098,0.098,85900,MYR
2013-04-30,0.102,0.102,0.102,0.102,35900,MYR
2013-05-02,0.102,0.111,0.102,0.111,50000,MYR
2013-05-07,0.107,0.107,0.107,0.107,11000,MYR
2013-05-08,0.111,0.111,0.111,0.111,51000,MYR
2013-05-09,0.115,0.115,0.107,0.107,200,MYR
2013-05-10,0.115,0.115,0.111,0.115,109700,MYR
2013-05-13,0.115,0.115,0.115,0.115,30000,MYR
2013-05-14,0.115,0.123,0.115,0.123,19900,MYR
2013-05-15,0.119,0.131,0.119,0.119,45400,MYR
2013-05-16,0.143,0.143,0.115,0.131,1300,MYR
2013-05-17,0.123,0.139,0.123,0.127,89800,MYR
2013-05-20,0.127,0.131,0.123,0.123,11000,MYR
2013-05-21,0.148,0.148,0.119,0.143,20200,MYR
2013-05-22,0.123,0.123,0.119,0.123,66000,MYR
2013-05-23,0.111,0.119,0.111,0.115,43700,MYR
2013-05-27,0.119,0.119,0.111,0.119,5900,MYR
2013-05-28,0.119,0.119,0.115,0.119,40000,MYR
2013-05-29,0.115,0.115,0.115,0.115,10000,MYR
2013-05-31,0.123,0.123,0.115,0.115,16000,MYR
2013-06-04,0.123,0.123,0.123,0.123,1100,MYR
2013-06-05,0.115,0.143,0.115,0.123,3100,MYR
2013-06-06,0.156,0.156,0.156,0.156,100,MYR
2013-06-12,0.115,0.127,0.115,0.119,592000,MYR
2013-06-13,0.119,0.119,0.119,0.119,80500,MYR
2013-06-14,0.119,0.127,0.119,0.127,30100,MYR
2013-06-17,0.115,0.115,0.115,0.115,5000,MYR
2013-06-20,0.123,0.123,0.115,0.115,25000,MYR
2013-07-03,0.119,0.119,0.119,0.119,3000,MYR
2013-07-04,0.115,0.115,0.115,0.115,20000,MYR
2013-07-09,0.115,0.115,0.115,0.115,10000,MYR
2013-07-11,0.115,0.115,0.115,0.115,48000,MYR
2013-07-12,0.115,0.131,0.107,0.131,35100,MYR
2013-07-17,0.115,0.115,0.115,0.115,10000,MYR
2013-07-18,0.123,0.123,0.123,0.123,1900,MYR
2013-07-22,0.123,0.123,0.123,0.123,58100,MYR
2013-07-31,0.115,0.115,0.115,0.115,500,MYR
2013-08-13,0.115,0.115,0.115,0.115,33900,MYR
2013-08-19,0.115,0.115,0.111,0.111,14100,MYR
2013-08-20,0.123,0.123,0.119,0.119,316400,MYR
2013-08-23,0.115,0.115,0.115,0.115,38000,MYR
2013-08-26,0.115,0.115,0.115,0.115,127400,MYR
2013-08-27,0.115,0.115,0.115,0.115,105000,MYR
2013-08-28,0.115,0.119,0.115,0.119,50100,MYR
2013-08-29,0.119,0.123,0.119,0.123,61600,MYR
2013-08-30,0.127,0.127,0.127,0.127,8200,MYR
2013-09-02,0.123,0.123,0.123,0.123,49100,MYR
2013-09-03,0.123,0.123,0.119,0.123,100900,MYR
2013-09-04,0.119,0.123,0.115,0.123,50100,MYR
2013-09-05,0.119,0.119,0.119,0.119,70000,MYR
2013-09-06,0.119,0.119,0.119,0.119,70000,MYR
2013-09-10,0.123,0.127,0.115,0.115,362900,MYR
2013-09-11,0.119,0.119,0.119,0.119,2000,MYR
2013-09-12,0.119,0.119,0.119,0.119,50000,MYR
2013-09-19,0.123,0.123,0.119,0.119,50100,MYR
2013-09-20,0.123,0.123,0.123,0.123,119900,MYR
2013-09-23,0.123,0.123,0.123,0.123,37100,MYR
2013-09-25,0.123,0.123,0.123,0.123,10000,MYR
2013-09-26,0.131,0.131,0.123,0.123,58900,MYR
2013-09-27,0.123,0.123,0.123,0.123,50000,MYR
2013-09-30,0.123,0.123,0.123,0.123,100000,MYR
2013-10-02,0.123,0.127,0.123,0.127,79500,MYR
2013-10-03,0.127,0.131,0.127,0.127,42000,MYR
2013-10-07,0.123,0.123,0.123,0.123,4000,MYR
2013-10-08,0.123,0.127,0.123,0.127,101000,MYR
2013-10-09,0.127,0.127,0.127,0.127,112000,MYR
2013-10-11,0.127,0.127,0.127,0.127,17000,MYR
2013-10-14,0.127,0.131,0.127,0.131,110000,MYR
2013-10-16,0.127,0.131,0.127,0.131,55000,MYR
2013-10-17,0.127,0.127,0.123,0.123,130000,MYR
2013-10-18,0.123,0.123,0.123,0.123,9800,MYR
2013-10-21,0.123,0.123,0.123,0.123,150000,MYR
2013-10-22,0.123,0.123,0.123,0.123,100000,MYR
2013-10-23,0.123,0.123,0.123,0.123,471000,MYR
2013-10-24,0.123,0.123,0.123,0.123,473000,MYR
2013-10-25,0.123,0.123,0.123,0.123,136000,MYR
2013-10-28,0.119,0.123,0.119,0.123,140000,MYR
2013-10-29,0.123,0.127,0.123,0.127,150000,MYR
2013-10-30,0.127,0.127,0.123,0.127,99800,MYR
2013-10-31,0.131,0.131,0.127,0.127,205600,MYR
2013-11-01,0.127,0.131,0.127,0.131,130500,MYR
2013-11-04,0.127,0.127,0.127,0.127,50000,MYR
2013-11-06,0.127,0.127,0.127,0.127,140000,MYR
2013-11-07,0.127,0.127,0.127,0.127,50000,MYR
2013-11-08,0.123,0.127,0.123,0.127,50000,MYR
2013-11-11,0.127,0.127,0.127,0.127,91000,MYR
2013-11-12,0.123,0.131,0.123,0.123,268000,MYR
2013-11-13,0.123,0.123,0.123,0.123,185000,MYR
2013-11-14,0.123,0.127,0.123,0.127,286100,MYR
2013-11-15,0.127,0.127,0.123,0.127,79100,MYR
2013-11-18,0.127,0.127,0.127,0.127,90000,MYR
2013-11-19,0.127,0.131,0.127,0.131,100100,MYR
2013-11-20,0.131,0.131,0.127,0.131,228400,MYR
2013-11-21,0.127,0.127,0.127,0.127,116000,MYR
2013-11-22,0.127,0.127,0.127,0.127,80000,MYR
2013-11-25,0.127,0.127,0.127,0.127,268800,MYR
2013-11-26,0.127,0.127,0.127,0.127,119700,MYR
2013-11-27,0.127,0.127,0.127,0.127,100000,MYR
2013-11-28,0.127,0.127,0.127,0.127,90000,MYR
2013-11-29,0.127,0.131,0.127,0.127,86500,MYR
2013-12-02,0.127,0.127,0.123,0.123,268800,MYR
2013-12-03,0.127,0.127,0.127,0.127,38000,MYR
2013-12-04,0.127,0.127,0.127,0.127,150000,MYR
2013-12-05,0.127,0.127,0.123,0.123,428000,MYR
2013-12-09,0.127,0.127,0.127,0.127,50000,MYR
2013-12-10,0.127,0.127,0.127,0.127,454200,MYR
2013-12-12,0.131,0.131,0.131,0.131,25000,MYR
2013-12-13,0.131,0.131,0.131,0.131,60000,MYR
2013-12-16,0.127,0.135,0.127,0.135,167100,MYR
2013-12-17,0.127,0.131,0.127,0.131,108300,MYR
2013-12-18,0.131,0.131,0.131,0.131,74000,MYR
2013-12-20,0.135,0.135,0.131,0.131,70000,MYR
2013-12-24,0.131,0.131,0.131,0.131,50000,MYR
2013-12-26,0.135,0.135,0.131,0.131,51000,MYR
2013-12-27,0.139,0.139,0.135,0.139,240000,MYR
2013-12-30,0.139,0.139,0.135,0.135,30000,MYR
2013-12-31,0.135,0.135,0.135,0.135,100000,MYR
2014-01-02,0.139,0.143,0.135,0.143,259800,MYR
2014-01-03,0.143,0.152,0.143,0.143,405800,MYR
2014-01-06,0.143,0.143,0.143,0.143,230000,MYR
2014-01-07,0.143,0.143,0.139,0.139,184100,MYR
2014-01-08,0.139,0.139,0.139,0.139,20000,MYR
2014-01-09,0.143,0.143,0.139,0.139,65500,MYR
2014-01-10,0.139,0.139,0.139,0.139,20000,MYR
2014-01-13,0.139,0.148,0.139,0.148,97600,MYR
2014-01-15,0.143,0.148,0.143,0.143,121000,MYR
2014-01-20,0.135,0.135,0.135,0.135,29000,MYR
2014-01-21,0.143,0.143,0.143,0.143,20000,MYR
2014-01-22,0.139,0.139,0.139,0.139,50000,MYR
2014-01-23,0.139,0.139,0.139,0.139,70000,MYR
2014-01-24,0.139,0.139,0.139,0.139,3000,MYR
2014-01-27,0.139,0.139,0.139,0.139,50000,MYR
2014-02-04,0.139,0.148,0.139,0.148,10100,MYR
