Date,Open,High,Low,Close,Volume,Currency
2018-07-23,0.765,0.775,0.71,0.73,7769600,MYR
2018-07-24,0.72,0.74,0.685,0.715,9051300,MYR
2018-07-25,0.71,0.71,0.635,0.65,7742200,MYR
2018-07-26,0.65,0.65,0.59,0.6,7627300,MYR
2018-07-27,0.6,0.64,0.6,0.615,5488700,MYR
2018-07-30,0.62,0.63,0.6,0.63,3658200,MYR
2018-07-31,0.625,0.64,0.605,0.61,4000900,MYR
2018-08-01,0.61,0.62,0.58,0.595,2808300,MYR
2018-08-02,0.59,0.59,0.56,0.57,1868000,MYR
2018-08-03,0.58,0.59,0.565,0.565,1132100,MYR
2018-08-06,0.565,0.59,0.565,0.575,2817000,MYR
2018-08-07,0.575,0.59,0.57,0.57,1793500,MYR
2018-08-08,0.57,0.63,0.57,0.615,11422700,MYR
2018-08-09,0.61,0.635,0.6,0.62,6296000,MYR
2018-08-10,0.62,0.635,0.605,0.61,1237400,MYR
2018-08-13,0.61,0.615,0.595,0.61,818300,MYR
2018-08-14,0.61,0.615,0.6,0.605,1163700,MYR
2018-08-15,0.6,0.615,0.595,0.61,1550000,MYR
2018-08-16,0.6,0.605,0.6,0.6,489600,MYR
2018-08-17,0.605,0.62,0.605,0.615,1037200,MYR
2018-08-20,0.625,0.63,0.605,0.605,614700,MYR
2018-08-21,0.605,0.605,0.59,0.595,923900,MYR
2018-08-23,0.595,0.61,0.595,0.61,563400,MYR
2018-08-24,0.605,0.605,0.59,0.59,715700,MYR
2018-08-27,0.595,0.61,0.59,0.59,647000,MYR
2018-08-28,0.59,0.6,0.58,0.58,943100,MYR
2018-08-29,0.6,0.605,0.585,0.595,476700,MYR
2018-08-30,0.59,0.59,0.58,0.58,594800,MYR
2018-09-03,0.585,0.595,0.575,0.595,388400,MYR
2018-09-04,0.58,0.59,0.58,0.58,208300,MYR
2018-09-05,0.58,0.585,0.58,0.58,323700,MYR
2018-09-06,0.58,0.585,0.58,0.585,314500,MYR
2018-09-07,0.58,0.58,0.565,0.58,357400,MYR
2018-09-12,0.58,0.58,0.575,0.575,414700,MYR
2018-09-13,0.575,0.575,0.57,0.57,38300,MYR
2018-09-14,0.57,0.58,0.57,0.58,160600,MYR
2018-09-18,0.57,0.57,0.555,0.555,535100,MYR
2018-09-19,0.56,0.56,0.55,0.555,1783700,MYR
2018-09-20,0.555,0.56,0.55,0.56,219200,MYR
2018-09-21,0.555,0.555,0.55,0.55,297000,MYR
2018-09-24,0.55,0.555,0.545,0.545,117500,MYR
2018-09-25,0.545,0.545,0.54,0.545,70600,MYR
2018-09-26,0.55,0.555,0.535,0.545,802400,MYR
2018-09-27,0.55,0.56,0.545,0.555,310300,MYR
2018-09-28,0.555,0.58,0.555,0.56,650500,MYR
2018-10-01,0.565,0.57,0.55,0.555,1065800,MYR
2018-10-02,0.55,0.555,0.55,0.55,429900,MYR
2018-10-03,0.55,0.56,0.55,0.55,495800,MYR
2018-10-04,0.55,0.56,0.55,0.55,577000,MYR
2018-10-05,0.55,0.56,0.55,0.55,179800,MYR
2018-10-08,0.555,0.555,0.55,0.55,266700,MYR
2018-10-09,0.55,0.555,0.54,0.54,1124400,MYR
2018-10-10,0.55,0.55,0.535,0.54,797100,MYR
2018-10-11,0.535,0.535,0.525,0.535,337200,MYR
2018-10-12,0.53,0.54,0.53,0.54,115500,MYR
2018-10-15,0.545,0.555,0.54,0.545,321900,MYR
2018-10-16,0.545,0.55,0.54,0.545,99800,MYR
2018-10-17,0.55,0.56,0.55,0.55,340700,MYR
2018-10-18,0.555,0.555,0.555,0.555,65000,MYR
2018-10-19,0.555,0.555,0.54,0.54,729300,MYR
2018-10-22,0.54,0.54,0.54,0.54,34900,MYR
2018-10-23,0.54,0.54,0.535,0.535,252000,MYR
2018-10-24,0.535,0.535,0.53,0.53,75000,MYR
2018-10-25,0.53,0.53,0.52,0.525,304000,MYR
2018-10-26,0.52,0.53,0.52,0.53,156100,MYR
2018-10-29,0.52,0.525,0.52,0.52,92400,MYR
2018-10-30,0.53,0.53,0.515,0.515,146000,MYR
2018-10-31,0.515,0.545,0.515,0.525,75800,MYR
2018-11-01,0.53,0.535,0.53,0.535,107100,MYR
2018-11-02,0.545,0.545,0.53,0.53,193800,MYR
2018-11-05,0.53,0.54,0.53,0.53,42500,MYR
2018-11-07,0.54,0.54,0.53,0.53,74000,MYR
2018-11-08,0.53,0.54,0.53,0.54,103200,MYR
2018-11-09,0.535,0.545,0.535,0.545,123100,MYR
2018-11-12,0.545,0.545,0.54,0.54,17500,MYR
2018-11-13,0.54,0.54,0.535,0.54,73700,MYR
2018-11-14,0.535,0.535,0.53,0.535,28000,MYR
2018-11-15,0.54,0.54,0.53,0.53,570000,MYR
2018-11-16,0.54,0.54,0.53,0.53,774500,MYR
2018-11-19,0.535,0.55,0.535,0.535,35000,MYR
2018-11-21,0.535,0.535,0.53,0.53,34700,MYR
2018-11-22,0.535,0.535,0.53,0.53,84000,MYR
2018-11-23,0.535,0.535,0.525,0.53,133000,MYR
2018-11-26,0.53,0.53,0.525,0.525,64800,MYR
2018-11-27,0.53,0.53,0.515,0.525,110400,MYR
2018-11-28,0.525,0.54,0.525,0.54,17100,MYR
2018-11-29,0.535,0.535,0.52,0.535,16500,MYR
2018-11-30,0.515,0.515,0.475,0.48,2958400,MYR
2018-12-03,0.475,0.475,0.45,0.46,505800,MYR
2018-12-04,0.45,0.455,0.445,0.45,168600,MYR
2018-12-05,0.45,0.45,0.42,0.42,780500,MYR
2018-12-06,0.41,0.45,0.41,0.41,157900,MYR
2018-12-07,0.43,0.43,0.415,0.415,20000,MYR
2018-12-10,0.39,0.39,0.385,0.39,55600,MYR
2018-12-11,0.385,0.385,0.37,0.37,130600,MYR
2018-12-12,0.375,0.39,0.375,0.39,34400,MYR
2018-12-13,0.395,0.395,0.39,0.395,60400,MYR
2018-12-17,0.385,0.385,0.345,0.345,472500,MYR
2018-12-18,0.34,0.34,0.295,0.295,3506800,MYR
2018-12-19,0.3,0.3,0.28,0.29,1423000,MYR
2018-12-20,0.295,0.295,0.285,0.29,303600,MYR
2018-12-21,0.29,0.325,0.285,0.315,4306200,MYR
2018-12-24,0.325,0.4,0.325,0.385,1249700,MYR
2018-12-26,0.385,0.385,0.34,0.36,147000,MYR
2018-12-27,0.38,0.385,0.37,0.37,528500,MYR
2018-12-28,0.37,0.375,0.36,0.37,612500,MYR
2018-12-31,0.375,0.38,0.37,0.37,898600,MYR
2019-01-02,0.37,0.37,0.35,0.37,753400,MYR
2019-01-03,0.36,0.36,0.36,0.36,45600,MYR
2019-01-04,0.36,0.36,0.36,0.36,54300,MYR
2019-01-07,0.37,0.38,0.37,0.375,1013000,MYR
2019-01-08,0.38,0.395,0.38,0.395,300600,MYR
2019-01-09,0.39,0.4,0.39,0.4,399000,MYR
2019-01-10,0.41,0.41,0.4,0.4,43000,MYR
2019-01-11,0.4,0.405,0.4,0.405,201000,MYR
2019-01-14,0.405,0.41,0.405,0.405,338500,MYR
2019-01-15,0.41,0.415,0.41,0.415,182000,MYR
2019-01-16,0.415,0.42,0.415,0.415,194300,MYR
