Date,Open,High,Low,Close,Volume,Currency
2013-10-21,1.88,1.88,1.88,1.88,1500,MYR
2013-10-29,2.2,2.2,2.1,2.1,3500,MYR
2013-10-30,2.2,2.2,2.2,2.2,2500,MYR
2013-10-31,2.18,2.18,2.18,2.18,5000,MYR
2013-11-04,2.18,2.18,2.18,2.18,1000,MYR
2013-11-07,2.2,2.2,2.2,2.2,1600,MYR
2013-11-08,2.2,2.2,2.2,2.2,1000,MYR
2013-11-13,2.25,2.25,2.25,2.25,3000,MYR
2013-11-15,2.25,2.25,2.25,2.25,3000,MYR
2013-11-27,2.25,2.25,2.25,2.25,2000,MYR
2013-11-28,2.25,2.25,2.25,2.25,1000,MYR
2014-01-09,2.12,2.12,2.12,2.12,5000,MYR
2014-01-20,2.12,2.12,2.12,2.12,2500,MYR
2014-01-22,2.04,2.04,2.04,2.04,1000,MYR
2014-03-04,2.2,2.4,2.2,2.4,4000,MYR
2014-03-05,2.5,2.5,2.4,2.5,12500,MYR
2014-03-11,2.5,2.5,2.5,2.5,5000,MYR
2014-03-12,2.5,2.5,2.5,2.5,14500,MYR
2014-03-13,2.52,2.52,2.52,2.52,3000,MYR
2014-03-14,2.52,2.52,2.52,2.52,3000,MYR
2014-03-17,2.52,2.52,2.51,2.52,6500,MYR
2014-03-19,2.56,2.56,2.56,2.56,3000,MYR
2014-03-20,2.57,2.57,2.57,2.57,3000,MYR
2014-03-21,2.6,2.65,2.58,2.65,14200,MYR
2014-03-24,2.7,2.8,2.7,2.8,2000,MYR
2014-03-25,2.75,2.8,2.75,2.8,35000,MYR
2014-03-26,2.8,2.8,2.8,2.8,2000,MYR
2014-03-27,2.82,2.9,2.8,2.9,11000,MYR
2014-03-28,2.9,2.9,2.8,2.8,8500,MYR
2014-03-31,2.8,2.8,2.8,2.8,5000,MYR
2014-04-01,2.8,2.8,2.8,2.8,2000,MYR
2014-04-03,2.8,2.8,2.8,2.8,10000,MYR
2014-04-04,2.8,2.8,2.8,2.8,28000,MYR
2014-04-07,2.8,2.8,2.8,2.8,2000,MYR
2014-04-08,2.8,2.8,2.8,2.8,7000,MYR
