Date,Open,High,Low,Close,Volume,Currency
2013-02-14,0.465,0.465,0.455,0.46,25000,MYR
2013-02-15,0.46,0.465,0.46,0.46,140500,MYR
2013-02-18,0.46,0.46,0.46,0.46,425800,MYR
2013-02-19,0.46,0.46,0.455,0.46,70000,MYR
2013-02-20,0.46,0.46,0.455,0.455,222000,MYR
2013-02-21,0.455,0.455,0.455,0.455,881800,MYR
2013-02-22,0.455,0.46,0.455,0.455,177600,MYR
2013-02-25,0.455,0.455,0.455,0.455,293600,MYR
2013-02-26,0.46,0.46,0.455,0.455,57000,MYR
2013-02-27,0.46,0.46,0.46,0.46,246500,MYR
2013-02-28,0.465,0.47,0.465,0.47,215700,MYR
2013-03-01,0.47,0.475,0.47,0.475,152700,MYR
2013-03-04,0.475,0.475,0.47,0.475,194000,MYR
2013-03-05,0.475,0.475,0.47,0.475,67000,MYR
2013-03-06,0.475,0.48,0.47,0.475,186400,MYR
2013-03-07,0.475,0.475,0.47,0.475,293600,MYR
2013-03-08,0.475,0.48,0.475,0.475,267700,MYR
2013-03-11,0.48,0.495,0.48,0.48,1271600,MYR
2013-03-12,0.48,0.485,0.48,0.485,510900,MYR
2013-03-13,0.49,0.495,0.485,0.49,768500,MYR
2013-03-14,0.49,0.49,0.49,0.49,383000,MYR
2013-03-15,0.485,0.49,0.485,0.49,132000,MYR
2013-03-18,0.49,0.49,0.48,0.485,164000,MYR
2013-03-19,0.485,0.485,0.48,0.48,293800,MYR
2013-03-20,0.485,0.49,0.475,0.475,853000,MYR
2013-03-21,0.475,0.475,0.46,0.46,1080400,MYR
2013-03-22,0.46,0.46,0.46,0.46,1115600,MYR
2013-03-25,0.46,0.46,0.46,0.46,43200,MYR
2013-03-26,0.46,0.46,0.46,0.46,36600,MYR
2013-03-27,0.455,0.46,0.455,0.46,13800,MYR
2013-03-28,0.46,0.47,0.455,0.46,525900,MYR
2013-03-29,0.46,0.46,0.46,0.46,182800,MYR
2013-04-01,0.46,0.46,0.46,0.46,102800,MYR
2013-04-02,0.455,0.46,0.455,0.46,502000,MYR
2013-04-03,0.455,0.46,0.455,0.46,236500,MYR
2013-04-04,0.46,0.46,0.46,0.46,1083000,MYR
2013-04-05,0.46,0.46,0.46,0.46,128500,MYR
2013-04-08,0.46,0.46,0.46,0.46,634000,MYR
2013-04-09,0.46,0.465,0.46,0.465,1800800,MYR
2013-04-10,0.47,0.47,0.465,0.465,609800,MYR
2013-04-11,0.46,0.465,0.46,0.465,1217800,MYR
2013-04-12,0.465,0.48,0.465,0.48,1174600,MYR
2013-04-15,0.48,0.49,0.48,0.48,1035300,MYR
2013-04-16,0.48,0.485,0.475,0.48,261000,MYR
2013-04-17,0.48,0.485,0.48,0.48,283700,MYR
