Date,Open,High,Low,Close,Volume,Currency
2013-09-18,0.585,0.585,0.585,0.585,2000,MYR
2013-09-24,0.58,0.585,0.58,0.585,22000,MYR
2013-09-25,0.59,0.59,0.59,0.59,9000,MYR
2013-09-26,0.58,0.58,0.58,0.58,2000,MYR
2013-10-01,0.56,0.595,0.56,0.585,10000,MYR
2013-10-09,0.6,0.6,0.6,0.6,10000,MYR
2013-10-10,0.57,0.62,0.57,0.62,13300,MYR
2013-10-21,0.585,0.585,0.585,0.585,2200,MYR
2013-10-25,0.585,0.59,0.585,0.585,10000,MYR
2013-10-30,0.6,0.64,0.57,0.635,9300,MYR
2013-10-31,0.585,0.585,0.58,0.58,13800,MYR
2013-11-04,0.585,0.62,0.58,0.62,18100,MYR
2013-11-06,0.615,0.615,0.6,0.6,52500,MYR
2013-11-07,0.6,0.615,0.6,0.61,103000,MYR
2013-11-08,0.6,0.62,0.6,0.62,23500,MYR
2013-11-11,0.6,0.6,0.6,0.6,13000,MYR
2013-11-14,0.59,0.6,0.59,0.6,30500,MYR
2013-11-15,0.63,0.64,0.62,0.63,35600,MYR
2013-11-18,0.63,0.68,0.63,0.68,4100,MYR
2013-11-25,0.6,0.68,0.6,0.68,81900,MYR
2013-11-27,0.68,0.68,0.68,0.68,100,MYR
2013-11-28,0.62,0.62,0.62,0.62,12600,MYR
2013-12-03,0.6,0.63,0.6,0.63,105200,MYR
2013-12-04,0.615,0.68,0.615,0.68,114900,MYR
2013-12-06,0.62,0.62,0.62,0.62,40000,MYR
2013-12-09,0.62,0.63,0.62,0.63,41100,MYR
2013-12-10,0.615,0.615,0.615,0.615,30000,MYR
2013-12-12,0.62,0.63,0.61,0.61,80000,MYR
2013-12-13,0.61,0.62,0.61,0.62,84000,MYR
2013-12-18,0.61,0.68,0.61,0.67,270200,MYR
2013-12-19,0.61,0.61,0.61,0.61,50000,MYR
2013-12-20,0.61,0.615,0.61,0.615,212200,MYR
2013-12-23,0.6,0.61,0.6,0.61,261000,MYR
2013-12-24,0.61,0.63,0.61,0.615,304200,MYR
2013-12-27,0.61,0.61,0.61,0.61,1000,MYR
2013-12-30,0.61,0.61,0.61,0.61,4000,MYR
2013-12-31,0.61,0.64,0.61,0.64,40000,MYR
2014-01-02,0.61,0.61,0.61,0.61,1000,MYR
2014-01-06,0.605,0.605,0.605,0.605,5000,MYR
2014-01-07,0.615,0.65,0.615,0.65,3100,MYR
2014-01-09,0.61,0.64,0.61,0.64,17000,MYR
2014-01-10,0.63,0.63,0.63,0.63,5000,MYR
2014-01-13,0.63,0.64,0.63,0.635,40200,MYR
2014-01-15,0.635,0.645,0.635,0.645,22200,MYR
2014-01-16,0.65,0.65,0.635,0.635,10600,MYR
2014-01-21,0.62,0.665,0.62,0.635,23900,MYR
2014-01-22,0.63,0.63,0.63,0.63,2200,MYR
2014-01-28,0.65,0.65,0.65,0.65,2000,MYR
2014-02-04,0.59,0.59,0.59,0.59,1000,MYR
2014-02-05,0.605,0.605,0.605,0.605,1000,MYR
2014-02-10,0.61,0.675,0.61,0.675,19100,MYR
2014-02-14,0.65,0.65,0.65,0.65,5000,MYR
2014-02-18,0.645,0.69,0.645,0.65,76300,MYR
2014-02-19,0.65,0.65,0.65,0.65,13000,MYR
2014-02-24,0.63,0.63,0.63,0.63,27800,MYR
2014-02-26,0.64,0.65,0.64,0.64,25800,MYR
2014-03-07,0.63,0.63,0.63,0.63,6400,MYR
2014-03-11,0.63,0.63,0.63,0.63,4000,MYR
2014-03-17,0.62,0.62,0.62,0.62,20000,MYR
2014-03-19,0.615,0.69,0.615,0.69,2100,MYR
2014-03-20,0.63,0.7,0.63,0.7,12200,MYR
2014-03-24,0.635,0.635,0.635,0.635,1000,MYR
2014-03-25,0.62,0.62,0.62,0.62,1000,MYR
2014-03-28,0.635,0.635,0.635,0.635,10000,MYR
2014-03-31,0.635,0.64,0.635,0.635,52600,MYR
2014-04-01,0.64,0.64,0.64,0.64,8400,MYR
2014-04-02,0.635,0.635,0.63,0.63,5000,MYR
2014-04-04,0.64,0.64,0.64,0.64,42600,MYR
2014-04-08,0.64,0.64,0.64,0.64,12000,MYR
2014-04-09,0.64,0.64,0.64,0.64,28400,MYR
2014-04-10,0.64,0.64,0.64,0.64,6600,MYR
2014-04-11,0.64,0.64,0.64,0.64,25000,MYR
2014-04-14,0.665,0.665,0.665,0.665,5000,MYR
2014-04-15,0.67,0.73,0.67,0.705,173100,MYR
2014-04-16,0.71,0.75,0.71,0.75,201800,MYR
2014-04-17,0.76,0.85,0.76,0.8,171200,MYR
2014-04-18,0.76,0.8,0.73,0.75,27400,MYR
2014-04-21,0.75,0.75,0.73,0.73,3000,MYR
2014-04-23,0.74,0.74,0.735,0.74,10500,MYR
2014-04-24,0.73,0.73,0.73,0.73,1000,MYR
2014-04-25,0.73,0.75,0.73,0.735,6400,MYR
2014-04-28,0.75,0.78,0.75,0.76,78200,MYR
2014-04-29,0.75,0.76,0.75,0.76,34500,MYR
2014-04-30,0.75,0.75,0.735,0.74,32000,MYR
2014-05-02,0.73,0.78,0.73,0.73,8000,MYR
2014-05-05,0.73,0.735,0.73,0.735,19900,MYR
2014-05-06,0.73,0.73,0.73,0.73,1000,MYR
2014-05-07,0.735,0.735,0.735,0.735,20000,MYR
2014-05-15,0.7,0.7,0.7,0.7,2000,MYR
2014-05-19,0.7,0.7,0.7,0.7,2000,MYR
2014-05-22,0.7,0.7,0.7,0.7,7000,MYR
2014-05-23,0.7,0.7,0.7,0.7,1000,MYR
2014-05-26,0.68,0.68,0.68,0.68,1000,MYR
2014-05-30,0.68,0.7,0.68,0.695,61000,MYR
2014-06-02,0.695,0.695,0.67,0.67,11000,MYR
2014-06-12,0.65,0.655,0.65,0.655,13200,MYR
2014-06-16,0.68,0.68,0.68,0.68,1000,MYR
2014-06-18,0.67,0.67,0.67,0.67,2000,MYR
2014-06-19,0.72,0.85,0.72,0.81,174900,MYR
2014-06-20,0.81,0.94,0.81,0.9,357800,MYR
2014-06-23,0.91,0.91,0.89,0.89,27000,MYR
2014-06-24,0.85,0.85,0.83,0.85,96500,MYR
2014-06-25,0.855,0.855,0.83,0.84,51900,MYR
2014-06-26,0.84,0.9,0.84,0.9,251100,MYR
2014-06-27,0.93,0.995,0.93,0.97,924600,MYR
2014-06-30,0.995,1.03,0.99,1.0,318100,MYR
2014-07-01,1.0,1.0,0.96,0.99,50300,MYR
2014-07-02,0.97,0.985,0.97,0.985,153600,MYR
2014-07-03,0.965,0.985,0.95,0.955,92600,MYR
2014-07-04,0.96,1.08,0.96,1.03,413500,MYR
2014-07-07,1.01,1.02,1.0,1.01,92200,MYR
2014-07-08,1.01,1.06,0.995,0.995,157400,MYR
2014-07-09,1.0,1.01,0.985,0.99,48600,MYR
2014-07-10,1.0,1.02,0.99,1.01,196200,MYR
2014-07-11,0.98,0.98,0.975,0.975,8000,MYR
2014-07-14,0.975,0.975,0.9,0.945,85900,MYR
2014-07-16,0.94,0.995,0.93,0.995,40100,MYR
2014-07-17,0.96,0.99,0.935,0.945,118100,MYR
2014-07-18,0.945,0.945,0.9,0.91,58900,MYR
2014-07-21,0.91,0.91,0.9,0.9,49100,MYR
2014-07-22,0.9,0.9,0.875,0.895,76900,MYR
2014-07-23,0.88,0.89,0.88,0.89,60100,MYR
2014-07-24,0.88,0.89,0.88,0.89,33900,MYR
2014-07-25,0.89,0.89,0.89,0.89,5000,MYR
2014-07-30,0.87,0.9,0.87,0.9,42100,MYR
2014-07-31,0.88,0.895,0.88,0.89,28500,MYR
2014-08-01,0.89,0.89,0.88,0.88,29400,MYR
2014-08-04,0.885,0.885,0.885,0.885,18000,MYR
2014-08-05,0.88,0.88,0.88,0.88,27200,MYR
2014-08-06,0.88,0.9,0.88,0.9,30300,MYR
2014-08-08,0.88,0.88,0.87,0.88,91500,MYR
2014-08-11,0.88,0.88,0.88,0.88,27000,MYR
2014-08-12,0.865,0.9,0.865,0.9,23000,MYR
2014-08-13,0.89,0.89,0.89,0.89,1000,MYR
2014-08-14,0.895,0.895,0.895,0.895,1000,MYR
2014-08-15,0.885,0.95,0.885,0.95,4000,MYR
2014-08-20,0.92,0.925,0.89,0.89,7600,MYR
2014-08-21,0.88,0.89,0.88,0.89,73000,MYR
2014-08-22,0.88,0.9,0.87,0.87,32200,MYR
2014-08-25,0.87,0.87,0.87,0.87,9300,MYR
2014-08-26,0.885,0.885,0.875,0.88,58200,MYR
2014-08-27,0.88,0.88,0.875,0.875,5200,MYR
2014-08-29,0.86,0.86,0.86,0.86,39000,MYR
2014-09-02,0.835,0.91,0.805,0.91,3300,MYR
2014-09-03,0.86,0.86,0.86,0.86,25400,MYR
2014-09-04,0.86,0.86,0.815,0.815,4000,MYR
2014-09-08,0.795,0.9,0.795,0.895,20200,MYR
2014-09-09,0.9,0.9,0.815,0.83,36500,MYR
2014-09-12,0.84,0.84,0.8,0.84,6000,MYR
2014-09-15,0.83,0.86,0.83,0.86,81000,MYR
2014-09-18,0.875,0.875,0.875,0.875,11000,MYR
2014-09-22,0.82,0.82,0.82,0.82,2900,MYR
2014-09-23,0.82,0.865,0.82,0.86,36300,MYR
2014-09-24,0.85,0.87,0.85,0.87,8000,MYR
2014-09-25,0.865,0.87,0.865,0.865,21800,MYR
2014-10-07,0.81,0.81,0.8,0.8,5000,MYR
2014-10-08,0.82,0.82,0.81,0.81,15600,MYR
2014-10-09,0.81,0.81,0.81,0.81,2500,MYR
2014-10-14,0.8,0.8,0.8,0.8,12000,MYR
2014-10-16,0.78,0.82,0.78,0.82,20100,MYR
2014-10-17,0.8,0.8,0.8,0.8,2000,MYR
2014-10-27,0.79,0.79,0.79,0.79,3500,MYR
2014-10-29,0.8,0.8,0.8,0.8,6700,MYR
2014-10-31,0.8,0.8,0.8,0.8,1000,MYR
2014-11-03,0.785,0.785,0.785,0.785,8500,MYR
