Date,Open,High,Low,Close,Volume,Currency
2014-07-03,0.63,0.65,0.615,0.615,883300,MYR
2014-07-04,0.615,0.63,0.61,0.63,35500,MYR
2014-07-07,0.615,0.63,0.615,0.63,11900,MYR
2014-07-08,0.625,0.635,0.605,0.61,956100,MYR
2014-07-09,0.62,0.62,0.605,0.62,197400,MYR
2014-07-10,0.62,0.625,0.61,0.615,404700,MYR
2014-07-11,0.615,0.615,0.595,0.6,190500,MYR
2014-07-14,0.59,0.6,0.59,0.6,95400,MYR
2014-07-16,0.615,0.615,0.6,0.605,26500,MYR
2014-07-17,0.605,0.605,0.595,0.6,84500,MYR
2014-07-18,0.59,0.6,0.59,0.595,51000,MYR
2014-07-21,0.6,0.6,0.59,0.59,82200,MYR
2014-07-22,0.59,0.595,0.59,0.59,10200,MYR
2014-07-23,0.6,0.6,0.59,0.6,45700,MYR
2014-07-24,0.595,0.6,0.59,0.59,127200,MYR
2014-07-25,0.59,0.59,0.59,0.59,11400,MYR
2014-07-30,0.59,0.595,0.59,0.59,99700,MYR
2014-07-31,0.59,0.605,0.59,0.605,55200,MYR
2014-08-01,0.605,0.605,0.595,0.595,70300,MYR
2014-08-04,0.59,0.6,0.59,0.595,25000,MYR
2014-08-05,0.595,0.64,0.595,0.595,985600,MYR
2014-08-06,0.595,0.595,0.595,0.595,91600,MYR
2014-08-07,0.595,0.595,0.595,0.595,42000,MYR
2014-08-08,0.595,0.595,0.58,0.58,229100,MYR
2014-08-11,0.58,0.6,0.58,0.6,51500,MYR
2014-08-12,0.6,0.6,0.585,0.585,41600,MYR
2014-08-13,0.6,0.6,0.585,0.6,61200,MYR
2014-08-14,0.59,0.6,0.59,0.6,39000,MYR
2014-08-15,0.585,0.595,0.565,0.595,420000,MYR
2014-08-18,0.6,0.605,0.595,0.605,153300,MYR
2014-08-19,0.615,0.62,0.595,0.605,471700,MYR
2014-08-20,0.6,0.605,0.595,0.595,74600,MYR
2014-08-21,0.595,0.595,0.59,0.59,62700,MYR
2014-08-22,0.595,0.61,0.595,0.61,53000,MYR
2014-08-25,0.605,0.605,0.595,0.595,149300,MYR
2014-08-26,0.595,0.595,0.595,0.595,60800,MYR
2014-08-27,0.6,0.6,0.59,0.595,93200,MYR
2014-08-28,0.595,0.605,0.59,0.595,44700,MYR
2014-08-29,0.595,0.6,0.585,0.59,97600,MYR
2014-09-02,0.615,0.615,0.595,0.595,100000,MYR
2014-09-03,0.595,0.595,0.58,0.59,51700,MYR
2014-09-04,0.595,0.6,0.595,0.595,17000,MYR
2014-09-05,0.595,0.595,0.59,0.595,178300,MYR
2014-09-08,0.595,0.6,0.595,0.6,41300,MYR
2014-09-09,0.595,0.595,0.595,0.595,10000,MYR
2014-09-10,0.595,0.6,0.585,0.6,50200,MYR
2014-09-11,0.59,0.595,0.59,0.59,40000,MYR
