Date,Open,High,Low,Close,Volume,Currency
2011-08-22,1.37,1.39,1.33,1.33,1044880,MYR
2011-08-23,1.37,1.37,1.35,1.36,670350,MYR
2011-08-24,1.4,1.42,1.35,1.39,2290570,MYR
2011-08-25,1.39,1.4,1.37,1.39,892770,MYR
2011-08-26,1.39,1.4,1.36,1.4,2618360,MYR
2011-08-29,1.38,1.4,1.38,1.4,377400,MYR
2011-09-02,1.42,1.46,1.4,1.42,1092340,MYR
2011-09-05,1.41,1.41,1.4,1.41,1596740,MYR
2011-09-06,1.39,1.42,1.38,1.42,1394510,MYR
2011-09-07,1.41,1.45,1.41,1.44,752140,MYR
2011-09-08,1.44,1.47,1.44,1.46,1458270,MYR
2011-09-09,1.46,1.48,1.46,1.48,763830,MYR
2011-09-12,1.46,1.52,1.46,1.49,2485210,MYR
2011-09-13,1.49,1.52,1.48,1.48,1971890,MYR
2011-09-14,1.49,1.5,1.44,1.47,1381290,MYR
2011-09-15,1.47,1.49,1.43,1.43,1244250,MYR
2011-09-19,1.43,1.45,1.36,1.39,1230310,MYR
2011-09-20,1.38,1.4,1.36,1.37,1328910,MYR
2011-09-21,1.37,1.42,1.36,1.4,1588540,MYR
2011-09-22,1.39,1.39,1.36,1.36,1232560,MYR
2011-09-23,1.34,1.36,1.34,1.35,901080,MYR
2011-09-26,1.34,1.34,1.25,1.28,2488290,MYR
2011-09-27,1.3,1.33,1.3,1.32,2134460,MYR
2011-09-28,1.35,1.37,1.29,1.3,1919110,MYR
2011-09-29,1.29,1.37,1.29,1.36,1649220,MYR
2011-09-30,1.59,1.71,1.5,1.52,27334390,MYR
2011-10-03,1.59,1.61,1.52,1.56,14373160,MYR
2011-10-04,1.55,1.56,1.53,1.54,7666790,MYR
2011-10-05,1.56,1.56,1.52,1.54,4348770,MYR
2011-10-06,1.56,1.57,1.52,1.56,9150380,MYR
2011-10-07,1.57,1.58,1.53,1.54,3972490,MYR
2011-10-10,1.55,1.55,1.52,1.53,1925970,MYR
2011-10-11,1.54,1.64,1.53,1.58,18957270,MYR
2011-10-12,1.57,1.66,1.56,1.65,12323470,MYR
2011-10-13,1.67,1.71,1.63,1.64,17565420,MYR
2011-10-14,1.67,1.8,1.66,1.73,50431520,MYR
2011-10-17,1.77,1.78,1.74,1.75,10829330,MYR
2011-10-18,1.73,1.83,1.73,1.75,26765310,MYR
2011-10-19,1.8,1.8,1.73,1.73,9170060,MYR
2011-10-20,1.72,1.73,1.68,1.7,9584770,MYR
2011-10-21,1.71,1.74,1.69,1.7,6351620,MYR
2011-10-24,1.73,1.73,1.67,1.68,7749410,MYR
2011-10-25,1.7,1.71,1.67,1.67,4190920,MYR
2011-10-27,1.68,1.74,1.68,1.73,7963220,MYR
2011-10-28,1.75,1.75,1.68,1.69,6254550,MYR
2011-10-31,1.7,1.71,1.68,1.69,4450040,MYR
2011-11-01,1.69,1.73,1.68,1.69,6083370,MYR
2011-11-02,1.67,1.69,1.65,1.68,4610860,MYR
2011-11-03,1.68,1.68,1.65,1.66,3245970,MYR
2011-11-04,1.68,1.69,1.66,1.67,2505920,MYR
2011-11-08,1.67,1.68,1.66,1.67,1612430,MYR
2011-11-09,1.67,1.69,1.67,1.67,1987580,MYR
2011-11-10,1.65,1.67,1.65,1.66,2056460,MYR
2011-11-11,1.66,1.67,1.65,1.66,1567630,MYR
2011-11-14,1.67,1.69,1.67,1.68,1715750,MYR
2011-11-15,1.71,1.75,1.71,1.72,6981070,MYR
2011-11-16,1.74,1.75,1.71,1.74,4320170,MYR
2011-11-17,1.73,1.76,1.72,1.73,3351340,MYR
2011-11-18,1.74,1.74,1.72,1.73,1645330,MYR
2011-11-21,1.73,1.78,1.72,1.73,6656250,MYR
2011-11-22,1.73,1.74,1.71,1.73,2443500,MYR
2011-11-23,1.73,1.73,1.7,1.71,1652910,MYR
2011-11-24,1.71,1.72,1.69,1.69,2093970,MYR
2011-11-25,1.69,1.73,1.68,1.72,2170440,MYR
2011-11-29,1.73,1.75,1.72,1.74,3745860,MYR
2011-11-30,1.74,1.76,1.72,1.74,1904240,MYR
2011-12-01,1.76,1.77,1.73,1.74,2725580,MYR
2011-12-02,1.74,1.76,1.73,1.76,2260120,MYR
2011-12-05,1.76,1.77,1.74,1.75,1912240,MYR
2011-12-06,1.75,1.75,1.73,1.74,1734400,MYR
2011-12-07,1.74,1.74,1.72,1.73,1552770,MYR
2011-12-08,1.73,1.73,1.66,1.66,4858500,MYR
2011-12-09,1.65,1.7,1.63,1.66,4244110,MYR
2011-12-12,1.68,1.69,1.68,1.68,1515560,MYR
2011-12-13,1.67,1.69,1.66,1.69,1386520,MYR
2011-12-14,1.73,1.78,1.71,1.73,10845730,MYR
2011-12-15,1.74,1.75,1.7,1.7,3036660,MYR
2011-12-16,1.72,1.73,1.69,1.72,2275810,MYR
2011-12-19,1.72,1.73,1.7,1.71,974060,MYR
2011-12-20,1.71,1.71,1.67,1.68,2601450,MYR
2011-12-21,1.7,1.7,1.68,1.7,918500,MYR
2011-12-22,1.69,1.69,1.67,1.69,1065490,MYR
2011-12-23,1.69,1.69,1.67,1.68,2008590,MYR
2011-12-27,1.69,1.72,1.69,1.7,1593360,MYR
2011-12-28,1.7,1.71,1.68,1.7,1949340,MYR
2011-12-29,1.69,1.74,1.69,1.72,4560840,MYR
2011-12-30,1.73,1.75,1.72,1.74,5318720,MYR
2012-01-03,1.74,1.75,1.73,1.75,2932630,MYR
2012-01-04,1.76,1.76,1.72,1.72,3360670,MYR
2012-01-05,1.72,1.73,1.7,1.72,2121340,MYR
2012-01-06,1.73,1.74,1.71,1.74,1575220,MYR
2012-01-09,1.74,1.8,1.73,1.78,12324490,MYR
2012-01-10,1.8,1.81,1.75,1.76,7280880,MYR
2012-01-11,1.76,1.81,1.76,1.8,13338830,MYR
2012-01-12,1.8,1.83,1.79,1.79,14629410,MYR
2012-01-13,1.8,1.8,1.77,1.78,3949120,MYR
2012-01-16,1.77,1.77,1.72,1.74,4172570,MYR
2012-01-17,1.74,1.75,1.73,1.75,2898600,MYR
2012-01-18,1.74,1.76,1.73,1.75,2289340,MYR
2012-01-19,1.74,1.76,1.73,1.75,1989110,MYR
2012-01-20,1.76,1.78,1.74,1.76,2527850,MYR
2012-01-25,1.76,1.76,1.74,1.76,887240,MYR
2012-01-26,1.75,1.76,1.75,1.76,1102800,MYR
2012-01-27,1.75,1.76,1.74,1.75,1897890,MYR
2012-01-30,1.75,1.76,1.72,1.73,3056550,MYR
2012-01-31,1.73,1.74,1.72,1.74,807290,MYR
2012-02-02,1.75,1.76,1.72,1.74,2097870,MYR
2012-02-03,1.75,1.75,1.72,1.74,588140,MYR
2012-02-08,1.74,1.74,1.71,1.72,2953950,MYR
2012-02-09,1.72,1.73,1.71,1.73,2372050,MYR
2012-02-10,1.72,1.79,1.72,1.74,5034390,MYR
2012-02-13,1.74,1.75,1.72,1.73,1044780,MYR
