Date,Open,High,Low,Close,Volume,Currency
2013-09-18,0.946,0.951,0.941,0.946,2368652,MYR
2013-09-19,0.965,0.99,0.96,0.98,5024851,MYR
2013-09-20,0.975,0.98,0.96,0.975,1211091,MYR
2013-09-23,0.975,0.98,0.965,0.965,1337139,MYR
2013-09-24,0.97,0.97,0.96,0.965,775175,MYR
2013-09-25,0.965,0.97,0.965,0.965,890921,MYR
2013-09-26,0.97,0.975,0.965,0.965,550551,MYR
2013-09-27,0.975,0.975,0.97,0.975,281487,MYR
2013-09-30,0.97,0.975,0.965,0.965,719423,MYR
2013-10-01,0.965,0.975,0.965,0.97,484699,MYR
2013-10-02,0.97,0.97,0.965,0.97,443087,MYR
2013-10-03,0.975,0.975,0.965,0.965,496718,MYR
2013-10-04,0.96,0.96,0.946,0.951,457429,MYR
2013-10-07,0.955,0.955,0.936,0.936,708919,MYR
2013-10-08,0.941,0.941,0.931,0.941,590345,MYR
2013-10-09,0.941,0.946,0.936,0.946,210787,MYR
2013-10-10,0.951,0.98,0.951,0.97,2367440,MYR
2013-10-11,0.99,0.99,0.97,0.975,3248665,MYR
2013-10-14,0.975,0.975,0.96,0.965,409454,MYR
2013-10-16,0.97,0.975,0.96,0.97,773761,MYR
2013-10-17,0.975,0.985,0.97,0.98,1867288,MYR
2013-10-18,0.98,1.02,0.97,1.02,4025759,MYR
2013-10-21,1.04,1.04,1.01,1.02,1946674,MYR
2013-10-22,1.02,1.02,0.99,1.0,1248764,MYR
2013-10-23,1.0,1.059,0.99,1.05,9162114,MYR
2013-10-24,1.04,1.04,1.01,1.02,3581864,MYR
2013-10-25,1.03,1.05,1.02,1.03,2531767,MYR
2013-10-28,1.03,1.04,1.02,1.02,1094436,MYR
2013-10-29,1.02,1.03,1.01,1.03,2014243,MYR
2013-10-30,1.03,1.04,1.02,1.02,1589841,MYR
2013-10-31,1.02,1.03,1.01,1.02,956470,MYR
2013-11-01,1.02,1.02,1.01,1.02,890921,MYR
2013-11-04,1.02,1.02,1.01,1.01,1094537,MYR
