Date,Open,High,Low,Close,Volume,Currency
2011-12-08,1.02,1.02,0.99,1.0,23912600,MYR
2011-12-09,0.99,1.01,0.99,1.0,27628800,MYR
2011-12-12,1.0,1.01,1.0,1.01,7129000,MYR
2011-12-13,1.0,1.01,1.0,1.0,4864600,MYR
2011-12-14,1.01,1.02,1.0,1.02,4008200,MYR
2011-12-15,1.01,1.03,1.01,1.02,3504400,MYR
2011-12-16,1.03,1.05,1.02,1.05,3838200,MYR
2011-12-19,1.04,1.04,1.03,1.04,1331400,MYR
2011-12-20,1.03,1.05,1.02,1.04,2694500,MYR
2011-12-21,1.05,1.06,1.04,1.05,2241200,MYR
2011-12-22,1.04,1.05,1.04,1.04,1857200,MYR
2011-12-23,1.04,1.05,1.04,1.05,213200,MYR
2011-12-27,1.05,1.06,1.05,1.05,603200,MYR
2011-12-28,1.06,1.08,1.05,1.08,864500,MYR
2011-12-29,1.08,1.09,1.07,1.09,1643000,MYR
2011-12-30,1.09,1.1,1.09,1.09,1125500,MYR
2012-01-03,1.1,1.1,1.07,1.07,3366700,MYR
2012-01-04,1.07,1.07,1.05,1.06,2891300,MYR
2012-01-05,1.06,1.07,1.06,1.07,1625600,MYR
2012-01-06,1.07,1.07,1.06,1.06,2704200,MYR
2012-01-09,1.06,1.06,1.04,1.06,2945400,MYR
2012-01-10,1.06,1.06,1.05,1.05,2742600,MYR
2012-01-11,1.05,1.06,1.04,1.04,1291800,MYR
2012-01-12,1.05,1.05,1.04,1.05,1535300,MYR
2012-01-13,1.05,1.05,1.04,1.04,1287400,MYR
2012-01-16,1.05,1.07,1.04,1.06,2384000,MYR
2012-01-17,1.06,1.09,1.06,1.08,3613300,MYR
2012-01-18,1.09,1.09,1.08,1.09,710800,MYR
2012-01-19,1.09,1.09,1.08,1.09,2220500,MYR
2012-01-20,1.09,1.11,1.09,1.1,3265700,MYR
2012-01-25,1.1,1.11,1.09,1.1,827400,MYR
2012-01-26,1.1,1.11,1.09,1.1,1598500,MYR
2012-01-27,1.1,1.1,1.08,1.09,3271300,MYR
2012-01-30,1.1,1.1,1.09,1.1,1346500,MYR
2012-01-31,1.09,1.11,1.09,1.09,4285400,MYR
2012-02-02,1.1,1.11,1.1,1.11,522500,MYR
2012-02-03,1.1,1.11,1.09,1.1,2064200,MYR
2012-02-08,1.1,1.11,1.09,1.1,5071500,MYR
2012-02-09,1.12,1.17,1.11,1.16,2631300,MYR
2012-02-10,1.17,1.19,1.16,1.18,2862600,MYR
2012-02-13,1.18,1.19,1.16,1.16,4180800,MYR
2012-02-14,1.16,1.17,1.16,1.16,2366900,MYR
